Name,Frequency,YOB
Mary,989,1910
Helen,473,1910
Margaret,374,1910
Dorothy,331,1910
Alice,313,1910
Anna,252,1910
Ruth,247,1910
Elizabeth,224,1910
Mildred,198,1910
Lillian,196,1910
Rose,187,1910
Catherine,184,1910
Evelyn,175,1910
Florence,168,1910
Marion,162,1910
Frances,146,1910
Gertrude,138,1910
Eleanor,137,1910
Grace,135,1910
Doris,132,1910
Marie,130,1910
Irene,121,1910
Beatrice,114,1910
Josephine,110,1910
Ethel,105,1910
Louise,98,1910
Katherine,97,1910
Agnes,96,1910
Gladys,94,1910
Edna,92,1910
Edith,91,1910
Esther,86,1910
Marjorie,86,1910
Anne,81,1910
Eva,80,1910
Bertha,78,1910
Ann,75,1910
Hazel,67,1910
Julia,59,1910
Ida,58,1910
Marguerite,58,1910
Viola,58,1910
Barbara,56,1910
Virginia,56,1910
Blanche,55,1910
Theresa,55,1910
Sarah,53,1910
Elsie,51,1910
Jennie,51,1910
Laura,49,1910
Lena,49,1910
Stella,49,1910
Charlotte,47,1910
Jeannette,44,1910
Pauline,43,1910
Sophie,43,1910
Ellen,41,1910
Mabel,41,1910
Emma,40,1910
Jean,40,1910
Madeline,39,1910
Thelma,37,1910
Emily,36,1910
Martha,36,1910
Phyllis,36,1910
Lucy,35,1910
Yvonne,34,1910
Bernice,33,1910
Clara,33,1910
Bessie,30,1910
Constance,29,1910
Dorothea,29,1910
Harriet,29,1910
Kathryn,29,1910
Sylvia,29,1910
Genevieve,28,1910
Loretta,28,1910
Annie,27,1910
Eileen,27,1910
Geraldine,27,1910
Hilda,27,1910
Kathleen,27,1910
Caroline,26,1910
Maria,26,1910
Pearl,26,1910
Betty,25,1910
Marian,25,1910
Olive,25,1910
Priscilla,25,1910
Vera,25,1910
Victoria,25,1910
Celia,24,1910
Myrtle,24,1910
Rita,24,1910
Adeline,23,1910
Cecile,23,1910
Eunice,23,1910
Minnie,23,1910
Muriel,23,1910
Nellie,23,1910
Alma,22,1910
Dora,22,1910
Isabel,22,1910
Sally,22,1910
Winifred,22,1910
Amelia,21,1910
Jeanette,21,1910
Sadie,21,1910
Veronica,21,1910
Antoinette,20,1910
Flora,20,1910
Mae,20,1910
Miriam,20,1910
Anita,19,1910
Ella,19,1910
Janet,19,1910
Leona,19,1910
Claire,18,1910
Isabelle,18,1910
Jane,18,1910
Annette,17,1910
Estelle,17,1910
Vivian,17,1910
Angelina,16,1910
Elinor,16,1910
