Name,Frequency,YOB
Mary,393,1910
Margaret,208,1910
Helen,174,1910
Elizabeth,150,1910
Anna,131,1910
Mildred,122,1910
Dorothy,113,1910
Ruth,107,1910
Catherine,100,1910
Lillian,93,1910
Evelyn,92,1910
Marie,89,1910
Alice,74,1910
Florence,72,1910
Ethel,68,1910
Frances,68,1910
Edna,65,1910
Grace,64,1910
Elsie,60,1910
Virginia,59,1910
Gladys,58,1910
Sarah,53,1910
Louise,52,1910
Agnes,48,1910
Bertha,48,1910
Rose,47,1910
Emma,46,1910
Gertrude,46,1910
Martha,45,1910
Thelma,43,1910
Edith,42,1910
Hilda,42,1910
Mabel,40,1910
Clara,39,1910
Hazel,37,1910
Beatrice,36,1910
Myrtle,36,1910
Pearl,33,1910
Bessie,32,1910
Irene,32,1910
Nellie,32,1910
Eleanor,31,1910
Katherine,31,1910
Julia,30,1910
Esther,29,1910
Ida,29,1910
Carrie,28,1910
Ella,28,1910
Viola,26,1910
Annie,24,1910
Eva,24,1910
Laura,23,1910
Minnie,23,1910
Blanche,21,1910
Josephine,20,1910
Lillie,20,1910
Charlotte,19,1910
Doris,19,1910
Ellen,19,1910
Beulah,18,1910
Daisy,18,1910
Henrietta,18,1910
Jean,18,1910
Ada,17,1910
Bernice,17,1910
Marion,17,1910
Naomi,17,1910
Pauline,17,1910
Regina,17,1910
Emily,16,1910
Kathryn,16,1910
Marguerite,16,1910
Nettie,16,1910
Ann,15,1910
Fannie,15,1910
Madeline,15,1910
Rebecca,15,1910
Betty,14,1910
Loretta,14,1910
Lucille,14,1910
Lydia,14,1910
Sadie,14,1910
Sara,14,1910
Anne,13,1910
Cora,13,1910
Hattie,13,1910
Lena,13,1910
Lucy,13,1910
Mamie,13,1910
Marian,13,1910
Nancy,13,1910
Olive,13,1910
Genevieve,12,1910
Goldie,12,1910
Irma,12,1910
Jessie,12,1910
Lola,12,1910
Marjorie,12,1910
Alberta,11,1910
Alma,11,1910
Jennie,11,1910
Kathleen,11,1910
Leona,11,1910
Lula,11,1910
May,11,1910
Rachel,11,1910
Amelia,10,1910
Dora,10,1910
Elva,10,1910
Erma,10,1910
Freda,10,1910
Geneva,10,1910
Harriet,10,1910
Isabel,10,1910
Jane,10,1910
Mae,10,1910
Maude,10,1910
Nora,10,1910
Flora,9,1910
Miriam,9,1910
Sylvia,9,1910
Amanda,8,1910
Barbara,8,1910
Estelle,8,1910
Hannah,8,1910
Lottie,8,1910
Nannie,8,1910
Rosie,8,1910
Stella,8,1910
Susie,8,1910
Vera,8,1910
Violet,8,1910
Anita,7,1910
Audrey,7,1910
Caroline,7,1910
Geraldine,7,1910
Mattie,7,1910
Nina,7,1910
Reba,7,1910
Ruby,7,1910
Constance,6,1910
Dolores,6,1910
Dorothea,6,1910
Hester,6,1910
Inez,6,1910
Isabelle,6,1910
Janie,6,1910
Maria,6,1910
Olivia,6,1910
Ollie,6,1910
Rhoda,6,1910
Shirley,6,1910
Theresa,6,1910
Adele,5,1910
Alverta,5,1910
Augusta,5,1910
Cecelia,5,1910
Cornelia,5,1910
Della,5,1910
Eleanora,5,1910
Etta,5,1910
Frieda,5,1910
Hallie,5,1910
Isabell,5,1910
Janet,5,1910
Leah,5,1910
Lorraine,5,1910
Margie,5,1910
Roberta,5,1910
Rosa,5,1910
Rosalie,5,1910
Selma,5,1910
Sophie,5,1910
Velma,5,1910
Victoria,5,1910
Mary,425,1911
Margaret,215,1911
Helen,185,1911
Mildred,149,1911
Dorothy,148,1911
Anna,145,1911
Elizabeth,133,1911
Catherine,110,1911
Ruth,109,1911
Marie,100,1911
Evelyn,98,1911
Lillian,85,1911
Alice,82,1911
Edna,72,1911
Thelma,72,1911
Ethel,65,1911
Grace,59,1911
Frances,58,1911
Virginia,58,1911
Florence,54,1911
Louise,52,1911
Hilda,51,1911
Agnes,48,1911
Elsie,47,1911
Martha,47,1911
Edith,46,1911
Gertrude,46,1911
Myrtle,44,1911
Bertha,43,1911
Rose,43,1911
Clara,42,1911
