Name,Frequency,YOB
Mary,92,1910
Helen,60,1910
Dorothy,55,1910
Ruth,51,1910
Margaret,49,1910
Alice,44,1910
Elizabeth,44,1910
Doris,41,1910
Evelyn,36,1910
Irene,36,1910
Florence,35,1910
Mildred,33,1910
Marion,32,1910
Beatrice,29,1910
Frances,29,1910
Eva,28,1910
Marie,28,1910
Ethel,27,1910
Gertrude,26,1910
Hazel,26,1910
Lillian,26,1910
Louise,25,1910
Virginia,24,1910
Eleanor,21,1910
Katherine,21,1910
Pauline,21,1910
Bertha,20,1910
Blanche,20,1910
Edith,20,1910
Laura,19,1910
Phyllis,19,1910
Thelma,19,1910
Edna,18,1910
Marguerite,18,1910
Gladys,17,1910
Madeline,17,1910
Leona,16,1910
Rose,16,1910
Grace,15,1910
Hilda,15,1910
Jeannette,15,1910
Mabel,15,1910
Annie,13,1910
Barbara,13,1910
Catherine,13,1910
Ruby,13,1910
Vivian,13,1910
Anna,12,1910
Bernice,12,1910
Elsie,12,1910
Emma,12,1910
Marjorie,12,1910
Anne,11,1910
Charlotte,11,1910
Lena,11,1910
Lucy,11,1910
Martha,11,1910
Yvonne,11,1910
Cecile,10,1910
Clara,10,1910
Flora,10,1910
Ida,10,1910
Myrtle,10,1910
Rena,10,1910
Esther,9,1910
Nellie,9,1910
Stella,9,1910
Viola,9,1910
Ann,8,1910
Arlene,8,1910
Dora,8,1910
Ella,8,1910
Geneva,8,1910
Isabelle,8,1910
Jeanette,8,1910
Kathleen,8,1910
Kathryn,8,1910
Pearl,8,1910
Sarah,8,1910
Violet,8,1910
Christine,7,1910
Ellen,7,1910
Irma,7,1910
Jennie,7,1910
Mae,7,1910
Muriel,7,1910
Olive,7,1910
Velma,7,1910
Verna,7,1910
Annette,6,1910
Bessie,6,1910
Cora,6,1910
Fannie,6,1910
Isabel,6,1910
Lucille,6,1910
Minnie,6,1910
Myra,6,1910
Rita,6,1910
Shirley,6,1910
Vera,6,1910
Agnes,5,1910
Antoinette,5,1910
Arline,5,1910
Eileen,5,1910
Georgia,5,1910
Germaine,5,1910
Iva,5,1910
Josephine,5,1910
Julia,5,1910
Mamie,5,1910
Nora,5,1910
Rebecca,5,1910
Winifred,5,1910
Dorothy,83,1911
Mary,83,1911
Helen,74,1911
Ruth,69,1911
Evelyn,59,1911
Elizabeth,56,1911
Margaret,52,1911
Alice,49,1911
Mildred,46,1911
Frances,45,1911
Florence,43,1911
Doris,42,1911
Irene,42,1911
Gladys,41,1911
Lillian,40,1911
Marion,40,1911
Louise,39,1911
Eva,32,1911
Eleanor,30,1911
Ethel,30,1911
Gertrude,30,1911
Pauline,30,1911
Marjorie,29,1911
Marie,28,1911
Beatrice,26,1911
Hazel,26,1911
Thelma,26,1911
Virginia,24,1911
Anna,23,1911
Grace,23,1911
Olive,22,1911
Josephine,21,1911
Bertha,20,1911
Bernice,19,1911
Edith,19,1911
Martha,19,1911
Phyllis,19,1911
Arlene,18,1911
Clara,18,1911
Esther,18,1911
Marguerite,18,1911
Annie,17,1911
Barbara,17,1911
Edna,17,1911
Rose,17,1911
Leona,15,1911
Catherine,14,1911
Viola,14,1911
Jeanne,13,1911
Myrtle,13,1911
Vivian,13,1911
Yvonne,13,1911
Alma,12,1911
Blanche,12,1911
Geraldine,12,1911
Hilda,12,1911
Katherine,12,1911
Madeline,12,1911
Agnes,11,1911
Charlotte,11,1911
Ella,11,1911
Elsie,11,1911
Emma,11,1911
Flora,11,1911
Lena,11,1911
Mabel,11,1911
Pearl,11,1911
Verna,11,1911
Beulah,10,1911
Eunice,10,1911
Jeannette,10,1911
Jessie,10,1911
Julia,10,1911
Juliette,10,1911
Kathleen,10,1911
Lucille,10,1911
Nellie,10,1911
Violet,10,1911
Anne,9,1911
Celia,9,1911
Ellen,9,1911
Ida,9,1911
Irma,9,1911
Laura,9,1911
Marian,9,1911
Minnie,9,1911
Vera,9,1911
Ann,8,1911
Bessie,8,1911
Emily,8,1911
Geneva,8,1911
Harriet,8,1911
Jane,8,1911
Ruby,8,1911
Sylvia,8,1911
Ada,7,1911
Adelaide,7,1911
Carmen,7,1911
Christine,7,1911
Corinne,7,1911
Estelle,7,1911
Priscilla,7,1911
Shirley,7,1911
Anita,6,1911
Annette,6,1911
Arline,6,1911
Avis,6,1911
Cecile,6,1911
Claudia,6,1911
Cora,6,1911
Freda,6,1911
Georgia,6,1911
Germaine,6,1911
Jennie,6,1911
Madelyn,6,1911
Muriel,6,1911
Rena,6,1911
Sarah,6,1911
Stella,6,1911
Velma,6,1911
Betty,5,1911
Carolyn,5,1911
Constance,5,1911
Elinor,5,1911
Evangeline,5,1911
Hildred,5,1911
Inez,5,1911
Isabel,5,1911
June,5,1911
Lois,5,1911
Lottie,5,1911
Lucienne,5,1911
Lucy,5,1911
Mae,5,1911
Natalie,5,1911
Rachel,5,1911
Sadie,5,1911
Sally,5,1911
Mary,131,1912
Dorothy,129,1912
Helen,99,1912
Ruth,94,1912
Margaret,82,1912
Doris,77,1912
Evelyn,69,1912
Alice,65,1912
Florence,55,1912
Frances,55,1912
Elizabeth,48,1912
Irene,46,1912
Marie,46,1912
Mildred,44,1912
Lillian,42,1912
Marion,42,1912
Louise,40,1912
Eleanor,39,1912
Hazel,39,1912
Marjorie,39,1912
Pauline,36,1912
Phyllis,36,1912
Gertrude,35,1912
Grace,31,1912
Thelma,31,1912
Eva,30,1912
Gladys,30,1912
Madeline,30,1912
Beatrice,29,1912
Bertha,29,1912
Edna,29,1912
Edith,28,1912
Marguerite,27,1912
Anna,26,1912
Ethel,26,1912
Catherine,24,1912
Rose,24,1912
Virginia,24,1912
Myrtle,23,1912
Josephine,22,1912
Annie,21,1912
Barbara,20,1912
Blanche,20,1912
Elsie,20,1912
Ida,20,1912
Laura,20,1912
Arlene,19,1912
Katherine,18,1912
Kathleen,18,1912
Muriel,18,1912
Cecile,17,1912
Emma,17,1912
Esther,17,1912
Lena,17,1912
Beulah,16,1912
Charlotte,16,1912
Ellen,16,1912
Mabel,16,1912
Ann,15,1912
Martha,15,1912
Stella,15,1912
Ada,14,1912
Anne,14,1912
Bernice,14,1912
Hilda,14,1912
Leona,14,1912
Viola,14,1912
Avis,13,1912
Clara,13,1912
Jeannette,13,1912
Ruby,13,1912
Velma,13,1912
Geraldine,12,1912
Yvonne,12,1912
Eunice,11,1912
Nellie,11,1912
Sylvia,11,1912
Violet,11,1912
Vivian,11,1912
Christine,10,1912
Geneva,10,1912
Jennie,10,1912
Maxine,10,1912
Olive,10,1912
Dorothea,9,1912
Emily,9,1912
Harriet,9,1912
Julia,9,1912
Juliette,9,1912
Lucienne,9,1912
Lucille,9,1912
Lucy,9,1912
Rena,9,1912
Vera,9,1912
Agnes,8,1912
Alta,8,1912
Annette,8,1912
Antoinette,8,1912
Bessie,8,1912
Cora,8,1912
Ella,8,1912
Erma,8,1912
Irma,8,1912
Isabelle,8,1912
Norma,8,1912
Pearl,8,1912
Verna,8,1912
Audrey,7,1912
Betty,7,1912
Carolyn,7,1912
Dora,7,1912
Eileen,7,1912
Elaine,7,1912
Flora,7,1912
Germaine,7,1912
Inez,7,1912
Kathryn,7,1912
Lois,7,1912
Madelyn,7,1912
Marian,7,1912
Sarah,7,1912
Susie,7,1912
Theresa,7,1912
Winifred,7,1912
Adeline,6,1912
Amy,6,1912
Anita,6,1912
Cecilia,6,1912
Celia,6,1912
Corinne,6,1912
Ernestine,6,1912
Fannie,6,1912
Freda,6,1912
Genevieve,6,1912
Gwendolyn,6,1912
Iva,6,1912
Leah,6,1912
Lydia,6,1912
Mae,6,1912
Maude,6,1912
Priscilla,6,1912
Rebecca,6,1912
Sadie,6,1912
Alma,5,1912
Bernadette,5,1912
Carmen,5,1912
Caroline,5,1912
Delia,5,1912
Helena,5,1912
Henrietta,5,1912
Isabel,5,1912
Jean,5,1912
Jeanne,5,1912
Joyce,5,1912
Loretta,5,1912
May,5,1912
Mona,5,1912
Ola,5,1912
Phoebe,5,1912
Sally,5,1912
Shirley,5,1912
Yvette,5,1912
Mary,140,1913
Dorothy,125,1913
Helen,106,1913
Ruth,99,1913
Margaret,79,1913
Elizabeth,75,1913
Alice,66,1913
Evelyn,64,1913
Doris,56,1913
Frances,56,1913
Irene,56,1913
Eleanor,51,1913
Florence,49,1913
Marion,49,1913
Mildred,49,1913
Lillian,43,1913
Louise,42,1913
Phyllis,39,1913
Virginia,37,1913
Beatrice,36,1913
Gertrude,36,1913
Barbara,35,1913
Thelma,34,1913
Edith,33,1913
Edna,33,1913
Eva,33,1913
Gladys,32,1913
Marie,31,1913
Catherine,30,1913
Marjorie,30,1913
Hazel,29,1913
Charlotte,28,1913
Marguerite,28,1913
Mabel,27,1913
Pauline,27,1913
Esther,26,1913
Anna,25,1913
Madeline,25,1913
Grace,24,1913
Bertha,23,1913
Ethel,23,1913
Hilda,23,1913
Elsie,22,1913
Muriel,22,1913
Bernice,21,1913
Nellie,21,1913
Cecile,20,1913
Laura,20,1913
Anne,19,1913
Arlene,19,1913
Rose,19,1913
Ruby,18,1913
Clara,17,1913
Annie,16,1913
Avis,16,1913
Jeannette,16,1913
Olive,16,1913
