Name,Frequency,YOB
Mary,216,1910
Helen,201,1910
Margaret,184,1910
Dorothy,163,1910
Ruth,136,1910
Evelyn,135,1910
Florence,128,1910
Alice,116,1910
Esther,113,1910
Mildred,112,1910
Gladys,106,1910
Marie,102,1910
Frances,96,1910
Irene,94,1910
Lillian,84,1910
Mabel,82,1910
Anna,80,1910
Clara,78,1910
Edna,77,1910
Myrtle,77,1910
Lucille,76,1910
Agnes,75,1910
Hazel,74,1910
Bernice,72,1910
Rose,69,1910
Elizabeth,68,1910
Grace,66,1910
Gertrude,61,1910
Ethel,59,1910
Eleanor,58,1910
Viola,55,1910
Emma,53,1910
Ann,49,1910
Violet,49,1910
Edith,48,1910
Pearl,48,1910
Catherine,46,1910
Marion,46,1910
Martha,46,1910
Doris,41,1910
Elsie,41,1910
Marjorie,41,1910
Ruby,41,1910
Josephine,40,1910
Louise,39,1910
Bertha,38,1910
Verna,38,1910
Alma,35,1910
Ella,35,1910
Hilda,34,1910
Leona,34,1910
Genevieve,31,1910
Katherine,31,1910
Ellen,30,1910
Laura,30,1910
Marian,30,1910
Beatrice,28,1910
Sylvia,28,1910
Ida,27,1910
Minnie,27,1910
Anne,26,1910
Julia,26,1910
Stella,26,1910
Thelma,26,1910
Vera,26,1910
Blanche,24,1910
Charlotte,24,1910
Mae,24,1910
Vivian,24,1910
Eva,23,1910
Loretta,23,1910
Luella,23,1910
Olga,22,1910
Virginia,22,1910
Marguerite,20,1910
Cecelia,19,1910
Harriet,19,1910
Inez,19,1910
Jean,19,1910
Jennie,19,1910
Olive,19,1910
Kathryn,18,1910
Eunice,17,1910
Lydia,17,1910
Nora,17,1910
Betty,16,1910
Beulah,16,1910
Caroline,16,1910
Muriel,15,1910
Pauline,15,1910
Adeline,14,1910
Audrey,14,1910
Emily,14,1910
Fern,14,1910
Inga,14,1910
Lois,14,1910
Marcella,14,1910
Sally,14,1910
Selma,14,1910
Christine,13,1910
Ina,13,1910
Lila,13,1910
Nellie,13,1910
Phyllis,13,1910
Sarah,13,1910
Theresa,13,1910
Bessie,12,1910
Freda,12,1910
Jeanette,12,1910
Lorraine,12,1910
Lucile,12,1910
Clarice,11,1910
Cora,11,1910
Ada,10,1910
Cecilia,10,1910
Dolores,10,1910
Dorothea,10,1910
Eileen,10,1910
Elaine,10,1910
Erma,10,1910
Hulda,10,1910
Johanna,10,1910
Kathleen,10,1910
Maxine,10,1910
Regina,10,1910
Shirley,10,1910
Annie,9,1910
Barbara,9,1910
Effie,9,1910
Erna,9,1910
Hattie,9,1910
Jessie,9,1910
Lillie,9,1910
Lucy,9,1910
Nina,9,1910
Norma,9,1910
Signe,9,1910
Winifred,9,1910
Adelaide,8,1910
Alvina,8,1910
Amanda,8,1910
Amy,8,1910
Angeline,8,1910
Elvira,8,1910
Frieda,8,1910
Isabel,8,1910
Jane,8,1910
Jeanne,8,1910
Lena,8,1910
Madeline,8,1910
Sadie,8,1910
Susan,8,1910
Veronica,8,1910
Wilma,8,1910
Carol,7,1910
Geraldine,7,1910
Irma,7,1910
June,7,1910
Lily,7,1910
Melba,7,1910
Sophie,7,1910
Tillie,7,1910
Victoria,7,1910
Wanda,7,1910
Amelia,6,1910
Angela,6,1910
Bernadette,6,1910
Carmen,6,1910
Claire,6,1910
Constance,6,1910
Dora,6,1910
Eleanore,6,1910
Elvera,6,1910
Gladyce,6,1910
Helene,6,1910
Hildegarde,6,1910
Hilma,6,1910
Isabelle,6,1910
Iva,6,1910
Jeannette,6,1910
Josie,6,1910
Joyce,6,1910
Leone,6,1910
Linda,6,1910
Lorna,6,1910
Mable,6,1910
Marvel,6,1910
Rita,6,1910
Rosalie,6,1910
Aili,5,1910
Annette,5,1910
Celia,5,1910
Delia,5,1910
Elinor,5,1910
Elva,5,1910
Goldie,5,1910
Hazelle,5,1910
Hedwig,5,1910
Hildur,5,1910
Janet,5,1910
Lauretta,5,1910
Lenore,5,1910
Madelyn,5,1910
Marianne,5,1910
Maude,5,1910
Meta,5,1910
Myra,5,1910
Nancy,5,1910
Opal,5,1910
Patricia,5,1910
Priscilla,5,1910
Teresa,5,1910
Mary,267,1911
Helen,246,1911
Dorothy,203,1911
Margaret,167,1911
Ruth,161,1911
Evelyn,143,1911
Florence,133,1911
Mildred,125,1911
Gladys,120,1911
Alice,117,1911
Irene,116,1911
Frances,102,1911
Esther,99,1911
Lillian,98,1911
Marie,97,1911
Agnes,96,1911
Bernice,83,1911
Clara,83,1911
Anna,75,1911
Elizabeth,72,1911
Rose,69,1911
Ethel,68,1911
Mabel,68,1911
Hazel,67,1911
Myrtle,65,1911
Martha,64,1911
Gertrude,61,1911
Violet,60,1911
Lucille,59,1911
Eleanor,58,1911
Edna,57,1911
Grace,56,1911
Edith,52,1911
Leona,52,1911
Pearl,52,1911
Elsie,51,1911
Catherine,49,1911
Doris,47,1911
Louise,47,1911
Ann,46,1911
Josephine,46,1911
Emma,43,1911
Ida,43,1911
Marjorie,43,1911
Harriet,41,1911
Ruby,40,1911
Katherine,39,1911
Sylvia,39,1911
Ellen,38,1911
Marion,37,1911
Viola,37,1911
Vivian,36,1911
Alma,35,1911
Beatrice,35,1911
Anne,34,1911
Bertha,34,1911
Virginia,34,1911
Genevieve,33,1911
Laura,33,1911
Blanche,31,1911
Eva,31,1911
Marian,30,1911
Kathryn,29,1911
Julia,28,1911
Vera,28,1911
Ella,27,1911
Jean,26,1911
Jennie,26,1911
Olga,26,1911
Stella,26,1911
Luella,25,1911
Loretta,24,1911
Lois,23,1911
Minnie,23,1911
Betty,22,1911
Caroline,22,1911
Selma,22,1911
Adeline,21,1911
Cora,21,1911
Dora,21,1911
Inez,21,1911
Mae,21,1911
Thelma,21,1911
Jane,20,1911
Marcella,20,1911
Alvina,19,1911
Lydia,19,1911
Amy,18,1911
Barbara,18,1911
Angeline,17,1911
Charlotte,17,1911
Irma,17,1911
Olive,17,1911
Veronica,17,1911
Cecilia,16,1911
Hilda,16,1911
Mathilda,16,1911
Fern,15,1911
Frieda,15,1911
Lorraine,15,1911
Mamie,15,1911
Marguerite,15,1911
Pauline,15,1911
Sadie,15,1911
Eunice,14,1911
Isabelle,14,1911
Verna,14,1911
Beulah,13,1911
Erma,13,1911
Henrietta,13,1911
Maxine,13,1911
Norma,13,1911
Sarah,13,1911
Theresa,13,1911
Wilma,13,1911
Christine,12,1911
Eileen,12,1911
Emily,12,1911
June,12,1911
Leone,12,1911
Mable,12,1911
Nellie,12,1911
Phyllis,12,1911
Audrey,11,1911
Della,11,1911
Dolores,11,1911
Dorothea,11,1911
Freda,11,1911
Ione,11,1911
Isabel,11,1911
Lila,11,1911
Monica,11,1911
Alta,10,1911
Cecelia,10,1911
Eleanore,10,1911
Flora,10,1911
Geneva,10,1911
Geraldine,10,1911
Jeanette,10,1911
Lucile,10,1911
Regina,10,1911
Shirley,10,1911
Susan,10,1911
Ada,9,1911
Amanda,9,1911
Amelia,9,1911
Clarice,9,1911
Erna,9,1911
Goldie,9,1911
Janet,9,1911
Linda,9,1911
Marvel,9,1911
Muriel,9,1911
Nora,9,1911
Opal,9,1911
Patricia,9,1911
Rosella,9,1911
Sophie,9,1911
Tillie,9,1911
Carolyn,8,1911
Elaine,8,1911
Elva,8,1911
Gretchen,8,1911
Harriett,8,1911
Hulda,8,1911
Judith,8,1911
Lena,8,1911
Nina,8,1911
Sally,8,1911
Signe,8,1911
Sophia,8,1911
Victoria,8,1911
Bessie,7,1911
Carol,7,1911
