Name,Frequency,YOB
Mary,611,1910
Helen,313,1910
Dorothy,270,1910
Mildred,267,1910
Ruth,237,1910
Marie,218,1910
Margaret,207,1910
Gladys,167,1910
Edna,165,1910
Anna,162,1910
Hazel,143,1910
Frances,133,1910
Grace,132,1910
Lucille,129,1910
Thelma,129,1910
Virginia,128,1910
Alice,126,1910
Ruby,119,1910
Opal,118,1910
Ethel,116,1910
Irene,104,1910
Lillian,104,1910
Mabel,103,1910
Florence,100,1910
Louise,99,1910
Clara,98,1910
Elsie,94,1910
Elizabeth,93,1910
Martha,93,1910
Evelyn,90,1910
Bernice,87,1910
Edith,87,1910
Catherine,85,1910
Pauline,85,1910
Bessie,84,1910
Bertha,83,1910
Rose,81,1910
Gertrude,77,1910
Myrtle,77,1910
Nellie,77,1910
Eva,75,1910
Pearl,75,1910
Beulah,69,1910
Lena,68,1910
Esther,67,1910
Josephine,66,1910
Ida,64,1910
Alma,62,1910
Velma,58,1910
Emma,57,1910
Georgia,56,1910
Viola,55,1910
Laura,53,1910
Marguerite,53,1910
Minnie,53,1910
Agnes,51,1910
Leona,51,1910
Blanche,50,1910
Ella,50,1910
Juanita,49,1910
Katherine,48,1910
Vera,48,1910
Wilma,48,1910
Goldie,47,1910
Jessie,46,1910
Violet,46,1910
Marjorie,45,1910
Betty,43,1910
Eleanor,40,1910
Stella,40,1910
Alberta,39,1910
Fern,39,1910
Julia,39,1910
Sarah,39,1910
Ada,38,1910
Beatrice,38,1910
Lois,37,1910
Ann,36,1910
Lillie,36,1910
Mae,36,1910
Sylvia,36,1910
Lela,35,1910
Vivian,35,1910
Loretta,34,1910
Mable,34,1910
Alta,32,1910
Dora,32,1910
Doris,32,1910
Geneva,32,1910
Lola,32,1910
Jewell,31,1910
Lorene,31,1910
Ellen,30,1910
Erma,30,1910
Genevieve,30,1910
Kathryn,30,1910
Eunice,29,1910
Nora,29,1910
Cora,28,1910
Flora,28,1910
Lula,27,1910
Verna,27,1910
Annie,26,1910
Hilda,26,1910
Inez,26,1910
Freda,25,1910
Daisy,24,1910
Iva,24,1910
Naomi,24,1910
Carrie,23,1910
Eula,23,1910
Norma,23,1910
Adele,22,1910
Charlotte,22,1910
Geraldine,22,1910
Mattie,22,1910
Nancy,22,1910
Sadie,22,1910
Christine,21,1910
Della,21,1910
Estelle,21,1910
Jane,21,1910
Jean,21,1910
Maxine,21,1910
Nina,21,1910
Emily,20,1910
Flossie,20,1910
Lucile,20,1910
Lucy,20,1910
Madge,20,1910
