Name,Frequency,YOB
Mary,762,1910
Annie,354,1910
Willie,208,1910
Mattie,178,1910
Lillie,158,1910
Rosie,158,1910
Ruby,152,1910
Ethel,127,1910
Emma,124,1910
Minnie,121,1910
Bessie,116,1910
Lucille,112,1910
Carrie,111,1910
Elizabeth,109,1910
Hattie,109,1910
Alice,105,1910
Clara,103,1910
Sarah,101,1910
Beatrice,99,1910
Lillian,99,1910
Louise,99,1910
Gladys,94,1910
Ruth,93,1910
Maggie,92,1910
Ida,90,1910
Jessie,86,1910
Edna,85,1910
Susie,84,1910
Fannie,82,1910
Laura,81,1910
Bertha,77,1910
Lula,76,1910
Marie,75,1910
Martha,75,1910
Mildred,74,1910
Ella,72,1910
Frances,70,1910
Viola,69,1910
Irene,68,1910
Katie,67,1910
Thelma,67,1910
Mamie,66,1910
Myrtle,64,1910
Anna,62,1910
Virginia,62,1910
Josephine,61,1910
Alberta,60,1910
Eva,59,1910
Gertrude,59,1910
Helen,57,1910
Margaret,56,1910
Daisy,55,1910
Pearl,55,1910
Sallie,55,1910
Velma,55,1910
Georgia,54,1910
Cora,53,1910
Lena,53,1910
Julia,51,1910
Nellie,51,1910
Evelyn,49,1910
Flora,48,1910
Lucy,48,1910
Alma,47,1910
Dorothy,47,1910
Essie,44,1910
Pauline,44,1910
Inez,43,1910
Eula,42,1910
Geneva,42,1910
Sadie,42,1910
Grace,40,1910
Ora,40,1910
Christine,39,1910
Ollie,39,1910
Florence,38,1910
Hazel,38,1910
Lizzie,38,1910
Nancy,38,1910
Effie,37,1910
Ada,36,1910
Addie,36,1910
Mae,36,1910
Rosa,36,1910
Callie,35,1910
Edith,34,1910
Eunice,34,1910
Lela,34,1910
Mable,34,1910
Leola,33,1910
Catherine,32,1910
Estelle,32,1910
Vera,32,1910
Virgie,32,1910
Dora,31,1910
Lois,31,1910
Mabel,31,1910
Johnnie,30,1910
Lucile,30,1910
Elnora,29,1910
Lola,29,1910
Rose,29,1910
Agnes,27,1910
Estella,27,1910
Nettie,27,1910
Beulah,26,1910
Ellen,26,1910
Juanita,26,1910
Doris,25,1910
Leona,25,1910
Roberta,25,1910
Winnie,25,1910
Lee,24,1910
Nora,24,1910
Rebecca,24,1910
Allie,23,1910
Bernice,23,1910
Betty,23,1910
Jewel,23,1910
Ola,23,1910
Pearlie,23,1910
Etta,22,1910
Janie,22,1910
Josie,22,1910
Lottie,22,1910
Stella,22,1910
Vivian,22,1910
Bettie,21,1910
Eddie,21,1910
Jennie,21,1910
Mollie,21,1910
Elsie,20,1910
Esther,20,1910
Irma,20,1910
Katherine,20,1910
Olivia,20,1910
Sara,20,1910
Anne,19,1910
Birdie,19,1910
Eliza,19,1910
Gussie,19,1910
Rachel,19,1910
Wilma,19,1910
Amanda,18,1910
Corine,18,1910
Jimmie,18,1910
Myrtis,18,1910
Ophelia,18,1910
Gracie,17,1910
Lydia,17,1910
Marguerite,17,1910
Blanche,16,1910
Earline,16,1910
Flossie,16,1910
Frankie,16,1910
Jannie,16,1910
Johnie,16,1910
Lovie,16,1910
Magnolia,16,1910
Nannie,16,1910
Pinkie,16,1910
Sally,16,1910
Della,15,1910
Francis,15,1910
Hilda,15,1910
Lou,15,1910
Lue,15,1910
Luella,15,1910
Mandy,15,1910
Maude,15,1910
Millie,15,1910
Mittie,15,1910
Caroline,14,1910
Eloise,14,1910
Erma,14,1910
Jean,14,1910
Kathryn,14,1910
Kattie,14,1910
Lessie,14,1910
Naomi,14,1910
Nina,14,1910
Augusta,13,1910
Charlotte,13,1910
Dollie,13,1910
Eleanor,13,1910
Ernestine,13,1910
Jane,13,1910
Marion,13,1910
Odessa,13,1910
Victoria,13,1910
Ann,12,1910
Bonnie,12,1910
Estell,12,1910
Evie,12,1910
Kate,12,1910
Lenora,12,1910
Maudie,12,1910
Opal,12,1910
Rena,12,1910
Corrine,11,1910
Idell,11,1910
Idella,11,1910
Ina,11,1910
Jewell,11,1910
Kathleen,11,1910
Lora,11,1910
May,11,1910
Nell,11,1910
Queen,11,1910
Rosetta,11,1910
Celia,10,1910
Cleo,10,1910
Dessie,10,1910
Era,10,1910
Floy,10,1910
Hannah,10,1910
Henrietta,10,1910
Lorene,10,1910
Louella,10,1910
Margie,10,1910
Matilda,10,1910
Rosalie,10,1910
Rubye,10,1910
Ruthie,10,1910
Zula,10,1910
Audrey,9,1910
Bertie,9,1910
Cornelia,9,1910
Elma,9,1910
Emily,9,1910
Goldie,9,1910
Iris,9,1910
Jeanette,9,1910
Lucinda,9,1910
Maxine,9,1910
Oma,9,1910
Roxie,9,1910
Selma,9,1910
Sylvia,9,1910
Verna,9,1910
Abbie,8,1910
Ava,8,1910
Birtha,8,1910
Claudie,8,1910
Dovie,8,1910
Hettie,8,1910
Iva,8,1910
Lelia,8,1910
Leora,8,1910
Letha,8,1910
Lura,8,1910
Mavis,8,1910
Reba,8,1910
Amy,7,1910
Bennie,7,1910
Billie,7,1910
Carolyn,7,1910
Cassie,7,1910
Charlie,7,1910
Claudia,7,1910
Clyde,7,1910
Corinne,7,1910
Easter,7,1910
Ellie,7,1910
Freddie,7,1910
Ila,7,1910
Lettie,7,1910
Luvenia,7,1910
Margret,7,1910
Mariah,7,1910
Maud,7,1910
Polly,7,1910
Rosia,7,1910
Sudie,7,1910
