Name,Frequency,YOB
Mary,81,1910
Helen,58,1910
Margaret,51,1910
Dorothy,41,1910
Elizabeth,22,1910
Frances,22,1910
Gladys,22,1910
Alice,21,1910
Ruth,21,1910
Agnes,20,1910
Mildred,20,1910
Anna,17,1910
Edith,17,1910
Ethel,16,1910
Evelyn,16,1910
Marie,15,1910
Catherine,14,1910
Doris,14,1910
Esther,14,1910
Eva,14,1910
Thelma,14,1910
Elsie,13,1910
Florence,13,1910
Lillian,13,1910
Rose,13,1910
Clara,12,1910
Edna,12,1910
Nellie,11,1910
Ruby,11,1910
Ann,10,1910
Gertrude,10,1910
Katherine,10,1910
Bertha,9,1910
Jennie,9,1910
Josephine,9,1910
Mabel,9,1910
Viola,9,1910
Alma,8,1910
Grace,8,1910
Hazel,8,1910
Irene,8,1910
Kathryn,8,1910
Marjorie,8,1910
Bernice,7,1910
Eleanor,7,1910
Genevieve,7,1910
Jessie,7,1910
Julia,7,1910
Laura,7,1910
Lois,7,1910
Emma,6,1910
Ida,6,1910
Jane,6,1910
Louise,6,1910
Lucille,6,1910
Marion,6,1910
Martha,6,1910
Patricia,6,1910
Phyllis,6,1910
Virginia,6,1910
Adeline,5,1910
Anne,5,1910
Annie,5,1910
Beatrice,5,1910
Blanche,5,1910
Cora,5,1910
Iola,5,1910
Kathleen,5,1910
Lucile,5,1910
Mae,5,1910
Myrtle,5,1910
Theresa,5,1910
Mary,72,1911
Margaret,59,1911
Dorothy,51,1911
Helen,33,1911
Alice,29,1911
Ruth,29,1911
Frances,26,1911
Elizabeth,25,1911
Gladys,23,1911
Florence,22,1911
Anna,21,1911
Edna,21,1911
Hazel,20,1911
Agnes,19,1911
Marie,19,1911
Violet,19,1911
Evelyn,18,1911
Mildred,18,1911
Ethel,17,1911
Lillian,17,1911
Irene,16,1911
Clara,15,1911
Edith,15,1911
Katherine,15,1911
Pearl,15,1911
Ann,14,1911
Esther,14,1911
Jean,14,1911
Josephine,14,1911
Martha,14,1911
Catherine,13,1911
Rose,13,1911
Myrtle,12,1911
Grace,11,1911
Lucille,11,1911
Virginia,11,1911
Vivian,11,1911
Doris,10,1911
Elsie,10,1911
Jennie,10,1911
Laura,10,1911
Mabel,10,1911
Bertha,9,1911
Eva,9,1911
Louise,9,1911
Pauline,9,1911
Anne,8,1911
Beulah,8,1911
Gertrude,8,1911
Kathryn,8,1911
Leona,8,1911
Mae,8,1911
Marguerite,8,1911
Marjorie,8,1911
Beatrice,7,1911
Bernice,7,1911
Bessie,7,1911
Blanche,7,1911
Ellen,7,1911
Emma,7,1911
Georgia,7,1911
Harriet,7,1911
Marion,7,1911
Minnie,7,1911
Vera,7,1911
Eleanor,6,1911
Genevieve,6,1911
Geraldine,6,1911
Lois,6,1911
Ruby,6,1911
Viola,6,1911
Wilma,6,1911
Winifred,6,1911
Cora,5,1911
Erma,5,1911
Julia,5,1911
Kathleen,5,1911
Naomi,5,1911
Nellie,5,1911
Sylvia,5,1911
Thelma,5,1911
Mary,108,1912
Margaret,81,1912
Helen,73,1912
Dorothy,65,1912
Ruth,52,1912
Alice,48,1912
Elizabeth,39,1912
Evelyn,37,1912
Frances,37,1912
Mildred,34,1912
Anna,30,1912
Grace,29,1912
Lillian,28,1912
Florence,27,1912
Ann,26,1912
Edna,25,1912
Edith,24,1912
Marie,24,1912
Gladys,22,1912
Lucille,21,1912
Catherine,20,1912
Ethel,20,1912
Doris,19,1912
Esther,19,1912
Irene,19,1912
Virginia,19,1912
Rose,18,1912
Jean,17,1912
Myrtle,17,1912
Ruby,17,1912
Hazel,16,1912
Louise,16,1912
Mabel,16,1912
Thelma,16,1912
Katherine,15,1912
Agnes,14,1912
Elsie,14,1912
Gertrude,14,1912
Marjorie,14,1912
Bernice,13,1912
Josephine,13,1912
Anne,12,1912
Clara,12,1912
Emma,12,1912
Ida,12,1912
Kathryn,12,1912
Marion,12,1912
Eva,11,1912
Genevieve,11,1912
Martha,11,1912
Pearl,11,1912
Bertha,10,1912
Eleanor,10,1912
Audrey,9,1912
Betty,9,1912
Ellen,9,1912
Julia,9,1912
Laura,9,1912
Leona,9,1912
Lois,9,1912
Lydia,9,1912
Viola,9,1912
Beatrice,8,1912
Caroline,8,1912
Ella,8,1912
Nellie,8,1912
Beulah,7,1912
Jessie,7,1912
