Name,Frequency,YOB
Mary,837,1910
Annie,401,1910
Ruth,235,1910
Ethel,199,1910
Elizabeth,191,1910
Margaret,171,1910
Lillie,167,1910
Bessie,163,1910
Ruby,139,1910
Sarah,139,1910
Louise,137,1910
Minnie,131,1910
Helen,129,1910
Mattie,128,1910
Eva,126,1910
Martha,126,1910
Lillian,125,1910
Bertha,124,1910
Carrie,123,1910
Edna,123,1910
Myrtle,123,1910
Alice,118,1910
Gladys,116,1910
Mildred,116,1910
Thelma,116,1910
Pearl,114,1910
Virginia,113,1910
Hattie,107,1910
Maggie,106,1910
Emma,104,1910
Lucy,102,1910
Nellie,98,1910
Clara,95,1910
Hazel,95,1910
Mamie,95,1910
Dorothy,94,1910
Frances,94,1910
Rosa,94,1910
Grace,93,1910
Marie,92,1910
Lucille,90,1910
Ida,89,1910
Lula,88,1910
Irene,87,1910
Willie,87,1910
Beatrice,85,1910
Jessie,85,1910
Pauline,84,1910
Beulah,83,1910
Cora,83,1910
Ella,79,1910
Josephine,78,1910
Mae,76,1910
Viola,76,1910
Fannie,75,1910
Evelyn,74,1910
Sallie,73,1910
Laura,71,1910
Julia,70,1910
Gertrude,69,1910
Katie,69,1910
Lena,68,1910
Sadie,68,1910
Edith,65,1910
Esther,64,1910
Ada,63,1910
Mabel,62,1910
Anna,61,1910
Catherine,60,1910
Daisy,59,1910
Alma,58,1910
Eula,58,1910
Blanche,57,1910
Elsie,57,1910
Essie,57,1910
Maude,57,1910
Lizzie,56,1910
Addie,55,1910
Florence,53,1910
Geneva,53,1910
Estelle,51,1910
Georgia,51,1910
Inez,50,1910
Nancy,50,1910
Flossie,49,1910
Flora,48,1910
Susie,47,1910
Janie,43,1910
Betty,42,1910
Effie,42,1910
Mable,42,1910
Dora,41,1910
Nannie,41,1910
Ollie,41,1910
Lottie,40,1910
Lessie,39,1910
Lois,39,1910
Agnes,38,1910
Nora,37,1910
Lola,35,1910
Nettie,35,1910
Eunice,34,1910
Etta,33,1910
Katherine,33,1910
Vera,33,1910
Rose,32,1910
Della,31,1910
Nina,31,1910
Bernice,30,1910
Lela,29,1910
Leona,29,1910
Doris,28,1910
Marjorie,28,1910
Ola,27,1910
Rachel,27,1910
Anne,26,1910
Ellen,26,1910
Rebecca,26,1910
Stella,26,1910
Ann,25,1910
Bettie,25,1910
Bonnie,25,1910
Christine,25,1910
Jennie,25,1910
Margie,25,1910
Callie,24,1910
Kate,24,1910
Ora,24,1910
Alberta,22,1910
Nell,22,1910
Sally,22,1910
Mollie,21,1910
Rena,21,1910
Eliza,20,1910
Emily,20,1910
Estella,20,1910
Kathleen,20,1910
Lucile,20,1910
May,20,1910
Roberta,19,1910
Selma,19,1910
Vivian,19,1910
Allie,18,1910
Dollie,18,1910
Gracie,18,1910
Hallie,18,1910
Rosie,18,1910
Susan,18,1910
Wilma,18,1910
Juanita,17,1910
Marion,17,1910
Pattie,17,1910
Pearlie,17,1910
Rosetta,17,1910
Sudie,17,1910
Violet,17,1910
Charlotte,16,1910
Lila,16,1910
Odessa,16,1910
Bertie,15,1910
Lenora,15,1910
Lettie,15,1910
Polly,15,1910
Roxie,15,1910
Victoria,15,1910
Virgie,15,1910
Cornelia,14,1910
Hannah,14,1910
Henrietta,14,1910
Hilda,14,1910
Leola,14,1910
Lydia,14,1910
Millie,14,1910
Mozelle,14,1910
Naomi,14,1910
Pansy,14,1910
Cassie,13,1910
Connie,13,1910
Elma,13,1910
Elnora,13,1910
Elva,13,1910
Ina,13,1910
Jane,13,1910
Macie,13,1910
Sara,13,1910
Velma,13,1910
Verna,13,1910
Cleo,12,1910
Hester,12,1910
Hettie,12,1910
Ila,12,1910
Iva,12,1910
Josie,12,1910
Letha,12,1910
Lossie,12,1910
Amanda,11,1910
Billie,11,1910
Celia,11,1910
Eloise,11,1910
Gertie,11,1910
Isabell,11,1910
Lelia,11,1910
Lonnie,11,1910
Lorena,11,1910
Marguerite,11,1910
Sylvia,11,1910
Winnie,11,1910
Adell,10,1910
Amy,10,1910
Barbara,10,1910
Blanch,10,1910
Eleanor,10,1910
Erma,10,1910
Eugenia,10,1910
Irma,10,1910
Isabelle,10,1910
Jeanette,10,1910
Luella,10,1910
Madeline,10,1910
Nola,10,1910
Novella,10,1910
Olivia,10,1910
Queen,10,1910
Tessie,10,1910
Augusta,9,1910
Claudia,9,1910
Goldie,9,1910
Harriet,9,1910
Jewel,9,1910
Leatha,9,1910
Lee,9,1910
Lilly,9,1910
Lina,9,1910
Lucinda,9,1910
Mallie,9,1910
Mittie,9,1910
Sue,9,1910
Verlie,9,1910
Zelma,9,1910
Zula,9,1910
Adelaide,8,1910
Alta,8,1910
Belle,8,1910
Dessie,8,1910
Francis,8,1910
Frankie,8,1910
Iris,8,1910
Johnsie,8,1910
Kathryn,8,1910
Kattie,8,1910
Linda,8,1910
Lona,8,1910
Lora,8,1910
Norma,8,1910
Odell,8,1910
Olive,8,1910
Ophelia,8,1910
Peggy,8,1910
Pennie,8,1910
Reba,8,1910
Delphia,7,1910
Dolly,7,1910
Faye,7,1910
Flonnie,7,1910
Iola,7,1910
Jannie,7,1910
Lily,7,1910
Madge,7,1910
Maybelle,7,1910
Rhoda,7,1910
Sophia,7,1910
Sophie,7,1910
Texie,7,1910
Theresa,7,1910
Vergie,7,1910
Vonnie,7,1910
Adele,6,1910
Bell,6,1910
Betsy,6,1910
Bulah,6,1910
Caroline,6,1910
Carolyn,6,1910
Charlie,6,1910
Creola,6,1910
Ernestine,6,1910
Estell,6,1910
Ester,6,1910
Hessie,6,1910
Jewell,6,1910
Johnnie,6,1910
Lou,6,1910
Luetta,6,1910
Luvenia,6,1910
Macy,6,1910
Madie,6,1910
Magnolia,6,1910
Margret,6,1910
Miriam,6,1910
Myra,6,1910
Myrtie,6,1910
Priscilla,6,1910
Queenie,6,1910
Savannah,6,1910
Sybil,6,1910
Aggie,5,1910
Allene,5,1910
Audrey,5,1910
Birdie,5,1910
Clyde,5,1910
Cordie,5,1910
Delia,5,1910
Delilah,5,1910
Earlie,5,1910
Evie,5,1910
Fay,5,1910
Genevieve,5,1910
George,5,1910
Glennie,5,1910
