Name,Frequency,YOB
Mary,85,1910
Alice,61,1910
Margaret,61,1910
Helen,59,1910
Anna,58,1910
Florence,58,1910
Gladys,50,1910
Mildred,50,1910
Myrtle,48,1910
Ruth,47,1910
Ethel,41,1910
Agnes,39,1910
Dorothy,39,1910
Evelyn,39,1910
Elizabeth,37,1910
Clara,36,1910
Emma,36,1910
Esther,35,1910
Frances,35,1910
Lillian,35,1910
Ella,31,1910
Irene,31,1910
Ida,30,1910
Edna,28,1910
Hazel,28,1910
Marie,28,1910
Elsie,27,1910
Martha,27,1910
Rose,27,1910
Louise,26,1910
Mabel,26,1910
Alma,25,1910
Grace,23,1910
Lucille,23,1910
Thelma,23,1910
Catherine,21,1910
Kathryn,20,1910
Bertha,19,1910
Laura,19,1910
Lena,19,1910
Pearl,19,1910
Beatrice,18,1910
Pauline,18,1910
Ruby,18,1910
Lydia,17,1910
Olga,17,1910
Hilda,16,1910
Viola,16,1910
Ann,15,1910
Blanche,15,1910
Minnie,15,1910
Selma,15,1910
Bernice,14,1910
Doris,14,1910
Eleanor,14,1910
Katherine,14,1910
Violet,13,1910
Anne,12,1910
Edith,12,1910
Gertrude,12,1910
Marian,12,1910
Barbara,11,1910
Eva,11,1910
Lois,11,1910
Luella,11,1910
Mae,11,1910
Marjorie,11,1910
Vivian,11,1910
Jean,10,1910
Marion,10,1910
Stella,10,1910
Vera,10,1910
Amy,9,1910
Nellie,9,1910
Caroline,8,1910
Hulda,8,1910
Leona,8,1910
Sylvia,8,1910
Tillie,8,1910
Betty,7,1910
Beulah,7,1910
Cora,7,1910
Erna,7,1910
Frieda,7,1910
Genevieve,7,1910
Inez,7,1910
Jennie,7,1910
Josephine,7,1910
Julia,7,1910
Katie,7,1910
Lillie,7,1910
Borghild,6,1910
Carrie,6,1910
Dora,6,1910
Effie,6,1910
Lenore,6,1910
Lorraine,6,1910
Mathilda,6,1910
Nora,6,1910
Olive,6,1910
Sally,6,1910
Virginia,6,1910
Alvina,5,1910
Alyce,5,1910
Carol,5,1910
Cecelia,5,1910
Edythe,5,1910
Ellen,5,1910
Eunice,5,1910
Fern,5,1910
Hattie,5,1910
Johanna,5,1910
Lila,5,1910
Norma,5,1910
Mary,96,1911
Margaret,72,1911
Helen,71,1911
Ruth,61,1911
Alice,58,1911
Anna,48,1911
Esther,44,1911
Gladys,43,1911
Irene,42,1911
Elizabeth,40,1911
Dorothy,39,1911
Edna,39,1911
Emma,39,1911
Agnes,38,1911
Myrtle,38,1911
Evelyn,37,1911
Bertha,36,1911
Mildred,36,1911
Lillian,34,1911
Frances,33,1911
Hazel,33,1911
Martha,33,1911
Clara,31,1911
Mabel,31,1911
Florence,30,1911
Alma,28,1911
Ida,28,1911
Elsie,27,1911
Ella,25,1911
Grace,25,1911
Rose,25,1911
Bernice,24,1911
Edith,24,1911
Ethel,24,1911
Pauline,23,1911
Katherine,22,1911
Louise,22,1911
Marie,21,1911
Thelma,20,1911
Doris,19,1911
Lydia,19,1911
Olga,19,1911
Eva,18,1911
Lena,18,1911
Lucille,18,1911
Pearl,18,1911
Gertrude,17,1911
Violet,17,1911
Ann,16,1911
Ruby,16,1911
Viola,16,1911
Adeline,15,1911
Hilda,15,1911
Lois,15,1911
Minnie,15,1911
Catherine,14,1911
Eleanor,14,1911
Vivian,13,1911
Anne,12,1911
Barbara,12,1911
Inez,12,1911
Josephine,12,1911
Leona,12,1911
Sylvia,12,1911
Blanche,11,1911
Christine,11,1911
Ellen,11,1911
Jean,11,1911
Laura,11,1911
Marion,11,1911
Verna,11,1911
Virginia,11,1911
Marguerite,10,1911
Marian,10,1911
Mathilda,10,1911
Olive,10,1911
Amanda,9,1911
Cora,9,1911
Julia,9,1911
Beatrice,8,1911
Betty,8,1911
Erma,8,1911
Erna,8,1911
Kathryn,8,1911
Marjorie,8,1911
Nellie,8,1911
Nora,8,1911
Sadie,8,1911
Stella,8,1911
Alvina,7,1911
Charlotte,7,1911
Eunice,7,1911
Goldie,7,1911
Harriet,7,1911
Mae,7,1911
Tillie,7,1911
Vera,7,1911
Beulah,6,1911
Caroline,6,1911
Jane,6,1911
Jennie,6,1911
Jessie,6,1911
June,6,1911
Lillie,6,1911
Selma,6,1911
Wilma,6,1911
Ada,5,1911
Annie,5,1911
Bessie,5,1911
Christina,5,1911
Fern,5,1911
Geneva,5,1911
Helene,5,1911
Hulda,5,1911
Isabelle,5,1911
Janet,5,1911
Kathleen,5,1911
Lenora,5,1911
Luella,5,1911
Marcella,5,1911
Maude,5,1911
Regina,5,1911
Sarah,5,1911
Mary,100,1912
Helen,95,1912
Margaret,91,1912
Ruth,85,1912
Dorothy,73,1912
Alice,72,1912
Esther,67,1912
Rose,62,1912
Irene,58,1912
Mildred,57,1912
Gladys,56,1912
Elizabeth,53,1912
Anna,51,1912
Agnes,48,1912
Evelyn,47,1912
Martha,47,1912
Myrtle,46,1912
Florence,44,1912
Ethel,43,1912
Hazel,43,1912
Lillian,43,1912
Marie,43,1912
Clara,42,1912
Emma,41,1912
