Name,Frequency,YOB
Mary,161,1910
Helen,134,1910
Ruth,114,1910
Dorothy,99,1910
Margaret,96,1910
Mildred,91,1910
Marie,80,1910
Evelyn,71,1910
Esther,67,1910
Frances,54,1910
Alice,52,1910
Irene,52,1910
Edna,51,1910
Elizabeth,50,1910
Lucille,50,1910
Gladys,49,1910
Florence,47,1910
Mabel,46,1910
Anna,45,1910
Agnes,44,1910
Elsie,43,1910
Thelma,42,1910
Bernice,41,1910
Hazel,41,1910
Clara,40,1910
Gertrude,39,1910
Lillian,39,1910
Edith,36,1910
Ethel,36,1910
Grace,34,1910
Rose,33,1910
Vera,33,1910
Doris,32,1910
Alma,30,1910
Leona,30,1910
Ruby,30,1910
Louise,28,1910
Martha,28,1910
Opal,27,1910
Viola,27,1910
Pearl,26,1910
Bertha,25,1910
Emma,25,1910
Eva,25,1910
Virginia,25,1910
Blanche,24,1910
Laura,24,1910
Marjorie,24,1910
Myrtle,24,1910
Nellie,24,1910
Violet,24,1910
Ida,23,1910
Josephine,23,1910
Fern,20,1910
Bessie,19,1910
Ella,19,1910
Pauline,19,1910
Stella,19,1910
Ellen,18,1910
Velma,18,1910
Catherine,17,1910
Erma,17,1910
Jessie,17,1910
Lois,17,1910
Lucile,17,1910
Hilda,16,1910
Irma,16,1910
Marguerite,16,1910
Minnie,16,1910
Wilma,16,1910
Frieda,15,1910
Inez,15,1910
Eleanor,14,1910
Lila,14,1910
Genevieve,13,1910
Kathryn,13,1910
Sylvia,13,1910
Ann,12,1910
Betty,12,1910
Jean,12,1910
Julia,12,1910
Katherine,12,1910
Marian,12,1910
Norma,12,1910
Alta,11,1910
Beulah,11,1910
Verna,11,1910
Ada,10,1910
Charlotte,10,1910
Lela,10,1910
Lena,10,1910
Luella,10,1910
Marion,10,1910
Anne,9,1910
Della,9,1910
Eunice,9,1910
Faye,9,1910
Geraldine,9,1910
Goldie,9,1910
Iva,9,1910
Leone,9,1910
Loretta,9,1910
Lucy,9,1910
Mae,9,1910
Olga,9,1910
Olive,9,1910
Phyllis,9,1910
Adeline,8,1910
Carolyn,8,1910
Daisy,8,1910
Emily,8,1910
Georgia,8,1910
Lola,8,1910
Maxine,8,1910
Sarah,8,1910
Theresa,8,1910
Vivian,8,1910
Audrey,7,1910
Barbara,7,1910
Beatrice,7,1910
Cecilia,7,1910
Iola,7,1910
Jennie,7,1910
June,7,1910
Lillie,7,1910
Lydia,7,1910
Maude,7,1910
May,7,1910
Naomi,7,1910
Alberta,6,1910
Dollie,6,1910
Flora,6,1910
Imogene,6,1910
Isabelle,6,1910
Leah,6,1910
Leila,6,1910
Lora,6,1910
Nina,6,1910
Nora,6,1910
Roberta,6,1910
Selma,6,1910
Alvina,5,1910
Arlene,5,1910
Berniece,5,1910
Bonnie,5,1910
Claire,5,1910
Cora,5,1910
Dolores,5,1910
Edythe,5,1910
Effie,5,1910
Elaine,5,1910
Elva,5,1910
Hattie,5,1910
Ina,5,1910
Kathleen,5,1910
Laverne,5,1910
Mamie,5,1910
Marcella,5,1910
Muriel,5,1910
Sophia,5,1910
Tillie,5,1910
Winifred,5,1910
Helen,185,1911
Mary,142,1911
Dorothy,136,1911
Ruth,108,1911
Mildred,104,1911
Margaret,83,1911
Marie,74,1911
Alice,69,1911
Evelyn,66,1911
Esther,59,1911
Irene,57,1911
Edna,56,1911
Hazel,55,1911
Florence,54,1911
Clara,51,1911
Bernice,50,1911
Rose,49,1911
Gladys,48,1911
Agnes,47,1911
Ethel,46,1911
Frances,46,1911
Grace,42,1911
Anna,40,1911
Lucille,40,1911
Edith,39,1911
Elizabeth,39,1911
Leona,39,1911
Lillian,39,1911
Elsie,37,1911
Mabel,36,1911
Vivian,36,1911
Marjorie,35,1911
Gertrude,34,1911
Vera,33,1911
Velma,32,1911
Viola,32,1911
Martha,31,1911
Ruby,31,1911
Fern,29,1911
Opal,29,1911
Thelma,29,1911
Eva,28,1911
Doris,27,1911
Emma,27,1911
Laura,27,1911
Ann,26,1911
Louise,26,1911
Ella,24,1911
Beulah,23,1911
Eleanor,23,1911
Wilma,23,1911
Pearl,21,1911
Virginia,21,1911
Nellie,20,1911
Goldie,19,1911
Maxine,19,1911
Minnie,19,1911
Alma,18,1911
Blanche,18,1911
Ida,18,1911
Pauline,18,1911
Bessie,17,1911
Ellen,17,1911
Erma,17,1911
Josephine,17,1911
Katherine,17,1911
Charlotte,16,1911
Lois,16,1911
Bertha,15,1911
Irma,15,1911
Julia,15,1911
Loretta,15,1911
Myrtle,15,1911
Faye,14,1911
Kathryn,14,1911
Lydia,14,1911
Mae,14,1911
Marguerite,14,1911
Catherine,13,1911
Eunice,13,1911
Genevieve,13,1911
Audrey,12,1911
Cecelia,12,1911
Georgia,12,1911
Harriet,12,1911
Inez,12,1911
Jennie,12,1911
Olive,12,1911
Betty,11,1911
Dora,11,1911
Henrietta,11,1911
Hilda,11,1911
Lena,11,1911
Norma,11,1911
Stella,11,1911
Sylvia,11,1911
Wanda,11,1911
Ada,10,1911
Anne,10,1911
Frieda,10,1911
Jane,10,1911
Lucile,10,1911
Sarah,10,1911
Verna,10,1911
Adeline,9,1911
Alberta,9,1911
Emily,9,1911
Jean,9,1911
Lucy,9,1911
Marcella,9,1911
Marion,9,1911
Nina,9,1911
Phyllis,9,1911
Lela,8,1911
Leola,8,1911
Luella,8,1911
Marian,8,1911
Naomi,8,1911
Patricia,8,1911
Violet,8,1911
Barbara,7,1911
Clarice,7,1911
Della,7,1911
Eloise,7,1911
Leta,7,1911
Lillie,7,1911
Lola,7,1911
Lorraine,7,1911
Mable,7,1911
Neva,7,1911
Olga,7,1911
Theresa,7,1911
Alta,6,1911
Avis,6,1911
Caroline,6,1911
Cecilia,6,1911
Cleo,6,1911
Dolores,6,1911
Dorothea,6,1911
Eileen,6,1911
Elva,6,1911
Geraldine,6,1911
Ina,6,1911
Ione,6,1911
Lula,6,1911
Maurine,6,1911
Muriel,6,1911
Nora,6,1911
Vesta,6,1911
Amanda,5,1911
Beatrice,5,1911
Carrie,5,1911
Daisy,5,1911
Elma,5,1911
Elsa,5,1911
Etta,5,1911
Ferne,5,1911
Freda,5,1911
Gwendolyn,5,1911
Hannah,5,1911
Letha,5,1911
Libbie,5,1911
Lila,5,1911
Madeline,5,1911
May,5,1911
Orpha,5,1911
Rachel,5,1911
Rosa,5,1911
Rosella,5,1911
Sadie,5,1911
Velda,5,1911
Winifred,5,1911
Zelma,5,1911
Helen,257,1912
Mary,215,1912
Dorothy,209,1912
Ruth,159,1912
Margaret,153,1912
Mildred,138,1912
Marie,104,1912
Alice,101,1912
Frances,96,1912
Evelyn,87,1912
Irene,80,1912
Edna,78,1912
Esther,78,1912
Florence,73,1912
Hazel,65,1912
Bernice,64,1912
Lillian,64,1912
Gladys,63,1912
Lucille,62,1912
Marjorie,60,1912
Doris,59,1912
Elsie,59,1912
Anna,58,1912
Viola,56,1912
Grace,55,1912
Agnes,54,1912
Elizabeth,54,1912
Clara,53,1912
Rose,53,1912
Thelma,52,1912
Mabel,51,1912
Gertrude,48,1912
Ruby,48,1912
Vera,45,1912
Wilma,45,1912
Louise,44,1912
Edith,43,1912
Leona,43,1912
Laura,42,1912
Martha,42,1912
Ethel,39,1912
Violet,38,1912
Lois,37,1912
Virginia,37,1912
Alma,35,1912
Fern,35,1912
Velma,34,1912
Emma,33,1912
Myrtle,33,1912
Ellen,32,1912
Josephine,32,1912
Ann,31,1912
Beulah,31,1912
Eleanor,31,1912
Eva,31,1912
Opal,31,1912
Pauline,31,1912
Vivian,31,1912
Bertha,30,1912
Ella,30,1912
Ida,30,1912
Kathryn,28,1912
Marguerite,28,1912
Pearl,28,1912
Catherine,27,1912
Blanche,26,1912
Jean,26,1912
Nellie,26,1912
Verna,26,1912
Bessie,24,1912
Goldie,23,1912
Erma,22,1912
Katherine,22,1912
Mae,22,1912
Marian,22,1912
Lola,21,1912
Maxine,21,1912
Minnie,21,1912
Genevieve,20,1912
Hilda,20,1912
Anne,19,1912
Georgia,19,1912
Julia,19,1912
Charlotte,18,1912
Sylvia,18,1912
Harriet,17,1912
Norma,17,1912
Audrey,16,1912
Dora,16,1912
Freda,16,1912
Olga,16,1912
Faye,15,1912
Irma,15,1912
Lucile,15,1912
Luella,15,1912
Amelia,14,1912
Della,14,1912
Eunice,14,1912
Inez,14,1912
Jessie,14,1912
Marcella,14,1912
Marion,14,1912
Olive,14,1912
Phyllis,14,1912
Adeline,13,1912
Emily,13,1912
Geraldine,13,1912
Lydia,13,1912
Rachel,13,1912
Roberta,13,1912
