Name,Frequency,YOB
Mary,50,1910
Dorothy,39,1910
Alice,35,1910
Helen,30,1910
Lillian,29,1910
Marion,29,1910
Irene,28,1910
Beatrice,26,1910
Ruth,26,1910
Evelyn,24,1910
Doris,23,1910
Florence,22,1910
Mildred,22,1910
Elizabeth,21,1910
Margaret,19,1910
Hazel,17,1910
Ethel,15,1910
Blanche,14,1910
Barbara,13,1910
Frances,13,1910
Pauline,13,1910
Anna,12,1910
Esther,12,1910
Gertrude,12,1910
Louise,12,1910
Thelma,12,1910
Bertha,11,1910
Edith,11,1910
Marie,11,1910
Rose,11,1910
Gladys,10,1910
Grace,10,1910
Jeannette,10,1910
Catherine,9,1910
Marjorie,9,1910
Dora,8,1910
Edna,8,1910
Eleanor,8,1910
Josephine,8,1910
Olive,8,1910
Bernice,7,1910
Ellen,7,1910
Elsie,7,1910
Katherine,7,1910
Lena,7,1910
Mabel,7,1910
Anne,6,1910
Antoinette,6,1910
Cecile,6,1910
Eva,6,1910
Germaine,6,1910
Julia,6,1910
Juliette,6,1910
Lydia,6,1910
Yvonne,6,1910
Alma,5,1910
Arlene,5,1910
Ida,5,1910
Laura,5,1910
Leona,5,1910
Loretta,5,1910
Lucille,5,1910
Natalie,5,1910
Rachel,5,1910
Stella,5,1910
Viola,5,1910
Mary,68,1911
Dorothy,57,1911
Alice,40,1911
Helen,39,1911
Irene,37,1911
Ruth,36,1911
Margaret,32,1911
Doris,28,1911
Lillian,28,1911
Mildred,25,1911
Elizabeth,22,1911
Evelyn,22,1911
Florence,22,1911
Beatrice,21,1911
Marion,21,1911
Gladys,18,1911
Hazel,18,1911
Anna,16,1911
Grace,16,1911
Louise,16,1911
Eleanor,15,1911
Frances,15,1911
Gertrude,15,1911
Marjorie,14,1911
Rose,14,1911
Yvonne,14,1911
Eva,13,1911
Edna,12,1911
Marie,12,1911
Pauline,12,1911
Agnes,11,1911
Catherine,11,1911
Ethel,11,1911
Jeannette,11,1911
Katherine,11,1911
Bertha,10,1911
Edith,10,1911
Esther,10,1911
Josephine,10,1911
Lucy,10,1911
Marguerite,10,1911
Anne,9,1911
Rita,9,1911
Thelma,9,1911
Barbara,8,1911
Bernice,8,1911
Blanche,8,1911
Emily,8,1911
Ida,8,1911
Julia,8,1911
Lucille,8,1911
Pearl,8,1911
Phyllis,8,1911
Viola,8,1911
Virginia,8,1911
Antoinette,7,1911
Cecile,7,1911
Jennie,7,1911
Laura,7,1911
Lois,7,1911
Muriel,7,1911
Stella,7,1911
Leona,6,1911
Martha,6,1911
Olive,6,1911
Vera,6,1911
Alma,5,1911
Bessie,5,1911
Christine,5,1911
Harriet,5,1911
Juliette,5,1911
Madeline,5,1911
Nellie,5,1911
Olivette,5,1911
Rachel,5,1911
Sylvia,5,1911
Victoria,5,1911
Mary,95,1912
Ruth,57,1912
Helen,52,1912
Dorothy,50,1912
Alice,47,1912
Irene,41,1912
Margaret,36,1912
Frances,34,1912
Doris,33,1912
Elizabeth,33,1912
Marion,31,1912
Florence,30,1912
Evelyn,29,1912
Lillian,29,1912
Mildred,26,1912
Beatrice,24,1912
Anna,22,1912
Gladys,21,1912
Louise,21,1912
Edith,18,1912
Eleanor,18,1912
Marie,18,1912
Ethel,17,1912
Rose,17,1912
Catherine,16,1912
Eva,16,1912
Hazel,15,1912
Jeannette,15,1912
Barbara,14,1912
Bertha,14,1912
Edna,14,1912
Gertrude,14,1912
Josephine,14,1912
Marjorie,14,1912
Yvonne,14,1912
Katherine,13,1912
Olive,13,1912
Agnes,12,1912
Cecile,12,1912
Clara,12,1912
Ellen,12,1912
Ida,12,1912
Marguerite,12,1912
Virginia,12,1912
Juliette,11,1912
Thelma,11,1912
Anne,10,1912
Charlotte,10,1912
Elsie,10,1912
Jennie,10,1912
Laura,10,1912
Lena,10,1912
Lois,10,1912
Ann,9,1912
Blanche,9,1912
Grace,9,1912
Martha,9,1912
Violet,9,1912
Caroline,8,1912
Madeline,8,1912
Ruby,8,1912
Antoinette,7,1912
Bernadette,7,1912
Geraldine,7,1912
Germaine,7,1912
Isabelle,7,1912
Jeanne,7,1912
Julia,7,1912
Leona,7,1912
Lucille,7,1912
Mabel,7,1912
Pauline,7,1912
Verna,7,1912
Annette,6,1912
Bernice,6,1912
Estelle,6,1912
Esther,6,1912
Kathleen,6,1912
Theresa,6,1912
Alberta,5,1912
Angelina,5,1912
Christine,5,1912
Cora,5,1912
Dorothea,5,1912
Eunice,5,1912
Flora,5,1912
Genevieve,5,1912
Jane,5,1912
Loretta,5,1912
Marian,5,1912
May,5,1912
Muriel,5,1912
Nellie,5,1912
Patricia,5,1912
Phyllis,5,1912
Priscilla,5,1912
Shirley,5,1912
Stella,5,1912
Mary,98,1913
Helen,73,1913
Dorothy,62,1913
Alice,55,1913
Ruth,51,1913
Elizabeth,41,1913
Margaret,40,1913
Irene,39,1913
Frances,35,1913
Evelyn,34,1913
Marion,33,1913
