Name,Frequency,YOB
Mary,593,1910
Helen,438,1910
Anna,355,1910
Margaret,311,1910
Elizabeth,260,1910
Dorothy,255,1910
Rose,201,1910
Ruth,188,1910
Mildred,174,1910
Florence,169,1910
Catherine,158,1910
Marie,152,1910
Lillian,130,1910
Alice,125,1910
Frances,124,1910
Josephine,103,1910
Ethel,101,1910
Marion,100,1910
Grace,95,1910
Anne,94,1910
Evelyn,89,1910
Gertrude,87,1910
Edith,86,1910
Edna,84,1910
Eleanor,83,1910
Irene,83,1910
Ann,82,1910
Julia,82,1910
Jennie,76,1910
Louise,75,1910
Beatrice,72,1910
Agnes,69,1910
Jean,68,1910
Emma,66,1910
Theresa,63,1910
Gladys,62,1910
Elsie,60,1910
Martha,56,1910
Sarah,56,1910
Clara,55,1910
Betty,53,1910
Katherine,53,1910
Bertha,52,1910
Ida,50,1910
Marjorie,50,1910
Sophie,48,1910
Virginia,46,1910
Mae,45,1910
Hazel,44,1910
Emily,43,1910
Stella,42,1910
Viola,42,1910
Kathryn,41,1910
Esther,40,1910
Pearl,38,1910
Doris,36,1910
Charlotte,34,1910
Lena,34,1910
Pauline,34,1910
Loretta,32,1910
Lucy,32,1910
Madeline,32,1910
Harriet,31,1910
Blanche,30,1910
Estelle,30,1910
Mabel,30,1910
Minnie,30,1910
Nellie,30,1910
Thelma,30,1910
Antoinette,29,1910
Fannie,29,1910
Marguerite,28,1910
Ella,27,1910
Ellen,27,1910
Eva,27,1910
Jane,27,1910
Barbara,26,1910
Laura,26,1910
Lucille,26,1910
Violet,26,1910
Angela,24,1910
Genevieve,24,1910
Henrietta,23,1910
Marian,23,1910
Sara,23,1910
Sylvia,23,1910
Alma,21,1910
Angelina,21,1910
Jessie,21,1910
Nancy,21,1910
Vera,21,1910
Bessie,20,1910
Myrtle,20,1910
Olga,20,1910
Winifred,20,1910
Adele,19,1910
Veronica,19,1910
Sadie,18,1910
Caroline,17,1910
Claire,17,1910
Lydia,17,1910
May,17,1910
Olive,17,1910
Victoria,17,1910
Hilda,16,1910
Miriam,16,1910
Cecelia,15,1910
Matilda,15,1910
Natalie,15,1910
Sally,15,1910
Ada,14,1910
Bernice,14,1910
Constance,14,1910
Helene,14,1910
Irma,14,1910
Mamie,14,1910
Muriel,14,1910
Susan,14,1910
Alberta,13,1910
Annette,13,1910
Carolyn,13,1910
Isabel,13,1910
Janet,13,1910
Maria,13,1910
Cornelia,12,1910
Hattie,12,1910
Jeannette,12,1910
Kathleen,12,1910
Lottie,12,1910
Regina,12,1910
Sue,12,1910
Vivian,12,1910
Wilhelmina,12,1910
Adelaide,11,1910
Adeline,11,1910
Angeline,11,1910
Annie,11,1910
Carol,11,1910
Celia,11,1910
Concetta,11,1910
Eleanore,11,1910
Fay,11,1910
Frieda,11,1910
Hannah,11,1910
Philomena,11,1910
Shirley,11,1910
Christine,10,1910
Cora,10,1910
Eileen,10,1910
Geraldine,10,1910
Isabelle,10,1910
Johanna,10,1910
Rebecca,10,1910
Wanda,10,1910
Cecilia,9,1910
Elvira,9,1910
Flora,9,1910
Jeanette,9,1910
Lois,9,1910
Mollie,9,1910
