Name,Frequency,YOB
Mary,98,1910
Maria,40,1910
Margaret,38,1910
Josephine,35,1910
Helen,26,1910
Juanita,26,1910
Rosa,20,1910
Frances,19,1910
Emma,18,1910
Ruth,16,1910
Lucy,15,1910
Irene,14,1910
Isabel,14,1910
Nellie,14,1910
Alice,13,1910
Julia,13,1910
Marie,13,1910
Rose,13,1910
Anita,12,1910
Anna,12,1910
Beatrice,12,1910
Jennie,12,1910
Antonia,11,1910
Dorothy,11,1910
Eva,11,1910
Hazel,11,1910
Ruby,11,1910
Elvira,10,1910
Esther,10,1910
Gladys,10,1910
Guadalupe,10,1910
Lena,10,1910
Amelia,9,1910
Eloisa,9,1910
Flora,9,1910
Florence,9,1910
Stella,9,1910
Virginia,9,1910
Amalia,8,1910
Ella,8,1910
Grace,8,1910
Lupe,8,1910
Margarita,8,1910
Sofia,8,1910
Annie,7,1910
Aurelia,7,1910
Laura,7,1910
Lois,7,1910
Lola,7,1910
Lucia,7,1910
Mildred,7,1910
Rita,7,1910
Adelina,6,1910
Carlota,6,1910
Carmen,6,1910
Elizabeth,6,1910
Josefina,6,1910
Lucille,6,1910
Maggie,6,1910
Ramona,6,1910
Sarah,6,1910
Senaida,6,1910
Vera,6,1910
Aurora,5,1910
Bessie,5,1910
Cora,5,1910
Edith,5,1910
Eliza,5,1910
Fannie,5,1910
Josefa,5,1910
Josie,5,1910
Leona,5,1910
Leonor,5,1910
Lillie,5,1910
Louise,5,1910
Mabel,5,1910
Nora,5,1910
Pablita,5,1910
Placida,5,1910
Susie,5,1910
Victoria,5,1910
Mary,111,1911
Maria,54,1911
Frances,27,1911
Helen,27,1911
Margaret,24,1911
Emma,20,1911
Juanita,19,1911
Ruth,19,1911
Josephine,17,1911
Lucy,17,1911
Bessie,15,1911
Dorothy,15,1911
Isabel,15,1911
Alice,14,1911
Amelia,14,1911
Elizabeth,14,1911
Thelma,14,1911
Anita,13,1911
Dolores,13,1911
Jennie,13,1911
Julia,13,1911
Rose,13,1911
Eva,12,1911
Grace,12,1911
Hazel,12,1911
Virginia,12,1911
Beatrice,11,1911
Ruby,11,1911
Stella,11,1911
Adela,10,1911
Annie,10,1911
Antonia,10,1911
Esther,10,1911
Sofia,10,1911
Aurora,9,1911
Clara,9,1911
Dora,9,1911
Edith,9,1911
Eleanor,9,1911
Ramona,9,1911
Adelina,8,1911
Florence,8,1911
Gertrude,8,1911
Lena,8,1911
Lola,8,1911
Margarita,8,1911
Martha,8,1911
Rosa,8,1911
Carolina,7,1911
Cecilia,7,1911
Flora,7,1911
Genoveva,7,1911
Irene,7,1911
Louise,7,1911
Lupe,7,1911
Marie,7,1911
Minnie,7,1911
Opal,7,1911
Pauline,7,1911
Sarah,7,1911
Agnes,6,1911
Andrea,6,1911
Bertha,6,1911
Carmen,6,1911
Georgia,6,1911
Gladys,6,1911
Ida,6,1911
Irma,6,1911
Jessie,6,1911
Juana,6,1911
Lucia,6,1911
Mildred,6,1911
Myrtle,6,1911
Nora,6,1911
Rebecca,6,1911
Amalia,5,1911
Angela,5,1911
Bernice,5,1911
Catherine,5,1911
Celia,5,1911
Elsie,5,1911
Estella,5,1911
Ethel,5,1911
Evelyn,5,1911
Guadalupe,5,1911
Jewel,5,1911
