Name,Frequency,YOB
Mary,10,1910
Mildred,6,1910
Emma,5,1910
Helen,5,1910
Margaret,8,1911
Helen,7,1911
Dorothy,6,1911
Louise,6,1911
Mary,6,1911
Virginia,6,1911
Alice,5,1911
Esther,5,1911
Dorothy,8,1912
Helen,7,1912
Josephine,7,1912
Irene,5,1912
Louise,5,1912
Margaret,5,1912
Mary,5,1912
Mary,21,1913
Helen,13,1913
Dorothy,10,1913
Florence,9,1913
Margaret,9,1913
Mildred,9,1913
Edna,8,1913
Jean,7,1913
Alice,6,1913
Marion,6,1913
Ruth,6,1913
Bernice,5,1913
Evelyn,5,1913
Ida,5,1913
Josephine,5,1913
Marie,5,1913
Ruth,15,1914
Dorothy,13,1914
Mary,12,1914
Alice,11,1914
Helen,11,1914
Louise,10,1914
Margaret,10,1914
Elizabeth,8,1914
Marie,8,1914
Virginia,8,1914
Florence,7,1914
Lois,7,1914
Clara,6,1914
Edith,6,1914
Irene,6,1914
Josephine,6,1914
Stella,6,1914
Adele,5,1914
Anne,5,1914
Doris,5,1914
Eleanor,5,1914
Evelyn,5,1914
Frances,5,1914
Ida,5,1914
Mildred,5,1914
Rose,5,1914
Thelma,5,1914
Mary,27,1915
Margaret,18,1915
Ruth,14,1915
Helen,13,1915
Dorothy,12,1915
Louise,11,1915
June,10,1915
Josephine,8,1915
Alice,7,1915
Frances,7,1915
Ida,7,1915
Virginia,7,1915
Elizabeth,6,1915
Evelyn,6,1915
Florence,6,1915
Hazel,6,1915
Lena,6,1915
Mildred,6,1915
Betty,5,1915
Esther,5,1915
Ethel,5,1915
Jane,5,1915
Lillian,5,1915
Lois,5,1915
Marie,5,1915
Mary,40,1916
Dorothy,17,1916
Alice,14,1916
Frances,12,1916
Irene,11,1916
Margaret,11,1916
Catherine,10,1916
Helen,10,1916
Ruth,10,1916
Edith,9,1916
Grace,9,1916
Jean,9,1916
Lillian,8,1916
Marjorie,8,1916
Virginia,8,1916
Doris,7,1916
Mildred,7,1916
Anita,6,1916
Elizabeth,6,1916
Evelyn,6,1916
Lucille,6,1916
Marie,6,1916
Rose,6,1916
Betty,5,1916
Eleanor,5,1916
Ellen,5,1916
Genevieve,5,1916
Julia,5,1916
Norma,5,1916
Thelma,5,1916
Verna,5,1916
Mary,31,1917
Virginia,16,1917
Ruth,15,1917
Helen,14,1917
Dorothy,13,1917
Margaret,12,1917
Mildred,12,1917
Lois,11,1917
Evelyn,10,1917
Frances,9,1917
Marjorie,8,1917
Alice,7,1917
Elizabeth,7,1917
Irene,7,1917
Josephine,7,1917
Anne,6,1917
Doris,6,1917
Jean,6,1917
Louise,6,1917
Marguerite,6,1917
Marie,6,1917
Anna,5,1917
Audrey,5,1917
Betty,5,1917
Elsie,5,1917
Emily,5,1917
Florence,5,1917
Martha,5,1917
Mary,31,1918
Dorothy,19,1918
Helen,18,1918
Margaret,14,1918
Ruth,13,1918
Mildred,12,1918
Alice,11,1918
Virginia,11,1918
Betty,10,1918
June,10,1918
Marie,9,1918
Frances,8,1918
Grace,8,1918
Jean,8,1918
Anita,7,1918
Elizabeth,7,1918
Irene,7,1918
Olga,7,1918
Doris,6,1918
Florence,6,1918
Janet,6,1918
Josephine,6,1918
Marjorie,6,1918
Rose,6,1918
Ann,5,1918
Gladys,5,1918
Lena,5,1918
Vivian,5,1918
Mary,37,1919
Dorothy,19,1919
Helen,15,1919
Margaret,12,1919
Virginia,12,1919
Edna,9,1919
Marie,9,1919
Marjorie,9,1919
Irene,8,1919
Alice,7,1919
Florence,7,1919
Frances,7,1919
Louise,7,1919
Barbara,6,1919
Betty,6,1919
Lois,6,1919
Lucille,6,1919
Mildred,6,1919
Pearl,6,1919
Rose,6,1919
Ruth,6,1919
Blanche,5,1919
Elsie,5,1919
Evelyn,5,1919
Josephine,5,1919
June,5,1919
Thelma,5,1919
Mary,28,1920
Helen,26,1920
Margaret,17,1920
Marie,14,1920
Dorothy,13,1920
Frances,13,1920
Virginia,12,1920
Betty,11,1920
Elizabeth,9,1920
Ruth,9,1920
Geraldine,8,1920
Lois,8,1920
Doris,7,1920
Edith,7,1920
Ethel,7,1920
Florence,7,1920
Audrey,6,1920
Eleanor,6,1920
Jean,6,1920
Louise,6,1920
Marjorie,6,1920
Mildred,6,1920
Rose,6,1920
Ann,5,1920
Dolores,5,1920
Edna,5,1920
Georgia,5,1920
Katherine,5,1920
Lucille,5,1920
Marguerite,5,1920
Marion,5,1920
Shirley,5,1920
Wanda,5,1920
Mary,33,1921
Dorothy,20,1921
Helen,20,1921
Ruth,15,1921
Virginia,14,1921
Margaret,13,1921
Betty,12,1921
Jean,11,1921
Lois,11,1921
Evelyn,9,1921
Irene,8,1921
Josephine,8,1921
Lillian,8,1921
Frances,7,1921
June,7,1921
Barbara,6,1921
Eleanor,6,1921
Elizabeth,6,1921
Eva,6,1921
Louise,6,1921
Mildred,6,1921
Norma,6,1921
Pauline,6,1921
Wilma,6,1921
Anna,5,1921
Clara,5,1921
Della,5,1921
Doris,5,1921
Marguerite,5,1921
Marie,5,1921
Mary,30,1922
Margaret,17,1922
Dorothy,11,1922
Helen,11,1922
Barbara,9,1922
Marjorie,9,1922
Norma,9,1922
Alice,8,1922
Betty,8,1922
Frances,8,1922
Lillian,8,1922
Marie,8,1922
Irene,7,1922
Jean,7,1922
June,7,1922
Mildred,7,1922
Josephine,6,1922
Ruth,6,1922
Angie,5,1922
Elizabeth,5,1922
Evalyn,5,1922
Florence,5,1922
Jane,5,1922
Lena,5,1922
Linda,5,1922
Lois,5,1922
Rose,5,1922
Violet,5,1922
Virginia,5,1922
Mary,29,1923
Dorothy,18,1923
Betty,17,1923
Helen,17,1923
Jean,13,1923
Norma,12,1923
Virginia,12,1923
Evelyn,11,1923
Frances,11,1923
Marie,11,1923
Irene,10,1923
Margaret,9,1923
Ruth,9,1923
Mildred,8,1923
Barbara,7,1923
Josephine,7,1923
Alice,6,1923
Doris,6,1923
Edna,6,1923
Lola,6,1923
Pauline,6,1923
Anna,5,1923
Dolores,5,1923
Eva,5,1923
Gladys,5,1923
Grace,5,1923
Lois,5,1923
Marjorie,5,1923
Thelma,5,1923
Vivian,5,1923
Mary,29,1924
Betty,22,1924
Helen,18,1924
Marjorie,16,1924
Dorothy,14,1924
Evelyn,10,1924
Margaret,10,1924
Ruth,10,1924
Edith,9,1924
Elizabeth,9,1924
Frances,8,1924
Norma,8,1924
Shirley,8,1924
Doris,7,1924
Irene,7,1924
Lois,7,1924
Marian,7,1924
Virginia,7,1924
Alice,6,1924
Barbara,6,1924
Louise,6,1924
Martha,6,1924
Florence,5,1924
Hazel,5,1924
June,5,1924
Lillian,5,1924
Mildred,5,1924
Wilma,5,1924
Mary,36,1925
Betty,24,1925
Ruth,20,1925
Dorothy,18,1925
Margaret,15,1925
Helen,11,1925
Doris,9,1925
Patricia,9,1925
Barbara,8,1925
Norma,8,1925
Frances,7,1925
Gloria,7,1925
Jean,7,1925
June,7,1925
Marjorie,7,1925
Shirley,7,1925
Elsie,6,1925
Evelyn,6,1925
Julia,6,1925
Louise,6,1925
Marian,6,1925
Mildred,6,1925
Eleanor,5,1925
Leona,5,1925
Lorraine,5,1925
Marie,5,1925
Myrtle,5,1925
Phyllis,5,1925
Virginia,5,1925
Mary,33,1926
Betty,21,1926
Dorothy,21,1926
Helen,13,1926
Barbara,12,1926
Beverly,11,1926
Margaret,10,1926
Jean,9,1926
Geraldine,8,1926
Patricia,8,1926
Clara,7,1926
Edith,7,1926
Eleanor,7,1926
Lois,7,1926
Alice,6,1926
Frances,6,1926
Gladys,6,1926
June,6,1926
Louise,6,1926
Marjorie,6,1926
Norma,6,1926
Ethel,5,1926
Eva,5,1926
Lillian,5,1926
Shirley,5,1926
Wilma,5,1926
Mary,34,1927
Betty,22,1927
Barbara,17,1927
Dorothy,17,1927
Helen,12,1927
Shirley,12,1927
Beverly,10,1927
Alice,9,1927
Margaret,9,1927
Josephine,8,1927
Lois,8,1927
Phyllis,8,1927
Virginia,8,1927
Audrey,7,1927
Donna,7,1927
