Name,Frequency,YOB
Mary,1923,1910
Helen,1290,1910
Rose,990,1910
Anna,951,1910
Margaret,926,1910
Dorothy,897,1910
Ruth,713,1910
Lillian,648,1910
Florence,604,1910
Frances,589,1910
Elizabeth,579,1910
Mildred,562,1910
Catherine,521,1910
Marie,503,1910
Josephine,431,1910
Alice,410,1910
Marion,387,1910
Gertrude,380,1910
Evelyn,366,1910
Grace,348,1910
Anne,340,1910
Ann,318,1910
Ethel,296,1910
Beatrice,292,1910
Louise,279,1910
Edna,277,1910
Sylvia,273,1910
Irene,272,1910
Eleanor,260,1910
Jean,250,1910
Julia,245,1910
Esther,233,1910
Agnes,231,1910
Gladys,230,1910
Theresa,225,1910
Edith,219,1910
Betty,210,1910
Bertha,203,1910
Marjorie,200,1910
Pauline,200,1910
Katherine,191,1910
Ida,190,1910
Virginia,181,1910
Elsie,178,1910
Jennie,178,1910
Sarah,177,1910
Clara,174,1910
Martha,167,1910
Doris,164,1910
Sophie,142,1910
Lena,141,1910
Emma,140,1910
Mae,137,1910
Charlotte,133,1910
Pearl,129,1910
Stella,125,1910
Emily,124,1910
Kathryn,124,1910
Eva,121,1910
Hazel,120,1910
Madeline,120,1910
Lucy,118,1910
Marguerite,115,1910
Antoinette,114,1910
Genevieve,113,1910
Sadie,113,1910
Angelina,111,1910
Mabel,110,1910
Celia,105,1910
Fannie,104,1910
Loretta,101,1910
Sally,99,1910
Viola,99,1910
Blanche,98,1910
Estelle,98,1910
Minnie,98,1910
Bernice,92,1910
Hilda,91,1910
Laura,91,1910
Bessie,90,1910
Marian,90,1910
Harriet,87,1910
Ellen,86,1910
Lucille,85,1910
Jane,84,1910
Thelma,83,1910
Vera,83,1910
Caroline,81,1910
Carmela,78,1910
Kathleen,78,1910
Muriel,78,1910
Nancy,77,1910
Veronica,77,1910
Frieda,76,1910
Shirley,76,1910
Miriam,74,1910
Fay,73,1910
Barbara,71,1910
May,71,1910
Adele,70,1910
Dora,70,1910
Mollie,70,1910
Rita,70,1910
Maria,69,1910
Henrietta,68,1910
Regina,64,1910
Victoria,64,1910
Ella,62,1910
Nettie,62,1910
Claire,61,1910
Myrtle,58,1910
Amelia,57,1910
Constance,56,1910
Winifred,56,1910
Angela,55,1910
Eileen,55,1910
Nellie,55,1910
Susan,55,1910
Tillie,54,1910
Belle,53,1910
Geraldine,53,1910
Teresa,53,1910
Joan,52,1910
Violet,52,1910
Jeanette,51,1910
Jessie,51,1910
Vivian,50,1910
Dorothea,49,1910
Jeanne,49,1910
Adeline,48,1910
Concetta,48,1910
Molly,48,1910
Ada,47,1910
Cecelia,47,1910
Jeannette,47,1910
Lottie,47,1910
Janet,46,1910
Yetta,46,1910
Annette,45,1910
Hannah,45,1910
Isabelle,45,1910
Leona,45,1910
Adelaide,44,1910
Sara,44,1910
Alma,43,1910
Carolyn,43,1910
Olive,43,1910
Matilda,42,1910
Rosalie,42,1910
Bella,41,1910
Christine,41,1910
Helene,41,1910
Angeline,40,1910
Rae,40,1910
Anita,39,1910
Olga,39,1910
Elvira,38,1910
Cecilia,37,1910
Gussie,37,1910
Isabel,37,1910
Nora,36,1910
Phyllis,36,1910
Dolores,35,1910
Etta,35,1910
Flora,35,1910
Irma,35,1910
Selma,35,1910
Edythe,34,1910
Natalie,34,1910
Rebecca,34,1910
Lee,33,1910
Lydia,33,1910
Millie,33,1910
Patricia,33,1910
Carrie,31,1910
Cora,31,1910
Rachel,31,1910
Augusta,30,1910
Filomena,30,1910
Leah,30,1910
Norma,30,1910
Rosemary,30,1910
Carol,29,1910
Gloria,29,1910
Lillie,29,1910
Lois,29,1910
Nina,29,1910
Tessie,29,1910
Freda,28,1910
Carmella,27,1910
Goldie,27,1910
Johanna,27,1910
Inez,26,1910
Sophia,25,1910
Beulah,24,1910
Hattie,24,1910
Philomena,24,1910
Alberta,22,1910
Arlene,22,1910
Fanny,22,1910
Mamie,22,1910
Wanda,22,1910
Annie,21,1910
Helena,21,1910
Lorraine,21,1910
Ray,21,1910
Arline,20,1910
Audrey,20,1910
Luella,20,1910
Ruby,20,1910
Christina,19,1910
Elaine,19,1910
Isabella,19,1910
Kay,19,1910
Lila,19,1910
Naomi,19,1910
Peggy,19,1910
Cecile,18,1910
Diana,18,1910
Elinor,18,1910
Mable,18,1910
Rhoda,18,1910
Rosalind,18,1910
Vincenza,18,1910
Daisy,17,1910
June,17,1910
Maude,17,1910
Stephanie,17,1910
Verna,17,1910
Wilma,17,1910
Amy,16,1910
Camille,16,1910
Connie,16,1910
Erma,16,1910
Eve,16,1910
Faye,16,1910
Harriett,16,1910
Katharine,16,1910
Lily,16,1910
Renee,16,1910
Velma,16,1910
Wilhelmina,16,1910
Agatha,15,1910
Elma,15,1910
Eunice,15,1910
Ina,15,1910
Madeleine,15,1910
Millicent,15,1910
Monica,15,1910
Sue,15,1910
Yolanda,15,1910
Clare,14,1910
Della,14,1910
Eleanore,14,1910
Georgia,14,1910
Gwendolyn,14,1910
Janice,14,1910
Myra,14,1910
Paula,14,1910
Roberta,14,1910
Gilda,13,1910
Hortense,13,1910
Iva,13,1910
Marcella,13,1910
Minna,13,1910
Cornelia,12,1910
Elena,12,1910
Elisabeth,12,1910
Harriette,12,1910
Judith,12,1910
Kate,12,1910
Lilyan,12,1910
Anastasia,11,1910
Clarice,11,1910
Delia,11,1910
Elsa,11,1910
Eugenia,11,1910
Felicia,11,1910
Libby,11,1910
Lola,11,1910
Marcia,11,1910
Rosa,11,1910
Antonette,10,1910
Bernadette,10,1910
Beryl,10,1910
Bess,10,1910
Emilia,10,1910
Ernestine,10,1910
Estella,10,1910
Evangeline,10,1910
Francis,10,1910
Katie,10,1910
Kitty,10,1910
Lenore,10,1910
Lucia,10,1910
Lucile,10,1910
Minerva,10,1910
Roslyn,10,1910
Sadye,10,1910
Susie,10,1910
Yvonne,10,1910
Annabelle,9,1910
Carmen,9,1910
Catharine,9,1910
Cathleen,9,1910
Cynthia,9,1910
Domenica,9,1910
Isabell,9,1910
Joyce,9,1910
Lauretta,9,1910
Linda,9,1910
Margery,9,1910
Margie,9,1910
Mathilda,9,1910
Mattie,9,1910
Michelina,9,1910
Reba,9,1910
Santa,9,1910
Santina,9,1910
Sonia,9,1910
Sydell,9,1910
Alta,8,1910
Assunta,8,1910
Bridget,8,1910
Ceil,8,1910
