Name,Frequency,YOB
Mary,1099,1910
Helen,698,1910
Dorothy,487,1910
Ruth,457,1910
Margaret,452,1910
Mildred,395,1910
Anna,290,1910
Florence,278,1910
Elizabeth,261,1910
Marie,242,1910
Frances,227,1910
Virginia,203,1910
Thelma,201,1910
Edna,188,1910
Alice,184,1910
Evelyn,170,1910
Ethel,169,1910
Gladys,166,1910
Hazel,164,1910
Martha,164,1910
Catherine,161,1910
Rose,156,1910
Grace,150,1910
Lillian,147,1910
Esther,144,1910
Clara,132,1910
Edith,132,1910
Gertrude,129,1910
Irene,128,1910
Louise,128,1910
Lucille,128,1910
Josephine,120,1910
Eleanor,117,1910
Pauline,113,1910
Mabel,108,1910
Kathryn,107,1910
Elsie,102,1910
Ann,100,1910
Doris,97,1910
Emma,92,1910
Bertha,88,1910
Katherine,87,1910
Beatrice,86,1910
Nellie,82,1910
Betty,81,1910
Julia,80,1910
Marjorie,79,1910
Bernice,74,1910
Sarah,74,1910
Agnes,71,1910
Alma,71,1910
Laura,70,1910
Marian,69,1910
Leona,66,1910
Eva,65,1910
Jean,64,1910
Viola,59,1910
Anne,58,1910
Pearl,57,1910
Ida,56,1910
Jane,55,1910
Stella,55,1910
Bessie,53,1910
Charlotte,53,1910
Goldie,53,1910
Myrtle,53,1910
Violet,53,1910
Lois,52,1910
Wilma,52,1910
Blanche,51,1910
Vera,51,1910
Marguerite,50,1910
Erma,48,1910
Jessie,48,1910
Marion,48,1910
Mae,47,1910
Genevieve,46,1910
Norma,46,1910
Velma,46,1910
Jennie,45,1910
Geraldine,44,1910
Barbara,43,1910
Minnie,42,1910
Olive,42,1910
Opal,42,1910
Ruby,42,1910
Marcella,41,1910
Theresa,41,1910
Ada,39,1910
Ellen,39,1910
Beulah,38,1910
Freda,38,1910
Hilda,38,1910
Sylvia,38,1910
Harriet,35,1910
Lena,35,1910
Loretta,34,1910
Alberta,33,1910
Cora,32,1910
Audrey,31,1910
Georgia,31,1910
Ella,30,1910
Caroline,29,1910
Naomi,29,1910
Verna,29,1910
Maxine,28,1910
Geneva,27,1910
Inez,27,1910
Luella,27,1910
Sara,27,1910
Estella,26,1910
Jeannette,26,1910
Lucy,26,1910
Nora,26,1910
Emily,25,1910
Jeanette,25,1910
Juanita,25,1910
Irma,24,1910
Isabelle,24,1910
Nancy,24,1910
Phyllis,24,1910
Angela,23,1910
Della,23,1910
Frieda,23,1910
Wanda,23,1910
Daisy,22,1910
Fern,22,1910
Sophie,22,1910
Carrie,21,1910
Dorothea,21,1910
Kathleen,21,1910
Vivian,21,1910
Amelia,20,1910
Estelle,20,1910
Henrietta,20,1910
Lucile,20,1910
May,20,1910
Susan,20,1910
Alta,19,1910
Cecilia,18,1910
Christine,18,1910
Dora,18,1910
Eleanore,18,1910
Fannie,18,1910
Janet,18,1910
Lenore,18,1910
Miriam,18,1910
Victoria,18,1910
Annie,17,1910
Dolores,17,1910
Eunice,17,1910
Garnet,17,1910
Hattie,17,1910
June,17,1910
Lottie,17,1910
Mable,17,1910
Madeline,17,1910
Nina,17,1910
Rosemary,17,1910
Carolyn,16,1910
Elma,16,1910
Lillie,16,1910
Madge,16,1910
Rachel,16,1910
Rosella,16,1910
Sally,16,1910
Adeline,15,1910
Iva,15,1910
Mamie,15,1910
Matilda,15,1910
Regina,15,1910
Shirley,15,1910
Sophia,15,1910
Celia,14,1910
Lela,14,1910
Olga,14,1910
Antoinette,13,1910
Bernadette,13,1910
Elaine,13,1910
Isabel,13,1910
Lola,13,1910
Sadie,13,1910
Selma,13,1910
Winifred,13,1910
Annabelle,12,1910
Eloise,12,1910
Elva,12,1910
Faye,12,1910
Flora,12,1910
Flossie,12,1910
Helene,12,1910
Lenora,12,1910
Muriel,12,1910
Nettie,12,1910
Neva,12,1910
Roberta,12,1910
Sue,12,1910
Adelaide,11,1910
Constance,11,1910
Dorotha,11,1910
Edythe,11,1910
Effie,11,1910
Glenna,11,1910
Harriett,11,1910
Helena,11,1910
Lorena,11,1910
Lydia,11,1910
Mollie,11,1910
Patricia,11,1910
Susie,11,1910
Zelma,11,1910
Cecelia,10,1910
Etta,10,1910
Leah,10,1910
Rosa,10,1910
Veronica,10,1910
Angeline,9,1910
Arlene,9,1910
Carol,9,1910
Christina,9,1910
Claire,9,1910
Clarice,9,1910
Cleo,9,1910
Eileen,9,1910
Jeanne,9,1910
Joan,9,1910
Lila,9,1910
Maude,9,1910
Molly,9,1910
Rebecca,9,1910
Treva,9,1910
Alvina,8,1910
Alyce,8,1910
Annabel,8,1910
Cecile,8,1910
Coletta,8,1910
Donna,8,1910
Fay,8,1910
Gwendolyn,8,1910
Iris,8,1910
Leota,8,1910
Maria,8,1910
Nell,8,1910
Rosetta,8,1910
Ursula,8,1910
Amanda,7,1910
Anita,7,1910
Augusta,7,1910
Carmela,7,1910
Cornelia,7,1910
Dorthy,7,1910
Iola,7,1910
Katharine,7,1910
Katie,7,1910
Laverne,7,1910
Leola,7,1910
Lula,7,1910
Marjory,7,1910
Melva,7,1910
Rita,7,1910
Rosie,7,1910
Verda,7,1910
Arline,6,1910
Audra,6,1910
Bernadine,6,1910
Beryl,6,1910
Clare,6,1910
Corinne,6,1910
Dolly,6,1910
Elinor,6,1910
Eve,6,1910
Francis,6,1910
Garnett,6,1910
Hermine,6,1910
Hester,6,1910
Hortense,6,1910
Judith,6,1910
Kay,6,1910
Lauretta,6,1910
Letha,6,1910
Lora,6,1910
Lura,6,1910
Mattie,6,1910
Maud,6,1910
Mona,6,1910
Reva,6,1910
Rosalie,6,1910
Valeria,6,1910
Vesta,6,1910
Zelda,6,1910
Zella,6,1910
Almeda,5,1910
Annette,5,1910
Belle,5,1910
Berniece,5,1910
Bonnie,5,1910
Cathryn,5,1910
Crystal,5,1910
Delia,5,1910
Eleanora,5,1910
Elvera,5,1910
Elvira,5,1910
Enid,5,1910
Ernestine,5,1910
Gizella,5,1910
Hannah,5,1910
Harriette,5,1910
Ila,5,1910
Ina,5,1910
Isabell,5,1910
Johanna,5,1910
Joyce,5,1910
Justine,5,1910
Leora,5,1910
Loraine,5,1910
Lorna,5,1910
Lou,5,1910
Magdalen,5,1910
Magdalene,5,1910
Maybelle,5,1910
Melba,5,1910
Monica,5,1910
Olivia,5,1910
Ollie,5,1910
Orpha,5,1910
Peggy,5,1910
Phoebe,5,1910
Reba,5,1910
Rena,5,1910
Rhea,5,1910
Rosina,5,1910
Rowena,5,1910
Tillie,5,1910
Velda,5,1910
Wilhelmina,5,1910
Winona,5,1910
Mary,1277,1911
Helen,810,1911
Dorothy,592,1911
Ruth,573,1911
Margaret,510,1911
Mildred,404,1911
Anna,330,1911
Elizabeth,311,1911
Florence,249,1911
Marie,243,1911
Frances,227,1911
Alice,224,1911
Evelyn,213,1911
Thelma,206,1911
Edna,201,1911
Martha,198,1911
Virginia,194,1911
Hazel,191,1911
Rose,191,1911
Gladys,185,1911
Ethel,170,1911
Catherine,167,1911
Lillian,164,1911
Irene,153,1911
Esther,150,1911
Grace,150,1911
Lucille,149,1911
