Name,Frequency,YOB
Mary,326,1910
Ruth,165,1910
Ruby,159,1910
Helen,131,1910
Hazel,114,1910
Dorothy,112,1910
Opal,108,1910
Mildred,103,1910
Gladys,101,1910
Thelma,101,1910
Edna,95,1910
Myrtle,87,1910
Ethel,84,1910
Margaret,84,1910
Marie,84,1910
Grace,81,1910
Irene,77,1910
Anna,76,1910
Bessie,76,1910
Frances,72,1910
Bertha,71,1910
Pauline,71,1910
Edith,70,1910
Pearl,69,1910
Lillian,68,1910
Alice,67,1910
Lillie,66,1910
Minnie,65,1910
Elizabeth,61,1910
Juanita,61,1910
Clara,59,1910
Beatrice,56,1910
Nellie,56,1910
Viola,55,1910
Jessie,54,1910
Evelyn,53,1910
Leona,53,1910
Alma,51,1910
Beulah,51,1910
Georgia,51,1910
Ella,50,1910
Eva,50,1910
Willie,50,1910
Elsie,49,1910
Emma,49,1910
Laura,49,1910
Martha,49,1910
Louise,48,1910
Lucille,47,1910
Jewell,45,1910
Lois,45,1910
Vera,45,1910
Florence,43,1910
Gertrude,43,1910
Mae,43,1910
Velma,43,1910
Mabel,40,1910
Ada,39,1910
Mattie,38,1910
Esther,36,1910
Ida,36,1910
Hattie,34,1910
Virginia,34,1910
Annie,33,1910
Flora,33,1910
Josephine,32,1910
Stella,32,1910
Vivian,32,1910
Betty,31,1910
Lena,31,1910
Ollie,31,1910
Agnes,30,1910
Lola,30,1910
Bernice,29,1910
Marguerite,29,1910
Nora,29,1910
Bonnie,28,1910
Julia,28,1910
Ora,28,1910
Sarah,28,1910
Faye,27,1910
Inez,27,1910
Iva,27,1910
Blanche,26,1910
Jewel,26,1910
Nettie,26,1910
Eula,25,1910
Christine,24,1910
Daisy,24,1910
Effie,24,1910
Jennie,24,1910
Katherine,24,1910
Lucy,24,1910
Lula,24,1910
Doris,23,1910
Eunice,23,1910
Goldie,23,1910
Mable,23,1910
Violet,23,1910
Cora,22,1910
Ellen,22,1910
Maggie,22,1910
Mamie,22,1910
May,22,1910
Lela,21,1910
Rose,21,1910
Dora,20,1910
Elva,20,1910
Flossie,20,1910
Geneva,20,1910
Alta,19,1910
Maudie,19,1910
Ola,19,1910
Susie,19,1910
Wilma,19,1910
Catherine,18,1910
Cleo,18,1910
Lorene,18,1910
Rosa,18,1910
Audrey,17,1910
Fannie,17,1910
Kathryn,17,1910
Marjorie,17,1910
Maude,17,1910
Naomi,17,1910
Sylvia,17,1910
Carrie,16,1910
Fern,16,1910
Nancy,16,1910
Nina,16,1910
Rosie,16,1910
Verna,16,1910
Zella,16,1910
Geraldine,15,1910
Lottie,15,1910
Lucile,15,1910
Maxine,15,1910
Olive,15,1910
Sadie,14,1910
Addie,13,1910
Ann,13,1910
Artie,13,1910
Dollie,13,1910
Erma,13,1910
Essie,13,1910
Jean,13,1910
Letha,13,1910
Mollie,13,1910
Rachel,13,1910
Roberta,13,1910
Wanda,13,1910
Alberta,12,1910
Amanda,12,1910
Bertie,12,1910
Della,12,1910
Fay,12,1910
Irma,12,1910
Jane,12,1910
Katie,12,1910
Lorena,12,1910
Lydia,12,1910
Millie,12,1910
Muriel,12,1910
Nell,12,1910
Patricia,12,1910
Billie,11,1910
Gracie,11,1910
Luella,11,1910
Margie,11,1910
Rena,11,1910
Sally,11,1910
Virgie,11,1910
Francis,10,1910
Leah,10,1910
Lila,10,1910
Norma,10,1910
Winnie,10,1910
Amy,9,1910
Barbara,9,1910
Birdie,9,1910
Callie,9,1910
Charlotte,9,1910
Corine,9,1910
Dovie,9,1910
Emily,9,1910
Genevieve,9,1910
Johnnie,9,1910
Leola,9,1910
Lora,9,1910
Madge,9,1910
Ophelia,9,1910
Vada,9,1910
Alpha,8,1910
Dessie,8,1910
Eleanor,8,1910
Etta,8,1910
Gertie,8,1910
Golda,8,1910
Hester,8,1910
Ina,8,1910
Jo,8,1910
Lenora,8,1910
Maurine,8,1910
Neva,8,1910
