Name,Frequency,YOB
Dorothy,57,1910
Mary,54,1910
Helen,48,1910
Ruth,46,1910
Margaret,43,1910
Frances,34,1910
Elizabeth,31,1910
Alice,30,1910
Evelyn,29,1910
Florence,27,1910
Gladys,27,1910
Mildred,27,1910
Doris,23,1910
Hazel,22,1910
Esther,21,1910
Marie,21,1910
Thelma,21,1910
Anna,20,1910
Edna,20,1910
Gertrude,20,1910
Edith,17,1910
Lois,17,1910
Blanche,16,1910
Myrtle,16,1910
Virginia,16,1910
Agnes,15,1910
Mabel,15,1910
Marjorie,15,1910
Vera,15,1910
Wilma,15,1910
Bessie,14,1910
Louise,14,1910
Eleanor,13,1910
Elsie,13,1910
Ethel,13,1910
Grace,13,1910
Irene,13,1910
Lucille,13,1910
Pearl,13,1910
Rose,13,1910
Ruby,13,1910
Viola,13,1910
Lillian,12,1910
Sylvia,12,1910
Violet,12,1910
Josephine,11,1910
Kathryn,11,1910
Nellie,11,1910
Alma,10,1910
Bertha,10,1910
Catherine,10,1910
Clara,10,1910
Jean,10,1910
Norma,10,1910
Barbara,9,1910
Geraldine,9,1910
Leona,9,1910
Marguerite,9,1910
Beatrice,8,1910
Ellen,8,1910
Jessie,8,1910
Lena,8,1910
Velma,8,1910
Vivian,8,1910
Betty,7,1910
Cora,7,1910
Eunice,7,1910
Genevieve,7,1910
Janet,7,1910
Katherine,7,1910
Laura,7,1910
Nancy,7,1910
Olive,7,1910
Opal,7,1910
Pauline,7,1910
Sarah,7,1910
Alta,6,1910
Bonnie,6,1910
Carol,6,1910
Charlotte,6,1910
Ida,6,1910
Juanita,6,1910
June,6,1910
Maxine,6,1910
Minnie,6,1910
Sally,6,1910
Bernice,5,1910
Ella,5,1910
Erma,5,1910
Eva,5,1910
Georgia,5,1910
Irma,5,1910
Jane,5,1910
Kathleen,5,1910
Lola,5,1910
Marian,5,1910
Marion,5,1910
Melba,5,1910
Mona,5,1910
Rachel,5,1910
Sadie,5,1910
Shirley,5,1910
Dorothy,90,1911
Helen,86,1911
Mary,73,1911
Ruth,53,1911
Margaret,49,1911
Mildred,44,1911
Elizabeth,34,1911
Evelyn,34,1911
