Name,Frequency,YOB
Mary,141,1910
Helen,63,1910
Margaret,55,1910
Dorothy,54,1910
Alice,45,1910
Anna,44,1910
Ruth,42,1910
Florence,34,1910
Rose,33,1910
Catherine,31,1910
Irene,31,1910
Mildred,29,1910
Elizabeth,25,1910
Lillian,24,1910
Evelyn,21,1910
Ethel,20,1910
Gertrude,20,1910
Edith,19,1910
Esther,17,1910
Frances,17,1910
Beatrice,16,1910
Gladys,16,1910
Marie,16,1910
Marion,16,1910
Angelina,15,1910
Doris,15,1910
Josephine,15,1910
Louise,15,1910
Theresa,13,1910
Agnes,12,1910
Elsie,12,1910
Hazel,12,1910
Julia,12,1910
Marjorie,12,1910
Grace,11,1910
Loretta,11,1910
Yvonne,11,1910
Anne,10,1910
Viola,10,1910
Edna,9,1910
Eleanor,9,1910
Jeannette,9,1910
Madeline,9,1910
Marguerite,9,1910
Martha,9,1910
Pauline,9,1910
Virginia,9,1910
Adeline,8,1910
Ann,8,1910
Charlotte,8,1910
Eva,8,1910
Ida,8,1910
Maria,8,1910
Myrtle,8,1910
Amelia,7,1910
Christine,7,1910
Claire,7,1910
Flora,7,1910
Katherine,7,1910
Mabel,7,1910
Sarah,7,1910
Barbara,6,1910
Caroline,6,1910
Cecile,6,1910
Clara,6,1910
Emily,6,1910
Estelle,6,1910
Hope,6,1910
Jean,6,1910
Laura,6,1910
Phyllis,6,1910
Rita,6,1910
Sylvia,6,1910
Winifred,6,1910
Angela,5,1910
Annette,5,1910
Annie,5,1910
Antoinette,5,1910
Bertha,5,1910
Betty,5,1910
Blanche,5,1910
Emma,5,1910
Helene,5,1910
Jennie,5,1910
Kathleen,5,1910
Lena,5,1910
Marian,5,1910
Muriel,5,1910
Nancy,5,1910
Mary,168,1911
Helen,82,1911
Anna,66,1911
Margaret,64,1911
Dorothy,50,1911
Ruth,50,1911
Alice,49,1911
Rose,46,1911
Florence,39,1911
Elizabeth,37,1911
Irene,34,1911
Lillian,33,1911
Evelyn,30,1911
Catherine,26,1911
Gladys,25,1911
Louise,25,1911
Doris,24,1911
Gertrude,23,1911
Josephine,23,1911
Edith,22,1911
Edna,20,1911
Mildred,20,1911
Virginia,20,1911
Marie,19,1911
Beatrice,17,1911
Frances,17,1911
Jeannette,17,1911
Marion,17,1911
Ann,16,1911
Eleanor,16,1911
Grace,16,1911
Bertha,15,1911
Emma,15,1911
Esther,15,1911
Hazel,14,1911
Ethel,13,1911
Jennie,13,1911
Julia,13,1911
Laura,13,1911
Clara,12,1911
Eva,12,1911
Hope,12,1911
Loretta,12,1911
Lucy,12,1911
Angelina,11,1911
Marguerite,11,1911
Rita,11,1911
Agnes,10,1911
Blanche,10,1911
Lena,10,1911
Mae,10,1911
Martha,10,1911
Theresa,10,1911
Viola,10,1911
Amelia,9,1911
Claire,9,1911
Harriet,9,1911
Vera,9,1911
Angela,8,1911
Charlotte,8,1911
Flora,8,1911
Ida,8,1911
Nancy,8,1911
Sophie,8,1911
Anne,7,1911
Annie,7,1911
Elsie,7,1911
Germaine,7,1911
Jeanne,7,1911
Katherine,7,1911
Myrtle,7,1911
Nora,7,1911
Pearl,7,1911
Ella,6,1911
Ellen,6,1911
Emily,6,1911
Filomena,6,1911
Genevieve,6,1911
Hilda,6,1911
Lydia,6,1911
Madeline,6,1911
Maria,6,1911
Marjorie,6,1911
Phyllis,6,1911
Teresa,6,1911
Adeline,5,1911
Barbara,5,1911
Bernice,5,1911
Betty,5,1911
Cecelia,5,1911
Cecilia,5,1911
Dora,5,1911
Elena,5,1911
Jean,5,1911
Mabel,5,1911
Matilda,5,1911
Sylvia,5,1911
Victoria,5,1911
Violet,5,1911
Vivian,5,1911
Yvonne,5,1911
Mary,266,1912
Helen,111,1912
Dorothy,88,1912
Margaret,78,1912
Anna,72,1912
Alice,65,1912
Rose,57,1912
Ruth,53,1912
Lillian,51,1912
Florence,50,1912
Mildred,47,1912
Elizabeth,44,1912
Catherine,40,1912
Doris,39,1912
Frances,36,1912
Gertrude,34,1912
Irene,33,1912
Marie,30,1912
Emma,29,1912
Evelyn,29,1912
Josephine,29,1912
Marion,29,1912
Beatrice,28,1912
Edith,28,1912
Esther,28,1912
Grace,27,1912
Eleanor,26,1912
Louise,26,1912
Edna,25,1912
Eva,22,1912
Jennie,22,1912
Agnes,21,1912
Hazel,21,1912
Loretta,19,1912
Virginia,19,1912
Marguerite,18,1912
Bertha,17,1912
Elsie,16,1912
Theresa,16,1912
Viola,16,1912
Ann,15,1912
Anne,15,1912
Blanche,15,1912
Emily,15,1912
Jean,15,1912
Martha,15,1912
Barbara,14,1912
Gladys,14,1912
Jeannette,14,1912
Katherine,14,1912
Madeline,14,1912
Ethel,13,1912
Lucy,13,1912
Angelina,12,1912
Maria,12,1912
Marjorie,12,1912
Hope,11,1912
Ida,11,1912
Jessie,11,1912
Sarah,11,1912
Antonetta,10,1912
Clara,10,1912
Constance,10,1912
Ella,10,1912
Laura,10,1912
Muriel,10,1912
Yvonne,10,1912
Amelia,9,1912
Carolyn,9,1912
Charlotte,9,1912
Ellen,9,1912
Germaine,9,1912
Kathleen,9,1912
Lois,9,1912
Mabel,9,1912
Sally,9,1912
Stella,9,1912
Victoria,9,1912
Cecile,8,1912
Harriet,8,1912
Sadie,8,1912
Sophie,8,1912
Winifred,8,1912
Angela,7,1912
Anita,7,1912
Celia,7,1912
Claire,7,1912
Dolores,7,1912
Dorothea,7,1912
Elvira,7,1912
Flora,7,1912
Hilda,7,1912
Jane,7,1912
Jeanette,7,1912
Julia,7,1912
Kathryn,7,1912
Lena,7,1912
Matilda,7,1912
Olga,7,1912
Phyllis,7,1912
Susan,7,1912
Vera,7,1912
Violet,7,1912
Annie,6,1912
Carmela,6,1912
Christina,6,1912
Concetta,6,1912
Dora,6,1912
Isabelle,6,1912
Mae,6,1912
Miriam,6,1912
Myrtle,6,1912
Olive,6,1912
Sylvia,6,1912
Adelaide,5,1912
Avis,5,1912
Bessie,5,1912
Caroline,5,1912
Estelle,5,1912
Evangeline,5,1912
Filomena,5,1912
Genevieve,5,1912
Gilda,5,1912
Juliette,5,1912
Lydia,5,1912
Madeleine,5,1912
Marian,5,1912
Pauline,5,1912
Mary,269,1913
Helen,112,1913
Margaret,92,1913
Anna,91,1913
Dorothy,84,1913
Elizabeth,70,1913
Lillian,60,1913
Rose,59,1913
Ruth,58,1913
Florence,54,1913
Catherine,47,1913
Alice,45,1913
Marie,44,1913
Mildred,44,1913
Evelyn,40,1913
Doris,38,1913
Gertrude,38,1913
Irene,38,1913
Eleanor,35,1913
Josephine,35,1913
Gladys,34,1913
Marion,31,1913
Beatrice,30,1913
Edna,28,1913
Frances,28,1913
Eva,26,1913
Ethel,25,1913
Virginia,24,1913
Blanche,22,1913
Elsie,22,1913
Grace,22,1913
Julia,21,1913
Barbara,20,1913
Emma,20,1913
Jennie,20,1913
Louise,20,1913
Marjorie,19,1913
Bertha,18,1913
Edith,18,1913
Esther,18,1913
Clara,17,1913
Ida,17,1913
Laura,17,1913
Agnes,16,1913
Angelina,16,1913
Ann,16,1913
Anne,16,1913
Emily,16,1913
Martha,16,1913
Ellen,14,1913
Sarah,14,1913
Theresa,14,1913
Jeannette,13,1913
Lena,13,1913
Madeline,13,1913
Stella,13,1913
Amelia,12,1913
Genevieve,12,1913
Germaine,12,1913
Katherine,12,1913
Rita,12,1913
Yvonne,12,1913
Annie,11,1913
Cecile,11,1913
Claire,11,1913
Eileen,11,1913
Hazel,11,1913
Olive,11,1913
Phyllis,11,1913
Filomena,10,1913
Jean,10,1913
Loretta,10,1913
Lucy,10,1913
Marguerite,10,1913
Maria,10,1913
Muriel,10,1913
Myrtle,10,1913
Angela,9,1913
Anita,9,1913
Jessie,9,1913
Mae,9,1913
Olga,9,1913
Sylvia,9,1913
Vera,9,1913
Bessie,8,1913
Dora,8,1913
Ella,8,1913
Etta,8,1913
Janet,8,1913
Minnie,8,1913
Nancy,8,1913
Viola,8,1913
Adeline,7,1913
Carmela,7,1913
Christina,7,1913
Elvira,7,1913
Helena,7,1913
Juliette,7,1913
Kathleen,7,1913
Natalie,7,1913
Pauline,7,1913
Pearl,7,1913
Violet,7,1913
Winifred,7,1913
Ada,6,1913
Annette,6,1913
Antonetta,6,1913
Carmella,6,1913
Cecilia,6,1913
