Name,Frequency,YOB
Mary,602,1910
Annie,305,1910
Louise,173,1910
Rosa,145,1910
Elizabeth,144,1910
Ruth,144,1910
Ethel,143,1910
Bessie,135,1910
Carrie,131,1910
Sarah,128,1910
Mattie,123,1910
Marie,119,1910
Hattie,116,1910
Maggie,114,1910
Lillie,111,1910
Bertha,107,1910
Margaret,101,1910
Willie,101,1910
Anna,97,1910
Mamie,94,1910
Minnie,93,1910
Alice,92,1910
Ella,89,1910
Frances,88,1910
Ida,88,1910
Julia,88,1910
Lucille,86,1910
Jessie,85,1910
Emma,84,1910
Eva,84,1910
Helen,83,1910
Martha,81,1910
Viola,81,1910
Lillian,79,1910
Pearl,78,1910
Gladys,76,1910
Janie,76,1910
Daisy,72,1910
Geneva,72,1910
Ruby,71,1910
Alma,70,1910
Fannie,67,1910
Clara,64,1910
Evelyn,63,1910
Laura,60,1910
Cora,58,1910
Gertrude,58,1910
Irene,58,1910
Essie,57,1910
Lula,56,1910
Mildred,55,1910
Grace,54,1910
Rebecca,54,1910
Sadie,52,1910
Thelma,52,1910
Dorothy,51,1910
Lizzie,51,1910
Nellie,51,1910
Pauline,51,1910
Inez,50,1910
Susie,50,1910
Beatrice,49,1910
Edna,49,1910
Estelle,49,1910
Rose,49,1910
Lucile,48,1910
Florence,47,1910
Lois,47,1910
Sallie,47,1910
Virginia,46,1910
Josephine,45,1910
Lottie,42,1910
Ellen,41,1910
Ada,39,1910
Edith,39,1910
Mabel,38,1910
Agnes,37,1910
Katie,36,1910
Mae,36,1910
Alberta,35,1910
Nancy,35,1910
Jannie,34,1910
Beulah,33,1910
Eliza,33,1910
Myrtle,33,1910
Christine,32,1910
Eunice,32,1910
Georgia,32,1910
Henrietta,32,1910
Sara,32,1910
Catherine,31,1910
Dora,31,1910
Esther,31,1910
Addie,30,1910
Blanche,30,1910
Eula,30,1910
Maude,30,1910
Nettie,30,1910
Victoria,29,1910
Eloise,27,1910
Hazel,27,1910
Ollie,27,1910
Mable,26,1910
Rachel,26,1910
Vera,26,1910
Leola,25,1910
Lucy,23,1910
Wilhelmina,23,1910
Jennie,22,1910
Lena,22,1910
Bernice,21,1910
Cleo,21,1910
Effie,21,1910
Katherine,21,1910
Nora,21,1910
Juanita,20,1910
Ola,20,1910
Rosalie,20,1910
Sue,20,1910
Earline,19,1910
Lila,19,1910
Emily,18,1910
Flora,18,1910
Flossie,18,1910
Gussie,18,1910
Leona,18,1910
May,18,1910
Lessie,17,1910
Anne,16,1910
Hester,16,1910
Kate,16,1910
Albertha,15,1910
Ann,15,1910
Isabelle,15,1910
Leila,15,1910
Marion,15,1910
Naomi,15,1910
Queenie,15,1910
Rosie,15,1910
Charlotte,14,1910
Etta,14,1910
Kathleen,14,1910
Lydia,14,1910
Odessa,14,1910
Ora,14,1910
Amanda,13,1910
Amelia,13,1910
Della,13,1910
Elsie,13,1910
Estella,13,1910
Gracie,13,1910
Hallie,13,1910
Hannah,13,1910
Lela,13,1910
Lola,13,1910
Wilma,13,1910
Betty,12,1910
Corine,12,1910
Elma,12,1910
Margie,12,1910
Sylvia,12,1910
Caroline,11,1910
Cornelia,11,1910
Corrie,11,1910
Dessie,11,1910
Eleanor,11,1910
Estell,11,1910
Eugenia,11,1910
Florine,11,1910
Maybelle,11,1910
Sally,11,1910
Susan,11,1910
Violet,11,1910
Dollie,10,1910
Marguerite,10,1910
Nannie,10,1910
Queen,10,1910
Roberta,10,1910
Rosalee,10,1910
Vivian,10,1910
Allie,9,1910
Amy,9,1910
Annabelle,9,1910
Corrine,9,1910
Doris,9,1910
Elise,9,1910
Elouise,9,1910
Isabell,9,1910
Josie,9,1910
Letha,9,1910
Maria,9,1910
Marian,9,1910
Stella,9,1910
Theresa,9,1910
Belle,8,1910
Bertie,8,1910
Birdie,8,1910
Callie,8,1910
Celia,8,1910
Claudia,8,1910
Ernestine,8,1910
Geraldine,8,1910
Leatha,8,1910
Luvenia,8,1910
Nell,8,1910
Olivia,8,1910
Sudie,8,1910
Aline,7,1910
Carolyn,7,1910
Connie,7,1910
Dolly,7,1910
Emmie,7,1910
Frankie,7,1910
Georgie,7,1910
Harriet,7,1910
Iola,7,1910
Isabella,7,1910
Jean,7,1910
Johnnie,7,1910
Kathryn,7,1910
Lelia,7,1910
Lurline,7,1910
Mollie,7,1910
Mozell,7,1910
Odell,7,1910
Verna,7,1910
Adeline,6,1910
Bell,6,1910
Bonnie,6,1910
Cassie,6,1910
Idell,6,1910
Iona,6,1910
Irma,6,1910
Lettie,6,1910
Margret,6,1910
Marjorie,6,1910
