Name,Frequency,YOB
Helen,60,1910
Mary,58,1910
Ruth,52,1910
Dorothy,50,1910
Florence,49,1910
Margaret,43,1910
Mildred,43,1910
Evelyn,40,1910
Gladys,39,1910
Viola,38,1910
Alice,37,1910
Frances,36,1910
Anna,34,1910
Marie,34,1910
Hazel,31,1910
Esther,30,1910
Lucille,30,1910
Elsie,29,1910
Edna,27,1910
Irene,27,1910
Lillian,27,1910
Clara,25,1910
Myrtle,25,1910
Agnes,22,1910
Edith,22,1910
Mabel,22,1910
Rose,21,1910
Emma,20,1910
Grace,20,1910
Bernice,19,1910
Ella,19,1910
Elizabeth,18,1910
Ida,18,1910
Marjorie,17,1910
Ruby,17,1910
Bertha,16,1910
Catherine,16,1910
Gertrude,16,1910
Pearl,16,1910
Alma,15,1910
Thelma,15,1910
Doris,14,1910
Eva,14,1910
Sylvia,14,1910
Violet,14,1910
Martha,13,1910
Ethel,12,1910
Lois,12,1910
Louise,12,1910
Blanche,11,1910
Julia,11,1910
Leona,11,1910
Vera,11,1910
Eleanor,10,1910
Eunice,10,1910
Hilda,10,1910
Laura,10,1910
Lydia,10,1910
Marian,10,1910
Maxine,10,1910
Sarah,10,1910
Beulah,9,1910
Fern,9,1910
Genevieve,9,1910
Josephine,9,1910
Mae,9,1910
Nellie,9,1910
Olga,9,1910
Opal,9,1910
Pauline,9,1910
Virginia,9,1910
Anne,8,1910
Caroline,8,1910
Erma,8,1910
Kathryn,8,1910
Verna,8,1910
Adeline,7,1910
Ann,7,1910
Beatrice,7,1910
Bessie,7,1910
Jessie,7,1910
Lena,7,1910
Loretta,7,1910
Lucy,7,1910
Minnie,7,1910
Selma,7,1910
Velma,7,1910
Vivian,7,1910
Wilma,7,1910
Carrie,6,1910
Eileen,6,1910
Ellen,6,1910
Harriet,6,1910
Hattie,6,1910
Irma,6,1910
Katherine,6,1910
Lorraine,6,1910
Luella,6,1910
Marguerite,6,1910
Marion,6,1910
Olive,6,1910
Winifred,6,1910
Alvina,5,1910
Amy,5,1910
Christine,5,1910
Dora,5,1910
Geneva,5,1910
Inez,5,1910
Isabelle,5,1910
Jennie,5,1910
Nora,5,1910
Helen,80,1911
Mary,68,1911
Dorothy,60,1911
Margaret,53,1911
Ruth,48,1911
Evelyn,47,1911
Alice,46,1911
Marie,39,1911
Mildred,39,1911
Edna,34,1911
Hazel,34,1911
Esther,33,1911
Florence,32,1911
Anna,31,1911
