Name,Frequency,YOB
Mary,735,1910
Ruby,168,1910
Annie,163,1910
Ruth,163,1910
Elizabeth,154,1910
Louise,151,1910
Margaret,149,1910
Willie,147,1910
Ethel,133,1910
Lillie,129,1910
Gladys,125,1910
Mildred,125,1910
Edna,120,1910
Bessie,114,1910
Edith,113,1910
Pearl,113,1910
Mattie,109,1910
Sarah,104,1910
Dorothy,102,1910
Martha,96,1910
Thelma,95,1910
Anna,94,1910
Emma,94,1910
Lucille,93,1910
Alice,92,1910
Lillian,92,1910
Hazel,90,1910
Helen,90,1910
Minnie,88,1910
Nellie,86,1910
Grace,85,1910
Myrtle,85,1910
Frances,83,1910
Jessie,80,1910
Virginia,79,1910
Irene,78,1910
Hattie,76,1910
Clara,74,1910
Laura,71,1910
Marie,69,1910
Pauline,69,1910
Bertha,68,1910
Lena,67,1910
Georgia,66,1910
Beulah,65,1910
Katherine,64,1910
Mae,64,1910
Mamie,64,1910
Ida,63,1910
Eva,62,1910
Fannie,62,1910
Alma,61,1910
Beatrice,59,1910
Carrie,58,1910
Elsie,57,1910
Maggie,56,1910
Evelyn,55,1910
Lula,53,1910
Gertrude,51,1910
Daisy,50,1910
Florence,47,1910
Ada,46,1910
Cora,46,1910
Ollie,46,1910
Addie,45,1910
Betty,45,1910
Bonnie,45,1910
Nancy,44,1910
Catherine,43,1910
Mabel,43,1910
Nannie,43,1910
Ora,42,1910
Ella,41,1910
Geneva,41,1910
Lucy,41,1910
Sallie,41,1910
Stella,41,1910
Viola,41,1910
Rosie,40,1910
Susie,40,1910
Christine,39,1910
Della,39,1910
Dora,39,1910
Flossie,39,1910
Opal,39,1910
Rosa,39,1910
Leona,38,1910
Maude,38,1910
Nora,38,1910
Vera,38,1910
Blanche,37,1910
Katie,37,1910
Lois,37,1910
Eula,35,1910
Julia,35,1910
Nell,35,1910
Effie,33,1910
Flora,32,1910
Lela,32,1910
Ann,31,1910
Jennie,31,1910
Josephine,31,1910
Rose,31,1910
Alberta,30,1910
Ellen,30,1910
Nettie,30,1910
Ola,30,1910
Velma,29,1910
Esther,28,1910
Sadie,28,1910
Lola,27,1910
Mable,27,1910
Lizzie,26,1910
Lorene,26,1910
Bernice,25,1910
Bertie,25,1910
Cleo,25,1910
Nola,25,1910
Agnes,24,1910
Birdie,24,1910
Essie,24,1910
Janie,24,1910
Juanita,24,1910
Lucile,24,1910
Eunice,23,1910
Gracie,23,1910
Iva,22,1910
May,22,1910
Dollie,21,1910
Kathleen,21,1910
Rebecca,21,1910
Wilma,21,1910
Elnora,20,1910
Ina,20,1910
Johnnie,20,1910
Virgie,20,1910
Hallie,19,1910
Inez,19,1910
Lottie,19,1910
Mollie,19,1910
Rachel,19,1910
Sara,19,1910
Allie,18,1910
Etta,18,1910
Jewel,18,1910
Marjorie,18,1910
Reba,18,1910
Verna,18,1910
Callie,17,1910
Goldie,17,1910
Jane,17,1910
Robbie,17,1910
Roberta,17,1910
Roxie,17,1910
Vivian,17,1910
Winnie,17,1910
Eliza,16,1910
Jewell,16,1910
Violet,16,1910
Estelle,15,1910
Georgie,15,1910
Kate,15,1910
Nina,15,1910
Artie,14,1910
Gertie,14,1910
Josie,14,1910
Lou,14,1910
Lydia,14,1910
Margie,14,1910
Pearlie,14,1910
Zelma,14,1910
Alta,13,1910
Amanda,13,1910
Anne,13,1910
Dessie,13,1910
Maud,13,1910
Odell,13,1910
Ophelia,13,1910
Willa,13,1910
Amy,12,1910
Barbara,12,1910
Eleanor,12,1910
Hester,12,1910
Irma,12,1910
Kathryn,12,1910
Lora,12,1910
Maudie,12,1910
Mossie,12,1910
Sally,12,1910
Tommie,12,1910
Emily,11,1910
Erma,11,1910
Henrietta,11,1910
Lona,11,1910
Marguerite,11,1910
Marion,11,1910
Naomi,11,1910
Rubye,11,1910
Sue,11,1910
Allene,10,1910
Audrey,10,1910
Corinne,10,1910
Dixie,10,1910
Estella,10,1910
Frankie,10,1910
Jean,10,1910
John,10,1910
Lessie,10,1910
Nona,10,1910
Odessa,10,1910
Rena,10,1910
Rhoda,10,1910
Aileen,9,1910
Aline,9,1910
Blanch,9,1910
Charlotte,9,1910
Delia,9,1910
Dovie,9,1910
Eddie,9,1910
Eloise,9,1910
Elva,9,1910
Ernestine,9,1910
Ila,9,1910
Linnie,9,1910
Madge,9,1910
Matilda,9,1910
Norma,9,1910
Tennie,9,1910
Theresa,9,1910
Vallie,9,1910
Bulah,8,1910
Doris,8,1910
Elise,8,1910
Hettie,8,1910
Jeanette,8,1910
Johnie,8,1910
Lee,8,1910
Lenora,8,1910
Leola,8,1910
Lorena,8,1910
Madeline,8,1910
Ruthie,8,1910
Alpha,7,1910
Amelia,7,1910
Billie,7,1910
Bobbie,7,1910
Cassie,7,1910
Cecil,7,1910
Earline,7,1910
Elma,7,1910
Evie,7,1910
Francis,7,1910
Hannah,7,1910
Harriet,7,1910
Hilda,7,1910
Jannie,7,1910
Lelia,7,1910
Lennie,7,1910
Lily,7,1910
Loraine,7,1910
Lorine,7,1910
Ludie,7,1910
Lura,7,1910
Margret,7,1910
Maxine,7,1910
Ocie,7,1910
Oma,7,1910
Trula,7,1910
Vada,7,1910
Vina,7,1910
Zella,7,1910
Annis,6,1910
Augusta,6,1910
Buna,6,1910
Cara,6,1910
Claudia,6,1910
Cordelia,6,1910
Corene,6,1910
Corine,6,1910
Cynthia,6,1910
Era,6,1910
Ester,6,1910
Eugenia,6,1910
Fay,6,1910
Freda,6,1910
Iona,6,1910
Lovie,6,1910
Mazie,6,1910
Millie,6,1910
Nila,6,1910
Olive,6,1910
Olivia,6,1910
Shirley,6,1910
Sylvia,6,1910
Vergie,6,1910
Zona,6,1910
Auda,5,1910
Bettie,5,1910
Carmen,5,1910
Carolyn,5,1910
Cornelia,5,1910
Edythe,5,1910
Emmer,5,1910
Estell,5,1910
Florida,5,1910
Florine,5,1910
Freddie,5,1910
George,5,1910
Geraldine,5,1910
Gussie,5,1910
Harriett,5,1910
Hassie,5,1910
Jimmie,5,1910
Joe,5,1910
Kattie,5,1910
Lassie,5,1910
Leora,5,1910
Lera,5,1910
Lettie,5,1910
Linda,5,1910
Loretta,5,1910
Louella,5,1910
Lyda,5,1910
Mallie,5,1910
Mandy,5,1910
Merle,5,1910
Nadine,5,1910
Nelle,5,1910
Ona,5,1910
Pattie,5,1910
Rubie,5,1910
Savannah,5,1910
Sophia,5,1910
Sophie,5,1910
Susan,5,1910
Verda,5,1910
Vernie,5,1910
Zula,5,1910
Mary,721,1911
Ruby,201,1911
Ruth,180,1911
Annie,168,1911
Mildred,158,1911
Margaret,150,1911
Elizabeth,147,1911
Louise,127,1911
Willie,126,1911
Gladys,122,1911
Martha,119,1911
Bessie,118,1911
