Name,Frequency,YOB
Mary,57,1910
Dorothy,38,1910
Helen,36,1910
Ruth,34,1910
Margaret,32,1910
Thelma,32,1910
Edna,27,1910
Florence,27,1910
Erma,26,1910
Virginia,23,1910
Lucille,21,1910
Alice,19,1910
Mildred,19,1910
Edith,18,1910
Grace,18,1910
Irene,18,1910
Hazel,16,1910
Louise,15,1910
Phyllis,15,1910
Ruby,15,1910
Blanche,14,1910
Eva,14,1910
Bernice,13,1910
Evelyn,13,1910
Ida,13,1910
Lois,13,1910
Marie,13,1910
Rose,13,1910
Anna,12,1910
Clara,11,1910
Ethel,11,1910
Melba,11,1910
Pearl,11,1910
Vera,11,1910
Afton,10,1910
Della,10,1910
Elizabeth,10,1910
Gertrude,10,1910
Gladys,10,1910
Vivian,10,1910
Elva,9,1910
Frances,9,1910
Katherine,9,1910
Lillian,9,1910
Violet,9,1910
Ada,8,1910
Elsie,8,1910
Emma,8,1910
Leona,8,1910
Martha,8,1910
Maxine,8,1910
Norma,8,1910
Alta,7,1910
Genevieve,7,1910
Georgia,7,1910
Jean,7,1910
Jennie,7,1910
Josephine,7,1910
Mable,7,1910
Marjorie,7,1910
Myrtle,7,1910
Sarah,7,1910
Verda,7,1910
Viola,7,1910
Ann,6,1910
Beth,6,1910
Emily,6,1910
Iris,6,1910
Irma,6,1910
June,6,1910
Lucy,6,1910
Lula,6,1910
Mabel,6,1910
Maurine,6,1910
Nellie,6,1910
Wanda,6,1910
Betty,5,1910
Doris,5,1910
Eleanor,5,1910
Elma,5,1910
Ila,5,1910
Madge,5,1910
Naomi,5,1910
Opal,5,1910
Rhea,5,1910
Thora,5,1910
Verna,5,1910
Mary,71,1911
Helen,57,1911
Ruth,54,1911
Dorothy,38,1911
Margaret,36,1911
Virginia,29,1911
Alice,28,1911
Florence,28,1911
Mildred,26,1911
Hazel,23,1911
Erma,22,1911
Thelma,21,1911
Elizabeth,20,1911
Vera,20,1911
Edith,19,1911
Ethel,19,1911
Ruby,19,1911
Edna,17,1911
Elva,17,1911
Wanda,17,1911
Louise,16,1911
Afton,14,1911
Clara,14,1911
Emma,14,1911
Evelyn,14,1911
Fern,14,1911
Mae,14,1911
Lois,13,1911
Gertrude,12,1911
Sarah,12,1911
Bernice,11,1911
Ellen,11,1911
Gladys,11,1911
Irene,11,1911
Lucille,11,1911
Martha,11,1911
Norma,11,1911
Alta,10,1911
Anna,10,1911
Bessie,10,1911
Eva,10,1911
Grace,10,1911
Melba,10,1911
Beatrice,9,1911
Frances,9,1911
Ida,9,1911
Leah,9,1911
Leona,9,1911
Marie,9,1911
Pearl,9,1911
Ada,8,1911
Agnes,8,1911
Ann,8,1911
Bertha,8,1911
Katherine,8,1911
Maude,8,1911
Phyllis,8,1911
Sylvia,8,1911
Della,7,1911
Ella,7,1911
Esther,7,1911
Fay,7,1911
Jean,7,1911
Jennie,7,1911
Kathryn,7,1911
Mabel,7,1911
Donna,6,1911
Doris,6,1911
Elsie,6,1911
Genevieve,6,1911
Ila,6,1911
Josephine,6,1911
Lucile,6,1911
Marian,6,1911
Maxine,6,1911
Myrtle,6,1911
Ora,6,1911
Rhoda,6,1911
Stella,6,1911
Velma,6,1911
Annie,5,1911
Blanche,5,1911
Catherine,5,1911
Cleo,5,1911
Dora,5,1911
Fawn,5,1911
Hilda,5,1911
Kathleen,5,1911
Katie,5,1911
Lillian,5,1911
Lula,5,1911
Marion,5,1911
Minnie,5,1911
Naomi,5,1911
Pauline,5,1911
Thora,5,1911
Violet,5,1911
Vivian,5,1911
Wilma,5,1911
Zelma,5,1911
Mary,86,1912
Helen,68,1912
Ruth,58,1912
Dorothy,51,1912
Margaret,50,1912
Edna,40,1912
Virginia,40,1912
Mildred,35,1912
Alice,33,1912
Florence,33,1912
Edith,26,1912
Evelyn,26,1912
Bernice,25,1912
Thelma,24,1912
Hazel,23,1912
Irene,23,1912
Louise,23,1912
Vera,23,1912
Fern,22,1912
Grace,22,1912
Phyllis,22,1912
Ruby,22,1912
Eva,21,1912
Gladys,20,1912
Lois,19,1912
Norma,19,1912
Wanda,19,1912
Emma,18,1912
Ethel,17,1912
Elizabeth,16,1912
Erma,16,1912
Josephine,16,1912
Lucille,16,1912
Anna,15,1912
Blanche,15,1912
Bessie,14,1912
Elva,14,1912
Ida,14,1912
Marjorie,14,1912
May,14,1912
Nellie,14,1912
Wilma,14,1912
Ada,13,1912
Afton,13,1912
Beth,13,1912
Clara,13,1912
Frances,13,1912
June,13,1912
Katherine,13,1912
Leona,13,1912
Mabel,13,1912
Donna,12,1912
Ella,12,1912
Ellen,12,1912
Julia,12,1912
Laura,12,1912
Marie,12,1912
Merle,12,1912
Rose,12,1912
Bertha,10,1912
Elsie,10,1912
Esther,10,1912
Marguerite,10,1912
Martha,10,1912
Melba,10,1912
Pearl,10,1912
Viola,10,1912
Beatrice,9,1912
Elaine,9,1912
Genevieve,9,1912
Lillian,9,1912
Marian,9,1912
Maxine,9,1912
Myrtle,9,1912
Sarah,9,1912
Verda,9,1912
Annie,8,1912
Beulah,8,1912
Lola,8,1912
Miriam,8,1912
Thora,8,1912
Audrey,7,1912
Della,7,1912
Enid,7,1912
Jennie,7,1912
