Name,Frequency,YOB
Mary,848,1910
Virginia,270,1910
Elizabeth,254,1910
Ruth,218,1910
Margaret,209,1910
Helen,185,1910
Annie,181,1910
Ethel,172,1910
Louise,168,1910
Frances,160,1910
Gladys,152,1910
Lillian,131,1910
Dorothy,130,1910
Alice,129,1910
Martha,124,1910
Bessie,118,1910
Elsie,115,1910
Ruby,114,1910
Mildred,108,1910
Thelma,108,1910
Marie,106,1910
Bertha,99,1910
Edna,99,1910
Evelyn,99,1910
Lucille,97,1910
Grace,96,1910
Lucy,94,1910
Anna,93,1910
Nellie,92,1910
Viola,90,1910
Emma,89,1910
Carrie,85,1910
Hazel,83,1910
Sarah,83,1910
Irene,82,1910
Mabel,81,1910
Eva,79,1910
Lillie,77,1910
Rosa,77,1910
Hattie,76,1910
Gertrude,74,1910
Myrtle,74,1910
Beatrice,72,1910
Edith,72,1910
Florence,72,1910
Ida,72,1910
Mamie,72,1910
Minnie,71,1910
Pearl,71,1910
Susie,71,1910
Fannie,70,1910
Ella,69,1910
Julia,67,1910
Nannie,66,1910
Mattie,65,1910
Catherine,62,1910
Pauline,60,1910
Katherine,57,1910
Clara,55,1910
Laura,55,1910
Blanche,53,1910
Rebecca,53,1910
Alma,52,1910
Josephine,52,1910
Maggie,51,1910
Willie,48,1910
Agnes,47,1910
Bernice,47,1910
Lena,47,1910
Nancy,47,1910
Ada,45,1910
Lula,45,1910
Sallie,45,1910
Daisy,44,1910
Doris,44,1910
Mae,41,1910
Ellen,40,1910
Rose,40,1910
Lottie,37,1910
Maude,37,1910
Virgie,37,1910
Kathleen,36,1910
Beulah,35,1910
Geneva,35,1910
Goldie,35,1910
Cora,34,1910
Effie,34,1910
Nettie,34,1910
Jessie,33,1910
Sadie,33,1910
Stella,33,1910
Anne,31,1910
Georgia,31,1910
Janie,31,1910
Katie,31,1910
Lola,31,1910
Esther,30,1910
Eula,30,1910
Ann,29,1910
Christine,29,1910
Estelle,29,1910
Lois,29,1910
Ollie,29,1910
Flossie,28,1910
Betty,27,1910
Della,27,1910
Eleanor,27,1910
Gracie,27,1910
Hallie,27,1910
Inez,26,1910
Juanita,26,1910
Jennie,25,1910
Rachel,25,1910
Dora,24,1910
Nora,24,1910
Audrey,23,1910
Essie,23,1910
Marion,23,1910
Ora,23,1910
Violet,23,1910
Bettie,22,1910
Hilda,22,1910
Mable,22,1910
Rosie,22,1910
Eliza,21,1910
Elnora,21,1910
Jean,21,1910
Lizzie,21,1910
Etta,20,1910
Eunice,20,1910
Addie,19,1910
Leona,19,1910
Alberta,18,1910
Amanda,18,1910
Charlotte,18,1910
Emily,18,1910
Flora,18,1910
Harriet,18,1910
Irma,18,1910
Margie,18,1910
Ola,18,1910
Vivian,18,1910
Bonnie,17,1910
Jane,17,1910
Lelia,17,1910
Sally,17,1910
Dollie,16,1910
Leola,16,1910
May,16,1910
Mollie,16,1910
Naomi,16,1910
Roberta,16,1910
Elva,15,1910
Henrietta,15,1910
Kathryn,15,1910
Madeline,15,1910
Marian,15,1910
Sara,15,1910
Hester,14,1910
Victoria,14,1910
Erma,13,1910
Lydia,13,1910
Marguerite,13,1910
Ophelia,13,1910
Sylvia,13,1910
Vera,13,1910
Bertie,12,1910
Cornelia,12,1910
Kate,12,1910
Marjorie,12,1910
Alease,11,1910
Isabelle,11,1910
Nina,11,1910
Olive,11,1910
Patsy,11,1910
Roxie,11,1910
Amelia,10,1910
Callie,10,1910
Clarice,10,1910
Georgie,10,1910
Hannah,10,1910
Madge,10,1910
Olivia,10,1910
Pattie,10,1910
Velma,10,1910
Vergie,10,1910
Allie,9,1910
Constance,9,1910
Corine,9,1910
Francis,9,1910
Iva,9,1910
Josie,9,1910
Lessie,9,1910
Lou,9,1910
Matilda,9,1910
Millie,9,1910
Mozelle,9,1910
Ocie,9,1910
Patricia,9,1910
Shirley,9,1910
Verna,9,1910
Alpha,8,1910
Arlene,8,1910
Caroline,8,1910
Claudine,8,1910
Cleo,8,1910
Eloise,8,1910
Geraldine,8,1910
Isabel,8,1910
Lenora,8,1910
Lucile,8,1910
Mazie,8,1910
Muriel,8,1910
Odell,8,1910
Opal,8,1910
Rosalie,8,1910
Sophia,8,1910
Susan,8,1910
Theresa,8,1910
Winnie,8,1910
Annabelle,7,1910
Celia,7,1910
Estell,7,1910
Ina,7,1910
Lila,7,1910
Lilly,7,1910
Lorraine,7,1910
Lura,7,1910
Maria,7,1910
Nell,7,1910
Novella,7,1910
Otelia,7,1910
Pansy,7,1910
Peggy,7,1910
Polly,7,1910
Adell,6,1910
Alta,6,1910
Cynthia,6,1910
Dolly,6,1910
Elaine,6,1910
Genevieve,6,1910
Hassie,6,1910
Izetta,6,1910
Jannie,6,1910
Lennie,6,1910
Leslie,6,1910
Magnolia,6,1910
Maxie,6,1910
Odessa,6,1910
Olga,6,1910
Rena,6,1910
Reva,6,1910
Selma,6,1910
Wanda,6,1910
Wilma,6,1910
Zelma,6,1910
Anita,5,1910
Annis,5,1910
Carolyn,5,1910
Claudia,5,1910
Dana,5,1910
Dixie,5,1910
Florine,5,1910
Gertie,5,1910
Gussie,5,1910
Helena,5,1910
Hettie,5,1910
Isabell,5,1910
Jeanette,5,1910
Joyce,5,1910
Lacy,5,1910
Lily,5,1910
Lina,5,1910
Lora,5,1910
Lorena,5,1910
Luella,5,1910
Lulu,5,1910
Missouri,5,1910
Nona,5,1910
Norma,5,1910
Pearle,5,1910
Queenie,5,1910
Ressie,5,1910
Sophie,5,1910
Teresa,5,1910
Vesta,5,1910
Winifred,5,1910
Mary,747,1911
Virginia,291,1911
Elizabeth,255,1911
Margaret,252,1911
