Name,Frequency,YOB
Mary,45,1910
Helen,34,1910
Dorothy,32,1910
Alice,25,1910
Margaret,25,1910
Mildred,24,1910
Florence,23,1910
Ruth,23,1910
Elizabeth,22,1910
Marion,22,1910
Doris,18,1910
Irene,18,1910
Evelyn,15,1910
Hazel,15,1910
Gladys,14,1910
Grace,13,1910
Lillian,13,1910
Marjorie,12,1910
Anna,10,1910
Ethel,10,1910
Frances,10,1910
Marie,10,1910
Clara,9,1910
Elsie,9,1910
Gertrude,9,1910
Ida,9,1910
Nellie,9,1910
Thelma,9,1910
Beatrice,8,1910
Bernice,8,1910
Edna,8,1910
Eva,8,1910
Harriet,8,1910
Hilda,8,1910
Laura,8,1910
Marguerite,8,1910
Catherine,7,1910
Lena,7,1910
Lucy,7,1910
Olive,7,1910
Pauline,7,1910
Sarah,7,1910
Claire,6,1910
Edith,6,1910
Ruby,6,1910
Agnes,5,1910
Bessie,5,1910
Cora,5,1910
Eleanor,5,1910
Emma,5,1910
Etta,5,1910
Josephine,5,1910
Katherine,5,1910
Madeline,5,1910
May,5,1910
Minnie,5,1910
Vera,5,1910
Viola,5,1910
Vivian,5,1910
Mary,62,1911
Ruth,41,1911
Helen,38,1911
Doris,35,1911
Dorothy,34,1911
Florence,32,1911
Alice,26,1911
Elizabeth,26,1911
Margaret,25,1911
Evelyn,23,1911
Irene,23,1911
Marion,23,1911
Mildred,22,1911
Beatrice,20,1911
Hazel,18,1911
Marie,15,1911
Clara,14,1911
Gladys,14,1911
Lillian,14,1911
Anna,13,1911
Frances,13,1911
Grace,13,1911
Katherine,13,1911
Madeline,13,1911
Ethel,12,1911
Thelma,12,1911
Blanche,11,1911
Edna,10,1911
Barbara,9,1911
Eleanor,9,1911
Esther,9,1911
Eva,9,1911
Josephine,9,1911
Lena,9,1911
Louise,9,1911
Mabel,9,1911
Agnes,8,1911
Gertrude,8,1911
Martha,8,1911
Charlotte,7,1911
Ellen,7,1911
Elsie,7,1911
Flora,7,1911
Leona,7,1911
Marguerite,7,1911
Rose,7,1911
Edith,6,1911
Harriet,6,1911
Ida,6,1911
Julia,6,1911
Lucy,6,1911
Nellie,6,1911
Norma,6,1911
Pauline,6,1911
Sarah,6,1911
Ada,5,1911
Arlene,5,1911
Bernice,5,1911
Beulah,5,1911
Catherine,5,1911
Dora,5,1911
Eunice,5,1911
Hilda,5,1911
Lula,5,1911
Mae,5,1911
Marjorie,5,1911
Minnie,5,1911
Sylvia,5,1911
Violet,5,1911
Virginia,5,1911
Vivian,5,1911
Mary,95,1912
Dorothy,59,1912
Helen,57,1912
Ruth,48,1912
Elizabeth,42,1912
Marion,42,1912
Margaret,37,1912
Evelyn,34,1912
Doris,33,1912
Alice,29,1912
Frances,26,1912
Gladys,25,1912
Florence,24,1912
Mildred,24,1912
Irene,22,1912
Marjorie,20,1912
Anna,18,1912
Blanche,18,1912
Lillian,18,1912
Hazel,17,1912
Thelma,17,1912
Edna,16,1912
Eleanor,16,1912
Katherine,16,1912
Barbara,15,1912
Beatrice,14,1912
Edith,14,1912
Mabel,14,1912
Clara,13,1912
Eva,13,1912
Laura,13,1912
Arlene,12,1912
Bernice,12,1912
Catherine,12,1912
Ethel,12,1912
Gertrude,12,1912
Pauline,12,1912
Charlotte,11,1912
Ellen,11,1912
Elsie,11,1912
Grace,11,1912
Louise,11,1912
Madeline,11,1912
Pearl,10,1912
Rose,10,1912
Daisy,9,1912
Hilda,9,1912
Jennie,9,1912
Jessie,9,1912
Marie,9,1912
Myrtle,9,1912
Shirley,9,1912
Alma,8,1912
Josephine,8,1912
Leona,8,1912
Virginia,8,1912
Ella,7,1912
Emma,7,1912
Helena,7,1912
Ida,7,1912
Lena,7,1912
Lois,7,1912
Marian,7,1912
Nellie,7,1912
Stella,7,1912
Agnes,6,1912
Anne,6,1912
Bertha,6,1912
Cecile,6,1912
Dora,6,1912
Emily,6,1912
Esther,6,1912
Genevieve,6,1912
Geraldine,6,1912
Isabelle,6,1912
Jean,6,1912
Julia,6,1912
Marguerite,6,1912
Rita,6,1912
Sarah,6,1912
Alberta,5,1912
Bessie,5,1912
Betty,5,1912
Jane,5,1912
Lucille,5,1912
Maxine,5,1912
Phyllis,5,1912
Rachel,5,1912
Ruby,5,1912
Viola,5,1912
Vivian,5,1912
Mary,80,1913
Dorothy,66,1913
Helen,66,1913
Ruth,47,1913
Elizabeth,40,1913
Margaret,39,1913
Marion,39,1913
Doris,38,1913
Alice,35,1913
Florence,33,1913
Evelyn,32,1913
Mildred,32,1913
Beatrice,24,1913
Frances,24,1913
Hazel,24,1913
Gladys,22,1913
Lillian,22,1913
Eleanor,19,1913
Bernice,18,1913
Catherine,18,1913
Marie,18,1913
Marjorie,18,1913
Barbara,17,1913
Irene,17,1913
Katherine,16,1913
Ethel,15,1913
Josephine,15,1913
Blanche,14,1913
Esther,14,1913
Gertrude,14,1913
Pauline,14,1913
Charlotte,12,1913
Edith,12,1913
Madeline,12,1913
Marguerite,12,1913
Virginia,12,1913
Anna,11,1913
Eva,11,1913
Grace,11,1913
Julia,11,1913
Laura,11,1913
Louise,11,1913
Clara,10,1913
Thelma,10,1913
Bessie,9,1913
Ellen,9,1913
Harriet,9,1913
Lena,9,1913
Mabel,9,1913
Marian,9,1913
Rachel,9,1913
Rose,9,1913
Ruby,9,1913
Shirley,9,1913
Leona,8,1913
Agnes,7,1913
Arlene,7,1913
Hilda,7,1913
Jessie,7,1913
Myrtle,7,1913
Pearl,7,1913
Vera,7,1913
Winifred,7,1913
Avis,6,1913
Bertha,6,1913
Betty,6,1913
Caroline,6,1913
Carolyn,6,1913
Edna,6,1913
Flora,6,1913
Kathleen,6,1913
Loretta,6,1913
Nina,6,1913
Phyllis,6,1913
Sylvia,6,1913
Viola,6,1913
Alta,5,1913
Anne,5,1913
Dora,5,1913
Emma,5,1913
Geneva,5,1913
Hattie,5,1913
Irma,5,1913
Janet,5,1913
Lois,5,1913
Lucile,5,1913
May,5,1913
Merle,5,1913
Rena,5,1913
Sophie,5,1913
Theresa,5,1913
Mary,106,1914
Ruth,82,1914
Dorothy,74,1914
Helen,72,1914
Margaret,62,1914
Elizabeth,52,1914
Marion,48,1914
Doris,47,1914
Mildred,39,1914
Alice,37,1914
Evelyn,36,1914
Irene,32,1914
Marjorie,32,1914
Florence,29,1914
Lillian,27,1914
Eva,26,1914
Eleanor,25,1914
Anna,24,1914
Beatrice,24,1914
Barbara,23,1914
Frances,23,1914
Hazel,20,1914
Thelma,19,1914
Catherine,18,1914
Edith,18,1914
Gertrude,18,1914
Madeline,18,1914
Marguerite,18,1914
Pauline,18,1914
Esther,17,1914
Gladys,17,1914
Louise,17,1914
Bernice,16,1914
Grace,16,1914
Rita,16,1914
Josephine,15,1914
Katherine,15,1914
Pearl,15,1914
Arlene,14,1914
Bertha,14,1914
Hilda,14,1914
Laura,14,1914
Marie,14,1914
Sylvia,14,1914
Virginia,14,1914
Edna,13,1914
Ethel,13,1914
Ida,13,1914
Nellie,13,1914
Agnes,12,1914
Ann,12,1914
Beulah,12,1914
Blanche,12,1914
Ellen,12,1914
Flora,12,1914
Jennie,12,1914
Leona,12,1914
Lucille,12,1914
Rose,12,1914
Viola,12,1914
Betty,11,1914
Clara,11,1914
Elsie,11,1914
Lena,11,1914
Theresa,11,1914
Winifred,11,1914
Emily,10,1914
Jane,10,1914
Kathleen,10,1914
Mabel,10,1914
Bessie,9,1914
Harriet,9,1914
Marian,9,1914
Ruby,9,1914
Verna,9,1914
Anne,8,1914
Cecile,8,1914
Constance,8,1914
Genevieve,8,1914
Geraldine,8,1914
Jessie,8,1914
Julia,8,1914
Muriel,8,1914
Phyllis,8,1914
Stella,8,1914
Veronica,8,1914
Vivian,8,1914
Avis,7,1914
Charlotte,7,1914
Emma,7,1914
Loretta,7,1914
Martha,7,1914
Myrtle,7,1914
Rachel,7,1914
Shirley,7,1914
Sophie,7,1914
Velma,7,1914
Vera,7,1914
Eunice,6,1914
Jean,6,1914
Jeannette,6,1914
June,6,1914
Kathryn,6,1914
Lois,6,1914
Ada,5,1914
Alberta,5,1914
Amy,5,1914
Antoinette,5,1914
Dora,5,1914
Eileen,5,1914
Elinor,5,1914
Freda,5,1914
Germaine,5,1914
Glenna,5,1914
Lucile,5,1914
Lucy,5,1914
Luella,5,1914
Norma,5,1914
Violet,5,1914
Wilma,5,1914
Mary,120,1915
Helen,116,1915
Dorothy,94,1915
Ruth,84,1915
Marion,56,1915
Alice,55,1915
Evelyn,52,1915
Doris,48,1915
Elizabeth,48,1915
Margaret,46,1915
Mildred,46,1915
Beatrice,44,1915
Florence,44,1915
Irene,41,1915
Marjorie,36,1915
Thelma,36,1915
Catherine,35,1915
Gertrude,34,1915
Frances,33,1915
Eleanor,31,1915
Anna,29,1915
Barbara,29,1915
Gladys,29,1915
Hazel,28,1915
Marguerite,28,1915
Lillian,27,1915
Madeline,26,1915
Ethel,24,1915
Laura,24,1915
Lucille,24,1915
Esther,22,1915
Grace,21,1915
Bernice,20,1915
Rose,20,1915
Virginia,20,1915
Pauline,19,1915
Charlotte,18,1915
Edna,18,1915
Louise,18,1915
Edith,17,1915
Ruby,17,1915
Elsie,16,1915
Eva,16,1915
Marie,16,1915
Phyllis,16,1915
Agnes,15,1915
Blanche,15,1915
Harriet,15,1915
Jennie,15,1915
Leona,15,1915
Lucy,15,1915
Martha,15,1915
Rita,15,1915
Bertha,14,1915
Eunice,14,1915
Hilda,14,1915
Kathleen,14,1915
Shirley,14,1915
Viola,14,1915
Genevieve,13,1915
Isabelle,13,1915
Kathryn,13,1915
Marian,13,1915
Arlene,12,1915
Emma,12,1915
Ida,12,1915
Katherine,12,1915
Loretta,12,1915
Myrtle,12,1915
Josephine,11,1915
Lena,11,1915
Pearl,11,1915
Sophie,11,1915
Stella,11,1915
Julia,10,1915
Lois,10,1915
Betty,9,1915
Dora,9,1915
Elaine,9,1915
Emily,9,1915
Olive,9,1915
Patricia,9,1915
Vivian,9,1915
Alma,8,1915
Anne,8,1915
Audrey,8,1915
Cecile,8,1915
Ella,8,1915
Ellen,8,1915
Flora,8,1915
Isabel,8,1915
Jessie,8,1915
Lorraine,8,1915
Muriel,8,1915
Nellie,8,1915
Velma,8,1915
Wilma,8,1915
Anita,7,1915
Clara,7,1915
Jane,7,1915
Jean,7,1915
Jeannette,7,1915
June,7,1915
Luella,7,1915
Mabel,7,1915
Norma,7,1915
Rachel,7,1915
Vera,7,1915
Winifred,7,1915
Ada,6,1915
Ann,6,1915
Avis,6,1915
Beulah,6,1915
Claire,6,1915
Freda,6,1915
Geraldine,6,1915
Janet,6,1915
Sara,6,1915
Sarah,6,1915
Teresa,6,1915
Verna,6,1915
Violet,6,1915
Alberta,5,1915
Antoinette,5,1915
Carrie,5,1915
Christine,5,1915
Cora,5,1915
Della,5,1915
Dorothea,5,1915
Gwendolyn,5,1915
Henrietta,5,1915
Iva,5,1915
Maxine,5,1915
Natalie,5,1915
Olga,5,1915
Priscilla,5,1915
Rena,5,1915
Mary,144,1916
Ruth,89,1916
Helen,88,1916
Dorothy,79,1916
Elizabeth,67,1916
Marion,62,1916
Margaret,61,1916
Doris,58,1916
Evelyn,50,1916
Alice,49,1916
Florence,42,1916
Beatrice,40,1916
Irene,40,1916
Gertrude,34,1916
Frances,33,1916
Marjorie,32,1916
Mildred,32,1916
Rita,31,1916
Catherine,30,1916
Eleanor,29,1916
Gladys,28,1916
Hazel,28,1916
Eva,27,1916
Marguerite,27,1916
Grace,26,1916
Pauline,26,1916
Thelma,26,1916
Anna,25,1916
Ethel,25,1916
Lillian,24,1916
Louise,24,1916
Barbara,23,1916
Josephine,23,1916
Edith,22,1916
Marie,22,1916
Madeline,20,1916
Charlotte,19,1916
Edna,19,1916
Elsie,19,1916
Viola,18,1916
Emma,17,1916
Jean,17,1916
Mabel,17,1916
Shirley,17,1916
Arlene,16,1916
Bertha,16,1916
Esther,16,1916
Hilda,16,1916
Martha,16,1916
Leona,15,1916
Virginia,15,1916
Katherine,14,1916
Lois,14,1916
Olive,14,1916
Sylvia,14,1916
Bernice,13,1916
