Name,Frequency,YOB
Helen,156,1910
Dorothy,122,1910
Mary,112,1910
Margaret,104,1910
Ruth,94,1910
Alice,67,1910
Mildred,49,1910
Elizabeth,48,1910
Esther,48,1910
Florence,44,1910
Marie,44,1910
Hazel,42,1910
Frances,41,1910
Gladys,40,1910
Evelyn,39,1910
Ethel,38,1910
Doris,34,1910
Lillian,34,1910
Marjorie,33,1910
Irene,31,1910
Virginia,31,1910
Edna,30,1910
Bernice,29,1910
Louise,29,1910
Thelma,29,1910
Mabel,28,1910
Elsie,27,1910
Lucille,27,1910
Edith,26,1910
Myrtle,26,1910
Anna,25,1910
Grace,25,1910
Laura,25,1910
Rose,25,1910
Eva,24,1910
Gertrude,24,1910
Josephine,23,1910
Katherine,23,1910
Lois,23,1910
Marguerite,22,1910
Marion,22,1910
Martha,22,1910
Emma,21,1910
Bertha,20,1910
Jean,20,1910
Vivian,20,1910
Catherine,19,1910
Agnes,18,1910
Ellen,18,1910
Pearl,18,1910
Juanita,17,1910
Genevieve,16,1910
Leona,16,1910
Velma,16,1910
Vera,16,1910
Betty,15,1910
Blanche,15,1910
Jane,15,1910
Ruby,15,1910
Sylvia,15,1910
Ann,14,1910
Anne,14,1910
Kathleen,14,1910
Sarah,14,1910
Viola,14,1910
Alma,13,1910
Kathryn,13,1910
Clara,12,1910
Violet,12,1910
Beatrice,11,1910
Inez,11,1910
Jessie,11,1910
Nellie,11,1910
Olive,11,1910
Pauline,11,1910
Georgia,10,1910
Ida,10,1910
May,10,1910
Muriel,10,1910
Patricia,10,1910
Bessie,9,1910
Eunice,9,1910
Geraldine,9,1910
Julia,9,1910
Lorraine,9,1910
Lucy,9,1910
Mae,9,1910
Marian,9,1910
Minnie,9,1910
Opal,9,1910
Wilma,9,1910
Winifred,9,1910
Annie,8,1910
Audrey,8,1910
Charlotte,8,1910
Dora,8,1910
Elaine,8,1910
Eleanor,8,1910
Harriet,8,1910
Jennie,8,1910
Sally,8,1910
Beulah,7,1910
Bonnie,7,1910
Carol,7,1910
Della,7,1910
Ella,7,1910
Lena,7,1910
Maxine,7,1910
Nora,7,1910
Alta,6,1910
Clarice,6,1910
Dorothea,6,1910
Eileen,6,1910
Jeanette,6,1910
Lola,6,1910
Merle,6,1910
Olga,6,1910
Phyllis,6,1910
Rhoda,6,1910
Rita,6,1910
Ada,5,1910
Beryl,5,1910
Carolyn,5,1910
Emily,5,1910
Ione,5,1910
Isabelle,5,1910
Joan,5,1910
Lydia,5,1910
Mable,5,1910
Miriam,5,1910
Naomi,5,1910
Nina,5,1910
Sadie,5,1910
Sophia,5,1910
Wanda,5,1910
Zelma,5,1910
Helen,131,1911
Mary,131,1911
Margaret,121,1911
Dorothy,116,1911
Ruth,86,1911
Alice,69,1911
Elizabeth,69,1911
Evelyn,61,1911
Frances,56,1911
Mildred,53,1911
Ethel,51,1911
Virginia,48,1911
Edna,46,1911
Florence,45,1911
Gladys,45,1911
Marie,42,1911
Marjorie,40,1911
Louise,38,1911
Anna,37,1911
Bernice,37,1911
Lois,37,1911
Mabel,37,1911
Doris,36,1911
Hazel,35,1911
Thelma,35,1911
Edith,34,1911
Esther,34,1911
Lillian,33,1911
Eva,32,1911
Elsie,29,1911
Betty,27,1911
Violet,27,1911
Grace,26,1911
Josephine,26,1911
Lucille,26,1911
Myrtle,26,1911
Clara,25,1911
Ellen,25,1911
Kathryn,25,1911
Martha,25,1911
Vivian,25,1911
Bertha,24,1911
Gertrude,24,1911
Jean,24,1911
Nellie,24,1911
Ann,23,1911
Irene,23,1911
Ruby,22,1911
Agnes,21,1911
Eleanor,21,1911
Ida,21,1911
Rose,21,1911
Catherine,20,1911
Jessie,20,1911
Vera,20,1911
Pauline,18,1911
Anne,17,1911
Beatrice,17,1911
Marguerite,17,1911
Genevieve,16,1911
Pearl,16,1911
June,15,1911
Marion,15,1911
Jane,14,1911
Katherine,14,1911
Marian,14,1911
Maxine,13,1911
Norma,13,1911
Viola,13,1911
Alma,12,1911
Charlotte,12,1911
May,12,1911
Verna,12,1911
Emma,11,1911
Harriet,11,1911
Julia,11,1911
Laura,11,1911
Mae,11,1911
Beulah,10,1911
Dorothea,10,1911
Ella,10,1911
Eunice,10,1911
Hilda,10,1911
Leona,10,1911
Muriel,10,1911
Winifred,10,1911
Erma,9,1911
Freda,9,1911
Helene,9,1911
Kathleen,9,1911
Lucile,9,1911
Peggy,9,1911
Stella,9,1911
Sylvia,9,1911
Wanda,9,1911
Wilma,9,1911
Ada,8,1911
Audrey,8,1911
Eileen,8,1911
Inez,8,1911
Jennie,8,1911
Juanita,8,1911
Lola,8,1911
Lorene,8,1911
Lorraine,8,1911
Patricia,8,1911
Rita,8,1911
Sarah,8,1911
Blanche,7,1911
Dora,7,1911
Elaine,7,1911
Lucy,7,1911
Luella,7,1911
Olga,7,1911
Olive,7,1911
Barbara,6,1911
Bessie,6,1911
Bonnie,6,1911
Constance,6,1911
Emily,6,1911
Fern,6,1911
Georgia,6,1911
Goldie,6,1911
Gwendolyn,6,1911
Janet,6,1911
Minnie,6,1911
Naomi,6,1911
Rhoda,6,1911
Adele,5,1911
Alberta,5,1911
Anita,5,1911
Beryl,5,1911
Carol,5,1911
Caroline,5,1911
Claire,5,1911
Della,5,1911
Geraldine,5,1911
Laverne,5,1911
Lila,5,1911
Lora,5,1911
Mable,5,1911
Marcia,5,1911
Maude,5,1911
Nina,5,1911
Phyllis,5,1911
Roberta,5,1911
Sadie,5,1911
Shirley,5,1911
Signe,5,1911
Susan,5,1911
