Name,Frequency,YOB
Mary,260,1910
Helen,252,1910
Margaret,244,1910
Dorothy,207,1910
Evelyn,186,1910
Alice,165,1910
Ruth,162,1910
Mildred,147,1910
Marie,145,1910
Florence,134,1910
Esther,121,1910
Irene,113,1910
Agnes,112,1910
Rose,105,1910
Anna,96,1910
Viola,93,1910
Gladys,89,1910
Elizabeth,86,1910
Frances,86,1910
Leona,86,1910
Gertrude,79,1910
Clara,75,1910
Lucille,75,1910
Edna,74,1910
Lillian,72,1910
Bernice,70,1910
Mabel,68,1910
Ethel,66,1910
Eleanor,64,1910
Martha,63,1910
Grace,62,1910
Myrtle,62,1910
Marion,61,1910
Catherine,56,1910
Hazel,56,1910
Josephine,53,1910
Ann,50,1910
Pearl,50,1910
Elsie,48,1910
Louise,48,1910
Sylvia,48,1910
Emma,47,1910
Beatrice,46,1910
Genevieve,43,1910
Ella,38,1910
Adeline,37,1910
Doris,36,1910
Laura,36,1910
Verna,35,1910
Ruby,33,1910
Harriet,32,1910
Olive,32,1910
Theresa,32,1910
Vera,32,1910
Virginia,31,1910
Ida,30,1910
Irma,30,1910
Jean,30,1910
Lorraine,30,1910
Bertha,29,1910
Julia,29,1910
Marjorie,28,1910
Betty,27,1910
Edith,27,1910
Loretta,27,1910
Thelma,26,1910
Violet,26,1910
Alma,25,1910
Blanche,25,1910
Cecelia,25,1910
Marcella,25,1910
Erna,24,1910
Hilda,24,1910
Katherine,24,1910
Selma,24,1910
Anita,23,1910
Emily,23,1910
Norma,23,1910
Pauline,23,1910
Regina,23,1910
Sophie,23,1910
Anne,22,1910
Mae,22,1910
Marian,22,1910
Olga,22,1910
Caroline,21,1910
Angeline,20,1910
Luella,20,1910
Stella,20,1910
Vivian,20,1910
Dolores,19,1910
Eleanore,19,1910
Ellen,19,1910
Eva,19,1910
Kathryn,19,1910
Alvina,18,1910
Celia,18,1910
Eunice,18,1910
Marguerite,18,1910
Charlotte,17,1910
Jennie,17,1910
Minnie,17,1910
Cecilia,16,1910
Janet,16,1910
Nellie,16,1910
Ada,15,1910
Erma,15,1910
Frieda,15,1910
Jane,15,1910
Lucy,15,1910
Estelle,14,1910
Kathleen,14,1910
Lila,14,1910
Lucile,14,1910
Lydia,14,1910
Isabelle,13,1910
Jessie,13,1910
Wilma,13,1910
Bessie,12,1910
Beulah,12,1910
Carol,12,1910
Henrietta,12,1910
Lena,12,1910
Veronica,12,1910
Della,11,1910
Ione,11,1910
Jeanette,11,1910
Leone,11,1910
Lois,11,1910
Phyllis,11,1910
Sally,11,1910
Sarah,11,1910
Winifred,11,1910
Barbara,10,1910
Christine,10,1910
Cora,10,1910
Elaine,10,1910
Fern,10,1910
Joan,10,1910
Laverne,10,1910
Muriel,10,1910
Naomi,10,1910
Nora,10,1910
Shirley,10,1910
Susan,10,1910
Audrey,9,1910
