Name,Frequency,YOB
Mary,380,1910
Virginia,144,1910
Helen,124,1910
Ruth,118,1910
Margaret,115,1910
Thelma,90,1910
Gladys,89,1910
Anna,88,1910
Ethel,88,1910
Hazel,88,1910
Elizabeth,86,1910
Mildred,84,1910
Nellie,81,1910
Dorothy,75,1910
Mabel,75,1910
Edith,71,1910
Evelyn,67,1910
Opal,67,1910
Ruby,67,1910
Edna,63,1910
Grace,63,1910
Clara,57,1910
Marie,55,1910
Pearl,55,1910
Lillian,54,1910
Martha,54,1910
Elsie,53,1910
Goldie,52,1910
Bessie,51,1910
Myrtle,51,1910
Beulah,50,1910
Bertha,49,1910
Eva,49,1910
Frances,48,1910
Florence,46,1910
Alice,45,1910
Irene,41,1910
Josephine,38,1910
Pauline,38,1910
Louise,36,1910
Blanche,35,1910
Violet,35,1910
Sarah,34,1910
Georgia,33,1910
Julia,33,1910
Beatrice,32,1910
Catherine,32,1910
Ida,32,1910
Mae,32,1910
Ada,31,1910
Genevieve,31,1910
Laura,31,1910
Lucille,31,1910
Minnie,31,1910
Emma,30,1910
Gertrude,30,1910
Hattie,30,1910
Jessie,30,1910
Stella,30,1910
Alma,29,1910
Katherine,29,1910
Lucy,29,1910
Sylvia,29,1910
Bernice,28,1910
Sadie,28,1910
Rose,27,1910
Viola,26,1910
Cora,25,1910
Nancy,25,1910
Agnes,24,1910
Carrie,24,1910
Nora,23,1910
Betty,22,1910
Rosa,22,1910
Daisy,21,1910
Esther,21,1910
Freda,21,1910
Geneva,21,1910
Inez,21,1910
Lena,21,1910
Lillie,21,1910
Virgie,21,1910
Annie,20,1910
Erma,20,1910
Fannie,20,1910
Hilda,20,1910
Kathryn,20,1910
Lula,20,1910
Flora,19,1910
Kathleen,19,1910
Marguerite,19,1910
Audrey,18,1910
Dora,18,1910
Geraldine,18,1910
Mamie,18,1910
Nina,18,1910
Elva,17,1910
Hallie,17,1910
Vivian,17,1910
Ella,16,1910
Eula,16,1910
Juanita,16,1910
Victoria,16,1910
Ina,15,1910
Leona,15,1910
Madeline,15,1910
Della,14,1910
Dollie,14,1910
Eleanor,14,1910
Gracie,14,1910
Iva,14,1910
Maggie,14,1910
Pansy,14,1910
Wilma,14,1910
Lois,13,1910
Olive,13,1910
Rachel,13,1910
Velma,13,1910
Verna,13,1910
Alberta,12,1910
Dessie,12,1910
Doris,12,1910
Jean,12,1910
Katie,12,1910
Mable,12,1910
Nettie,12,1910
Ora,12,1910
Zella,12,1910
Effie,11,1910
Jennie,11,1910
Letha,11,1910
Lola,11,1910
Lottie,11,1910
Mattie,11,1910
Maude,11,1910
Naomi,11,1910
Ann,10,1910
Bonnie,10,1910
Charlotte,10,1910
Fay,10,1910
Glenna,10,1910
Ollie,10,1910
Rebecca,10,1910
Theresa,10,1910
Wilda,10,1910
Zelma,10,1910
Addie,9,1910
Belva,9,1910
Cleo,9,1910
Ellen,9,1910
Estella,9,1910
Eunice,9,1910
Garnet,9,1910
Hester,9,1910
Lora,9,1910
Lydia,9,1910
Nannie,9,1910
Ola,9,1910
Oma,9,1910
Reba,9,1910
Sally,9,1910
Susie,9,1910
Amy,8,1910
Anne,8,1910
Audra,8,1910
Barbara,8,1910
Faye,8,1910
Flossie,8,1910
Frankie,8,1910
Icie,8,1910
Maxine,8,1910
Ona,8,1910
Rhoda,8,1910
Vada,8,1910
Allie,7,1910
Belle,7,1910
Bertie,7,1910
Christine,7,1910
Essie,7,1910
Esta,7,1910
Georgie,7,1910
Lona,7,1910
Lorena,7,1910
Marion,7,1910
Marjorie,7,1910
Orpha,7,1910
Roma,7,1910
Rosie,7,1910
Roxie,7,1910
Sara,7,1910
Sue,7,1910
Willa,7,1910
Artie,6,1910
Clarice,6,1910
Dolly,6,1910
Eliza,6,1910
Emily,6,1910
Gay,6,1910
Jane,6,1910
Lenora,6,1910
Leola,6,1910
Leota,6,1910
Lilly,6,1910
Louella,6,1910
Margie,6,1910
Rosetta,6,1910
Susan,6,1910
Tressie,6,1910
Wanda,6,1910
Alta,5,1910
Bethel,5,1910
Cynthia,5,1910
Dorotha,5,1910
Fern,5,1910
Francis,5,1910
Garnett,5,1910
Imogene,5,1910
Janet,5,1910
June,5,1910
Katharine,5,1910
Lela,5,1910
Linda,5,1910
Matilda,5,1910
Maudie,5,1910
Mollie,5,1910
Muriel,5,1910
Murl,5,1910
Norma,5,1910
Ocie,5,1910
Roberta,5,1910
Shirley,5,1910
Sophie,5,1910
Tressa,5,1910
Velva,5,1910
Vera,5,1910
Willie,5,1910
Winifred,5,1910
Winnie,5,1910
Mary,441,1911
Virginia,161,1911
Helen,135,1911
Margaret,114,1911
Ruby,111,1911
Ruth,111,1911
Thelma,111,1911
Mildred,109,1911
Elizabeth,97,1911
Anna,95,1911
Hazel,94,1911
Gladys,88,1911
Dorothy,85,1911
Ethel,81,1911
Nellie,81,1911
Edith,78,1911
Opal,73,1911
Edna,70,1911
Grace,69,1911
Alice,65,1911
Mabel,65,1911
Eva,60,1911
Elsie,58,1911
Evelyn,57,1911
Marie,57,1911
Myrtle,56,1911
Pauline,56,1911
Pearl,56,1911
Martha,53,1911
Goldie,52,1911
Bessie,51,1911
Clara,50,1911
Frances,49,1911
Louise,49,1911
Beulah,48,1911
Irene,48,1911
Sarah,48,1911
Lillian,46,1911
Bertha,45,1911
Catherine,45,1911
Katherine,41,1911
Stella,41,1911
Minnie,40,1911
Julia,39,1911
Lucille,36,1911
Alma,35,1911
Beatrice,35,1911
Josephine,35,1911
Emma,34,1911
Laura,34,1911
Violet,34,1911
Lena,32,1911
Ada,31,1911
Lula,31,1911
Rose,31,1911
Sylvia,31,1911
Wilma,31,1911
Georgia,29,1911
Jessie,28,1911
Vivian,28,1911
Agnes,27,1911
Freda,27,1911
Gertrude,27,1911
Viola,27,1911
Lucy,26,1911
Ella,25,1911
Ida,25,1911
Kathleen,25,1911
Lillie,25,1911
Nina,25,1911
Esther,24,1911
Kathryn,24,1911
Leona,23,1911
Nora,23,1911
Betty,22,1911
Blanche,22,1911
Florence,22,1911
Juanita,22,1911
Mamie,22,1911
Bernice,21,1911
Effie,21,1911
Mae,21,1911
Daisy,20,1911
Ann,19,1911
Rachel,19,1911
Hattie,18,1911
Marguerite,18,1911
Sadie,18,1911
Audrey,17,1911
Della,17,1911
Dora,17,1911
Eleanor,17,1911
Flora,17,1911
Inez,17,1911
Olive,17,1911
Virgie,17,1911
Cora,16,1911
Doris,16,1911
Elva,16,1911
Eula,16,1911
Eunice,16,1911
Faye,16,1911
Garnet,16,1911
Genevieve,16,1911
Jean,16,1911
Lola,16,1911
Fannie,15,1911
Marjorie,15,1911
Nancy,15,1911
Rosa,15,1911
Susie,15,1911
Vera,15,1911
Wanda,15,1911
Dolly,14,1911
Geneva,14,1911
Geraldine,14,1911
Maggie,14,1911
Ollie,14,1911
Ora,14,1911
Annie,13,1911
Bonnie,13,1911
Carrie,13,1911
Gracie,13,1911
Hilda,13,1911
Jane,13,1911
Mable,13,1911
Madge,13,1911
Dollie,12,1911
Etta,12,1911
Iva,12,1911
Lottie,12,1911
Mattie,12,1911
May,12,1911
Norma,12,1911
Velma,12,1911
