Name,Frequency,YOB
John,8,1910
James,7,1910
Paul,6,1910
Robert,6,1910
Carl,5,1910
Edward,5,1910
George,5,1910
William,5,1910
John,15,1911
James,8,1911
Peter,6,1911
William,6,1911
George,5,1911
John,16,1912
William,10,1912
George,9,1912
Charles,7,1912
Nick,7,1912
Frank,5,1912
James,5,1912
John,19,1913
William,10,1913
George,8,1913
James,8,1913
Richard,5,1913
John,17,1914
James,12,1914
Joseph,10,1914
Henry,9,1914
William,9,1914
David,8,1914
Robert,8,1914
Arthur,7,1914
Charles,7,1914
George,7,1914
Peter,7,1914
Albert,6,1914
Frank,6,1914
Jack,6,1914
Walter,6,1914
Andrew,5,1914
John,21,1915
William,19,1915
Robert,14,1915
Charles,11,1915
Albert,10,1915
James,9,1915
Edward,8,1915
Peter,8,1915
George,7,1915
Walter,7,1915
Daniel,6,1915
Harry,6,1915
Joseph,6,1915
Paul,6,1915
Richard,6,1915
David,5,1915
Frank,5,1915
Fred,5,1915
Frederick,5,1915
Nick,5,1915
Roy,5,1915
John,25,1916
William,19,1916
James,17,1916
George,12,1916
Andrew,10,1916
Edward,10,1916
Robert,10,1916
Carl,9,1916
Fred,9,1916
Henry,8,1916
Frank,6,1916
Jack,6,1916
Walter,6,1916
Billy,5,1916
Charles,5,1916
Ernest,5,1916
Harry,5,1916
Joseph,5,1916
John,26,1917
Robert,19,1917
William,17,1917
George,11,1917
James,10,1917
Paul,9,1917
Charles,8,1917
Edward,8,1917
Fred,6,1917
Joseph,6,1917
Ralph,6,1917
Thomas,6,1917
Arthur,5,1917
David,5,1917
Donald,5,1917
Jack,5,1917
Jacob,5,1917
Mike,5,1917
John,23,1918
William,23,1918
Joseph,13,1918
Charles,11,1918
Robert,11,1918
Alfred,10,1918
George,9,1918
Harry,9,1918
Edward,8,1918
James,8,1918
Peter,8,1918
Albert,6,1918
Andrew,6,1918
Roy,6,1918
Walter,6,1918
Daniel,5,1918
Jack,5,1918
Joe,5,1918
Paul,5,1918
Simon,5,1918
Thomas,5,1918
John,24,1919
George,19,1919
James,19,1919
Robert,15,1919
Charles,12,1919
David,12,1919
William,12,1919
Jack,10,1919
Henry,9,1919
Walter,9,1919
Edward,7,1919
Fred,7,1919
Thomas,7,1919
Carl,6,1919
Harry,6,1919
Joseph,6,1919
Nick,6,1919
Albert,5,1919
