Name,Frequency,YOB
James,486,1910
John,399,1910
William,343,1910
Willie,343,1910
Robert,277,1910
George,195,1910
Henry,163,1910
Joe,117,1910
Charlie,113,1910
Frank,106,1910
Charles,98,1910
Joseph,92,1910
Walter,92,1910
Thomas,87,1910
Sam,77,1910
Richard,73,1910
Clarence,66,1910
Fred,66,1910
Edward,65,1910
Eddie,64,1910
Jessie,64,1910
Jack,61,1910
Albert,57,1910
Lee,57,1910
Arthur,55,1910
David,55,1910
Howard,54,1910
Will,51,1910
Roy,47,1910
Tom,47,1910
Eugene,46,1910
Ernest,45,1910
Jim,43,1910
Johnnie,43,1910
Samuel,42,1910
Louis,40,1910
Andrew,39,1910
Ben,39,1910
Jesse,38,1910
Lewis,37,1910
Jimmie,36,1910
Leroy,34,1910
Oscar,33,1910
Paul,33,1910
Rufus,33,1910
Carl,32,1910
Herman,29,1910
Curtis,27,1910
Nathaniel,27,1910
Raymond,27,1910
Harry,26,1910
Ed,25,1910
Cecil,24,1910
Claude,24,1910
Ralph,24,1910
Edgar,23,1910
Emmett,23,1910
Otis,23,1910
Dave,22,1910
Luther,22,1910
Marvin,22,1910
Bennie,21,1910
Earl,21,1910
Homer,21,1910
Lawrence,21,1910
Roosevelt,21,1910
Theodore,21,1910
Alex,20,1910
Bill,20,1910
Mack,20,1910
Alfred,19,1910
Daniel,19,1910
Earnest,19,1910
Jake,19,1910
Lonnie,19,1910
Milton,19,1910
Oliver,19,1910
Percy,19,1910
Allen,17,1910
Clyde,17,1910
Johnie,17,1910
Julius,17,1910
Tommie,17,1910
Chester,16,1910
Dan,16,1910
Grady,16,1910
Harvey,16,1910
Hugh,16,1910
Leon,16,1910
Leonard,16,1910
Morris,16,1910
Elmer,15,1910
Floyd,15,1910
Hubert,15,1910
Leo,15,1910
Willis,15,1910
Booker,14,1910
Elbert,14,1910
Herbert,14,1910
Melvin,14,1910
Sidney,14,1910
Benjamin,13,1910
Buster,13,1910
Cleveland,13,1910
Clifford,13,1910
Ellis,13,1910
