Name,Frequency,YOB
James,231,1910
William,203,1910
John,188,1910
Robert,128,1910
Willie,127,1910
Henry,84,1910
George,79,1910
Charles,67,1910
Frank,64,1910
Jack,57,1910
Joe,50,1910
Thomas,50,1910
Albert,49,1910
Charlie,49,1910
Clarence,44,1910
Walter,41,1910
Fred,39,1910
Roy,38,1910
Lee,35,1910
Edward,34,1910
Joseph,33,1910
Arthur,32,1910
Ernest,32,1910
Jessie,30,1910
Earl,29,1910
Herbert,28,1910
Elmer,27,1910
Carl,26,1910
Cecil,25,1910
Eddie,25,1910
Eugene,25,1910
Floyd,25,1910
David,24,1910
Harry,24,1910
Raymond,23,1910
Richard,23,1910
Sam,23,1910
Jesse,22,1910
Samuel,21,1910
Louis,20,1910
Luther,20,1910
Clyde,19,1910
Herman,19,1910
Howard,19,1910
Lawrence,19,1910
Paul,19,1910
Theodore,19,1910
Andrew,18,1910
Ralph,18,1910
Ray,18,1910
Ben,17,1910
Homer,17,1910
Lewis,17,1910
Leroy,16,1910
Otis,16,1910
Will,16,1910
Claude,15,1910
Elbert,15,1910
Harold,15,1910
Johnnie,15,1910
Leonard,15,1910
Lester,15,1910
Oscar,15,1910
Chester,14,1910
Curtis,14,1910
Leon,14,1910
Melvin,14,1910
Troy,14,1910
Booker,13,1910
Calvin,13,1910
Johnie,13,1910
Bill,12,1910
Charley,12,1910
Ed,12,1910
Guy,12,1910
Jim,12,1910
Lloyd,12,1910
Marvin,12,1910
Nathaniel,12,1910
Roosevelt,12,1910
Alfred,11,1910
Allen,11,1910
Alvin,11,1910
Clinton,11,1910
Edgar,11,1910
Hubert,11,1910
Ira,11,1910
Tom,11,1910
Benjamin,10,1910
Daniel,10,1910
Everett,10,1910
Kenneth,10,1910
Leo,10,1910
Oliver,10,1910
Tommie,10,1910
Bennie,9,1910
Clifton,9,1910
Earnest,9,1910
Jimmie,9,1910
Lonnie,9,1910
Loyd,9,1910
Otto,9,1910
Riley,9,1910
Virgil,9,1910
Willis,9,1910
Anthony,8,1910
Archie,8,1910
Arnold,8,1910
Claud,8,1910
Clifford,8,1910
Dave,8,1910
Don,8,1910
Donald,8,1910
Doyle,8,1910
Harvey,8,1910
Hugh,8,1910
Kermit,8,1910
Norman,8,1910
Vernon,8,1910
Bernard,7,1910
Gilbert,7,1910
Grady,7,1910
Jewell,7,1910
Mack,7,1910
Ollie,7,1910
Percy,7,1910
Rufus,7,1910
Sherman,7,1910
Aaron,6,1910
Adam,6,1910
Bruce,6,1910
Dan,6,1910
Delbert,6,1910
Dewey,6,1910
Elmo,6,1910
Garland,6,1910
Glen,6,1910
Glenn,6,1910
Horace,6,1910
Jerry,6,1910
Johnny,6,1910
Marion,6,1910
Monroe,6,1910
Morris,6,1910
Odis,6,1910
Russell,6,1910
Ted,6,1910
Wesley,6,1910
Wilburn,6,1910
Alex,5,1910
Alonzo,5,1910
Alva,5,1910
Austin,5,1910
Buck,5,1910
Buford,5,1910
Buster,5,1910
Clark,5,1910
Dock,5,1910
Edwin,5,1910
Elijah,5,1910
Freddie,5,1910
Gordon,5,1910
Grover,5,1910
Isaac,5,1910
Jay,5,1910
Jeff,5,1910
Leslie,5,1910
Levi,5,1910
Lindsey,5,1910
Manuel,5,1910
Marcus,5,1910
Martin,5,1910
Maurice,5,1910
Milton,5,1910
Nathan,5,1910
Ocie,5,1910
Quincy,5,1910
Roger,5,1910
Ross,5,1910
Stanley,5,1910
Thurman,5,1910
Tommy,5,1910
Wallace,5,1910
James,247,1911
William,200,1911
John,187,1911
George,127,1911
Robert,114,1911
Willie,99,1911
Henry,61,1911
Frank,56,1911
Charles,54,1911
Thomas,53,1911
Joseph,49,1911
Earl,48,1911
Jack,48,1911
Fred,46,1911
Roy,46,1911
Ernest,39,1911
Albert,38,1911
Carl,38,1911
Joe,38,1911
Cecil,36,1911
Clarence,36,1911
Sam,35,1911
Walter,34,1911
Arthur,33,1911
Lee,33,1911
Richard,33,1911
Jessie,32,1911
Edward,31,1911
Paul,31,1911
Raymond,30,1911
Floyd,29,1911
Charlie,28,1911
Clyde,28,1911
Chester,26,1911
Otis,25,1911
Ray,25,1911
Ben,24,1911
Elmer,21,1911
Harry,21,1911
Herman,21,1911
Jesse,21,1911
Ralph,21,1911
Eugene,20,1911
Louis,20,1911
Marvin,20,1911
Eddie,19,1911
Edgar,19,1911
David,18,1911
Harold,18,1911
Herbert,18,1911
Andrew,17,1911
Homer,17,1911
Lewis,17,1911
Curtis,16,1911
Jim,16,1911
Johnnie,16,1911
Lawrence,16,1911
Leroy,16,1911
Luther,16,1911
Marion,16,1911
Samuel,16,1911
Claude,15,1911
Oscar,15,1911
Tom,15,1911
Charley,14,1911
Hubert,14,1911
Lester,14,1911
Lloyd,14,1911
Theodore,14,1911
Virgil,14,1911
Cleo,13,1911
Leon,13,1911
Dan,12,1911
Guy,12,1911
Troy,12,1911
Vernon,12,1911
Will,12,1911
Alfred,11,1911
Bill,11,1911
Everett,11,1911
Garland,11,1911
Harvey,11,1911
Horace,11,1911
Jimmie,11,1911
Johnie,11,1911
Julius,11,1911
Leonard,11,1911
Orville,11,1911
Perry,11,1911
Benjamin,10,1911
Clifford,10,1911
Dave,10,1911
Howard,10,1911
Leo,10,1911
Lonnie,10,1911
Loyd,10,1911
Roosevelt,10,1911
Russell,10,1911
Alvin,9,1911
Daniel,9,1911
Earnest,9,1911
Edwin,9,1911
Elijah,9,1911
Hugh,9,1911
Ira,9,1911
Nathaniel,9,1911
Sidney,9,1911
Wilbur,9,1911
Aubrey,8,1911
Bennie,8,1911
Clifton,8,1911
Francis,8,1911
Nathan,8,1911
Peter,8,1911
Rufus,8,1911
Willis,8,1911
Bruce,7,1911
Cleveland,7,1911
Coy,7,1911
Dewey,7,1911
Oliver,7,1911
Sylvester,7,1911
Victor,7,1911
Wilburn,7,1911
Bert,6,1911
Doyle,6,1911
Ellis,6,1911
Freddie,6,1911
Grady,6,1911
Hershel,6,1911
Isaac,6,1911
Jerry,6,1911
Moses,6,1911
