Name,Frequency,YOB
John,39,1910
Manuel,29,1910
Joe,27,1910
William,24,1910
Frank,22,1910
James,22,1910
Robert,19,1910
Jose,17,1910
Henry,14,1910
Louis,14,1910
Jack,13,1910
Joseph,12,1910
Juan,12,1910
Albert,11,1910
Edward,11,1910
Antonio,10,1910
Charles,10,1910
Ramon,10,1910
Alfred,9,1910
Paul,9,1910
Thomas,9,1910
David,8,1910
Fred,8,1910
George,8,1910
Arthur,7,1910
Gilbert,7,1910
Pete,7,1910
Rafael,7,1910
Raymond,7,1910
Samuel,7,1910
Francisco,6,1910
Harold,6,1910
Kenneth,6,1910
Pedro,6,1910
Armando,5,1910
Benjamin,5,1910
Carlos,5,1910
Dan,5,1910
Harry,5,1910
Leo,5,1910
Luis,5,1910
Miguel,5,1910
Mike,5,1910
Roberto,5,1910
Tony,5,1910
John,34,1911
Joe,25,1911
Jose,22,1911
Frank,20,1911
George,19,1911
James,19,1911
Juan,17,1911
William,17,1911
Robert,16,1911
Ralph,14,1911
Francisco,13,1911
Henry,13,1911
Joseph,13,1911
Edward,12,1911
Manuel,12,1911
Paul,12,1911
Harry,11,1911
Louis,11,1911
Albert,10,1911
Arthur,9,1911
Charles,9,1911
Donald,9,1911
Richard,9,1911
Ernest,8,1911
Ramon,8,1911
Antonio,7,1911
Gilbert,7,1911
Rafael,7,1911
Samuel,7,1911
David,6,1911
Leo,6,1911
Pedro,6,1911
Raymond,6,1911
Andrew,5,1911
Eugene,5,1911
Jesus,5,1911
Kee,5,1911
Sam,5,1911
Thomas,5,1911
Tom,5,1911
Walter,5,1911
John,73,1912
Frank,35,1912
James,35,1912
Joe,33,1912
William,33,1912
Manuel,31,1912
Robert,30,1912
Joseph,29,1912
Jose,26,1912
Charles,24,1912
Henry,21,1912
George,19,1912
Richard,19,1912
Thomas,19,1912
Edward,18,1912
Jesus,18,1912
Albert,16,1912
Juan,16,1912
Walter,15,1912
Antonio,14,1912
Francisco,14,1912
Ralph,14,1912
David,13,1912
Fred,13,1912
Paul,13,1912
Jack,12,1912
Roberto,11,1912
Eugene,10,1912
Louis,10,1912
Ramon,10,1912
Raymond,10,1912
Tom,10,1912
Alfred,9,1912
Samuel,9,1912
Willie,9,1912
Charlie,8,1912
Chester,8,1912
Harry,8,1912
Howard,8,1912
Lawrence,8,1912
Lee,8,1912
Luis,8,1912
Sam,8,1912
Alex,7,1912
Daniel,7,1912
Ernest,7,1912
Gilbert,7,1912
Jim,7,1912
Lloyd,7,1912
Pete,7,1912
Ray,7,1912
Tony,7,1912
Andrew,6,1912
Carl,6,1912
Carlos,6,1912
Harold,6,1912
Kenneth,6,1912
Leo,6,1912
Leonard,6,1912
Lewis,6,1912
Ricardo,6,1912
Roy,6,1912
Alfonso,5,1912
Angel,5,1912
Bernard,5,1912
Guadalupe,5,1912
Herbert,5,1912
Jesse,5,1912
Michael,5,1912
Pedro,5,1912
Salvador,5,1912
John,64,1913
William,59,1913
James,49,1913
George,43,1913
Manuel,42,1913
Robert,40,1913
Joe,38,1913
Frank,35,1913
Jose,34,1913
Albert,22,1913
Joseph,22,1913
Edward,21,1913
Charles,20,1913
Henry,20,1913
Paul,18,1913
Gilbert,17,1913
Jack,17,1913
Arthur,16,1913
Juan,16,1913
Louis,16,1913
Ralph,16,1913
Ramon,16,1913
Thomas,16,1913
Francisco,15,1913
Harold,15,1913
Carlos,14,1913
David,14,1913
Antonio,13,1913
Pedro,12,1913
Raymond,12,1913
Richard,12,1913
Tony,12,1913
Clarence,11,1913
Ernest,11,1913
Luis,11,1913
Martin,11,1913
Sam,11,1913
Victor,11,1913
Fred,10,1913
Jesus,10,1913
Ray,10,1913
Walter,10,1913
Andrew,9,1913
Francis,9,1913
Harry,9,1913
Leonard,9,1913
Pete,9,1913
Alexander,8,1913
Lawrence,8,1913
Alex,7,1913
Alfred,7,1913
Earl,7,1913
Herbert,7,1913
Kenneth,7,1913
Oscar,7,1913
Amos,6,1913
Clyde,6,1913
Guy,6,1913
Howard,6,1913
Ignacio,6,1913
Roy,6,1913
Samuel,6,1913
Steve,6,1913
Tom,6,1913
Alfonso,5,1913
Ben,5,1913
Carl,5,1913
Daniel,5,1913
Fernando,5,1913
Jesse,5,1913
Lloyd,5,1913
