Name,Frequency,YOB
John,99,1910
James,66,1910
Charles,51,1910
William,51,1910
Robert,49,1910
George,48,1910
Frank,45,1910
Joe,42,1910
Joseph,38,1910
Fred,33,1910
Edward,24,1910
Richard,22,1910
Jack,21,1910
Albert,20,1910
Paul,20,1910
Harold,18,1910
Howard,18,1910
Raymond,17,1910
Carl,14,1910
Henry,14,1910
Thomas,14,1910
Walter,14,1910
Clarence,13,1910
Jose,13,1910
Daniel,12,1910
David,12,1910
Harry,12,1910
Lloyd,12,1910
Louis,12,1910
Ralph,12,1910
Anthony,11,1910
Arthur,11,1910
Donald,11,1910
Ray,9,1910
Francis,8,1910
Herbert,8,1910
Kenneth,8,1910
Leroy,8,1910
Pete,8,1910
Virgil,8,1910
Claude,7,1910
Earl,7,1910
Edwin,7,1910
Ernest,7,1910
Eugene,7,1910
Glenn,7,1910
Herman,7,1910
Juan,7,1910
Lawrence,7,1910
Leonard,7,1910
Manuel,7,1910
Milton,7,1910
Tony,7,1910
Alfred,6,1910
Delbert,6,1910
Martin,6,1910
Marvin,6,1910
Roy,6,1910
Russell,6,1910
Sam,6,1910
Stanley,6,1910
Theodore,6,1910
Tom,6,1910
Willie,6,1910
Emilio,5,1910
Floyd,5,1910
Gerald,5,1910
Glen,5,1910
Hugh,5,1910
Leo,5,1910
Maurice,5,1910
Melvin,5,1910
Norman,5,1910
Victor,5,1910
Wilbur,5,1910
John,109,1911
Robert,64,1911
William,64,1911
Charles,57,1911
James,56,1911
George,55,1911
Frank,44,1911
Joseph,41,1911
Joe,29,1911
Edward,28,1911
Harold,28,1911
Carl,27,1911
Thomas,27,1911
Jack,24,1911
Ralph,24,1911
Richard,23,1911
Harry,22,1911
Fred,21,1911
Henry,20,1911
Arthur,19,1911
Paul,19,1911
Albert,18,1911
Donald,18,1911
Walter,15,1911
Leonard,14,1911
Raymond,14,1911
Anthony,13,1911
Clarence,13,1911
Roy,13,1911
David,12,1911
Jose,12,1911
Louis,12,1911
Alfred,11,1911
Floyd,11,1911
Howard,11,1911
Ernest,10,1911
Leo,10,1911
Sam,10,1911
Earl,9,1911
Kenneth,9,1911
Manuel,9,1911
Theodore,9,1911
Clyde,8,1911
Edgar,8,1911
Gerald,8,1911
Lawrence,8,1911
Lloyd,8,1911
Norman,8,1911
Victor,8,1911
Adolph,7,1911
Benjamin,7,1911
Eugene,7,1911
Lee,7,1911
Mike,7,1911
Philip,7,1911
Alvin,6,1911
Ben,6,1911
Chester,6,1911
Clifford,6,1911
Forrest,6,1911
Glen,6,1911
Herbert,6,1911
Jess,6,1911
Leroy,6,1911
Martin,6,1911
Orville,6,1911
Oscar,6,1911
Ray,6,1911
Russell,6,1911
Samuel,6,1911
Elmer,5,1911
Felix,5,1911
Francis,5,1911
Frederick,5,1911
Glenn,5,1911
Juan,5,1911
Leslie,5,1911
Lester,5,1911
Lewis,5,1911
Melvin,5,1911
Milton,5,1911
Tom,5,1911
Wilbur,5,1911
John,198,1912
William,134,1912
James,110,1912
George,98,1912
Robert,98,1912
Charles,89,1912
Frank,89,1912
Harold,60,1912
Joseph,54,1912
Harry,51,1912
Edward,50,1912
Albert,49,1912
Thomas,49,1912
Arthur,44,1912
Henry,42,1912
Joe,40,1912
Richard,40,1912
Fred,39,1912
Paul,38,1912
Walter,37,1912
Donald,36,1912
Louis,35,1912
Ralph,30,1912
Carl,29,1912
