Name,Frequency,YOB
John,124,1910
Joseph,103,1910
William,78,1910
Charles,63,1910
Edward,63,1910
Frank,62,1910
George,61,1910
James,49,1910
Anthony,42,1910
Walter,36,1910
Thomas,34,1910
Francis,33,1910
Michael,33,1910
Harold,27,1910
Robert,26,1910
Stanley,26,1910
Louis,24,1910
Albert,23,1910
Raymond,22,1910
Andrew,20,1910
Peter,17,1910
Harry,16,1910
Henry,16,1910
Paul,16,1910
Richard,16,1910
Kenneth,15,1910
Ralph,15,1910
Arthur,14,1910
David,13,1910
Alfred,12,1910
Samuel,12,1910
Ernest,11,1910
Frederick,11,1910
Stephen,11,1910
Edmund,10,1910
Fred,9,1910
Howard,9,1910
Daniel,8,1910
Leonard,8,1910
Alexander,7,1910
Benjamin,7,1910
Bernard,7,1910
Herbert,7,1910
Herman,7,1910
Morris,7,1910
Norman,7,1910
Salvatore,7,1910
Vincent,7,1910
Dominick,6,1910
Donald,6,1910
Jack,6,1910
Lawrence,6,1910
Nicholas,6,1910
Oliver,6,1910
Philip,6,1910
Steve,6,1910
Theodore,6,1910
Eugene,5,1910
Leo,5,1910
Lester,5,1910
Matthew,5,1910
Patrick,5,1910
Sam,5,1910
Sidney,5,1910
John,244,1911
Joseph,184,1911
William,153,1911
George,123,1911
Edward,111,1911
Frank,94,1911
James,85,1911
Charles,67,1911
Anthony,59,1911
Thomas,58,1911
Albert,57,1911
Robert,57,1911
Walter,56,1911
Henry,53,1911
Louis,49,1911
Stanley,48,1911
Francis,47,1911
Harold,47,1911
Raymond,46,1911
Michael,42,1911
Andrew,38,1911
Arthur,37,1911
Harry,35,1911
Paul,34,1911
Peter,31,1911
Frederick,30,1911
Richard,30,1911
Stephen,29,1911
Ralph,25,1911
Vincent,24,1911
David,23,1911
Ernest,23,1911
Alfred,22,1911
Benjamin,22,1911
Philip,21,1911
Salvatore,20,1911
Samuel,19,1911
Howard,18,1911
Kenneth,18,1911
Carl,17,1911
Fred,17,1911
Bernard,16,1911
Clarence,15,1911
Clifford,15,1911
Daniel,15,1911
Nicholas,15,1911
Donald,14,1911
Edmund,14,1911
Herman,14,1911
Leo,14,1911
Lawrence,13,1911
Alexander,12,1911
Everett,12,1911
Herbert,12,1911
Russell,12,1911
Milton,11,1911
Theodore,11,1911
Edwin,10,1911
Irving,10,1911
Leonard,10,1911
Norman,10,1911
Julius,9,1911
Sidney,9,1911
Arnold,8,1911
Chester,8,1911
Dominic,8,1911
Eugene,8,1911
Maurice,8,1911
Victor,8,1911
Abraham,7,1911
Angelo,7,1911
Leon,7,1911
Morris,7,1911
Sam,7,1911
Dominick,6,1911
Earl,6,1911
Elmer,6,1911
Emil,6,1911
Franklin,6,1911
Jacob,6,1911
Leroy,6,1911
Adam,5,1911
Alex,5,1911
Alphonse,5,1911
Antonio,5,1911
Douglas,5,1911
Felix,5,1911
Floyd,5,1911
Horace,5,1911
Hubert,5,1911
Jack,5,1911
Lester,5,1911
Lewis,5,1911
Marcus,5,1911
Mario,5,1911
Matthew,5,1911
Nathan,5,1911
Wesley,5,1911
Willard,5,1911
Winthrop,5,1911
John,430,1912
Joseph,344,1912
William,274,1912
George,188,1912
Edward,173,1912
Frank,164,1912
James,162,1912
Charles,129,1912
Robert,108,1912
Arthur,106,1912
Anthony,105,1912
Walter,96,1912
Henry,87,1912
Louis,85,1912
Raymond,84,1912
Albert,83,1912
Francis,83,1912
Thomas,83,1912
Stanley,81,1912
Michael,75,1912
Peter,71,1912
Harry,70,1912
Harold,67,1912
Frederick,60,1912
Paul,60,1912
Andrew,54,1912
Stephen,54,1912
Richard,53,1912
Samuel,50,1912
Alfred,46,1912
David,43,1912
Ernest,43,1912
Ralph,41,1912
Vincent,41,1912
Donald,40,1912
Kenneth,36,1912
Fred,32,1912
Howard,29,1912
Philip,29,1912
Eugene,28,1912
Alexander,27,1912
Daniel,27,1912
Carl,26,1912
Herbert,26,1912
Benjamin,25,1912
Milton,25,1912
Morris,25,1912
Theodore,25,1912
Bernard,24,1912
Lawrence,24,1912
Leo,24,1912
Salvatore,23,1912
Jack,22,1912
Angelo,21,1912
Everett,21,1912
Leonard,20,1912
Clarence,19,1912
Russell,18,1912
Chester,17,1912
Leon,17,1912
Abraham,16,1912
Earl,16,1912
Edwin,16,1912
Julius,16,1912
Lester,16,1912
Patrick,16,1912
Victor,16,1912
Clifford,15,1912
Dominic,15,1912
Irving,15,1912
Nicholas,15,1912
Pasquale,15,1912
Dominick,14,1912
Martin,14,1912
Maurice,13,1912
Edmund,12,1912
Emil,12,1912
Jacob,12,1912
Matthew,12,1912
Norman,12,1912
Rocco,12,1912
Leroy,11,1912
Leslie,11,1912
Nathan,11,1912
Patsy,11,1912
Steve,11,1912
Alex,10,1912
Gerald,10,1912
Roger,10,1912
Alphonse,9,1912
Lewis,9,1912
Mario,9,1912
Max,9,1912
Roy,9,1912
Wilfred,9,1912
Adam,8,1912
Elmer,8,1912
Gordon,8,1912
Herman,8,1912
Wallace,8,1912
Allan,7,1912
Carlton,7,1912
Myron,7,1912
Sidney,7,1912
Wesley,7,1912
Adolph,6,1912
Douglas,6,1912
Earle,6,1912
Edgar,6,1912
Franklin,6,1912
Gilbert,6,1912
Jerry,6,1912
Mark,6,1912
Marshall,6,1912
Meyer,6,1912
Otto,6,1912
Reginald,6,1912
Sam,6,1912
Sebastian,6,1912
Steven,6,1912
Wilbur,6,1912
Alvin,5,1912
Armand,5,1912
Arnold,5,1912
Austin,5,1912
Burton,5,1912
Carmine,5,1912
Christopher,5,1912
Dwight,5,1912
Felix,5,1912
Floyd,5,1912
Nelson,5,1912
Roland,5,1912
Timothy,5,1912
Tony,5,1912
Willard,5,1912
John,508,1913
Joseph,380,1913
William,297,1913
George,217,1913
Edward,208,1913
Frank,203,1913
James,179,1913
Charles,174,1913
Robert,157,1913
Anthony,136,1913
Louis,135,1913
Thomas,129,1913
Michael,117,1913
Walter,112,1913
Stanley,104,1913
Arthur,99,1913
Henry,93,1913
Raymond,88,1913
Albert,83,1913
Harold,82,1913
Paul,76,1913
Francis,73,1913
Frederick,67,1913
Peter,65,1913
Ralph,64,1913
Alfred,63,1913
Stephen,63,1913
Samuel,59,1913
Richard,58,1913
Andrew,55,1913
Daniel,55,1913
Harry,55,1913
Howard,50,1913
Vincent,47,1913
Fred,46,1913
Carl,45,1913
Donald,44,1913
Philip,40,1913
Herbert,39,1913
David,37,1913
Ernest,35,1913
Irving,35,1913
Norman,35,1913
Kenneth,34,1913
Chester,33,1913
Nicholas,33,1913
Alexander,32,1913
Benjamin,31,1913
Eugene,30,1913
Lawrence,30,1913
Leonard,30,1913
Theodore,30,1913
Bernard,29,1913
Clarence,28,1913
Edmund,28,1913
Leo,28,1913
Julius,26,1913
Salvatore,26,1913
Russell,24,1913
Angelo,23,1913
Jack,23,1913
Victor,23,1913
Morris,20,1913
Earl,19,1913
Edwin,18,1913
Martin,18,1913
Milton,18,1913
Arnold,17,1913
Clifford,17,1913
Herman,17,1913
Lester,17,1913
Rocco,17,1913
Sidney,16,1913
Abraham,15,1913
Dominic,15,1913
Dominick,15,1913
Felix,15,1913
Roger,15,1913
Elmer,14,1913
Mario,14,1913
Matthew,13,1913
Pasquale,13,1913
Tony,13,1913
Warren,13,1913
Alex,12,1913
Alphonse,12,1913
Carmine,12,1913
Everett,12,1913
Gerald,12,1913
Lewis,12,1913
Otto,12,1913
Sebastian,12,1913
Burton,11,1913
Leon,11,1913
Roland,11,1913
Emil,10,1913
Oscar,10,1913
Roy,10,1913
Steve,10,1913
Wilbur,10,1913
Allen,9,1913
Gordon,9,1913
Jacob,9,1913
Nathan,9,1913
Patrick,9,1913
Patsy,9,1913
Adolph,8,1913
August,8,1913
Carmen,8,1913
Edgar,8,1913
Jerome,8,1913
Jerry,8,1913
Karl,8,1913
Maurice,8,1913
Max,8,1913
Willard,8,1913
Allan,7,1913
Ben,7,1913
