Name,Frequency,YOB
James,78,1910
John,61,1910
William,61,1910
Robert,36,1910
Charles,33,1910
George,31,1910
Joseph,31,1910
Edward,21,1910
Thomas,20,1910
Richard,17,1910
Raymond,16,1910
Paul,15,1910
Albert,14,1910
Lawrence,12,1910
Louis,12,1910
Ernest,11,1910
Harry,10,1910
Howard,10,1910
Samuel,10,1910
Walter,10,1910
Arthur,9,1910
Francis,9,1910
Frank,9,1910
Herbert,8,1910
Bernard,7,1910
Clarence,7,1910
Earl,7,1910
Frederick,7,1910
Henry,7,1910
Leonard,7,1910
Wilbur,7,1910
Alfred,6,1910
Theodore,6,1910
Chester,5,1910
David,5,1910
Edgar,5,1910
Edwin,5,1910
Leroy,5,1910
Ralph,5,1910
Russell,5,1910
William,70,1911
John,65,1911
Charles,49,1911
James,46,1911
George,38,1911
Joseph,28,1911
Robert,24,1911
Edward,23,1911
Thomas,19,1911
Clarence,16,1911
Harry,15,1911
Albert,14,1911
Bernard,14,1911
Frank,14,1911
Raymond,13,1911
Frederick,12,1911
Louis,12,1911
Paul,12,1911
Walter,12,1911
Francis,11,1911
Richard,10,1911
Edwin,9,1911
Leonard,9,1911
Ralph,9,1911
Earl,8,1911
Benjamin,7,1911
Elmer,7,1911
Henry,7,1911
Melvin,7,1911
Ernest,6,1911
Lawrence,6,1911
Leroy,6,1911
Samuel,6,1911
Theodore,6,1911
Alfred,5,1911
Arthur,5,1911
Everett,5,1911
Herbert,5,1911
Howard,5,1911
Milton,5,1911
William,105,1912
John,100,1912
James,95,1912
Charles,66,1912
Robert,56,1912
George,51,1912
Joseph,42,1912
Edward,37,1912
Thomas,27,1912
Richard,23,1912
Raymond,21,1912
Harry,19,1912
David,16,1912
Frank,16,1912
Henry,16,1912
Louis,16,1912
Walter,16,1912
Paul,15,1912
Ralph,15,1912
Samuel,15,1912
Arthur,14,1912
Howard,14,1912
Lawrence,14,1912
Francis,13,1912
Albert,12,1912
Eugene,11,1912
Milton,11,1912
Alfred,10,1912
Carl,10,1912
Ernest,10,1912
Philip,10,1912
Clarence,9,1912
Frederick,9,1912
Leonard,9,1912
Bernard,8,1912
Daniel,8,1912
Fred,8,1912
Herbert,8,1912
Benjamin,7,1912
Kenneth,7,1912
Leroy,7,1912
Nathaniel,7,1912
Stanley,7,1912
Theodore,7,1912
Donald,6,1912
Harold,6,1912
Herman,6,1912
Lewis,6,1912
Alvin,5,1912
Andrew,5,1912
Earl,5,1912
Franklin,5,1912
Harvey,5,1912
Jack,5,1912
Jerome,5,1912
Roy,5,1912
Vincent,5,1912
Willie,5,1912
James,111,1913
William,111,1913
John,100,1913
Joseph,65,1913
George,60,1913
Charles,54,1913
Robert,50,1913
Edward,30,1913
Thomas,28,1913
Richard,23,1913
Frank,21,1913
Harry,21,1913
Walter,21,1913
Albert,20,1913
Arthur,20,1913
Francis,20,1913
Louis,20,1913
Bernard,19,1913
Clarence,19,1913
Frederick,18,1913
Samuel,18,1913
Henry,16,1913
Raymond,16,1913
Benjamin,15,1913
David,14,1913
Norman,14,1913
Earl,13,1913
Eugene,13,1913
Milton,13,1913
Daniel,12,1913
Maurice,12,1913
Philip,12,1913
Lawrence,11,1913
Leroy,11,1913
Paul,11,1913
Howard,10,1913
Jack,10,1913
Ralph,10,1913
Russell,10,1913
Lewis,9,1913
Leonard,8,1913
Theodore,8,1913
Alfred,7,1913
Clifton,7,1913
Edwin,7,1913
Harold,7,1913
Carl,6,1913
Elmer,6,1913
Fred,6,1913
Herbert,6,1913
Ernest,5,1913
Franklin,5,1913
Leon,5,1913
Martin,5,1913
William,119,1914
John,116,1914
James,115,1914
Charles,81,1914
George,71,1914
Joseph,70,1914
Robert,69,1914
Thomas,44,1914
Edward,40,1914
Richard,37,1914
Raymond,35,1914
Walter,34,1914
Samuel,28,1914
Henry,25,1914
Paul,25,1914
Harry,24,1914
Francis,23,1914
Bernard,20,1914
Frank,20,1914
Arthur,17,1914
Ernest,17,1914
Ralph,17,1914
Louis,16,1914
Earl,14,1914
Jack,14,1914
Alfred,13,1914
Clarence,13,1914
Lawrence,13,1914
Albert,12,1914
David,12,1914
Eugene,12,1914
Norman,12,1914
Philip,12,1914
Elmer,11,1914
Frederick,11,1914
Harold,11,1914
Leroy,11,1914
Andrew,10,1914
Leon,10,1914
Donald,9,1914
Everett,9,1914
