Name,Frequency,YOB
William,28,1910
James,23,1910
John,21,1910
Joseph,21,1910
Charles,19,1910
George,14,1910
Frank,8,1910
Thomas,8,1910
Robert,7,1910
Samuel,7,1910
Albert,6,1910
Edward,6,1910
Harry,6,1910
Howard,6,1910
Walter,6,1910
Francis,5,1910
Harold,5,1910
Louis,5,1910
William,36,1911
John,25,1911
George,24,1911
Joseph,24,1911
James,19,1911
Charles,18,1911
Edward,18,1911
Robert,14,1911
Harry,11,1911
Frank,9,1911
Ralph,9,1911
Thomas,9,1911
Francis,8,1911
Howard,7,1911
Paul,7,1911
Albert,6,1911
Raymond,6,1911
Andrew,5,1911
Clifford,5,1911
Henry,5,1911
Richard,5,1911
John,79,1912
William,55,1912
Charles,41,1912
James,41,1912
George,35,1912
Joseph,25,1912
Robert,25,1912
Harry,22,1912
Thomas,17,1912
Paul,14,1912
Francis,13,1912
Frank,13,1912
Anthony,12,1912
Edward,11,1912
Albert,10,1912
Ralph,10,1912
Richard,10,1912
David,9,1912
Howard,9,1912
Norman,9,1912
Walter,9,1912
Alfred,8,1912
Fred,8,1912
Stanley,8,1912
Frederick,7,1912
Harold,7,1912
Louis,7,1912
Raymond,7,1912
Benjamin,6,1912
Earl,6,1912
Ernest,6,1912
Henry,6,1912
Stephen,6,1912
Woodrow,6,1912
Arthur,5,1912
Carl,5,1912
Curtis,5,1912
Daniel,5,1912
Harvey,5,1912
Jesse,5,1912
Leon,5,1912
Marshall,5,1912
John,74,1913
William,70,1913
James,62,1913
Charles,42,1913
Joseph,36,1913
George,31,1913
Edward,27,1913
Robert,26,1913
Harry,21,1913
Paul,21,1913
Thomas,21,1913
Francis,16,1913
Frank,16,1913
Clarence,14,1913
Howard,14,1913
Samuel,14,1913
Walter,12,1913
Albert,11,1913
Henry,11,1913
Norman,11,1913
Alfred,10,1913
Woodrow,10,1913
Anthony,9,1913
Arthur,9,1913
Carl,8,1913
Elmer,8,1913
Harold,8,1913
Raymond,8,1913
Willard,8,1913
Andrew,7,1913
Benjamin,7,1913
David,7,1913
Edwin,7,1913
Frederick,7,1913
Harvey,7,1913
Ralph,7,1913
Stanley,7,1913
Lawrence,6,1913
Earl,5,1913
Eugene,5,1913
Leroy,5,1913
Lewis,5,1913
Nicholas,5,1913
Richard,5,1913
William,102,1914
John,89,1914
James,65,1914
Charles,52,1914
George,46,1914
Joseph,39,1914
Edward,33,1914
Robert,28,1914
Thomas,23,1914
Ernest,21,1914
Frank,21,1914
Harry,19,1914
Francis,18,1914
Samuel,18,1914
Walter,17,1914
Anthony,14,1914
Howard,14,1914
Paul,14,1914
Henry,13,1914
Ralph,12,1914
Richard,12,1914
Albert,11,1914
Alfred,11,1914
Harold,11,1914
Raymond,11,1914
Clarence,10,1914
Herman,10,1914
Herbert,9,1914
Michael,8,1914
Stephen,8,1914
Arthur,7,1914
David,7,1914
Eugene,7,1914
Norman,7,1914
Wilson,7,1914
Donald,6,1914
Edwin,6,1914
Elwood,6,1914
Fred,6,1914
Leonard,6,1914
Louis,6,1914
Roland,6,1914
Elmer,5,1914
Gilbert,5,1914
Jesse,5,1914
Lawrence,5,1914
Leon,5,1914
Nicholas,5,1914
Philip,5,1914
Russell,5,1914
Theodore,5,1914
Victor,5,1914
Willard,5,1914
John,118,1915
William,115,1915
Charles,81,1915
James,75,1915
Joseph,66,1915
George,64,1915
Robert,44,1915
Edward,34,1915
Thomas,33,1915
Walter,25,1915
Frank,22,1915
Harry,22,1915
Paul,22,1915
Anthony,21,1915
Samuel,21,1915
Albert,20,1915
Francis,20,1915
Earl,17,1915
Henry,17,1915
Harold,16,1915
Howard,16,1915
Elmer,15,1915
Fred,15,1915
Stanley,15,1915
Norman,14,1915
Alfred,13,1915
Richard,13,1915
Benjamin,12,1915
Edgar,12,1915
Clarence,11,1915
Ernest,11,1915
Raymond,11,1915
Roland,11,1915
Horace,10,1915
Ralph,10,1915
Frederick,9,1915
Harvey,9,1915
Leon,9,1915
Philip,9,1915
Andrew,8,1915
Daniel,8,1915
David,8,1915
Lawrence,8,1915
Michael,8,1915
Preston,8,1915
Willard,8,1915
Arthur,7,1915
Eugene,7,1915
Herbert,7,1915
Louis,7,1915
Carl,6,1915
Chester,6,1915
Everett,6,1915
Milton,6,1915
Nicholas,6,1915
Oscar,6,1915
Stephen,6,1915
Theodore,6,1915
Edwin,5,1915
Elwood,5,1915
Franklin,5,1915
Herman,5,1915
Jesse,5,1915
Leroy,5,1915
Lewis,5,1915
Marion,5,1915
Rudolph,5,1915
Russell,5,1915
William,145,1916
John,134,1916
James,104,1916
Charles,66,1916
Joseph,65,1916
George,56,1916
Robert,51,1916
Edward,40,1916
Harry,35,1916
Paul,32,1916
Francis,29,1916
Thomas,29,1916
Howard,28,1916
Walter,28,1916
Henry,23,1916
Harold,18,1916
Samuel,18,1916
Anthony,17,1916
Ernest,17,1916
Frank,17,1916
Albert,16,1916
Herbert,16,1916
Richard,16,1916
Alfred,15,1916
Stanley,15,1916
Ralph,13,1916
Arthur,12,1916
Carl,12,1916
Clarence,12,1916
Daniel,11,1916
Norman,11,1916
Willard,11,1916
Benjamin,10,1916
David,10,1916
Horace,10,1916
Leonard,10,1916
Clifton,9,1916
Donald,9,1916
Frederick,9,1916
Lawrence,9,1916
Lewis,9,1916
Louis,9,1916
Preston,9,1916
Wilson,9,1916
Elwood,8,1916
Fred,8,1916
Harvey,8,1916
Jesse,8,1916
Michael,8,1916
Raymond,8,1916
Theodore,8,1916
Wilbur,8,1916
Earl,7,1916
Edgar,7,1916
Elmer,7,1916
Eugene,7,1916
Floyd,7,1916
Milton,7,1916
Peter,7,1916
Philip,7,1916
Calvin,6,1916
Everett,6,1916
Gilbert,6,1916
Jack,6,1916
Kenneth,6,1916
Marshall,6,1916
Martin,6,1916
Stephen,6,1916
Alexander,5,1916
Franklin,5,1916
Herman,5,1916
Marvin,5,1916
Oliver,5,1916
Roland,5,1916
Vincent,5,1916
Woodrow,5,1916
John,157,1917
William,131,1917
James,94,1917
Joseph,82,1917
George,65,1917
Charles,53,1917
Robert,51,1917
Edward,41,1917
Harry,41,1917
Thomas,38,1917
Walter,35,1917
Frank,33,1917
Clarence,31,1917
Francis,28,1917
Albert,23,1917
Paul,22,1917
Samuel,19,1917
Howard,18,1917
Ralph,18,1917
Alfred,17,1917
Harold,17,1917
Henry,17,1917
Russell,17,1917
Frederick,16,1917
David,15,1917
Raymond,15,1917
Arthur,14,1917
Harvey,14,1917
Roland,13,1917
Theodore,13,1917
Norman,12,1917
Anthony,11,1917
Earl,11,1917
Lawrence,11,1917
Richard,11,1917
Benjamin,10,1917
Elwood,10,1917
Herman,10,1917
Lewis,10,1917
Stanley,10,1917
Everett,9,1917
Leon,9,1917
Leonard,9,1917
Alexander,8,1917
Elmer,8,1917
Eugene,8,1917
Michael,8,1917
Oscar,8,1917
Willard,8,1917
Carl,7,1917
Donald,7,1917
Horace,7,1917
Leroy,7,1917
Louis,7,1917
Milton,7,1917
Preston,7,1917
Victor,7,1917
Clifford,6,1917
Daniel,6,1917
Peter,6,1917
Stephen,6,1917
Vincent,6,1917
Bernard,5,1917
Herbert,5,1917
Jesse,5,1917
Woodrow,5,1917
John,147,1918
William,129,1918
James,116,1918
Joseph,89,1918
Charles,82,1918
Robert,72,1918
George,64,1918
Edward,54,1918
Harry,38,1918
Thomas,37,1918
Paul,36,1918
Francis,35,1918
Walter,34,1918
Frank,31,1918
Howard,27,1918
Albert,26,1918
Harold,22,1918
Raymond,22,1918
Clarence,21,1918
Norman,18,1918
Samuel,18,1918
David,16,1918
Richard,16,1918
Stanley,15,1918
Alfred,14,1918
Henry,14,1918
Ralph,14,1918
Leonard,13,1918
Louis,13,1918
Anthony,12,1918
Victor,12,1918
Alexander,11,1918
Lawrence,11,1918
Arthur,10,1918
Donald,10,1918
Earl,10,1918
Benjamin,9,1918
Ernest,9,1918
Frederick,9,1918
Herbert,9,1918
Roland,9,1918
Stephen,9,1918
Warren,9,1918
Alvin,8,1918
Andrew,8,1918
Daniel,8,1918
Elmer,8,1918
Harvey,8,1918
Wallace,8,1918
Franklin,7,1918
Fred,7,1918
Leroy,7,1918
Lester,7,1918
Melvin,7,1918
Vincent,7,1918
Willard,7,1918
Wilson,7,1918
