Name,Frequency,YOB
James,673,1910
Willie,561,1910
John,557,1910
William,415,1910
Robert,358,1910
George,272,1910
Henry,233,1910
Charlie,207,1910
Charles,156,1910
Thomas,156,1910
Joe,150,1910
Joseph,141,1910
Frank,133,1910
Walter,132,1910
Clarence,99,1910
Arthur,97,1910
Eddie,94,1910
Johnnie,87,1910
Albert,85,1910
Fred,85,1910
Jack,82,1910
Edward,78,1910
Leroy,74,1910
Paul,72,1910
Jessie,71,1910
Roy,68,1910
Ernest,65,1910
David,64,1910
Samuel,61,1910
Sam,60,1910
Ralph,57,1910
Richard,54,1910
Tom,53,1910
Lee,51,1910
Jesse,49,1910
Andrew,46,1910
Otis,45,1910
Will,43,1910
Howard,41,1910
Earnest,40,1910
Eugene,40,1910
Herbert,38,1910
Lewis,38,1910
Luther,38,1910
Clifford,37,1910
Harold,37,1910
Jim,37,1910
Benjamin,36,1910
Carl,36,1910
Louis,35,1910
Harry,34,1910
Horace,34,1910
Jimmie,34,1910
Oscar,34,1910
Ben,33,1910
Claude,33,1910
Hubert,32,1910
Rufus,32,1910
Roosevelt,31,1910
Daniel,30,1910
Raymond,30,1910
Clyde,29,1910
Floyd,29,1910
Homer,29,1910
Marvin,29,1910
Leon,28,1910
Leonard,28,1910
Lonnie,27,1910
Herman,26,1910
Johnie,26,1910
Lester,26,1910
Marion,26,1910
Milton,26,1910
Nathaniel,26,1910
Earl,25,1910
Grady,25,1910
Alfred,24,1910
Alex,23,1910
Allen,23,1910
Cecil,23,1910
Edgar,23,1910
Johnny,23,1910
Moses,23,1910
Theodore,22,1910
Archie,21,1910
Bill,21,1910
Isaac,21,1910
Mack,21,1910
Melvin,21,1910
Norman,21,1910
Curtis,20,1910
Ed,20,1910
Alvin,19,1910
Ira,19,1910
Lawrence,19,1910
Nathan,19,1910
Booker,18,1910
Dave,18,1910
Ellis,18,1910
Cleveland,17,1910
Julius,17,1910
Emmett,16,1910
Glenn,16,1910
Hoke,16,1910
Julian,16,1910
Sylvester,16,1910
Bob,15,1910
Clayton,15,1910
Tommie,15,1910
Wesley,15,1910
Willis,15,1910
Amos,14,1910
Bennie,14,1910
Buster,14,1910
Charley,14,1910
Dan,14,1910
Dock,14,1910
Elbert,14,1910
Elijah,14,1910
Gordon,14,1910
Lucius,14,1910
Aaron,13,1910
Ike,13,1910
Preston,13,1910
Wallace,13,1910
Calvin,12,1910
Chester,12,1910
Emanuel,12,1910
Freddie,12,1910
Guy,12,1910
Harvey,12,1910
Jake,12,1910
Jerry,12,1910
Mose,12,1910
Owen,12,1910
Ray,12,1910
Roscoe,12,1910
Sidney,12,1910
Solomon,12,1910
Ulysses,12,1910
Warren,12,1910
Alton,11,1910
Carlton,11,1910
Clinton,11,1910
Dennis,11,1910
Douglas,11,1910
Gus,11,1910
Hugh,11,1910
Perry,11,1910
Alexander,10,1910
Donald,10,1910
Elmer,10,1910
Garfield,10,1910
Grover,10,1910
Jacob,10,1910
Jeff,10,1910
Jimmy,10,1910
Junior,10,1910
Lloyd,10,1910
Morris,10,1910
Oliver,10,1910
Ollie,10,1910
Philip,10,1910
Sammie,10,1910
Willard,10,1910
Harrison,9,1910
Jay,9,1910
King,9,1910
Louie,9,1910
Mitchell,9,1910
Peter,9,1910
Reuben,9,1910
Russell,9,1910
Wilbur,9,1910
Wiley,9,1910
Anderson,8,1910
Bernard,8,1910
Buddy,8,1910
Buford,8,1910
Claud,8,1910
Dewitt,8,1910
Emory,8,1910
Enoch,8,1910
Fletcher,8,1910
Francis,8,1910
Franklin,8,1910
Glen,8,1910
Isaiah,8,1910
Isiah,8,1910
Jasper,8,1910
Leo,8,1910
Lucious,8,1910
Nelson,8,1910
Phillip,8,1910
Prince,8,1910
Ruben,8,1910
Stephen,8,1910
Theo,8,1910
Theron,8,1910
Wilson,8,1910
Abraham,7,1910
Clifton,7,1910
Columbus,7,1910
Crawford,7,1910
Jerome,7,1910
Lamar,7,1910
Loyd,7,1910
Matthew,7,1910
Odell,7,1910
Tommy,7,1910
Wade,7,1910
Adam,6,1910
Alphonso,6,1910
Annie,6,1910
Carey,6,1910
Cleve,6,1910
Dewey,6,1910
Elige,6,1910
Felix,6,1910
Felton,6,1910
Frederick,6,1910
Freeman,6,1910
Hoyt,6,1910
Ned,6,1910
Noah,6,1910
Pete,6,1910
Roger,6,1910
Rudolph,6,1910
Sherman,6,1910
Tobe,6,1910
Troy,6,1910
Virgil,6,1910
Abe,5,1910
Al,5,1910
Alonzo,5,1910
Anthony,5,1910
Arther,5,1910
Author,5,1910
Barney,5,1910
Billy,5,1910
Buck,5,1910
Cornelius,5,1910
Edmund,5,1910
Elmore,5,1910
Evans,5,1910
Ezekiel,5,1910
Hilliard,5,1910
Irvin,5,1910
Irving,5,1910
Ivy,5,1910
Jackson,5,1910
Josephus,5,1910
Judson,5,1910
Kenneth,5,1910
