Name,Frequency,YOB
John,22,1910
Joseph,18,1910
George,17,1910
William,14,1910
Henry,13,1910
Charles,10,1910
James,10,1910
Arthur,9,1910
Ernest,9,1910
Frank,9,1910
Albert,8,1910
Harry,8,1910
Richard,8,1910
Edward,7,1910
Manuel,6,1910
Peter,6,1910
Robert,6,1910
Samuel,6,1910
Daniel,5,1910
David,5,1910
Paul,5,1910
John,27,1911
Joseph,23,1911
George,20,1911
William,18,1911
Henry,17,1911
Charles,13,1911
Harry,13,1911
Edward,10,1911
James,10,1911
Frank,8,1911
Manuel,8,1911
Thomas,8,1911
David,7,1911
Richard,7,1911
Samuel,7,1911
Alfred,6,1911
Francis,6,1911
Harold,6,1911
Lawrence,6,1911
Robert,6,1911
Albert,5,1911
Herbert,5,1911
Jack,5,1911
Walter,5,1911
John,44,1912
George,31,1912
Robert,26,1912
Thomas,23,1912
Edward,22,1912
Richard,22,1912
Henry,21,1912
James,21,1912
Charles,20,1912
Joseph,20,1912
William,20,1912
Harold,16,1912
Harry,16,1912
Manuel,16,1912
Albert,13,1912
David,13,1912
Frank,12,1912
Masao,12,1912
Walter,12,1912
Alfred,11,1912
Francis,10,1912
Louis,10,1912
Arthur,9,1912
Herbert,9,1912
Joe,9,1912
Masato,9,1912
Mitsuo,9,1912
Shigeru,9,1912
Ernest,8,1912
Paul,8,1912
Peter,8,1912
Raymond,8,1912
Takeo,8,1912
Alexander,7,1912
Clarence,7,1912
Hideo,7,1912
Masaru,7,1912
Hiroshi,6,1912
Kazuo,6,1912
Kiyoshi,6,1912
Ralph,6,1912
Samuel,6,1912
Toshio,6,1912
Yoshio,6,1912
Fred,5,1912
Jack,5,1912
Kenneth,5,1912
Lawrence,5,1912
Stanley,5,1912
Tadashi,5,1912
Tsutomu,5,1912
George,57,1913
John,55,1913
Edward,35,1913
James,35,1913
Joseph,35,1913
William,34,1913
Henry,33,1913
Richard,31,1913
Frank,26,1913
Charles,18,1913
Albert,17,1913
David,17,1913
Manuel,17,1913
Robert,16,1913
Masao,15,1913
Harold,14,1913
Harry,14,1913
Walter,14,1913
Alfred,13,1913
Herbert,13,1913
Joe,12,1913
Masato,12,1913
Thomas,12,1913
Ernest,11,1913
Takeo,11,1913
Yoshio,11,1913
Francis,10,1913
Kenneth,10,1913
Paul,10,1913
Raymond,10,1913
Antone,9,1913
Fred,9,1913
Tadashi,9,1913
Hiroshi,8,1913
Samuel,8,1913
Stanley,8,1913
Alexander,7,1913
Anthony,7,1913
Clarence,7,1913
Daniel,7,1913
Jack,7,1913
Kazuo,7,1913
Minoru,7,1913
Ralph,7,1913
Tony,7,1913
Masaji,6,1913
Ah,5,1913
Andrew,5,1913
Benjamin,5,1913
Gilbert,5,1913
Hideo,5,1913
Katsumi,5,1913
Louis,5,1913
Noboru,5,1913
Peter,5,1913
Sam,5,1913
Seichi,5,1913
Shigeo,5,1913
Takeshi,5,1913
George,66,1914
John,59,1914
William,53,1914
Joseph,46,1914
James,41,1914
Robert,40,1914
Henry,33,1914
Edward,31,1914
Frank,31,1914
Richard,25,1914
Thomas,25,1914
Walter,23,1914
Samuel,22,1914
David,21,1914
Kenneth,19,1914
Masao,19,1914
Yoshio,18,1914
Alfred,17,1914
Charles,17,1914
Harold,16,1914
Harry,16,1914
Albert,15,1914
Joe,15,1914
Louis,15,1914
Manuel,15,1914
Takeo,15,1914
Antone,12,1914
Raymond,12,1914
Yutaka,12,1914
Ernest,11,1914
Herbert,11,1914
Ralph,11,1914
Torao,11,1914
Daniel,10,1914
Paul,10,1914
Gilbert,9,1914
Hideo,9,1914
Lawrence,9,1914
Peter,9,1914
Stanley,9,1914
Toshio,9,1914
Ah,8,1914
