Name,Frequency,YOB
John,124,1910
William,94,1910
Harold,80,1910
Robert,80,1910
George,74,1910
James,74,1910
Charles,64,1910
Raymond,54,1910
Paul,46,1910
Joseph,44,1910
Clarence,40,1910
Carl,39,1910
Donald,36,1910
Edward,36,1910
Frank,34,1910
Harry,33,1910
Walter,33,1910
Kenneth,31,1910
Albert,30,1910
Henry,30,1910
Thomas,30,1910
Richard,29,1910
Earl,28,1910
Francis,28,1910
Ralph,28,1910
Fred,26,1910
Lawrence,26,1910
Leo,26,1910
Arthur,25,1910
Leonard,25,1910
Roy,24,1910
Howard,23,1910
Lloyd,23,1910
Louis,22,1910
Elmer,21,1910
Glenn,19,1910
Herman,19,1910
Floyd,18,1910
Maurice,16,1910
Clifford,15,1910
Alfred,14,1910
Bernard,14,1910
Edwin,14,1910
Jack,14,1910
Melvin,14,1910
Russell,14,1910
Clyde,13,1910
David,13,1910
Everett,13,1910
Herbert,13,1910
Leroy,13,1910
Wayne,13,1910
Arnold,12,1910
Gordon,12,1910
Lester,12,1910
Lyle,12,1910
Vernon,12,1910
Gerald,11,1910
Marion,11,1910
Ray,11,1910
Willard,11,1910
Cecil,10,1910
Lee,10,1910
Orville,10,1910
Stanley,10,1910
Victor,10,1910
Chester,9,1910
Ernest,9,1910
Ivan,9,1910
Marvin,9,1910
Milton,9,1910
Theodore,9,1910
Don,8,1910
Harvey,8,1910
Andrew,7,1910
Dale,7,1910
Eugene,7,1910
Guy,7,1910
Jacob,7,1910
Kermit,7,1910
Merle,7,1910
Michael,7,1910
Wallace,7,1910
Warren,7,1910
Archie,6,1910
Cyril,6,1910
Edgar,6,1910
Edmund,6,1910
Emmett,6,1910
Frederick,6,1910
Jerry,6,1910
Joe,6,1910
Lewis,6,1910
Martin,6,1910
Max,6,1910
Alvin,5,1910
Andy,5,1910
Carroll,5,1910
Delbert,5,1910
Eldon,5,1910
Elwood,5,1910
Emil,5,1910
Ervin,5,1910
Harlan,5,1910
Harley,5,1910
Hugh,5,1910
Jess,5,1910
Jesse,5,1910
Julius,5,1910
Laurence,5,1910
Leon,5,1910
Loren,5,1910
Lowell,5,1910
Peter,5,1910
Roger,5,1910
Wilbur,5,1910
John,120,1911
William,106,1911
Robert,85,1911
George,73,1911
James,72,1911
Charles,69,1911
Harold,68,1911
Donald,56,1911
Raymond,51,1911
Joseph,49,1911
Clarence,43,1911
