Name,Frequency,YOB
John,34,1910
William,29,1910
James,28,1910
Robert,25,1910
George,18,1910
Charles,17,1910
Carl,11,1910
Harold,11,1910
Joseph,11,1910
Edward,10,1910
Richard,9,1910
Edwin,7,1910
Frank,7,1910
Raymond,7,1910
Walter,7,1910
Arthur,6,1910
Clarence,6,1910
Clyde,6,1910
Ernest,6,1910
Harry,6,1910
Paul,6,1910
Ray,6,1910
Russell,6,1910
Theodore,6,1910
Thomas,6,1910
Wayne,6,1910
Alvin,5,1910
Don,5,1910
Donald,5,1910
Eugene,5,1910
Howard,5,1910
Kenneth,5,1910
Ralph,5,1910
William,38,1911
John,36,1911
James,27,1911
Charles,22,1911
George,21,1911
Robert,20,1911
Edward,16,1911
Clifford,13,1911
Joseph,13,1911
Paul,13,1911
Walter,13,1911
Ray,11,1911
Donald,10,1911
Harold,10,1911
Richard,9,1911
Albert,8,1911
Clarence,8,1911
David,8,1911
Jack,8,1911
Roy,8,1911
Thomas,8,1911
Carl,7,1911
Frank,7,1911
Fred,7,1911
Henry,7,1911
Wayne,7,1911
Elmer,6,1911
Eugene,6,1911
Kenneth,6,1911
Lee,6,1911
Ralph,6,1911
Arnold,5,1911
Arthur,5,1911
Clyde,5,1911
Earl,5,1911
Ernest,5,1911
Harry,5,1911
Harvey,5,1911
Howard,5,1911
Victor,5,1911
John,71,1912
William,65,1912
Robert,54,1912
James,46,1912
George,37,1912
Charles,34,1912
Donald,32,1912
Harold,28,1912
Arthur,25,1912
Earl,22,1912
Joseph,22,1912
Kenneth,22,1912
Thomas,22,1912
Frank,21,1912
Raymond,20,1912
Howard,17,1912
Richard,17,1912
Ralph,16,1912
Walter,15,1912
Elmer,14,1912
Henry,14,1912
Melvin,14,1912
Clarence,13,1912
David,13,1912
Fred,13,1912
Glenn,13,1912
Gordon,13,1912
Ray,13,1912
Wayne,13,1912
Clifford,12,1912
Eugene,12,1912
Leonard,12,1912
Lester,12,1912
Carl,11,1912
Don,11,1912
Edward,11,1912
Lawrence,11,1912
Lewis,10,1912
Roy,10,1912
Russell,10,1912
Stanley,10,1912
Albert,9,1912
Herbert,9,1912
Lynn,9,1912
Alfred,8,1912
Archie,8,1912
Cecil,8,1912
Claude,8,1912
Ernest,8,1912
Francis,8,1912
Gerald,8,1912
Harry,8,1912
Lloyd,8,1912
Louis,8,1912
Paul,8,1912
Clyde,7,1912
Glen,7,1912
Jack,7,1912
Leland,7,1912
Marion,7,1912
Max,7,1912
Norman,7,1912
Ted,7,1912
Virgil,7,1912
Willard,7,1912
Eldon,6,1912
Floyd,6,1912
Harvey,6,1912
Hugh,6,1912
Lee,6,1912
Leslie,6,1912
Peter,6,1912
Philip,6,1912
Phillip,6,1912
Samuel,6,1912
Ben,5,1912
Chester,5,1912
Clark,5,1912
Daniel,5,1912
Douglas,5,1912
Edwin,5,1912
Ellis,5,1912
Everett,5,1912
Frederick,5,1912
Herman,5,1912
Irvin,5,1912
Keith,5,1912
Leo,5,1912
Merle,5,1912
Roland,5,1912
Theodore,5,1912
John,93,1913
Robert,66,1913
James,60,1913
William,51,1913
George,49,1913
Joseph,37,1913
Harold,36,1913
Charles,34,1913
Donald,32,1913
Earl,29,1913
Richard,29,1913
Edward,28,1913
Ralph,27,1913
Frank,24,1913
Henry,24,1913
Albert,23,1913
Jack,23,1913
Kenneth,23,1913
Paul,22,1913
Roy,20,1913
Arthur,19,1913
Floyd,19,1913
Lloyd,19,1913
Carl,18,1913
Cecil,18,1913
Thomas,18,1913
Melvin,17,1913
Fred,16,1913
Raymond,16,1913
Eugene,15,1913
Harry,15,1913
Ray,15,1913
Clarence,14,1913
David,14,1913
Howard,14,1913
Clyde,13,1913
Elmer,13,1913
Wallace,13,1913
Walter,13,1913
Chester,12,1913
Leonard,12,1913
Wayne,11,1913
Dean,10,1913
Eldon,10,1913
Glen,10,1913
Lawrence,10,1913
Orville,10,1913
Clifford,9,1913
Alvin,8,1913
Arnold,8,1913
Daniel,8,1913
Don,8,1913
Edwin,8,1913
Gerald,8,1913
Jesse,8,1913
Leslie,8,1913
Lester,8,1913
Lewis,8,1913
Rex,8,1913
Ross,8,1913
Virgil,8,1913
Woodrow,8,1913
Alfred,7,1913
Claude,7,1913
Delbert,7,1913
Forrest,7,1913
Harvey,7,1913
Lorin,7,1913
Louis,7,1913
Lowell,7,1913
Milton,7,1913
Myron,7,1913
Philip,7,1913
Stanley,7,1913
Vernon,7,1913
Willard,7,1913
Francis,6,1913
Franklin,6,1913
Frederick,6,1913
Glenn,6,1913
Gordon,6,1913
Herbert,6,1913
Jay,6,1913
Jim,6,1913
Laurence,6,1913
Lee,6,1913
Lynn,6,1913
Marvin,6,1913
Maurice,6,1913
Ronald,6,1913
Russell,6,1913
Theodore,6,1913
Bernard,5,1913
Bert,5,1913
Ernest,5,1913
Homer,5,1913
Leo,5,1913
Norman,5,1913
Reuben,5,1913
Rodney,5,1913
Roger,5,1913
Wesley,5,1913
Wilbur,5,1913
John,118,1914
William,93,1914
Robert,81,1914
James,79,1914
George,74,1914
Charles,57,1914
Harold,36,1914
Ralph,34,1914
Donald,32,1914
Earl,31,1914
Frank,31,1914
Joseph,31,1914
Paul,31,1914
Richard,31,1914
Edward,30,1914
Harry,29,1914
Fred,28,1914
Howard,28,1914
Arthur,27,1914
Henry,26,1914
Kenneth,26,1914
Walter,25,1914
Jack,24,1914
Raymond,24,1914
Roy,23,1914
Albert,22,1914
David,22,1914
Ernest,22,1914
Lloyd,21,1914
Carl,20,1914
Clarence,20,1914
Thomas,20,1914
Wayne,20,1914
Melvin,19,1914
Ray,19,1914
Edwin,18,1914
Glen,17,1914
Willard,16,1914
Elmer,15,1914
Everett,15,1914
Floyd,15,1914
Leo,15,1914
Clyde,14,1914
Eugene,14,1914
Herbert,14,1914
Joe,14,1914
Vernon,14,1914
Alfred,13,1914
Gordon,13,1914
Lawrence,13,1914
Leonard,13,1914
Cecil,12,1914
Milton,12,1914
Russell,12,1914
Francis,11,1914
Glenn,11,1914
Lester,11,1914
Virgil,11,1914
Dean,10,1914
Don,10,1914
Eldon,10,1914
Homer,10,1914
Leslie,10,1914
Oliver,10,1914
Rex,10,1914
Woodrow,10,1914
Gerald,9,1914
Lee,9,1914
Lewis,9,1914
Lyle,9,1914
Ross,9,1914
Vern,9,1914
Victor,9,1914
Wallace,9,1914
Clifford,8,1914
Harvey,8,1914
Jim,8,1914
Leon,8,1914
Leroy,8,1914
Marion,8,1914
Mark,8,1914
Max,8,1914
Norman,8,1914
Philip,8,1914
Ronald,8,1914
Stanley,8,1914
Chester,7,1914
Ira,7,1914
Ivan,7,1914
Jess,7,1914
Jesse,7,1914
Louis,7,1914
Marvin,7,1914
Maurice,7,1914
Roland,7,1914
Warren,7,1914
Alvin,6,1914
Benjamin,6,1914
Carroll,6,1914
Dale,6,1914
Daniel,6,1914
Delbert,6,1914
Ellis,6,1914
Forrest,6,1914
Franklin,6,1914
Grant,6,1914
Hugh,6,1914
Loyd,6,1914
Wendell,6,1914
Andrew,5,1914
Arnold,5,1914
Bernard,5,1914
Boyd,5,1914
Byron,5,1914
Clark,5,1914
Edgar,5,1914
Elden,5,1914
Martin,5,1914
Merlin,5,1914
Otto,5,1914
Rulon,5,1914
Theodore,5,1914
Theron,5,1914
Wilbur,5,1914
Willis,5,1914
John,156,1915
William,143,1915
Robert,125,1915
George,103,1915
James,88,1915
Donald,66,1915
Charles,64,1915
Frank,61,1915
Harold,58,1915
Raymond,47,1915
Jack,44,1915
Edward,42,1915
Kenneth,41,1915
Thomas,41,1915
Joseph,40,1915
Ralph,37,1915
Richard,37,1915
Howard,36,1915
Albert,35,1915
Earl,35,1915
Arthur,34,1915
Eugene,34,1915
Harry,31,1915
Francis,30,1915
Carl,29,1915
Paul,29,1915
Roy,29,1915
Fred,28,1915
Henry,28,1915
Melvin,28,1915
Ray,27,1915
