Name,Frequency,YOB
John,644,1910
William,422,1910
Joseph,364,1910
James,329,1910
George,278,1910
Charles,270,1910
Robert,261,1910
Edward,258,1910
Frank,236,1910
Walter,173,1910
Harold,167,1910
Arthur,133,1910
Thomas,131,1910
Harry,123,1910
Albert,117,1910
Raymond,116,1910
Paul,112,1910
Henry,111,1910
Clarence,105,1910
Louis,95,1910
Stanley,92,1910
Richard,91,1910
Ralph,76,1910
Howard,72,1910
Jack,72,1910
Carl,68,1910
Fred,67,1910
Earl,63,1910
Kenneth,63,1910
Leo,63,1910
Michael,63,1910
Lawrence,60,1910
Anthony,59,1910
Donald,59,1910
Roy,59,1910
Peter,58,1910
Joe,54,1910
Francis,53,1910
Leonard,49,1910
Bernard,48,1910
Elmer,46,1910
Russell,43,1910
Andrew,41,1910
Eugene,40,1910
David,38,1910
Herbert,38,1910
Lloyd,38,1910
Ray,38,1910
Theodore,38,1910
Alfred,34,1910
Stephen,34,1910
Clifford,33,1910
Lester,33,1910
Daniel,32,1910
Edwin,32,1910
Samuel,32,1910
Leroy,31,1910
Norman,31,1910
Sam,31,1910
Chester,29,1910
Herman,28,1910
Ernest,27,1910
Everett,27,1910
Floyd,27,1910
Glenn,27,1910
Emil,26,1910
Patrick,26,1910
Lee,24,1910
Wilbur,24,1910
Julius,23,1910
Martin,23,1910
Milton,23,1910
Steve,23,1910
Tony,23,1910
Vincent,23,1910
Virgil,23,1910
Anton,22,1910
Maurice,22,1910
Frederick,21,1910
Orville,21,1910
Gerald,20,1910
Marvin,20,1910
Oliver,20,1910
Rudolph,20,1910
Cecil,19,1910
Oscar,19,1910
Otto,19,1910
Philip,19,1910
Wayne,19,1910
Gilbert,18,1910
Alvin,17,1910
Vernon,17,1910
Jerry,16,1910
Phillip,16,1910
Willard,16,1910
Benjamin,15,1910
Edgar,15,1910
Leslie,15,1910
Melvin,15,1910
Victor,15,1910
Harvey,14,1910
Irving,14,1910
Jesse,14,1910
Leon,14,1910
Lewis,14,1910
Alexander,13,1910
Clyde,13,1910
Gordon,13,1910
Homer,13,1910
Jerome,13,1910
Mike,13,1910
Morris,13,1910
Owen,13,1910
Warren,13,1910
Wesley,13,1910
Willie,13,1910
August,12,1910
Ben,12,1910
Claude,12,1910
Lyle,12,1910
Nicholas,12,1910
Sidney,12,1910
Don,11,1910
Edmund,11,1910
Ervin,11,1910
Franklin,11,1910
Hubert,11,1910
Marion,11,1910
Merle,11,1910
Adolph,10,1910
Angelo,10,1910
Arnold,10,1910
Bruno,10,1910
Charlie,10,1910
Dale,10,1910
Eddie,10,1910
Ivan,10,1910
Allen,9,1910
Delbert,9,1910
Horace,9,1910
Hugh,9,1910
Ira,9,1910
Jacob,9,1910
Johnnie,9,1910
Loren,9,1910
Matthew,9,1910
Nathan,9,1910
Rocco,9,1910
Roger,9,1910
Wilbert,9,1910
Aaron,8,1910
Adam,8,1910
Alex,8,1910
Dan,8,1910
Glen,8,1910
Guy,8,1910
Laverne,8,1910
Max,8,1910
Neil,8,1910
Nick,8,1910
Ross,8,1910
Salvatore,8,1910
Wilfred,8,1910
Alan,7,1910
Bert,7,1910
Clayton,7,1910
Curtis,7,1910
Ed,7,1910
Erwin,7,1910
Felix,7,1910
Forrest,7,1910
Isaac,7,1910
Laurence,7,1910
Leland,7,1910
Lowell,7,1910
Mitchell,7,1910
Morton,7,1910
Pete,7,1910
Willis,7,1910
Carroll,6,1910
Harley,6,1910
Luther,6,1910
Mark,6,1910
Mary,6,1910
Miles,6,1910
Myron,6,1910
Roland,6,1910
Ted,6,1910
Wendell,6,1910
Ambrose,5,1910
Archie,5,1910
Bill,5,1910
Bob,5,1910
Byron,5,1910
Dennis,5,1910
Elbert,5,1910
Emmett,5,1910
Frances,5,1910
Hyman,5,1910
Irvin,5,1910
Irwin,5,1910
Jay,5,1910
Jim,5,1910
Johnny,5,1910
Karl,5,1910
Lyman,5,1910
Otis,5,1910
Percy,5,1910
Perry,5,1910
Ronald,5,1910
Roscoe,5,1910
Sigmund,5,1910
Sol,5,1910
Sterling,5,1910
Sylvester,5,1910
Truman,5,1910
