Name,Frequency,YOB
John,129,1910
William,104,1910
Charles,76,1910
James,71,1910
George,63,1910
Robert,61,1910
Harold,58,1910
Paul,55,1910
Frank,50,1910
Ralph,46,1910
Clarence,43,1910
Joseph,37,1910
Albert,35,1910
Floyd,33,1910
Howard,33,1910
Raymond,33,1910
Walter,33,1910
Harry,32,1910
Kenneth,32,1910
Roy,32,1910
Ernest,29,1910
Fred,29,1910
Jack,28,1910
Thomas,28,1910
Carl,27,1910
Arthur,26,1910
Earl,25,1910
Edward,24,1910
Glenn,24,1910
Clifford,23,1910
Donald,23,1910
Henry,23,1910
Lawrence,23,1910
Richard,23,1910
Elmer,21,1910
Francis,21,1910
Herbert,20,1910
Leonard,20,1910
Lloyd,19,1910
Alfred,18,1910
Leroy,18,1910
Lester,17,1910
Eugene,16,1910
Joe,16,1910
Chester,15,1910
Marion,15,1910
Melvin,15,1910
Vernon,15,1910
Lee,14,1910
Leo,13,1910
Orville,13,1910
Edwin,12,1910
Clyde,11,1910
Jesse,11,1910
Marvin,11,1910
Virgil,11,1910
Bernard,10,1910
Cecil,10,1910
Claude,10,1910
David,10,1910
Everett,10,1910
Glen,10,1910
Lewis,10,1910
Merle,10,1910
Ray,10,1910
Samuel,10,1910
Victor,10,1910
Wayne,10,1910
Alvin,9,1910
Daniel,9,1910
Homer,9,1910
Louis,9,1910
Andrew,8,1910
Arnold,8,1910
Eldon,8,1910
Oliver,8,1910
Russell,8,1910
Theodore,8,1910
Willard,8,1910
Archie,7,1910
Ben,7,1910
Don,7,1910
Martin,7,1910
Milton,7,1910
Peter,7,1910
Dale,6,1910
Frederick,6,1910
Gerald,6,1910
Guy,6,1910
Harvey,6,1910
Ira,6,1910
Ivan,6,1910
Leslie,6,1910
Norman,6,1910
Roland,6,1910
Stanley,6,1910
Anthony,5,1910
Benjamin,5,1910
Clifton,5,1910
Delbert,5,1910
Dwight,5,1910
Edgar,5,1910
Emil,5,1910
Emmett,5,1910
Forrest,5,1910
Gilbert,5,1910
Jessie,5,1910
Kermit,5,1910
Leon,5,1910
Loren,5,1910
Maurice,5,1910
Otis,5,1910
Reuben,5,1910
Rudolph,5,1910
Steve,5,1910
Ted,5,1910
Wallace,5,1910
Warren,5,1910
Wilbur,5,1910
