Name,Frequency,YOB
James,352,1910
William,301,1910
John,286,1910
Robert,195,1910
George,125,1910
Charles,120,1910
Thomas,95,1910
Henry,83,1910
Joseph,82,1910
Roy,80,1910
Paul,69,1910
Walter,67,1910
Edward,63,1910
Frank,60,1910
Willie,60,1910
Earl,57,1910
Raymond,55,1910
Chester,49,1910
Albert,48,1910
Joe,47,1910
Arthur,45,1910
Clarence,45,1910
Fred,45,1910
Ernest,44,1910
Harry,44,1910
Carl,40,1910
Jack,40,1910
Charlie,39,1910
Herbert,37,1910
Richard,35,1910
Lee,34,1910
David,31,1910
Elmer,31,1910
Howard,31,1910
Everett,30,1910
Louis,30,1910
Clyde,29,1910
Jesse,29,1910
Leonard,29,1910
Ray,29,1910
Cecil,28,1910
Harold,28,1910
Luther,28,1910
Oscar,28,1910
Lawrence,27,1910
Samuel,27,1910
Homer,26,1910
Sam,23,1910
Edgar,22,1910
Eugene,22,1910
Ralph,22,1910
Marvin,21,1910
Ben,20,1910
Bill,20,1910
Hubert,20,1910
Virgil,20,1910
Herman,19,1910
Russell,19,1910
Floyd,18,1910
Leslie,18,1910
Guy,17,1910
Vernon,17,1910
Alfred,16,1910
Andrew,16,1910
Jessie,16,1910
Lewis,16,1910
Marion,16,1910
Orville,16,1910
Theodore,16,1910
Archie,15,1910
Edwin,15,1910
Hugh,15,1910
Owen,15,1910
Benjamin,14,1910
Donald,14,1910
Harvey,14,1910
Lloyd,14,1910
Stanley,14,1910
Arnold,13,1910
Jerry,13,1910
Oliver,13,1910
Bert,12,1910
Sherman,12,1910
Claude,11,1910
Dave,11,1910
Dennis,11,1910
Gilbert,11,1910
Lester,11,1910
Martin,11,1910
Roscoe,11,1910
Bennie,10,1910
Daniel,10,1910
Eddie,10,1910
Johnnie,10,1910
Millard,10,1910
Norman,10,1910
Tom,10,1910
Wallace,10,1910
Allen,9,1910
Bernard,9,1910
Clifford,9,1910
Clifton,9,1910
Francis,9,1910
Grover,9,1910
Ira,9,1910
Irvin,9,1910
Jerome,9,1910
Johnie,9,1910
Kenneth,9,1910
Ora,9,1910
Willard,9,1910
Alex,8,1910
Alvin,8,1910
Ambrose,8,1910
Bruce,8,1910
Dan,8,1910
Ed,8,1910
Isaac,8,1910
Jess,8,1910
Jim,8,1910
Morgan,8,1910
Morris,8,1910
Rufus,8,1910
Wesley,8,1910
Wilbur,8,1910
Andy,7,1910
Calvin,7,1910
Curtis,7,1910
Dewey,7,1910
Elbert,7,1910
Emmett,7,1910
Forest,7,1910
Grant,7,1910
Jimmie,7,1910
Julius,7,1910
Lonnie,7,1910
Ollie,7,1910
Troy,7,1910
Boyd,6,1910
Carlos,6,1910
Clayton,6,1910
Coleman,6,1910
Ellis,6,1910
Elwood,6,1910
Garland,6,1910
Gordon,6,1910
Green,6,1910
Harlan,6,1910
Horace,6,1910
Jewell,6,1910
Leo,6,1910
Leroy,6,1910
Marshall,6,1910
Maurice,6,1910
Napoleon,6,1910
Nelson,6,1910
Noah,6,1910
Odis,6,1910
Perry,6,1910
Preston,6,1910
Silas,6,1910
Vincent,6,1910
Wayne,6,1910
Willis,6,1910
Amos,5,1910
Bradley,5,1910
Buford,5,1910
Byron,5,1910
Clay,5,1910
Cleo,5,1910
Coy,5,1910
Delbert,5,1910
Denver,5,1910
Earnest,5,1910
Elzie,5,1910
Estel,5,1910
Franklin,5,1910
Glen,5,1910
Hobert,5,1910
Jay,5,1910
Kelly,5,1910
Melvin,5,1910
Milton,5,1910
Otho,5,1910
Otis,5,1910
Peter,5,1910
Sanford,5,1910
Seldon,5,1910
Shelby,5,1910
Taylor,5,1910
Wendell,5,1910
William,353,1911
James,333,1911
John,290,1911
Robert,192,1911
Charles,162,1911
George,153,1911
Thomas,85,1911
Henry,82,1911
Joseph,78,1911
Frank,75,1911
Edward,72,1911
Roy,68,1911
Fred,67,1911
Walter,66,1911
Clarence,63,1911
Raymond,58,1911
Paul,56,1911
Carl,55,1911
Earl,55,1911
Arthur,53,1911
Albert,51,1911
Richard,50,1911
Willie,49,1911
Cecil,47,1911
Joe,44,1911
Ernest,41,1911
Charlie,37,1911
Harold,37,1911
Jack,37,1911
Chester,36,1911
Russell,36,1911
Ray,34,1911
Herman,32,1911
Harry,31,1911
Virgil,31,1911
Herbert,30,1911
Howard,30,1911
Lee,30,1911
Samuel,30,1911
Vernon,30,1911
Arnold,29,1911
Jesse,29,1911
David,28,1911
Leonard,28,1911
Claude,27,1911
Elmer,26,1911
Lawrence,26,1911
Luther,25,1911
Louis,24,1911
Ralph,24,1911
Clyde,22,1911
Floyd,22,1911
Owen,22,1911
Everett,21,1911
Homer,21,1911
Andrew,20,1911
Edgar,20,1911
Kenneth,20,1911
Elbert,19,1911
Marvin,19,1911
Oscar,19,1911
Jessie,18,1911
Lewis,18,1911
Marion,17,1911
Roscoe,17,1911
Charley,16,1911
Eugene,16,1911
Hubert,16,1911
Sam,16,1911
Alvin,15,1911
Leslie,15,1911
Alfred,14,1911
Archie,14,1911
Ben,14,1911
Bill,14,1911
Guy,14,1911
Jim,14,1911
Lester,14,1911
Ollie,14,1911
Willard,14,1911
Allen,13,1911
Harvey,13,1911
Isaac,13,1911
Leo,13,1911
Lloyd,13,1911
Melvin,13,1911
Orville,13,1911
Curtis,12,1911
Earnest,12,1911
Oliver,12,1911
Sherman,12,1911
Theodore,12,1911
Victor,12,1911
Wallace,12,1911
Ellis,11,1911
Gilbert,11,1911
Horace,11,1911
Otis,11,1911
Benjamin,10,1911
Clifford,10,1911
Daniel,10,1911
Eddie,10,1911
Norman,10,1911
Tom,10,1911
Boyd,9,1911
Clay,9,1911
Donald,9,1911
Douglas,9,1911
Francis,9,1911
Jasper,9,1911
Lonnie,9,1911
Loyd,9,1911
Martin,9,1911
Roger,9,1911
Stanley,9,1911
Willis,9,1911
Aaron,8,1911
Alex,8,1911
Amos,8,1911
Bernard,8,1911
Buford,8,1911
Dewey,8,1911
Ed,8,1911
Frederick,8,1911
Hugh,8,1911
Jimmie,8,1911
Johnie,8,1911
Johnnie,8,1911
Milton,8,1911
Perry,8,1911
Steve,8,1911
Wesley,8,1911
Wilbur,8,1911
Woodrow,8,1911
Bert,7,1911
Delbert,7,1911
Estill,7,1911
Ezra,7,1911
Forest,7,1911
Forrest,7,1911
Ira,7,1911
Irvin,7,1911
Jess,7,1911
Leroy,7,1911
Nathan,7,1911
Troy,7,1911
Andy,6,1911
Anthony,6,1911
Bruce,6,1911
Edd,6,1911
Elzie,6,1911
Franklin,6,1911
Gordon,6,1911
Grover,6,1911
Harley,6,1911
Johnny,6,1911
Mack,6,1911
Mike,6,1911
Millard,6,1911
Mitchell,6,1911
Philip,6,1911
Sidney,6,1911
Silas,6,1911
Allie,5,1911
Bud,5,1911
Claud,5,1911
Clayton,5,1911
Clifton,5,1911
Clinton,5,1911
Coleman,5,1911
Dennis,5,1911
Don,5,1911
Edwin,5,1911
Elmo,5,1911
Estil,5,1911
Grant,5,1911
Harlan,5,1911
Hobert,5,1911
Jewell,5,1911
Kelly,5,1911
Kermit,5,1911
Leland,5,1911
Leon,5,1911
Marshall,5,1911
Maurice,5,1911
Pearl,5,1911
Scott,5,1911
Stephen,5,1911
Thurman,5,1911
Wayne,5,1911
Will,5,1911
Wilson,5,1911
William,647,1912
James,592,1912
John,518,1912
Robert,361,1912
Charles,286,1912
George,264,1912
Joseph,164,1912
Henry,152,1912
Edward,147,1912
Thomas,133,1912
Walter,120,1912
Earl,107,1912
Raymond,104,1912
Roy,101,1912
Frank,99,1912
Woodrow,99,1912
Paul,93,1912
Carl,86,1912
Clarence,86,1912
Arthur,85,1912
Joe,81,1912
Harry,79,1912
Fred,76,1912
Richard,74,1912
Willie,74,1912
Chester,70,1912
Ernest,69,1912
Jesse,69,1912
Albert,67,1912
Cecil,66,1912
Howard,64,1912
David,63,1912
Jack,63,1912
Clyde,54,1912
Ray,52,1912
Samuel,52,1912
Elmer,51,1912
Luther,51,1912
Herbert,50,1912
Homer,50,1912
Lee,49,1912
Charlie,48,1912
Harold,48,1912
Eugene,47,1912
Edgar,43,1912
Ralph,43,1912
Herman,42,1912
Oscar,41,1912
Everett,40,1912
Floyd,40,1912
Louis,40,1912
Clifford,38,1912
Virgil,38,1912
Andrew,37,1912
Lawrence,37,1912
Vernon,37,1912
Leonard,36,1912
Kenneth,34,1912
Arnold,32,1912
Lester,32,1912
Claude,31,1912
Hugh,31,1912
Leslie,31,1912
Marion,31,1912
Theodore,31,1912
Marvin,30,1912
Lewis,29,1912
Sam,29,1912
Allen,27,1912
Hubert,27,1912
Russell,27,1912
Alfred,25,1912
Benjamin,24,1912
Edwin,24,1912
Melvin,24,1912
Stanley,24,1912
Alvin,23,1912
Curtis,23,1912
Elbert,22,1912
Leo,22,1912
Lloyd,22,1912
Roscoe,22,1912
Ben,21,1912
Bill,21,1912
Gilbert,21,1912
Marshall,21,1912
Delbert,20,1912
Harvey,20,1912
Ollie,20,1912
Wilbur,20,1912
Ira,19,1912
Jessie,19,1912
Orville,19,1912
Otis,19,1912
Johnnie,18,1912
Maurice,18,1912
Sherman,18,1912
Tom,18,1912
Wallace,18,1912
Willard,18,1912
Francis,17,1912
Glenn,17,1912
Owen,17,1912
Donald,16,1912
Estill,16,1912
Milton,16,1912
Roger,16,1912
Willis,16,1912
Wilson,16,1912
Bernard,15,1912
Ellis,15,1912
Irvin,15,1912
Perry,15,1912
Wayne,15,1912
Bennie,14,1912
Clifton,14,1912
Daniel,14,1912
Gordon,14,1912
Isaac,14,1912
Aubrey,13,1912
Clay,13,1912
Lonnie,13,1912
Nathaniel,13,1912
Rufus,13,1912
Wesley,13,1912
Bert,12,1912
Coy,12,1912
Dewey,12,1912
Earnest,12,1912
Jim,12,1912
Leon,12,1912
Oliver,12,1912
Shelby,12,1912
Steve,12,1912
Sylvester,12,1912
Troy,12,1912
Victor,12,1912
Will,12,1912
Archie,11,1912
Buford,11,1912
Eddie,11,1912
Julius,11,1912
Millard,11,1912
Boyd,10,1912
Clayton,10,1912
Don,10,1912
Emmett,10,1912
Guy,10,1912
Martin,10,1912
Norman,10,1912
Ora,10,1912
Wendell,10,1912
Calvin,9,1912
Denver,9,1912
Douglas,9,1912
Emery,9,1912
Leroy,9,1912
Mitchell,9,1912
Nelson,9,1912
Shirley,9,1912
Alva,8,1912
Carlos,8,1912
