Name,Frequency,YOB
John,243,1910
James,225,1910
Joseph,196,1910
Willie,189,1910
Henry,143,1910
William,142,1910
Robert,132,1910
George,107,1910
Albert,92,1910
Joe,86,1910
Louis,81,1910
Charles,77,1910
Walter,75,1910
Frank,72,1910
Edward,71,1910
Thomas,70,1910
Sam,63,1910
Clarence,57,1910
Arthur,49,1910
Ernest,49,1910
Earl,46,1910
Paul,45,1910
Eddie,44,1910
Andrew,43,1910
Alfred,42,1910
Jack,41,1910
Lawrence,41,1910
David,39,1910
Jessie,39,1910
Charlie,36,1910
Sidney,36,1910
Fred,34,1910
Alvin,32,1910
Herbert,32,1910
Samuel,32,1910
Johnnie,30,1910
Richard,30,1910
Harry,29,1910
Tom,29,1910
Lee,28,1910
Lester,28,1910
Harold,27,1910
Jesse,26,1910
Isaac,25,1910
Leon,25,1910
Anthony,24,1910
Leo,23,1910
Raymond,23,1910
Roy,23,1910
Claude,22,1910
Clyde,22,1910
Herman,22,1910
Leroy,22,1910
Peter,22,1910
Eugene,21,1910
Milton,21,1910
Ed,20,1910
Percy,20,1910
Alex,19,1910
Roosevelt,19,1910
Carl,18,1910
Curtis,18,1910
Daniel,18,1910
Earnest,18,1910
Ben,17,1910
Clifton,17,1910
Morris,17,1910
Adam,16,1910
Allen,16,1910
Leonard,16,1910
Oscar,16,1910
Charley,15,1910
Horace,15,1910
Luther,15,1910
Wallace,15,1910
Will,15,1910
Dave,14,1910
Melvin,14,1910
Otis,14,1910
Edgar,13,1910
Floyd,13,1910
Freddie,13,1910
Howard,13,1910
Johnny,13,1910
Lloyd,13,1910
Oliver,13,1910
Emile,12,1910
Johnie,12,1910
Julius,12,1910
Matthew,12,1910
Nathaniel,12,1910
Rufus,12,1910
Wilbert,12,1910
Jim,11,1910
Jimmie,11,1910
Junius,11,1910
Maurice,11,1910
Theodore,11,1910
Alexander,10,1910
Archie,10,1910
Benjamin,10,1910
Bennie,10,1910
Booker,10,1910
Calvin,10,1910
Clifford,10,1910
Douglas,10,1910
Felton,10,1910
Francis,10,1910
Frederick,10,1910
Guy,10,1910
Homer,10,1910
Jake,10,1910
Luke,10,1910
Nick,10,1910
Stanley,10,1910
Vincent,10,1910
Warren,10,1910
Cecil,9,1910
Edwin,9,1910
Jerry,9,1910
Lewis,9,1910
Mack,9,1910
Noah,9,1910
Philip,9,1910
Rudolph,9,1910
Tony,9,1910
Willis,9,1910
Alton,8,1910
Aubrey,8,1910
Carlton,8,1910
Dennis,8,1910
Elmer,8,1910
Gus,8,1910
Isiah,8,1910
Martin,8,1910
Mose,8,1910
Moses,8,1910
Preston,8,1910
Ralph,8,1910
Sanders,8,1910
Simon,8,1910
Wesley,8,1910
Wilfred,8,1910
Wilson,8,1910
Adolph,7,1910
Antoine,7,1910
Clinton,7,1910
Dan,7,1910
Davis,7,1910
Elton,7,1910
Felix,7,1910
Ferdinand,7,1910
Irving,7,1910
Jacob,7,1910
Jeff,7,1910
Loyd,7,1910
Mark,7,1910
Marvin,7,1910
Nathan,7,1910
Nelson,7,1910
Norman,7,1910
Perry,7,1910
Phillip,7,1910
Ray,7,1910
Sylvester,7,1910
Victor,7,1910
Whitney,7,1910
Wilmer,7,1910
Amos,6,1910
Anderson,6,1910
August,6,1910
Augustus,6,1910
Bob,6,1910
Cleveland,6,1910
Donald,6,1910
Edmond,6,1910
Elijah,6,1910
Elmo,6,1910
General,6,1910
Harvey,6,1910
Ike,6,1910
Ivy,6,1910
Kelly,6,1910
Levy,6,1910
Marion,6,1910
Michael,6,1910
Murphy,6,1910
Norris,6,1910
Russell,6,1910
Sherman,6,1910
Vernon,6,1910
West,6,1910
Camille,5,1910
Chester,5,1910
Dallas,5,1910
Elbert,5,1910
Eligah,5,1910
Ellis,5,1910
Gene,5,1910
Gilbert,5,1910
Grant,5,1910
Hardy,5,1910
Harrison,5,1910
Hilton,5,1910
Houston,5,1910
Ivory,5,1910
Jasper,5,1910
Jay,5,1910
Laurence,5,1910
Leslie,5,1910
Lonnie,5,1910
Louie,5,1910
Mathew,5,1910
Mike,5,1910
Monroe,5,1910
Newton,5,1910
Nolan,5,1910
Otto,5,1910
Prentis,5,1910
Printes,5,1910
Rene,5,1910
Riley,5,1910
Roland,5,1910
Shelton,5,1910
Solomon,5,1910
Tommie,5,1910
Wade,5,1910
Wiley,5,1910
John,223,1911
James,205,1911
Joseph,181,1911
William,145,1911
Willie,142,1911
Robert,127,1911
George,117,1911
Henry,99,1911
Frank,95,1911
Edward,86,1911
Albert,76,1911
Charles,74,1911
Thomas,67,1911
Clarence,61,1911
Joe,59,1911
Walter,59,1911
Earl,55,1911
Ernest,55,1911
Louis,53,1911
Jack,52,1911
Arthur,44,1911
Fred,43,1911
Paul,42,1911
Richard,42,1911
Eugene,39,1911
Eddie,37,1911
Lawrence,37,1911
Leo,35,1911
Samuel,35,1911
Charlie,34,1911
Sam,34,1911
Andrew,32,1911
David,29,1911
Claude,28,1911
Harold,28,1911
Herman,27,1911
Jessie,27,1911
Roy,27,1911
Allen,25,1911
Leon,25,1911
Leonard,25,1911
Oscar,25,1911
Sidney,25,1911
Alfred,24,1911
Leroy,24,1911
Harry,23,1911
Jesse,23,1911
Johnnie,23,1911
Lee,23,1911
Alvin,22,1911
Howard,22,1911
Milton,22,1911
Peter,18,1911
Charley,17,1911
Floyd,17,1911
Johnny,17,1911
Mack,17,1911
Alex,16,1911
Anthony,16,1911
Daniel,16,1911
Earnest,16,1911
Morris,16,1911
Ralph,16,1911
Raymond,16,1911
Clyde,15,1911
Herbert,15,1911
Melvin,15,1911
Ben,14,1911
Chester,14,1911
Edgar,14,1911
Emile,14,1911
Gilbert,14,1911
Isaac,14,1911
Roosevelt,14,1911
Wilbert,14,1911
Bennie,13,1911
Clifford,13,1911
Horace,13,1911
Lester,13,1911
Lloyd,13,1911
Luther,13,1911
Percy,13,1911
Cleveland,12,1911
Curtis,12,1911
Edwin,12,1911
Francis,12,1911
Nathaniel,12,1911
Roland,12,1911
Carl,11,1911
Felix,11,1911
Jimmie,11,1911
Nelson,11,1911
Phillip,11,1911
Rufus,11,1911
Wesley,11,1911
Adam,10,1911
Archie,10,1911
Ed,10,1911
Ellis,10,1911
Elmer,10,1911
Gus,10,1911
Lionel,10,1911
Maurice,10,1911
Steve,10,1911
Theodore,10,1911
Victor,10,1911
Vincent,10,1911
Warren,10,1911
Willis,10,1911
Clifton,9,1911
Elmo,9,1911
Freddie,9,1911
Jim,9,1911
Johnie,9,1911
Julius,9,1911
Martin,9,1911
Murphy,9,1911
Norman,9,1911
Oliver,9,1911
Philip,9,1911
Ray,9,1911
Russell,9,1911
Tom,9,1911
Tony,9,1911
Will,9,1911
