Name,Frequency,YOB
John,513,1910
Joseph,299,1910
William,259,1910
James,212,1910
Edward,177,1910
George,177,1910
Charles,163,1910
Francis,127,1910
Frank,125,1910
Thomas,119,1910
Robert,108,1910
Walter,103,1910
Albert,97,1910
Arthur,95,1910
Henry,94,1910
Harold,76,1910
Richard,74,1910
Paul,58,1910
Anthony,53,1910
Alfred,52,1910
Frederick,52,1910
Louis,50,1910
Leo,48,1910
Stanley,46,1910
Harry,44,1910
Ralph,42,1910
Raymond,42,1910
Samuel,41,1910
Daniel,40,1910
Michael,39,1910
Carl,37,1910
Kenneth,36,1910
Ernest,35,1910
David,34,1910
Philip,34,1910
Fred,33,1910
Lawrence,33,1910
Peter,33,1910
Herbert,26,1910
Donald,24,1910
Theodore,24,1910
Patrick,23,1910
Warren,22,1910
Alexander,20,1910
Benjamin,20,1910
Manuel,20,1910
Norman,20,1910
Andrew,19,1910
Chester,19,1910
Howard,18,1910
Stephen,18,1910
Victor,18,1910
Maurice,17,1910
Bernard,16,1910
Edwin,16,1910
Roland,16,1910
Edmund,15,1910
Lester,15,1910
Martin,15,1910
Nathan,15,1910
Russell,15,1910
Vincent,15,1910
Armand,14,1910
Earl,14,1910
Eugene,14,1910
Sidney,14,1910
Wilfred,14,1910
Clarence,13,1910
Gerald,13,1910
Leon,13,1910
Nicholas,12,1910
Salvatore,12,1910
Timothy,12,1910
Everett,11,1910
Irving,11,1910
Melvin,11,1910
Roger,11,1910
Roy,11,1910
Franklin,10,1910
Milton,10,1910
Edgar,9,1910
Elmer,9,1910
Jack,9,1910
Jeremiah,9,1910
Leslie,9,1910
Lewis,9,1910
Max,9,1910
Allan,8,1910
Antonio,8,1910
Gilbert,8,1910
Harvey,8,1910
Hugh,8,1910
Laurence,8,1910
Leonard,8,1910
Nelson,8,1910
Alphonse,7,1910
Angelo,7,1910
Austin,7,1910
Dennis,7,1910
Gerard,7,1910
Gustave,7,1910
Julius,7,1910
Morris,7,1910
Wallace,7,1910
Abraham,6,1910
Alvin,6,1910
Antone,6,1910
Bruno,6,1910
Clifford,6,1910
Cornelius,6,1910
Douglas,6,1910
Emil,6,1910
Gordon,6,1910
Mary,6,1910
Matthew,6,1910
Mitchell,6,1910
Sam,6,1910
Wendell,6,1910
Willard,6,1910
Adolph,5,1910
Archie,5,1910
Carmen,5,1910
Christopher,5,1910
Clayton,5,1910
Dominic,5,1910
Herman,5,1910
Isadore,5,1910
Jacob,5,1910
Lloyd,5,1910
Mario,5,1910
Nathaniel,5,1910
Oliver,5,1910
Oscar,5,1910
Rene,5,1910
Ronald,5,1910
Sumner,5,1910
John,868,1911
Joseph,562,1911
William,479,1911
James,361,1911
George,329,1911
Edward,318,1911
Charles,301,1911
Robert,231,1911
Arthur,213,1911
Frank,211,1911
Thomas,203,1911
Walter,197,1911
Francis,195,1911
Henry,160,1911
Albert,149,1911
Harold,141,1911
Raymond,129,1911
Paul,112,1911
Richard,112,1911
Louis,107,1911
Anthony,100,1911
Frederick,99,1911
Michael,97,1911
Ernest,96,1911
Ralph,89,1911
Stanley,87,1911
Alfred,84,1911
Herbert,83,1911
Lawrence,81,1911
Harry,76,1911
Leo,73,1911
Donald,71,1911
David,68,1911
Samuel,68,1911
Carl,64,1911
Peter,61,1911
Kenneth,60,1911
Manuel,60,1911
Daniel,59,1911
Howard,57,1911
Bernard,53,1911
Philip,50,1911
Vincent,50,1911
Eugene,49,1911
Fred,49,1911
Benjamin,44,1911
Clarence,44,1911
Leonard,44,1911
Norman,42,1911
Chester,39,1911
Alexander,36,1911
Edwin,36,1911
Maurice,36,1911
Roger,36,1911
Earl,35,1911
Edmund,34,1911
Russell,32,1911
Theodore,32,1911
Warren,31,1911
Gordon,30,1911
Roland,30,1911
Stephen,29,1911
Wilfred,29,1911
Elmer,28,1911
Armand,26,1911
Gerald,26,1911
Victor,26,1911
Martin,25,1911
Max,25,1911
Patrick,25,1911
Roy,25,1911
Clifford,24,1911
Melvin,24,1911
Milton,24,1911
Andrew,23,1911
Angelo,23,1911
Irving,23,1911
Matthew,23,1911
Morris,23,1911
Jacob,22,1911
Arnold,20,1911
Leon,20,1911
