Name,Frequency,YOB
John,193,1910
James,186,1910
William,174,1910
Charles,160,1910
George,112,1910
Joseph,109,1910
Robert,77,1910
Thomas,63,1910
Edward,59,1910
Harry,45,1910
Frank,41,1910
Walter,41,1910
Henry,35,1910
Howard,34,1910
Samuel,31,1910
Albert,29,1910
Richard,27,1910
Clarence,26,1910
Arthur,25,1910
Paul,24,1910
Ralph,20,1910
Harold,19,1910
Louis,19,1910
Raymond,19,1910
Benjamin,18,1910
Leroy,18,1910
David,17,1910
Norman,17,1910
Earl,16,1910
Elmer,16,1910
Francis,16,1910
Lawrence,15,1910
Vernon,15,1910
Ernest,14,1910
Herbert,14,1910
Alfred,13,1910
Donald,13,1910
Herman,13,1910
Leonard,13,1910
Melvin,13,1910
Daniel,12,1910
Frederick,12,1910
Stanley,12,1910
Carl,11,1910
Edgar,11,1910
Milton,11,1910
Roy,11,1910
Russell,11,1910
Theodore,11,1910
Alexander,10,1910
Anthony,10,1910
Eugene,10,1910
Michael,10,1910
Bernard,9,1910
Jack,9,1910
Lee,9,1910
Andrew,8,1910
Edwin,8,1910
Kenneth,8,1910
Leo,8,1910
Lester,8,1910
Lloyd,8,1910
Oscar,8,1910
Cecil,7,1910
Clifton,7,1910
Floyd,7,1910
Fred,7,1910
Jacob,7,1910
Jerome,7,1910
Wilson,7,1910
Emory,6,1910
Franklin,6,1910
Gilbert,6,1910
Guy,6,1910
Irving,6,1910
Isaac,6,1910
Jesse,6,1910
Lewis,6,1910
Morris,6,1910
Roscoe,6,1910
Sylvester,6,1910
Vincent,6,1910
Wesley,6,1910
Wilbur,6,1910
Alvin,5,1910
Carroll,5,1910
Harvey,5,1910
Irvin,5,1910
Leon,5,1910
Maurice,5,1910
Nathan,5,1910
Nathaniel,5,1910
Oliver,5,1910
Philip,5,1910
Phillip,5,1910
Roland,5,1910
Warren,5,1910
William,228,1911
John,200,1911
James,193,1911
Charles,159,1911
Joseph,127,1911
George,111,1911
Robert,91,1911
Thomas,69,1911
Edward,66,1911
Harry,65,1911
Henry,46,1911
Albert,44,1911
Louis,43,1911
Frank,42,1911
Howard,37,1911
Paul,34,1911
Walter,33,1911
Arthur,32,1911
Frederick,31,1911
Richard,31,1911
Earl,29,1911
Raymond,28,1911
David,26,1911
Francis,24,1911
Samuel,24,1911
Alfred,23,1911
Clarence,23,1911
Daniel,22,1911
Lawrence,21,1911
Ernest,20,1911
Melvin,20,1911
Bernard,19,1911
Elmer,19,1911
Ralph,19,1911
Norman,18,1911
Eugene,17,1911
Russell,17,1911
Andrew,15,1911
Carl,15,1911
Morris,15,1911
Theodore,15,1911
Herman,14,1911
Leonard,14,1911
Leroy,14,1911
Roy,14,1911
Roland,13,1911
Benjamin,12,1911
Herbert,12,1911
Lewis,12,1911
Milton,12,1911
Vernon,12,1911
Wilbur,12,1911
Carroll,11,1911
Edgar,11,1911
Fred,11,1911
Leon,11,1911
Philip,11,1911
Jesse,10,1911
Lester,10,1911
Anthony,9,1911
Calvin,9,1911
Harold,9,1911
Alvin,8,1911
Austin,8,1911
Elwood,8,1911
Franklin,8,1911
Gordon,8,1911
Irvin,8,1911
Irving,8,1911
Jerome,8,1911
Michael,8,1911
Nathan,8,1911
Oliver,8,1911
Stanley,8,1911
Allen,7,1911
Carlton,7,1911
Clifton,7,1911
Edwin,7,1911
Floyd,7,1911
Kenneth,7,1911
Leo,7,1911
Lloyd,7,1911
Maurice,7,1911
Nelson,7,1911
Oscar,7,1911
Ray,7,1911
Stephen,7,1911
Vincent,7,1911
Wilbert,7,1911
Willie,7,1911
Clifford,6,1911
Donald,6,1911
Jack,6,1911
Sam,6,1911
Simon,6,1911
Wilson,6,1911
Chester,5,1911
Clyde,5,1911
Julian,5,1911
Luther,5,1911
Martin,5,1911
Percy,5,1911
Peter,5,1911
Phillip,5,1911
Roger,5,1911
Sidney,5,1911
William,433,1912
John,384,1912
James,314,1912
Charles,311,1912
George,219,1912
Joseph,204,1912
Robert,157,1912
Edward,139,1912
Thomas,108,1912
Walter,89,1912
Henry,88,1912
Harry,86,1912
Howard,77,1912
Frank,76,1912
Albert,65,1912
Louis,63,1912
Richard,61,1912
Paul,58,1912
Samuel,58,1912
Raymond,57,1912
Carl,48,1912
Francis,48,1912
Earl,44,1912
Clarence,43,1912
Arthur,42,1912
Leonard,42,1912
Elmer,41,1912
Bernard,40,1912
Norman,39,1912
Milton,38,1912
Frederick,37,1912
Roland,33,1912
Harold,32,1912
Ernest,31,1912
Lawrence,31,1912
Ralph,31,1912
Anthony,30,1912
David,30,1912
Melvin,30,1912
Benjamin,29,1912
Kenneth,29,1912
Vernon,29,1912
Daniel,28,1912
Stanley,28,1912
Herbert,27,1912
Leroy,27,1912
Eugene,26,1912
Herman,26,1912
Theodore,26,1912
Woodrow,26,1912
Donald,25,1912
Lewis,25,1912
Morris,25,1912
Leon,23,1912
Philip,22,1912
Sidney,22,1912
Carroll,21,1912
Edgar,20,1912
Franklin,19,1912
Lester,19,1912
Lloyd,19,1912
Wilson,19,1912
Russell,18,1912
Andrew,17,1912
Jack,16,1912
Leo,16,1912
Michael,16,1912
Peter,16,1912
Alfred,15,1912
Chester,15,1912
Fred,15,1912
Gilbert,15,1912
Irvin,15,1912
Maurice,15,1912
Roy,15,1912
Wilbur,15,1912
Clifton,14,1912
Elwood,14,1912
Marshall,14,1912
Roger,14,1912
Calvin,13,1912
Clinton,13,1912
Guy,13,1912
Oscar,13,1912
Vincent,13,1912
Gordon,12,1912
Jacob,12,1912
Martin,12,1912
Allen,11,1912
