Name,Frequency,YOB
John,42,1910
George,36,1910
Joseph,31,1910
William,29,1910
Charles,26,1910
Harold,26,1910
Albert,21,1910
Edward,21,1910
Arthur,20,1910
James,20,1910
Raymond,18,1910
Robert,18,1910
Clarence,17,1910
Frank,17,1910
Ralph,16,1910
Leo,15,1910
Donald,12,1910
Francis,12,1910
Howard,12,1910
Stanley,12,1910
Ernest,11,1910
Kenneth,11,1910
Richard,11,1910
Walter,11,1910
Paul,10,1910
Philip,10,1910
Roland,10,1910
Carl,9,1910
Harry,9,1910
Lawrence,9,1910
Alfred,8,1910
Fred,8,1910
Gerald,8,1910
Lloyd,8,1910
Norman,8,1910
Cecil,7,1910
Everett,7,1910
Henry,7,1910
Maurice,7,1910
Carroll,6,1910
Daniel,6,1910
David,6,1910
Elmer,6,1910
Herbert,6,1910
Roy,6,1910
Antonio,5,1910
Clifford,5,1910
Edwin,5,1910
Emile,5,1910
Frederick,5,1910
Martin,5,1910
Patrick,5,1910
Thomas,5,1910
Wallace,5,1910
Wilfred,5,1910
John,70,1911
Joseph,58,1911
George,52,1911
Arthur,50,1911
William,49,1911
James,42,1911
Charles,38,1911
Robert,37,1911
Albert,36,1911
Donald,34,1911
Edward,34,1911
Ralph,31,1911
Harold,30,1911
Harry,27,1911
Henry,26,1911
Kenneth,26,1911
Walter,26,1911
Paul,22,1911
Thomas,22,1911
Lawrence,21,1911
Raymond,21,1911
Fred,20,1911
Frank,19,1911
Ernest,18,1911
Norman,17,1911
Clarence,16,1911
Louis,16,1911
Philip,16,1911
Herbert,15,1911
Roland,15,1911
Frederick,14,1911
Howard,14,1911
Alfred,13,1911
Earl,13,1911
Gerald,13,1911
Leo,13,1911
Stanley,13,1911
Lewis,12,1911
Elmer,11,1911
Leon,11,1911
Linwood,11,1911
Richard,11,1911
Roy,11,1911
Clayton,10,1911
Clifford,9,1911
David,9,1911
Leonard,9,1911
Chester,8,1911
Edwin,8,1911
Eugene,8,1911
Everett,8,1911
Francis,8,1911
Reginald,8,1911
Alton,7,1911
Bernard,7,1911
Carl,7,1911
Clifton,7,1911
Daniel,7,1911
Edgar,7,1911
Emile,7,1911
Lionel,7,1911
Lloyd,7,1911
Patrick,7,1911
Russell,7,1911
Theodore,7,1911
Wilbur,7,1911
Andrew,6,1911
Antonio,6,1911
Cecil,6,1911
Gordon,6,1911
Irving,6,1911
Martin,6,1911
Maurice,6,1911
Merton,6,1911
Oscar,6,1911
Samuel,6,1911
Wilfred,6,1911
Archie,5,1911
Carroll,5,1911
Edmund,5,1911
Gerard,5,1911
Guy,5,1911
Harvey,5,1911
Laurence,5,1911
Leroy,5,1911
Leslie,5,1911
Lucien,5,1911
Mark,5,1911
Percy,5,1911
Ray,5,1911
Roger,5,1911
Victor,5,1911
Vincent,5,1911
Willard,5,1911
John,117,1912
George,84,1912
William,81,1912
Charles,80,1912
Robert,71,1912
James,57,1912
Joseph,55,1912
Arthur,47,1912
Edward,47,1912
Donald,46,1912
Harold,44,1912
Ralph,44,1912
Raymond,42,1912
Kenneth,41,1912
Frank,39,1912
Lawrence,38,1912
Albert,33,1912
Louis,30,1912
Richard,30,1912
Walter,29,1912
Thomas,27,1912
Henry,26,1912
Maurice,26,1912
Frederick,25,1912
Harry,25,1912
Howard,25,1912
Leo,25,1912
Paul,25,1912
Ernest,24,1912
Herbert,23,1912
Clarence,22,1912
Fred,22,1912
Roland,20,1912
David,19,1912
Norman,19,1912
Philip,19,1912
Alfred,18,1912
Lewis,18,1912
Stanley,18,1912
Eugene,17,1912
Leon,17,1912
Francis,16,1912
Bernard,15,1912
Gerald,15,1912
Carl,14,1912
Elmer,14,1912
Leonard,14,1912
Everett,13,1912
Gordon,13,1912
Woodrow,13,1912
Chester,12,1912
Lloyd,12,1912
Theodore,12,1912
Wilfred,12,1912
Earl,11,1912
Earle,11,1912
Gerard,11,1912
Malcolm,11,1912
Romeo,11,1912
Arnold,10,1912
Basil,10,1912
Daniel,10,1912
Edwin,10,1912
Peter,10,1912
Samuel,10,1912
Anthony,9,1912
Carroll,9,1912
Edgar,9,1912
Floyd,9,1912
Herman,9,1912
Lionel,9,1912
Roger,9,1912
Alton,8,1912
Andrew,8,1912
Clayton,8,1912
Clifford,8,1912
Leroy,8,1912
Martin,8,1912
Percy,8,1912
Stephen,8,1912
Vincent,8,1912
Cecil,7,1912
Edmond,7,1912
Irving,7,1912
Leslie,7,1912
Lester,7,1912
Linwood,7,1912
Patrick,7,1912
Reginald,7,1912
Victor,7,1912
Warren,7,1912
Allen,6,1912
Armand,6,1912
Clifton,6,1912
Clinton,6,1912
Clyde,6,1912
Dana,6,1912
Fernand,6,1912
Gilbert,6,1912
Guy,6,1912
Harvey,6,1912
Horace,6,1912
Merle,6,1912
Merton,6,1912
Milton,6,1912
Roy,6,1912
Wallace,6,1912
Antonio,5,1912
Carleton,5,1912
Claude,5,1912
Elwood,5,1912
Hugh,5,1912
Jean,5,1912
Laurence,5,1912
Lucien,5,1912
Melvin,5,1912
Nathan,5,1912
Omer,5,1912
Russell,5,1912
Wendell,5,1912
John,146,1913
George,107,1913
Joseph,93,1913
William,87,1913
Robert,76,1913
James,71,1913
Charles,69,1913
Arthur,62,1913
Donald,58,1913
Edward,56,1913
Harold,53,1913
Walter,51,1913
Raymond,50,1913
Frank,49,1913
Richard,47,1913
Albert,46,1913
Lawrence,42,1913
Kenneth,39,1913
Philip,37,1913
Paul,36,1913
Ralph,32,1913
Leo,31,1913
Thomas,31,1913
Henry,30,1913
Stanley,30,1913
Francis,29,1913
Frederick,29,1913
Alfred,25,1913
Clarence,25,1913
Ernest,25,1913
Carl,24,1913
Harry,23,1913
Louis,23,1913
Roland,21,1913
Gordon,19,1913
Herbert,19,1913
Lewis,19,1913
Wilfred,19,1913
Roy,18,1913
Chester,17,1913
David,17,1913
Edgar,17,1913
Gerald,17,1913
Maurice,17,1913
Norman,17,1913
Vincent,17,1913
Eugene,16,1913
Clayton,15,1913
Earl,15,1913
Howard,15,1913
Merle,15,1913
Arnold,14,1913
Bernard,14,1913
Carroll,14,1913
Fred,14,1913
Gerard,14,1913
Theodore,14,1913
Daniel,13,1913
Linwood,13,1913
Malcolm,13,1913
Woodrow,13,1913
Edwin,12,1913
