Name,Frequency,YOB
John,190,1910
William,154,1910
George,134,1910
James,115,1910
Robert,113,1910
Edward,111,1910
Frank,105,1910
Charles,104,1910
Joseph,98,1910
Harold,81,1910
Harry,64,1910
Raymond,58,1910
Walter,58,1910
Clarence,51,1910
Kenneth,49,1910
Donald,48,1910
Ralph,48,1910
Albert,45,1910
Carl,45,1910
Arthur,44,1910
Henry,44,1910
Stanley,39,1910
Thomas,39,1910
Earl,38,1910
Leonard,38,1910
Howard,37,1910
Richard,37,1910
Fred,36,1910
Paul,35,1910
Roy,35,1910
Lawrence,34,1910
Louis,33,1910
Jack,31,1910
Russell,30,1910
Norman,29,1910
Alfred,27,1910
Clifford,25,1910
Ernest,25,1910
Floyd,25,1910
Bernard,23,1910
Leo,23,1910
David,21,1910
Edwin,21,1910
Elmer,20,1910
Francis,20,1910
Gerald,20,1910
Peter,19,1910
Lester,18,1910
Anthony,17,1910
Chester,17,1910
Andrew,16,1910
Frederick,16,1910
Michael,16,1910
Claude,15,1910
Leslie,15,1910
Lloyd,15,1910
Theodore,15,1910
Clyde,14,1910
Glenn,14,1910
Joe,14,1910
Ray,14,1910
Melvin,13,1910
Samuel,13,1910
Allen,12,1910
Edmund,12,1910
Lyle,12,1910
Arnold,11,1910
Cecil,11,1910
Daniel,11,1910
Everett,11,1910
Lewis,11,1910
Alex,10,1910
Eugene,10,1910
Gordon,10,1910
Herbert,10,1910
Herman,10,1910
Julius,10,1910
Gilbert,9,1910
Harvey,9,1910
Lee,9,1910
Nelson,9,1910
Orville,9,1910
Stephen,9,1910
Vernon,9,1910
Alvin,8,1910
Benjamin,8,1910
Emil,8,1910
Ivan,8,1910
Karl,8,1910
Maurice,8,1910
Mike,8,1910
Morris,8,1910
Roland,8,1910
Victor,8,1910
Warren,8,1910
Wilfred,8,1910
Willis,8,1910
Adam,7,1910
Archie,7,1910
Clayton,7,1910
Don,7,1910
Douglas,7,1910
Eino,7,1910
Franklin,7,1910
Jesse,7,1910
Leon,7,1910
Max,7,1910
Oliver,7,1910
Orval,7,1910
Oscar,7,1910
Otto,7,1910
Patrick,7,1910
Steve,7,1910
Wilbert,7,1910
Wilbur,7,1910
Willard,7,1910
Charlie,6,1910
Delbert,6,1910
Edmond,6,1910
Glen,6,1910
Irving,6,1910
Jerome,6,1910
Jerry,6,1910
Martin,6,1910
Milton,6,1910
Nicholas,6,1910
Virgil,6,1910
Wallace,6,1910
Wesley,6,1910
Willie,6,1910
Alexander,5,1910
Anton,5,1910
Antonio,5,1910
August,5,1910
Ben,5,1910
Dennis,5,1910
Edgar,5,1910
Hubert,5,1910
Jacob,5,1910
Leroy,5,1910
Marion,5,1910
Myron,5,1910
Nathan,5,1910
Percy,5,1910
Philip,5,1910
Roger,5,1910
Ronald,5,1910
Rudolph,5,1910
Stuart,5,1910
Toivo,5,1910
John,230,1911
William,171,1911
Robert,136,1911
George,122,1911
Charles,109,1911
Joseph,107,1911
Edward,103,1911
Harold,100,1911
Frank,94,1911
James,88,1911
Walter,74,1911
Donald,64,1911
Harry,64,1911
Arthur,61,1911
Raymond,53,1911
Fred,46,1911
Albert,45,1911
Clarence,45,1911
Henry,45,1911
Kenneth,44,1911
Carl,43,1911
Richard,40,1911
Howard,38,1911
Paul,38,1911
Lawrence,37,1911
Leonard,36,1911
Stanley,36,1911
Thomas,36,1911
Jack,33,1911
Louis,31,1911
Russell,31,1911
David,30,1911
Gerald,29,1911
Ralph,29,1911
Norman,28,1911
Roy,28,1911
Theodore,28,1911
Ernest,27,1911
Bernard,26,1911
Edwin,25,1911
Leo,25,1911
Elmer,24,1911
Peter,24,1911
Andrew,23,1911
Earl,22,1911
Alfred,21,1911
Francis,21,1911
Eugene,19,1911
Joe,19,1911
Anthony,18,1911
Floyd,18,1911
Clifford,17,1911
Frederick,17,1911
Samuel,17,1911
Herbert,16,1911
Lloyd,16,1911
Gordon,15,1911
Harvey,15,1911
Clayton,14,1911
Michael,14,1911
Willard,14,1911
Alvin,13,1911
Arnold,13,1911
Lester,13,1911
Oscar,13,1911
Clyde,12,1911
Daniel,12,1911
Herman,12,1911
Lewis,12,1911
Melvin,12,1911
Milton,12,1911
Oliver,12,1911
Otto,12,1911
Phillip,12,1911
Leroy,11,1911
Martin,11,1911
Maurice,11,1911
Stephen,11,1911
Tom,11,1911
Chester,10,1911
Jacob,10,1911
Leslie,10,1911
Victor,10,1911
Wayne,10,1911
Wesley,10,1911
Benjamin,9,1911
Cecil,9,1911
Clare,9,1911
Glen,9,1911
Jerome,9,1911
Lyle,9,1911
Vernon,9,1911
Warren,9,1911
Wilbur,9,1911
Allen,8,1911
Cornelius,8,1911
Ray,8,1911
Steve,8,1911
Adolph,7,1911
Archie,7,1911
August,7,1911
Cyril,7,1911
Everett,7,1911
Gilbert,7,1911
Irving,7,1911
Leon,7,1911
Marvin,7,1911
Nicholas,7,1911
Vincent,7,1911
Wallace,7,1911
Adam,6,1911
Alex,6,1911
Alton,6,1911
Ben,6,1911
Claude,6,1911
Ellis,6,1911
Emil,6,1911
Erwin,6,1911
Forrest,6,1911
Karl,6,1911
Lee,6,1911
Orville,6,1911
Patrick,6,1911
Roland,6,1911
Ronald,6,1911
Rudolph,6,1911
Alexander,5,1911
Barney,5,1911
Bert,5,1911
Bill,5,1911
Bruno,5,1911
Carroll,5,1911
Clinton,5,1911
Darwin,5,1911
Douglas,5,1911
Edgar,5,1911
Edmund,5,1911
Eino,5,1911
Elton,5,1911
Ervin,5,1911
Hubert,5,1911
Jesse,5,1911
Keith,5,1911
Marion,5,1911
Max,5,1911
Mike,5,1911
Millard,5,1911
Neal,5,1911
Nelson,5,1911
Perry,5,1911
Reuben,5,1911
Simon,5,1911
Steven,5,1911
Tony,5,1911
Willie,5,1911
Willis,5,1911
John,530,1912
William,423,1912
Robert,292,1912
Charles,264,1912
George,262,1912
Joseph,246,1912
Edward,243,1912
Frank,225,1912
Harold,212,1912
James,205,1912
Donald,154,1912
Walter,148,1912
Arthur,137,1912
Albert,121,1912
Raymond,120,1912
Richard,118,1912
Henry,113,1912
Harry,110,1912
Kenneth,109,1912
Carl,99,1912
Clarence,98,1912
Ralph,97,1912
Paul,95,1912
Howard,93,1912
Louis,88,1912
Earl,87,1912
Stanley,85,1912
Lawrence,84,1912
Thomas,84,1912
Jack,78,1912
Francis,75,1912
Russell,74,1912
Fred,72,1912
Frederick,65,1912
Leo,65,1912
Ernest,64,1912
Leonard,62,1912
Elmer,60,1912
Peter,60,1912
Gordon,54,1912
Norman,54,1912
Roy,53,1912
Anthony,51,1912
Clifford,51,1912
Alfred,50,1912
Gerald,50,1912
Bernard,49,1912
Chester,47,1912
Theodore,47,1912
Edwin,46,1912
Floyd,46,1912
David,45,1912
Eugene,44,1912
Lloyd,42,1912
Herbert,39,1912
Clyde,37,1912
Martin,37,1912
Michael,36,1912
Alvin,33,1912
Milton,32,1912
Glenn,31,1912
Lester,31,1912
Benjamin,30,1912
Harvey,30,1912
Stephen,30,1912
Marvin,29,1912
Melvin,29,1912
Willard,29,1912
Alexander,28,1912
Victor,27,1912
Wayne,27,1912
Daniel,26,1912
Lewis,26,1912
Maurice,26,1912
Ray,26,1912
Hugh,25,1912
Leroy,25,1912
Lyle,25,1912
Max,24,1912
Samuel,24,1912
Herman,23,1912
Leon,23,1912
Leslie,23,1912
Andrew,22,1912
Arnold,22,1912
Cecil,22,1912
Edmund,22,1912
Ivan,22,1912
Joe,22,1912
Alex,20,1912
Clayton,20,1912
Irving,20,1912
Jacob,20,1912
Nelson,20,1912
Ronald,20,1912
Sam,20,1912
Vernon,20,1912
Julius,19,1912
Neil,19,1912
Allen,18,1912
Claude,18,1912
Jerome,18,1912
Orville,18,1912
Steve,18,1912
Vincent,18,1912
Bruce,17,1912
Emil,17,1912
Nicholas,17,1912
Oscar,17,1912
Philip,17,1912
Rudolph,17,1912
Woodrow,17,1912
Gilbert,16,1912
Otto,16,1912
Wilbur,16,1912
Ben,15,1912
Douglas,15,1912
Mike,15,1912
Roland,15,1912
Warren,15,1912
Bert,14,1912
Delbert,14,1912
Ervin,14,1912
Everett,14,1912
Lee,14,1912
Morris,14,1912
Oliver,14,1912
Wesley,14,1912
Don,13,1912
Ford,13,1912
Hubert,13,1912
Wallace,13,1912
Willis,13,1912
Adam,12,1912
Archie,12,1912
August,12,1912
Dale,12,1912
Glen,12,1912
Homer,12,1912
Irvin,12,1912
Laurence,12,1912
Sidney,12,1912
Carlton,11,1912
Edgar,11,1912
Franklin,11,1912
Marshall,11,1912
Rex,11,1912
Allan,10,1912
Christian,10,1912
Clair,10,1912
Clark,10,1912
Cyril,10,1912
Dean,10,1912
Forrest,10,1912
Guy,10,1912
Merle,10,1912
Phillip,10,1912
Stuart,10,1912
Virgil,10,1912
Wilfred,10,1912
Clare,9,1912
Emerson,9,1912
Gene,9,1912
Jesus,9,1912
Keith,9,1912
Leland,9,1912
Loren,9,1912
Marion,9,1912
Matthew,9,1912
Patrick,9,1912
Tony,9,1912
Vern,9,1912
Angelo,8,1912
Basil,8,1912
Jay,8,1912
Karl,8,1912
