Name,Frequency,YOB
John,146,1910
George,98,1910
Harold,69,1910
William,67,1910
James,66,1910
Walter,58,1910
Robert,57,1910
Frank,54,1910
Joseph,54,1910
Carl,53,1910
Edward,52,1910
Clarence,51,1910
Harry,51,1910
Raymond,48,1910
Charles,47,1910
Arthur,42,1910
Donald,37,1910
Kenneth,37,1910
Henry,36,1910
Albert,31,1910
Roy,29,1910
Leonard,26,1910
Ralph,26,1910
Earl,25,1910
Edwin,24,1910
Francis,24,1910
Howard,24,1910
Lloyd,24,1910
Fred,22,1910
Leo,22,1910
Theodore,22,1910
Arnold,21,1910
Ernest,21,1910
Louis,21,1910
Martin,21,1910
Melvin,21,1910
Richard,21,1910
Paul,20,1910
Stanley,20,1910
Elmer,19,1910
Norman,19,1910
Alfred,18,1910
Bernard,18,1910
Herbert,18,1910
Thomas,18,1910
Clifford,17,1910
Floyd,17,1910
Peter,17,1910
Alvin,16,1910
Jack,16,1910
Russell,16,1910
David,15,1910
Anthony,14,1910
Eugene,14,1910
Michael,14,1910
Vernon,14,1910
Chester,13,1910
Everett,13,1910
Jerome,13,1910
Lawrence,13,1910
Ray,13,1910
Marvin,12,1910
Milton,12,1910
August,11,1910
Emil,11,1910
Lester,11,1910
Oscar,11,1910
Otto,10,1910
Rudolph,10,1910
Andrew,9,1910
Archie,9,1910
Ben,9,1910
Glenn,9,1910
Gordon,9,1910
Lyle,9,1910
Maurice,9,1910
Victor,9,1910
Gerald,8,1910
Leslie,8,1910
Mike,8,1910
Patrick,8,1910
Roman,8,1910
Sylvester,8,1910
Edmund,7,1910
Gilbert,7,1910
Leroy,7,1910
Lewis,7,1910
Morris,7,1910
Oliver,7,1910
Philip,7,1910
Warren,7,1910
Wilbur,7,1910
Willard,7,1910
Alex,6,1910
Ervin,6,1910
Frederick,6,1910
Herman,6,1910
Orville,6,1910
Stephen,6,1910
Vincent,6,1910
Wallace,6,1910
Alphonse,5,1910
Alton,5,1910
Arvid,5,1910
Bert,5,1910
Clinton,5,1910
Conrad,5,1910
Edgar,5,1910
Gust,5,1910
Harvey,5,1910
Joe,5,1910
Julius,5,1910
Miles,5,1910
Reuben,5,1910
Roger,5,1910
Roland,5,1910
Steve,5,1910
Virgil,5,1910
John,160,1911
William,111,1911
Joseph,92,1911
George,79,1911
Robert,77,1911
Harold,69,1911
Walter,67,1911
Frank,65,1911
Arthur,60,1911
Edward,56,1911
James,55,1911
Harry,52,1911
Donald,48,1911
Henry,48,1911
Carl,46,1911
Raymond,44,1911
Lawrence,41,1911
Charles,40,1911
Howard,40,1911
Clarence,38,1911
Kenneth,37,1911
Albert,36,1911
Richard,36,1911
Ralph,35,1911
Clifford,33,1911
Earl,32,1911
Paul,32,1911
Elmer,31,1911
Leonard,27,1911
Gordon,26,1911
Leo,26,1911
Arnold,24,1911
Lloyd,24,1911
Francis,23,1911
Stanley,23,1911
Alfred,21,1911
Alvin,21,1911
Edwin,21,1911
Marvin,20,1911
Roy,20,1911
Thomas,20,1911
Russell,19,1911
Fred,18,1911
