Name,Frequency,YOB
William,314,1910
John,288,1910
James,243,1910
Charles,183,1910
Robert,176,1910
George,170,1910
Joseph,105,1910
Thomas,91,1910
Edward,88,1910
Paul,88,1910
Frank,87,1910
Harold,82,1910
Raymond,79,1910
Henry,77,1910
Carl,75,1910
Harry,68,1910
Earl,65,1910
Walter,65,1910
Roy,59,1910
Fred,57,1910
Clarence,56,1910
Jack,56,1910
Richard,54,1910
Ralph,53,1910
Albert,52,1910
Arthur,50,1910
Howard,50,1910
Louis,49,1910
Elmer,44,1910
Floyd,42,1910
Lee,38,1910
Ray,38,1910
Joe,37,1910
Lloyd,37,1910
Herbert,36,1910
Lawrence,35,1910
Leo,33,1910
Chester,32,1910
Clyde,32,1910
Kenneth,32,1910
Leonard,32,1910
Eugene,30,1910
Cecil,29,1910
Everett,29,1910
Lester,29,1910
Alfred,28,1910
Herman,28,1910
Russell,28,1910
Ernest,25,1910
Virgil,25,1910
Clifford,24,1910
Edgar,24,1910
Glenn,24,1910
Jesse,24,1910
Oscar,23,1910
Claude,22,1910
Victor,22,1910
Anthony,21,1910
Donald,21,1910
Vernon,21,1910
Willie,21,1910
David,20,1910
Orville,20,1910
Sam,19,1910
Alvin,18,1910
Francis,18,1910
Milton,18,1910
Samuel,18,1910
Willard,18,1910
Theodore,17,1910
Bernard,16,1910
Glen,16,1910
Homer,16,1910
Lewis,16,1910
Marvin,16,1910
Bill,14,1910
Leroy,14,1910
Melvin,14,1910
Norman,14,1910
Andrew,13,1910
Ben,13,1910
Daniel,13,1910
Harvey,13,1910
Leslie,13,1910
Gerald,12,1910
Hubert,12,1910
Marion,12,1910
Stanley,12,1910
Allen,11,1910
Benjamin,11,1910
Byron,11,1910
Edwin,11,1910
Vincent,11,1910
Charley,10,1910
Charlie,10,1910
Delbert,10,1910
Frederick,10,1910
Ira,10,1910
Johnnie,10,1910
Loren,10,1910
Loyd,10,1910
Oliver,10,1910
Otto,10,1910
Steve,10,1910
Tom,10,1910
Vernie,10,1910
Wilbert,10,1910
Curtis,9,1910
Emil,9,1910
Hugh,9,1910
Leland,9,1910
Michael,9,1910
Rudolph,9,1910
Wayne,9,1910
Arnold,8,1910
August,8,1910
Bert,8,1910
Clayton,8,1910
Dale,8,1910
Elmo,8,1910
Forest,8,1910
Forrest,8,1910
Gilbert,8,1910
Jessie,8,1910
Martin,8,1910
Maurice,8,1910
Otis,8,1910
Ross,8,1910
Sylvester,8,1910
Alexander,7,1910
Aubrey,7,1910
Calvin,7,1910
Don,7,1910
Emmett,7,1910
Guy,7,1910
Hershel,7,1910
Irvin,7,1910
Jacob,7,1910
Leon,7,1910
Max,7,1910
Nathan,7,1910
Oren,7,1910
Ted,7,1910
Wilbur,7,1910
Aaron,6,1910
Archie,6,1910
Clark,6,1910
Ed,6,1910
Eddie,6,1910
Eldon,6,1910
Gordon,6,1910
Herschel,6,1910
Jess,6,1910
Jimmie,6,1910
Julius,6,1910
Luther,6,1910
Noel,6,1910
Peter,6,1910
Stephen,6,1910
Wesley,6,1910
Boyd,5,1910
Clay,5,1910
Cleo,5,1910
Dallas,5,1910
Emery,5,1910
Ervin,5,1910
Felix,5,1910
Garland,5,1910
Gene,5,1910
Ivan,5,1910
Jerry,5,1910
Jim,5,1910
Lonnie,5,1910
Mark,5,1910
Marshall,5,1910
Maynard,5,1910
Ora,5,1910
Oral,5,1910
Patrick,5,1910
Philip,5,1910
Phillip,5,1910
Rex,5,1910
Roger,5,1910
Roland,5,1910
Roscoe,5,1910
Sidney,5,1910
Wallace,5,1910
Warren,5,1910
William,319,1911
John,287,1911
James,274,1911
Charles,192,1911
George,175,1911
Robert,169,1911
Harold,115,1911
Joseph,111,1911
Edward,93,1911
Thomas,87,1911
Raymond,85,1911
Paul,82,1911
Frank,81,1911
Harry,80,1911
Walter,80,1911
Roy,78,1911
Earl,77,1911
Clarence,75,1911
Carl,72,1911
Ralph,71,1911
Henry,70,1911
Richard,69,1911
Albert,58,1911
Lawrence,55,1911
Arthur,53,1911
Clyde,50,1911
Elmer,49,1911
Fred,48,1911
Herbert,48,1911
Jack,48,1911
Howard,46,1911
Louis,46,1911
Eugene,41,1911
Ernest,40,1911
Leonard,40,1911
Kenneth,39,1911
Lester,39,1911
Chester,38,1911
David,37,1911
Floyd,34,1911
Francis,34,1911
Edwin,32,1911
Lloyd,32,1911
Virgil,32,1911
Marvin,31,1911
Joe,30,1911
Ray,30,1911
Melvin,29,1911
Oscar,28,1911
Herman,27,1911
Alfred,26,1911
Cecil,26,1911
Leo,26,1911
Russell,26,1911
Donald,25,1911
Marion,25,1911
Bernard,23,1911
Clifford,23,1911
Everett,23,1911
Glenn,23,1911
Glen,22,1911
Leon,22,1911
Orville,22,1911
Claude,21,1911
Jesse,21,1911
Lee,21,1911
Norman,21,1911
Edgar,20,1911
Leslie,18,1911
Samuel,18,1911
Vernon,18,1911
Hubert,17,1911
Morris,17,1911
Victor,17,1911
Willie,17,1911
Alvin,16,1911
Daniel,15,1911
Sam,15,1911
Anthony,14,1911
Charley,14,1911
Martin,14,1911
Milton,14,1911
Stanley,14,1911
Wayne,14,1911
Willard,14,1911
Andrew,13,1911
Calvin,13,1911
Delbert,13,1911
Harvey,13,1911
Homer,13,1911
Theodore,13,1911
Bert,12,1911
Forrest,12,1911
Oliver,12,1911
Frederick,11,1911
Gilbert,11,1911
Leroy,11,1911
Lewis,11,1911
Luther,11,1911
Mike,11,1911
Owen,11,1911
Sidney,11,1911
Archie,10,1911
Ben,10,1911
Bill,10,1911
Gerald,10,1911
Guy,10,1911
Hugh,10,1911
Jessie,10,1911
Michael,10,1911
Otis,10,1911
Wilbur,10,1911
August,9,1911
Elbert,9,1911
Emmett,9,1911
Loyd,9,1911
Maurice,9,1911
Stephen,9,1911
Sylvester,9,1911
Alexander,8,1911
Benjamin,8,1911
Don,8,1911
Earnest,8,1911
Ervin,8,1911
Irvin,8,1911
Ivan,8,1911
Otto,8,1911
Roscoe,8,1911
Ward,8,1911
Warren,8,1911
Wesley,8,1911
Allen,7,1911
Alva,7,1911
Claud,7,1911
Clifton,7,1911
Curtis,7,1911
Emery,7,1911
Jess,7,1911
Max,7,1911
Ollie,7,1911
Perry,7,1911
Phillip,7,1911
Tom,7,1911
Adolph,6,1911
Arnold,6,1911
Bennie,6,1911
Bob,6,1911
Byron,6,1911
Charlie,6,1911
Dennis,6,1911
Eddie,6,1911
Elmo,6,1911
Garland,6,1911
Herschel,6,1911
Ira,6,1911
Jay,6,1911
Johnnie,6,1911
Nathan,6,1911
Orval,6,1911
Pete,6,1911
Wilbert,6,1911
Al,5,1911
Basil,5,1911
Dale,5,1911
Elzie,5,1911
Emil,5,1911
Franklin,5,1911
Gail,5,1911
Gene,5,1911
Horace,5,1911
Jimmie,5,1911
Leland,5,1911
Louie,5,1911
Lowell,5,1911
Mack,5,1911
Millard,5,1911
Philip,5,1911
Roger,5,1911
Ronald,5,1911
