Name,Frequency,YOB
James,465,1910
John,385,1910
Willie,377,1910
William,259,1910
Robert,254,1910
George,201,1910
Henry,158,1910
Frank,105,1910
Charlie,103,1910
Sam,103,1910
Walter,102,1910
Joe,91,1910
Charles,86,1910
Albert,85,1910
Thomas,82,1910
Fred,72,1910
Jessie,72,1910
Eddie,71,1910
Johnnie,66,1910
Jack,59,1910
Joseph,59,1910
Edward,55,1910
Leroy,55,1910
Andrew,49,1910
Lee,49,1910
Eugene,48,1910
Ernest,47,1910
Jim,47,1910
Tom,46,1910
Louis,45,1910
Roosevelt,45,1910
Arthur,43,1910
David,43,1910
Richard,41,1910
Percy,40,1910
Will,39,1910
Jimmie,38,1910
Clarence,37,1910
Ed,37,1910
Howard,37,1910
Jesse,35,1910
Curtis,34,1910
Ben,33,1910
Earl,33,1910
Tommie,33,1910
Mack,31,1910
Leon,30,1910
Luther,30,1910
Roy,30,1910
Charley,29,1910
Lawrence,28,1910
Samuel,28,1910
Clyde,27,1910
Paul,26,1910
Oscar,25,1910
Booker,24,1910
Nathaniel,24,1910
Bill,23,1910
Otis,23,1910
Claude,22,1910
Edgar,22,1910
Alfred,21,1910
Bennie,21,1910
Earnest,21,1910
Herman,21,1910
Alex,20,1910
Archie,20,1910
Elmer,20,1910
Harry,20,1910
Cleveland,19,1910
Dan,19,1910
Allen,18,1910
Floyd,18,1910
Homer,18,1910
Johnie,18,1910
Johnny,18,1910
Leonard,18,1910
Marvin,18,1910
Rufus,18,1910
Cecil,17,1910
Dave,17,1910
Grady,17,1910
Ira,17,1910
Lester,17,1910
Lonnie,17,1910
Oliver,17,1910
Amos,16,1910
Daniel,16,1910
Elbert,16,1910
Herbert,16,1910
Jerry,16,1910
Sidney,16,1910
Chester,15,1910
Guy,15,1910
Lewis,15,1910
Theodore,15,1910
Clifton,14,1910
Hugh,14,1910
Isaac,14,1910
Jake,14,1910
Willis,14,1910
Carl,13,1910
Elijah,13,1910
Harvey,13,1910
Milton,13,1910
Ollie,13,1910
Simon,13,1910
Calvin,12,1910
Horace,12,1910
Julius,12,1910
Melvin,12,1910
Monroe,12,1910
Nathan,12,1910
Peter,12,1910
Stanley,12,1910
Sylvester,12,1910
Tommy,12,1910
Anderson,11,1910
Dock,11,1910
Isiah,11,1910
Leslie,11,1910
Raymond,11,1910
Wiley,11,1910
Buford,10,1910
Harold,10,1910
Leo,10,1910
Luke,10,1910
Sammie,10,1910
Silas,10,1910
Virgil,10,1910
Aaron,9,1910
Anthony,9,1910
Benjamin,9,1910
Ellis,9,1910
Gus,9,1910
Hubert,9,1910
Judge,9,1910
Kenneth,9,1910
Moses,9,1910
Norman,9,1910
Ralph,9,1910
Ray,9,1910
Steve,9,1910
Vernon,9,1910
Alexander,8,1910
Alton,8,1910
Alvin,8,1910
Clinton,8,1910
Grant,8,1910
Grover,8,1910
Haywood,8,1910
Ike,8,1910
Jeff,8,1910
Lamar,8,1910
Marion,8,1910
Matthew,8,1910
Mose,8,1910
Pete,8,1910
Roscoe,8,1910
Russell,8,1910
Wesley,8,1910
Wilbert,8,1910
Wilson,8,1910
Benny,7,1910
Buster,7,1910
Claud,7,1910
Edmond,7,1910
Ester,7,1910
Francis,7,1910
Freddie,7,1910
Garfield,7,1910
Kermit,7,1910
Mark,7,1910
Otha,7,1910
