Name,Frequency,YOB
John,45,1910
William,41,1910
George,29,1910
James,25,1910
Harold,15,1910
Charles,14,1910
Edward,14,1910
Jack,14,1910
Joseph,14,1910
Albert,12,1910
Carl,12,1910
Frank,12,1910
Robert,12,1910
Walter,12,1910
Clarence,11,1910
Thomas,11,1910
Kenneth,10,1910
Arthur,9,1910
David,9,1910
Henry,9,1910
Joe,9,1910
Harry,8,1910
Raymond,8,1910
Donald,7,1910
Ernest,7,1910
Fred,7,1910
Norman,7,1910
Clyde,6,1910
Francis,6,1910
Louis,6,1910
Ralph,6,1910
Alfred,5,1910
Melvin,5,1910
Ray,5,1910
Richard,5,1910
Ted,5,1910
John,56,1911
William,46,1911
James,31,1911
Joseph,28,1911
Robert,27,1911
Frank,26,1911
Edward,24,1911
Charles,20,1911
George,19,1911
Jack,18,1911
Henry,15,1911
Thomas,13,1911
Raymond,12,1911
Ernest,11,1911
Francis,11,1911
Paul,11,1911
Carl,10,1911
Roy,10,1911
Donald,9,1911
Fred,9,1911
Harold,9,1911
Harry,9,1911
Albert,8,1911
David,7,1911
Earl,7,1911
Joe,7,1911
Lawrence,7,1911
Leonard,7,1911
Lloyd,7,1911
Russell,7,1911
Walter,7,1911
Arthur,6,1911
Clarence,6,1911
Elmer,6,1911
Howard,6,1911
Andrew,5,1911
Kenneth,5,1911
Norman,5,1911
Pete,5,1911
Ray,5,1911
John,124,1912
William,91,1912
James,68,1912
Robert,68,1912
George,58,1912
Frank,37,1912
Harold,37,1912
Joseph,34,1912
Edward,28,1912
Harry,27,1912
Charles,26,1912
Jack,26,1912
Arthur,24,1912
Donald,23,1912
Richard,21,1912
Kenneth,20,1912
Walter,19,1912
Albert,18,1912
David,17,1912
Fred,17,1912
Raymond,17,1912
Thomas,17,1912
Clarence,15,1912
Carl,14,1912
Leonard,14,1912
Joe,13,1912
Elmer,12,1912
Henry,12,1912
Lawrence,12,1912
Louis,12,1912
Ralph,12,1912
Roy,12,1912
Theodore,12,1912
Alfred,11,1912
Earl,11,1912
Herbert,11,1912
Howard,11,1912
Peter,11,1912
Don,10,1912
Edwin,10,1912
Paul,10,1912
Chester,9,1912
Ernest,9,1912
Eugene,9,1912
Francis,9,1912
Leo,9,1912
Lester,9,1912
Melvin,9,1912
Glenn,8,1912
Phillip,8,1912
Andrew,7,1912
Anthony,7,1912
Clifford,7,1912
Daniel,7,1912
Gerald,7,1912
Gilbert,7,1912
Gordon,7,1912
Norman,7,1912
Patrick,7,1912
Victor,7,1912
Wayne,7,1912
Leroy,6,1912
Lloyd,6,1912
Milton,6,1912
Otto,6,1912
Philip,6,1912
Samuel,6,1912
Stanley,6,1912
Stephen,6,1912
Alex,5,1912
Alvin,5,1912
Floyd,5,1912
Frederick,5,1912
Martin,5,1912
Morris,5,1912
Ray,5,1912
Russell,5,1912
Woodrow,5,1912
John,142,1913
William,99,1913
Robert,90,1913
James,88,1913
George,79,1913
Charles,67,1913
Joseph,57,1913
Frank,45,1913
Donald,42,1913
Arthur,41,1913
Edward,38,1913
Walter,36,1913
Albert,34,1913
Thomas,34,1913
Harold,31,1913
Richard,31,1913
Harry,30,1913
Henry,30,1913
Jack,28,1913
Earl,27,1913
Howard,25,1913
Carl,24,1913
Fred,22,1913
Kenneth,22,1913
Paul,22,1913
Louis,19,1913
Francis,18,1913
Lloyd,18,1913
Peter,17,1913
Ralph,17,1913
Raymond,17,1913
Edwin,16,1913
Leonard,16,1913
Clarence,15,1913
David,15,1913
Stanley,15,1913
Andrew,14,1913
Eugene,14,1913
Lawrence,13,1913
Norman,13,1913
Bernard,12,1913
Elmer,12,1913
Ernest,12,1913
Lester,12,1913
Ray,12,1913
Daniel,11,1913
Frederick,11,1913
Glenn,11,1913
Gordon,11,1913
Herbert,11,1913
Joe,11,1913
Roy,11,1913
Alfred,10,1913
Clifford,10,1913
Leslie,10,1913
Lewis,10,1913
Cecil,9,1913
Don,9,1913
Harvey,9,1913
Michael,9,1913
Everett,8,1913
Percy,8,1913
Russell,8,1913
Samuel,8,1913
Alvin,7,1913
Archie,7,1913
Arnold,7,1913
Emil,7,1913
Herman,7,1913
Hugh,7,1913
Orville,7,1913
Patrick,7,1913
Stephen,7,1913
Theodore,7,1913
Wayne,7,1913
Alex,6,1913
Allen,6,1913
Benjamin,6,1913
Floyd,6,1913
Gerald,6,1913
Gilbert,6,1913
Ivan,6,1913
Jesse,6,1913
Lee,6,1913
Nick,6,1913
Philip,6,1913
Rudolph,6,1913
Vernon,6,1913
Victor,6,1913
Willard,6,1913
Alexander,5,1913
August,5,1913
Byron,5,1913
Clyde,5,1913
Edgar,5,1913
Glen,5,1913
Leo,5,1913
Mark,5,1913
Marvin,5,1913
Maurice,5,1913
Milton,5,1913
Vincent,5,1913
Warren,5,1913
Woodrow,5,1913
John,177,1914
William,170,1914
Robert,139,1914
George,114,1914
James,106,1914
Charles,81,1914
Frank,69,1914
Arthur,56,1914
Joseph,55,1914
Edward,53,1914
Walter,51,1914
Donald,48,1914
Albert,46,1914
Paul,45,1914
Harold,43,1914
Harry,43,1914
Richard,43,1914
Henry,41,1914
Jack,40,1914
Thomas,38,1914
Ralph,37,1914
Raymond,34,1914
Carl,31,1914
Clarence,30,1914
Fred,30,1914
Kenneth,29,1914
Roy,29,1914
Howard,28,1914
Francis,27,1914
Melvin,23,1914
Elmer,22,1914
Earl,21,1914
Clifford,20,1914
David,20,1914
Ernest,20,1914
Norman,20,1914
Alfred,19,1914
Eugene,19,1914
Leo,18,1914
Lloyd,18,1914
Louis,18,1914
Daniel,17,1914
Leonard,17,1914
Glen,16,1914
Joe,16,1914
Peter,16,1914
Stanley,16,1914
