Name,Frequency,YOB
James,612,1910
William,452,1910
John,413,1910
Robert,240,1910
George,215,1910
Willie,210,1910
Henry,140,1910
Thomas,130,1910
Charles,127,1910
Charlie,121,1910
Joseph,118,1910
Walter,98,1910
Frank,87,1910
David,78,1910
Joe,72,1910
Edward,71,1910
Paul,61,1910
Fred,60,1910
Raymond,59,1910
Arthur,57,1910
Ernest,56,1910
Clarence,54,1910
Roy,53,1910
Samuel,49,1910
Herbert,47,1910
Howard,46,1910
Jesse,46,1910
Richard,45,1910
Sam,45,1910
Carl,44,1910
Johnnie,42,1910
Albert,41,1910
Leroy,39,1910
Jack,37,1910
Luther,36,1910
Jessie,35,1910
Daniel,34,1910
Floyd,33,1910
Lee,33,1910
Clyde,32,1910
Eugene,32,1910
Ralph,32,1910
Theodore,32,1910
Andrew,31,1910
Earl,31,1910
Harvey,31,1910
Lonnie,31,1910
Harry,30,1910
Herman,30,1910
Earnest,27,1910
Marvin,27,1910
Claude,26,1910
Louis,25,1910
Will,25,1910
Eddie,24,1910
Curtis,22,1910
Harold,22,1910
Hubert,22,1910
Leonard,22,1910
Lester,22,1910
Mack,22,1910
Percy,21,1910
Allen,20,1910
Benjamin,20,1910
Norman,20,1910
Tom,20,1910
Lewis,19,1910
Oscar,19,1910
Ben,18,1910
Calvin,18,1910
Edgar,18,1910
Elbert,18,1910
Elmer,18,1910
Isaac,18,1910
Leon,18,1910
Otis,18,1910
Ray,18,1910
Grady,17,1910
Johnie,17,1910
Moses,17,1910
Rufus,17,1910
Wilbert,17,1910
Lawrence,16,1910
Odell,16,1910
Clifton,15,1910
Garland,15,1910
Jim,15,1910
Nathan,15,1910
Nathaniel,15,1910
Chester,14,1910
Lloyd,14,1910
Melvin,14,1910
Roosevelt,14,1910
Roscoe,14,1910
Russell,14,1910
Sidney,14,1910
Alfred,13,1910
Bennie,13,1910
Jake,13,1910
Leslie,13,1910
Sylvester,13,1910
Willis,13,1910
Jasper,12,1910
Julius,12,1910
Vernon,12,1910
Alton,11,1910
Archie,11,1910
Booker,11,1910
Bruce,11,1910
Coy,11,1910
Dan,11,1910
Dennis,11,1910
Hugh,11,1910
Leo,11,1910
Matthew,11,1910
Noah,11,1910
Wilbur,11,1910
Cecil,10,1910
Dallas,10,1910
Elijah,10,1910
Freddie,10,1910
Gilbert,10,1910
Grover,10,1910
Harrison,10,1910
Ira,10,1910
Jerry,10,1910
Lacy,10,1910
Marion,10,1910
Milton,10,1910
Wade,10,1910
Aaron,9,1910
Cleveland,9,1910
Dave,9,1910
Dewey,9,1910
Dock,9,1910
Donald,9,1910
Ed,9,1910
Guy,9,1910
Homer,9,1910
Horace,9,1910
Marshall,9,1910
Wayne,9,1910
Willard,9,1910
Alex,8,1910
Clinton,8,1910
Francis,8,1910
Glenn,8,1910
Graham,8,1910
Jacob,8,1910
Johnny,8,1910
Kenneth,8,1910
Loyd,8,1910
Simon,8,1910
