Name,Frequency,YOB
John,56,1910
William,41,1910
George,39,1910
Arthur,26,1910
Frank,26,1910
Albert,23,1910
Charles,23,1910
Robert,23,1910
Joseph,21,1910
Walter,17,1910
Clarence,16,1910
Edward,16,1910
Harold,16,1910
Henry,16,1910
James,16,1910
Edwin,14,1910
Kenneth,14,1910
Theodore,14,1910
Clifford,13,1910
Fred,13,1910
Roy,13,1910
Ernest,12,1910
Harry,12,1910
Thomas,12,1910
Alfred,11,1910
Carl,11,1910
Emil,11,1910
Leonard,11,1910
Melvin,11,1910
Alvin,10,1910
Earl,10,1910
Donald,9,1910
Elmer,9,1910
Francis,9,1910
Jack,9,1910
Leo,9,1910
Lloyd,9,1910
Raymond,9,1910
Richard,9,1910
Eugene,8,1910
Howard,8,1910
Oscar,8,1910
Paul,8,1910
Daniel,7,1910
Floyd,7,1910
Herman,7,1910
Leslie,7,1910
Lyle,7,1910
Max,7,1910
Andrew,6,1910
Arnold,6,1910
David,6,1910
Gordon,6,1910
Joe,6,1910
Lawrence,6,1910
Lester,6,1910
Milton,6,1910
Victor,6,1910
Chester,5,1910
Herbert,5,1910
Jacob,5,1910
Leroy,5,1910
Louis,5,1910
Pete,5,1910
Peter,5,1910
Ralph,5,1910
Sam,5,1910
Vernon,5,1910
Wilbur,5,1910
John,45,1911
William,36,1911
George,33,1911
Robert,29,1911
Harold,28,1911
Edward,26,1911
Walter,25,1911
Joseph,24,1911
Charles,21,1911
James,21,1911
Theodore,18,1911
Arthur,17,1911
Clarence,17,1911
Raymond,17,1911
Donald,16,1911
Frank,16,1911
Henry,15,1911
Carl,14,1911
Leonard,14,1911
Albert,13,1911
Alfred,13,1911
Earl,13,1911
Elmer,13,1911
Fred,13,1911
Harry,13,1911
Paul,12,1911
Arnold,10,1911
Clifford,10,1911
Edwin,10,1911
Herbert,10,1911
Peter,10,1911
Roy,10,1911
Ernest,9,1911
Kenneth,9,1911
Lawrence,9,1911
Lloyd,9,1911
Philip,9,1911
Richard,9,1911
Stanley,9,1911
Andrew,8,1911
Norman,8,1911
Thomas,8,1911
Alvin,7,1911
Anton,7,1911
Emil,7,1911
Francis,7,1911
Gordon,7,1911
Jack,7,1911
Lester,7,1911
Melvin,7,1911
Oscar,7,1911
Adolph,6,1911
Frederick,6,1911
Herman,6,1911
Jacob,6,1911
Joe,6,1911
Leroy,6,1911
Otto,6,1911
Ralph,6,1911
Roland,6,1911
Vincent,6,1911
Bennie,5,1911
Bernard,5,1911
Daniel,5,1911
Glenn,5,1911
Michael,5,1911
Mike,5,1911
Ray,5,1911
Vernon,5,1911
John,122,1912
William,67,1912
George,66,1912
Robert,61,1912
Harold,59,1912
James,52,1912
Arthur,51,1912
Joseph,47,1912
Clarence,43,1912
Walter,42,1912
Carl,41,1912
Edward,41,1912
Raymond,39,1912
Henry,38,1912
Ernest,34,1912
Charles,33,1912
Kenneth,33,1912
Albert,32,1912
Donald,32,1912
Frank,32,1912
Roy,30,1912
Leonard,28,1912
Lloyd,27,1912
Paul,27,1912
Clifford,26,1912
Howard,26,1912
Edwin,25,1912
Lawrence,24,1912
Richard,24,1912
Earl,23,1912
Alfred,22,1912
Alvin,22,1912
Elmer,22,1912
Fred,22,1912
Theodore,22,1912
Thomas,22,1912
Emil,21,1912
Harry,20,1912
Ralph,20,1912
Jacob,19,1912
Marvin,19,1912
Peter,19,1912
Arnold,17,1912
Floyd,17,1912
Melvin,16,1912
Joe,15,1912
Leo,15,1912
Louis,15,1912
Russell,15,1912
Herbert,14,1912
Herman,14,1912
Norman,14,1912
Oliver,14,1912
Oscar,14,1912
Stanley,14,1912
Glenn,13,1912
Gordon,13,1912
Jack,13,1912
Orville,13,1912
Reuben,13,1912
Vernon,13,1912
Andrew,12,1912
Bernard,12,1912
Francis,12,1912
Martin,12,1912
Lyle,11,1912
Mike,11,1912
Chester,10,1912
Everett,10,1912
Rudolph,10,1912
Woodrow,10,1912
Eugene,9,1912
Harvey,9,1912
Leroy,9,1912
Lester,9,1912
Otto,9,1912
Palmer,9,1912
Philip,9,1912
Samuel,9,1912
Sidney,9,1912
August,8,1912
Cecil,8,1912
Daniel,8,1912
Glen,8,1912
Julius,8,1912
Maurice,8,1912
Victor,8,1912
Wilfred,8,1912
Adolph,7,1912
Alf,7,1912
Anton,7,1912
David,7,1912
Nels,7,1912
Ole,7,1912
Ted,7,1912
Adam,6,1912
Benjamin,6,1912
Erling,6,1912
Ferdinand,6,1912
Forrest,6,1912
Frederick,6,1912
Hugh,6,1912
Leon,6,1912
Patrick,6,1912
Ray,6,1912
Wallace,6,1912
Willard,6,1912
Ben,5,1912
Bert,5,1912
Byron,5,1912
Claude,5,1912
Clinton,5,1912
Dale,5,1912
Edmund,5,1912
Franklin,5,1912
Gilbert,5,1912
Helmer,5,1912
Jake,5,1912
Laurence,5,1912
Lee,5,1912
Marshall,5,1912
Max,5,1912
Merle,5,1912
Michael,5,1912
Milton,5,1912
Nick,5,1912
Percy,5,1912
Wendell,5,1912
John,154,1913
William,105,1913
Arthur,87,1913
Harold,80,1913
George,75,1913
Robert,69,1913
James,68,1913
Edward,65,1913
Raymond,63,1913
Walter,63,1913
Clarence,62,1913
Joseph,56,1913
Albert,50,1913
Paul,50,1913
Donald,41,1913
Edwin,41,1913
Lloyd,40,1913
Ralph,39,1913
Elmer,38,1913
Henry,38,1913
Frank,37,1913
Harry,37,1913
Kenneth,37,1913
Carl,36,1913
Charles,35,1913
Richard,35,1913
Herbert,33,1913
Lawrence,33,1913
Emil,31,1913
Fred,31,1913
Howard,31,1913
Roy,29,1913
Theodore,29,1913
Alfred,28,1913
Earl,28,1913
Leonard,28,1913
Melvin,27,1913
Leo,26,1913
Alvin,25,1913
Arnold,25,1913
Ernest,25,1913
Gordon,25,1913
Thomas,25,1913
Clifford,24,1913
Orville,23,1913
Chester,22,1913
Norman,22,1913
Bernard,21,1913
Francis,20,1913
Oscar,20,1913
Peter,20,1913
Lester,18,1913
Vernon,18,1913
Eugene,16,1913
Glenn,16,1913
Jacob,16,1913
Jack,15,1913
Otto,15,1913
David,14,1913
Ervin,14,1913
Floyd,14,1913
Gerald,14,1913
Herman,14,1913
Milton,14,1913
Victor,14,1913
Anton,13,1913
Leroy,13,1913
Mike,13,1913
Ray,13,1913
Russell,13,1913
Adam,11,1913
Erling,11,1913
Everett,11,1913
Louis,11,1913
Stanley,11,1913
Wesley,11,1913
Andrew,10,1913
Joe,10,1913
Lyle,10,1913
Martin,10,1913
Marvin,10,1913
Nick,10,1913
Philip,10,1913
Adolph,9,1913
Frederick,9,1913
Leon,9,1913
Louie,9,1913
Maurice,9,1913
Olaf,9,1913
Vincent,9,1913
August,8,1913
Benjamin,8,1913
Dale,8,1913
Harvey,8,1913
Lewis,8,1913
Palmer,8,1913
Sam,8,1913
Samuel,8,1913
Sidney,8,1913
Warren,8,1913
Wayne,8,1913
Anthony,7,1913
Bruce,7,1913
Clyde,7,1913
Daniel,7,1913
Edgar,7,1913
Edmund,7,1913
Forrest,7,1913
Glen,7,1913
Wallace,7,1913
Bennie,6,1913
Christ,6,1913
Claude,6,1913
Delbert,6,1913
Jake,6,1913
Michael,6,1913
Milo,6,1913
Norris,6,1913
Ole,6,1913
Sebastian,6,1913
Tony,6,1913
Virgil,6,1913
Archie,5,1913
Arvid,5,1913
Ben,5,1913
Clair,5,1913
Clayton,5,1913
Douglas,5,1913
Eddie,5,1913
Julius,5,1913
Leslie,5,1913
Pete,5,1913
Reinhold,5,1913
Roger,5,1913
Roland,5,1913
Ronald,5,1913
Selmer,5,1913
Ted,5,1913
Wilfred,5,1913
Woodrow,5,1913
John,207,1914
Robert,116,1914
William,115,1914
George,93,1914
Harold,92,1914
James,88,1914
Edward,80,1914
Joseph,78,1914
Walter,75,1914
Arthur,67,1914
Clarence,66,1914
Kenneth,60,1914
Albert,59,1914
Raymond,58,1914
Charles,57,1914
Frank,51,1914
Donald,49,1914
Lloyd,48,1914
Edwin,47,1914
Ernest,46,1914
Henry,46,1914
Fred,45,1914
Paul,45,1914
Elmer,43,1914
Lawrence,42,1914
Leonard,41,1914
Carl,40,1914
Melvin,40,1914
Roy,38,1914
Ralph,37,1914
Alvin,36,1914
Earl,35,1914
Harry,35,1914
Richard,34,1914
Clifford,33,1914
Lester,33,1914
Arnold,32,1914
Herbert,32,1914
Theodore,32,1914
Leo,31,1914
Norman,30,1914
Alfred,29,1914
Otto,29,1914
Howard,28,1914
Peter,28,1914
Emil,27,1914
Vernon,27,1914
Francis,26,1914
Floyd,25,1914
Louis,25,1914
Russell,25,1914
Thomas,25,1914
Victor,25,1914
Herman,24,1914
Jack,24,1914
Chester,23,1914
Gordon,23,1914
Lyle,23,1914
Glenn,22,1914
Leslie,22,1914
Orville,22,1914
Eugene,21,1914
Martin,21,1914
David,20,1914
Anton,19,1914
Bernard,19,1914
Oscar,19,1914
Ray,19,1914
Everett,18,1914
Andrew,16,1914
Frederick,16,1914
Jacob,16,1914
Marvin,16,1914
Cecil,15,1914
Milton,15,1914
Olaf,15,1914
Benjamin,14,1914
Daniel,14,1914
Joe,14,1914
Samuel,14,1914
Ervin,13,1914
Gerald,13,1914
Maurice,13,1914
Michael,13,1914
Philip,13,1914
Rudolph,13,1914
Wilbur,13,1914
Mike,12,1914
Roger,12,1914
Adolph,11,1914
August,11,1914
Harvey,11,1914
Oliver,11,1914
Stanley,11,1914
Steve,11,1914
Vincent,11,1914
Bennie,10,1914
Clayton,10,1914
Edmund,10,1914
Helmer,10,1914
Leroy,10,1914
Morris,10,1914
Reinhold,10,1914
Wallace,10,1914
Woodrow,10,1914
Bert,9,1914
Erling,9,1914
Reuben,9,1914
Tony,9,1914
Allen,8,1914
Anthony,8,1914
Christ,8,1914
Julius,8,1914
Karl,8,1914
Maynard,8,1914
Palmer,8,1914
Patrick,8,1914
Roland,8,1914
Ronald,8,1914
Virgil,8,1914
Adam,7,1914
Clyde,7,1914
Glen,7,1914
Gottlieb,7,1914
Hubert,7,1914
Jerome,7,1914
Loren,7,1914
Louie,7,1914
Sherman,7,1914
Wilbert,7,1914
Wilfred,7,1914
Carroll,6,1914
Dale,6,1914
Douglas,6,1914
Harley,6,1914
Ingvald,6,1914
Lee,6,1914
Nels,6,1914
Nick,6,1914
Pete,6,1914
Rodney,6,1914
Selmer,6,1914
Wayne,6,1914
Wesley,6,1914
Alex,5,1914
Ambrose,5,1914
Archie,5,1914
Christian,5,1914
Claude,5,1914
Edgar,5,1914
Erwin,5,1914
Ferdinand,5,1914
Freeman,5,1914
Gaylord,5,1914
Gilbert,5,1914
Irvin,5,1914
Laurence,5,1914
Leland,5,1914
Max,5,1914
Merle,5,1914
Neil,5,1914
Owen,5,1914
Phillip,5,1914
Sidney,5,1914
Sylvester,5,1914
Valentine,5,1914
Vern,5,1914
Warren,5,1914
Wendell,5,1914
Willis,5,1914
John,284,1915
William,189,1915
Robert,156,1915
George,126,1915
James,114,1915
Harold,113,1915
Joseph,107,1915
Arthur,105,1915
Edward,104,1915
Raymond,104,1915
Donald,103,1915
Walter,102,1915
Henry,92,1915
Albert,89,1915
Charles,89,1915
Kenneth,87,1915
Clarence,83,1915
Frank,79,1915
Herbert,70,1915
Richard,69,1915
Lawrence,68,1915
Edwin,67,1915
Roy,65,1915
Paul,62,1915
Earl,59,1915
Theodore,59,1915
Lloyd,58,1915
Ralph,58,1915
Carl,55,1915
Howard,55,1915
Elmer,54,1915
Norman,52,1915
Ernest,51,1915
Fred,51,1915
Arnold,50,1915
Clifford,50,1915
Harry,50,1915
Alvin,49,1915
Gordon,46,1915
Thomas,45,1915
Alfred,43,1915
Francis,43,1915
Leonard,43,1915
Marvin,42,1915
Melvin,40,1915
Oscar,40,1915
Vernon,40,1915
Russell,39,1915
Orville,38,1915
Anton,37,1915
Peter,37,1915
Emil,36,1915
Otto,35,1915
Jack,33,1915
Floyd,31,1915
Joe,30,1915
Leo,30,1915
Martin,30,1915
Adolph,29,1915
Chester,26,1915
Jacob,26,1915
Stanley,26,1915
Willard,25,1915
David,24,1915
Herman,24,1915
Ray,24,1915
Reuben,24,1915
Everett,23,1915
Frederick,23,1915
Lester,23,1915
Lyle,22,1915
Milton,22,1915
Victor,22,1915
Wallace,22,1915
Ervin,21,1915
Glenn,21,1915
Leslie,21,1915
Maurice,21,1915
Bernard,20,1915
Eugene,20,1915
Glen,19,1915
Vincent,19,1915
Andrew,18,1915
Harvey,18,1915
Louis,18,1915
Philip,18,1915
Allen,17,1915
Daniel,17,1915
Gerald,17,1915
Roland,17,1915
Leroy,16,1915
Wayne,16,1915
Benjamin,15,1915
Edgar,15,1915
Erwin,15,1915
Kermit,15,1915
Palmer,15,1915
Sam,15,1915
Samuel,15,1915
Anthony,14,1915
Michael,14,1915
Olaf,14,1915
Oliver,14,1915
Rudolph,14,1915
Wilbur,14,1915
Adam,13,1915
Clinton,13,1915
Dale,13,1915
Edmund,13,1915
Gilbert,13,1915
Lewis,13,1915
Mike,13,1915
Morris,13,1915
Ronald,13,1915
Ruben,13,1915
Archie,12,1915
Cecil,12,1915
Dean,12,1915
Douglas,12,1915
Maynard,12,1915
Myron,12,1915
Wesley,12,1915
August,11,1915
Clyde,11,1915
Erling,11,1915
Irvin,11,1915
Jerome,11,1915
Merle,11,1915
Phillip,11,1915
Reinhold,11,1915
Steve,11,1915
Sylvester,11,1915
Valentine,11,1915
Warren,11,1915
Einar,10,1915
Ivan,10,1915
Leon,10,1915
Max,10,1915
Nick,10,1915
Roger,10,1915
Vern,10,1915
Alex,9,1915
Alexander,9,1915
Ben,9,1915
Christian,9,1915
Curtis,9,1915
Emanuel,9,1915
Jake,9,1915
Selmer,9,1915
Stephen,9,1915
Wendell,9,1915
Allan,8,1915
Bennie,8,1915
Burton,8,1915
Duane,8,1915
Harris,8,1915
Laurence,8,1915
Leland,8,1915
Mark,8,1915
Orvin,8,1915
Sidney,8,1915
Virgil,8,1915
Wilbert,8,1915
Woodrow,8,1915
Carroll,7,1915
Clair,7,1915
Claude,7,1915
Conrad,7,1915
Fredrick,7,1915
Homer,7,1915
Jesse,7,1915
Julian,7,1915
Karl,7,1915
Lee,7,1915
