Name,Frequency,YOB
John,93,1910
William,63,1910
Robert,57,1910
James,51,1910
Charles,50,1910
Harold,38,1910
George,36,1910
Frank,33,1910
Carl,28,1910
Paul,27,1910
Clarence,26,1910
Edward,26,1910
Joseph,26,1910
Arthur,25,1910
Donald,24,1910
Fred,24,1910
Henry,24,1910
Harry,23,1910
Lawrence,22,1910
Raymond,21,1910
Walter,21,1910
Francis,20,1910
Kenneth,20,1910
Elmer,19,1910
Leo,19,1910
Albert,18,1910
Earl,18,1910
Richard,18,1910
Roy,18,1910
Howard,17,1910
Leonard,17,1910
Ernest,15,1910
Ralph,14,1910
Arnold,13,1910
Jack,13,1910
Thomas,13,1910
Clifford,12,1910
Glenn,12,1910
Everett,11,1910
Chester,10,1910
Eugene,10,1910
Floyd,10,1910
Gerald,10,1910
Harvey,10,1910
Herman,10,1910
Lee,10,1910
Lloyd,10,1910
Louis,10,1910
Wayne,10,1910
Andrew,9,1910
David,9,1910
Edwin,9,1910
Frederick,9,1910
Herbert,9,1910
Melvin,9,1910
Otto,9,1910
Virgil,9,1910
Alvin,8,1910
Glen,8,1910
Joe,8,1910
Leslie,8,1910
Lewis,8,1910
Vernon,8,1910
Bernard,7,1910
Claude,7,1910
Emil,7,1910
Julius,7,1910
Merle,7,1910
Orville,7,1910
Russell,7,1910
Willard,7,1910
Alfred,6,1910
Cecil,6,1910
Ervin,6,1910
Jacob,6,1910
Jesse,6,1910
Lyle,6,1910
Marion,6,1910
Marvin,6,1910
Milo,6,1910
Milton,6,1910
Oliver,6,1910
Ronald,6,1910
Victor,6,1910
Wilbur,6,1910
Ben,5,1910
Daniel,5,1910
Homer,5,1910
Jerry,5,1910
Lester,5,1910
Max,5,1910
Norman,5,1910
Peter,5,1910
Ray,5,1910
Stanley,5,1910
John,98,1911
William,79,1911
George,63,1911
Robert,60,1911
James,58,1911
Edward,50,1911
Harold,48,1911
Charles,45,1911
Donald,38,1911
Joseph,34,1911
Frank,33,1911
Carl,27,1911
Henry,27,1911
Paul,27,1911
Clarence,26,1911
Leonard,26,1911
Harry,25,1911
Walter,23,1911
Raymond,22,1911
Arthur,20,1911
Fred,20,1911
Ralph,20,1911
Albert,19,1911
Earl,18,1911
Francis,18,1911
Howard,18,1911
Richard,18,1911
Thomas,18,1911
Bernard,17,1911
Cecil,17,1911
Jack,17,1911
Roy,17,1911
Alfred,16,1911
Elmer,16,1911
Lloyd,16,1911
Ernest,15,1911
Kenneth,15,1911
Lawrence,15,1911
Alvin,13,1911
David,13,1911
Gerald,12,1911
Glenn,12,1911
Herbert,12,1911
Louis,12,1911
Vernon,12,1911
Edwin,11,1911
Floyd,11,1911
Ivan,11,1911
Wayne,11,1911
Arnold,10,1911
Chester,10,1911
Ervin,10,1911
Joe,10,1911
Leo,10,1911
Lester,10,1911
Clifford,9,1911
Dean,9,1911
Lee,9,1911
Lyle,9,1911
Ray,9,1911
Victor,9,1911
Dale,8,1911
Don,8,1911
Everett,8,1911
Homer,8,1911
Myron,8,1911
Oliver,8,1911
Otto,8,1911
Stanley,8,1911
Andrew,7,1911
Melvin,7,1911
Roger,7,1911
Wesley,7,1911
Willard,7,1911
Clyde,6,1911
Erwin,6,1911
Frederick,6,1911
Keith,6,1911
Leroy,6,1911
Lewis,6,1911
Martin,6,1911
Maurice,6,1911
Milton,6,1911
Orville,6,1911
Russell,6,1911
Sam,6,1911
Virgil,6,1911
Wilbur,6,1911
Conrad,5,1911
Delbert,5,1911
Edgar,5,1911
Emmett,5,1911
Glen,5,1911
Herman,5,1911
Julius,5,1911
Leslie,5,1911
Merle,5,1911
Norris,5,1911
Oscar,5,1911
Rudolph,5,1911
Theodore,5,1911
John,225,1912
William,173,1912
Harold,135,1912
James,117,1912
George,112,1912
Charles,111,1912
Robert,109,1912
Edward,92,1912
Raymond,89,1912
Walter,86,1912
Donald,84,1912
Richard,82,1912
Frank,77,1912
Clarence,76,1912
Arthur,75,1912
Joseph,73,1912
Elmer,72,1912
Ralph,71,1912
Henry,67,1912
Kenneth,66,1912
Paul,62,1912
Howard,59,1912
Lawrence,58,1912
Carl,55,1912
Harry,55,1912
Albert,52,1912
Leonard,46,1912
Edwin,43,1912
Louis,43,1912
Roy,43,1912
Leo,42,1912
Earl,41,1912
Fred,37,1912
Marvin,37,1912
Thomas,37,1912
Herbert,36,1912
Lloyd,35,1912
Melvin,35,1912
Clifford,34,1912
Herman,34,1912
Francis,33,1912
Wayne,33,1912
Ernest,32,1912
Lester,31,1912
Alfred,30,1912
Virgil,30,1912
Floyd,29,1912
Lyle,29,1912
Victor,29,1912
Arnold,27,1912
Gerald,27,1912
Ray,26,1912
Glenn,25,1912
Alvin,24,1912
Clyde,24,1912
Glen,24,1912
Joe,24,1912
Vernon,24,1912
Jack,23,1912
Russell,23,1912
Stanley,23,1912
Dale,22,1912
David,22,1912
Theodore,22,1912
Cecil,21,1912
Harvey,21,1912
Bernard,20,1912
Eugene,20,1912
Milton,18,1912
Chester,17,1912
Lee,17,1912
Leland,17,1912
Leroy,17,1912
Martin,17,1912
Delbert,16,1912
Emil,16,1912
Ervin,16,1912
Willard,16,1912
Everett,15,1912
Frederick,15,1912
Rudolph,15,1912
Wilbur,15,1912
Archie,14,1912
Gordon,14,1912
Morris,14,1912
Norman,14,1912
Ivan,13,1912
Laurence,13,1912
Orville,13,1912
Claude,12,1912
Edgar,12,1912
Leslie,12,1912
Maurice,12,1912
Merle,12,1912
Peter,12,1912
Forrest,11,1912
Guy,11,1912
Roland,11,1912
Woodrow,11,1912
Anton,10,1912
Don,10,1912
Erwin,10,1912
Orval,10,1912
Vincent,10,1912
Warren,10,1912
Willie,10,1912
Willis,10,1912
Allen,9,1912
Alton,9,1912
Benjamin,9,1912
Eldon,9,1912
Leon,9,1912
Lewis,9,1912
Marion,9,1912
Oscar,9,1912
Philip,9,1912
Reuben,9,1912
Vern,9,1912
Adolph,8,1912
Duane,8,1912
Harley,8,1912
Homer,8,1912
Julius,8,1912
Michael,8,1912
Oliver,8,1912
Sam,8,1912
Ted,8,1912
Andrew,7,1912
Bill,7,1912
Charlie,7,1912
Chris,7,1912
Jacob,7,1912
Jay,7,1912
Jesse,7,1912
Keith,7,1912
Loren,7,1912
Otto,7,1912
Owen,7,1912
Pete,7,1912
Ross,7,1912
Sidney,7,1912
Wesley,7,1912
Bert,6,1912
Bruce,6,1912
Byron,6,1912
Daniel,6,1912
Elwin,6,1912
Fay,6,1912
Franklin,6,1912
Gilbert,6,1912
Hans,6,1912
Horace,6,1912
Hugh,6,1912
Jake,6,1912
Jerome,6,1912
Lowell,6,1912
Max,6,1912
Mike,6,1912
Norris,6,1912
Roger,6,1912
Rolland,6,1912
Wallace,6,1912
Wilson,6,1912
Alex,5,1912
Alexander,5,1912
Allan,5,1912
Anthony,5,1912
Bennie,5,1912
Calvin,5,1912
Clark,5,1912
Dan,5,1912
Dean,5,1912
Edmund,5,1912
Hubert,5,1912
Jerry,5,1912
Jess,5,1912
Karl,5,1912
Neal,5,1912
Patrick,5,1912
Phillip,5,1912
Rex,5,1912
Ward,5,1912
Wendell,5,1912
John,279,1913
Harold,191,1913
William,191,1913
Robert,174,1913
George,147,1913
James,147,1913
Charles,144,1913
Donald,115,1913
Paul,106,1913
Edward,102,1913
Frank,102,1913
Raymond,99,1913
Clarence,94,1913
Walter,94,1913
Harry,92,1913
Richard,91,1913
Joseph,88,1913
Kenneth,87,1913
Henry,78,1913
Arthur,69,1913
Carl,69,1913
Lawrence,67,1913
Earl,64,1913
Albert,60,1913
Elmer,58,1913
Louis,58,1913
Ralph,58,1913
Howard,56,1913
Leonard,56,1913
Leo,54,1913
Floyd,51,1913
Francis,51,1913
Jack,51,1913
Lloyd,51,1913
Thomas,50,1913
Fred,48,1913
Gerald,46,1913
Marvin,45,1913
Roy,45,1913
Chester,41,1913
Lester,39,1913
Bernard,37,1913
Edwin,37,1913
Herbert,37,1913
Melvin,37,1913
Clifford,36,1913
Glenn,36,1913
Vernon,36,1913
Alfred,34,1913
Wayne,33,1913
Woodrow,33,1913
Ernest,31,1913
Stanley,31,1913
Arnold,30,1913
Dale,30,1913
Norman,30,1913
Herman,29,1913
Everett,28,1913
Glen,28,1913
Alvin,27,1913
Ray,27,1913
Eugene,26,1913
Victor,26,1913
Virgil,26,1913
Willard,26,1913
Emil,25,1913
Joe,25,1913
Cecil,24,1913
Leroy,24,1913
Theodore,24,1913
Wilbur,24,1913
Russell,23,1913
Clyde,21,1913
Harvey,21,1913
Leslie,21,1913
David,20,1913
Martin,20,1913
Gilbert,19,1913
Maurice,19,1913
Orville,19,1913
Otto,19,1913
Claude,18,1913
Peter,18,1913
Vincent,18,1913
Allen,17,1913
Daniel,17,1913
Lyle,17,1913
Max,17,1913
Sam,17,1913
Erwin,16,1913
Dean,15,1913
Delbert,15,1913
Samuel,15,1913
Andrew,14,1913
Archie,14,1913
Gordon,14,1913
Ivan,14,1913
Jacob,14,1913
Marion,14,1913
Frederick,13,1913
Lee,13,1913
Loren,13,1913
Mark,13,1913
Adolph,12,1913
Ben,12,1913
Keith,12,1913
Lewis,12,1913
Lowell,12,1913
Philip,12,1913
Ronald,12,1913
Warren,12,1913
Wesley,12,1913
Don,11,1913
Edgar,11,1913
Alex,10,1913
Eldon,10,1913
Leon,10,1913
Michael,10,1913
Milo,10,1913
Milton,10,1913
Oliver,10,1913
Oscar,10,1913
Reuben,10,1913
Roland,10,1913
Ted,10,1913
Anton,9,1913
Benjamin,9,1913
Calvin,9,1913
Clinton,9,1913
Fredrick,9,1913
Hugh,9,1913
Irvin,9,1913
Julius,9,1913
Karl,9,1913
Merle,9,1913
Myron,9,1913
Neil,9,1913
Wallace,9,1913
Willis,9,1913
Byron,8,1913
Delmar,8,1913
Homer,8,1913
Jay,8,1913
Jesse,8,1913
Lavern,8,1913
Leland,8,1913
Lumir,8,1913
Rex,8,1913
Rudolph,8,1913
Ward,8,1913
Alexander,7,1913
Anthony,7,1913
Carroll,7,1913
Dwight,7,1913
Laurence,7,1913
Milford,7,1913
Morris,7,1913
Norris,7,1913
Orval,7,1913
Pete,7,1913
Phillip,7,1913
Sylvester,7,1913
Albin,6,1913
Clayton,6,1913
Douglas,6,1913
Elvin,6,1913
Elwood,6,1913
Ervin,6,1913
Forrest,6,1913
Franklin,6,1913
Harley,6,1913
Irwin,6,1913
Mike,6,1913
Ross,6,1913
Sidney,6,1913
Steve,6,1913
Verne,6,1913
Wilber,6,1913
Alva,5,1913
Charley,5,1913
Delmer,5,1913
Dennis,5,1913
Emanuel,5,1913
Guy,5,1913
Hubert,5,1913
Jerry,5,1913
Jess,5,1913
Kermit,5,1913
Louie,5,1913
Loyd,5,1913
Marcus,5,1913
Maynard,5,1913
Nicholas,5,1913
Norval,5,1913
Patrick,5,1913
Ruben,5,1913
Stephen,5,1913
Wilfred,5,1913
Willie,5,1913
Wilmer,5,1913
John,337,1914
William,267,1914
Robert,230,1914
George,202,1914
Charles,178,1914
James,171,1914
Harold,167,1914
Donald,149,1914
Frank,146,1914
Edward,132,1914
Joseph,120,1914
Richard,120,1914
Raymond,119,1914
Kenneth,113,1914
Paul,109,1914
Walter,108,1914
Clarence,103,1914
Harry,91,1914
Henry,87,1914
Albert,86,1914
Carl,86,1914
Arthur,83,1914
Elmer,80,1914
Howard,80,1914
Ralph,77,1914
Leonard,68,1914
Fred,67,1914
Ernest,64,1914
Roy,62,1914
Leo,61,1914
Floyd,60,1914
Lloyd,60,1914
Earl,59,1914
Lawrence,59,1914
Louis,59,1914
Francis,58,1914
Marvin,58,1914
Thomas,55,1914
Edwin,54,1914
Melvin,49,1914
Alfred,48,1914
Clifford,48,1914
Wayne,48,1914
Dale,46,1914
Alvin,45,1914
Glenn,44,1914
Jack,44,1914
Russell,42,1914
David,41,1914
Herman,40,1914
Victor,40,1914
Eugene,39,1914
Lester,38,1914
Orville,38,1914
Herbert,37,1914
Gerald,36,1914
Ray,36,1914
Harvey,35,1914
Norman,35,1914
Bernard,34,1914
Lyle,33,1914
Vernon,33,1914
Clyde,32,1914
Everett,31,1914
Joe,31,1914
Arnold,30,1914
Wilbur,30,1914
Dean,29,1914
Leroy,29,1914
Marion,29,1914
Virgil,28,1914
Chester,27,1914
Glen,27,1914
Max,26,1914
Merle,26,1914
Delbert,24,1914
Frederick,24,1914
Theodore,24,1914
Emil,23,1914
Gilbert,23,1914
Maurice,22,1914
Stanley,22,1914
Anton,21,1914
Martin,21,1914
Rudolph,21,1914
Cecil,19,1914
Gordon,19,1914
Milton,19,1914
Allen,18,1914
Daniel,18,1914
Willard,18,1914
Woodrow,18,1914
Andrew,17,1914
Edgar,17,1914
Ivan,17,1914
Lee,17,1914
Leslie,17,1914
Otto,17,1914
Clayton,16,1914
Peter,16,1914
Vincent,16,1914
Claude,15,1914
Philip,15,1914
Roland,15,1914
Ronald,15,1914
Sam,15,1914
Willis,15,1914
Eldon,14,1914
Ervin,14,1914
Irvin,14,1914
Leon,14,1914
Lewis,14,1914
Michael,14,1914
Oscar,14,1914
Adolph,12,1914
Ben,12,1914
Franklin,12,1914
Jacob,12,1914
Jesse,12,1914
Laurence,12,1914
Wallace,12,1914
August,11,1914
Boyd,11,1914
Clinton,11,1914
Don,11,1914
Dwight,11,1914
Harlan,11,1914
Jerome,11,1914
Morris,11,1914
Samuel,11,1914
Vern,11,1914
Wendell,11,1914
Wesley,11,1914
Elton,10,1914
Emery,10,1914
Homer,10,1914
Hugh,10,1914
Lowell,10,1914
Reuben,10,1914
Benjamin,9,1914
Bruce,9,1914
Curtis,9,1914
Delmar,9,1914
Elwin,9,1914
Erwin,9,1914
Harley,9,1914
Kermit,9,1914
Lavern,9,1914
Lumir,9,1914
Oliver,9,1914
Patrick,9,1914
Phillip,9,1914
Warren,9,1914
Anthony,8,1914
Carroll,8,1914
Clair,8,1914
Clark,8,1914
Conrad,8,1914
Dick,8,1914
Edmund,8,1914
Forrest,8,1914
Fredrick,8,1914
Jerry,8,1914
Laverne,8,1914
Loren,8,1914
Loyd,8,1914
Wilfred,8,1914
Alva,7,1914
Bert,7,1914
Guy,7,1914
Jean,7,1914
Karl,7,1914
Maynard,7,1914
Merlin,7,1914
Mervin,7,1914
Millard,7,1914
Milo,7,1914
Nathan,7,1914
Orval,7,1914
Pete,7,1914
Rex,7,1914
Roger,7,1914
Rolland,7,1914
Willie,7,1914
Aaron,6,1914
Allan,6,1914
Byron,6,1914
Calvin,6,1914
Carol,6,1914
Charlie,6,1914
Earle,6,1914
Elvin,6,1914
Hans,6,1914
Irving,6,1914
Julius,6,1914
Mark,6,1914
Merrill,6,1914
Milford,6,1914
Norris,6,1914
Owen,6,1914
Ross,6,1914
Wilbert,6,1914
Albin,5,1914
Alex,5,1914
Burdette,5,1914
Ellis,5,1914
Emmett,5,1914
Fay,5,1914
Gail,5,1914
Hubert,5,1914
Ira,5,1914
Irwin,5,1914
Leland,5,1914
Loyal,5,1914
Mike,5,1914
Percy,5,1914
Perry,5,1914
Rodney,5,1914
Roscoe,5,1914
Ruben,5,1914
Stephen,5,1914
Stuart,5,1914
Sylvester,5,1914
Tom,5,1914
Vance,5,1914
Verne,5,1914
Ward,5,1914
Wilmer,5,1914
John,429,1915
William,335,1915
Robert,334,1915
Harold,281,1915
George,257,1915
Donald,224,1915
Charles,211,1915
James,205,1915
Edward,177,1915
Richard,154,1915
Kenneth,153,1915
Raymond,152,1915
Frank,149,1915
Walter,147,1915
Joseph,132,1915
Paul,128,1915
Clarence,126,1915
Arthur,125,1915
Carl,117,1915
Elmer,115,1915
Henry,114,1915
Leonard,114,1915
Ralph,111,1915
Howard,97,1915
Harry,95,1915
Albert,90,1915
Lawrence,90,1915
Floyd,89,1915
Melvin,86,1915
Francis,83,1915
Thomas,83,1915
Earl,82,1915
Wayne,76,1915
Gerald,75,1915
Leo,74,1915
Ernest,72,1915
Fred,71,1915
Louis,71,1915
Edwin,68,1915
Roy,68,1915
Alfred,67,1915
Willard,67,1915
Lloyd,66,1915
Bernard,63,1915
Clifford,63,1915
Russell,63,1915
Jack,62,1915
Joe,61,1915
Ray,61,1915
Alvin,58,1915
Marvin,58,1915
Dale,57,1915
Vernon,56,1915
Eugene,54,1915
Arnold,53,1915
Herbert,52,1915
Glenn,51,1915
Lester,51,1915
Lyle,50,1915
Norman,50,1915
Stanley,49,1915
Leroy,45,1915
Virgil,45,1915
Everett,43,1915
Glen,41,1915
Victor,41,1915
David,40,1915
Herman,40,1915
Cecil,39,1915
Ivan,37,1915
Frederick,36,1915
Clyde,35,1915
Orville,35,1915
Chester,33,1915
Leslie,33,1915
Merle,33,1915
Otto,33,1915
Willis,32,1915
Dean,31,1915
Lewis,31,1915
Max,29,1915
Martin,28,1915
Claude,27,1915
Emil,27,1915
Leland,27,1915
Wilbur,27,1915
Harvey,26,1915
Edgar,25,1915
Maurice,25,1915
Theodore,25,1915
Vincent,25,1915
Don,24,1915
Gilbert,24,1915
Marion,24,1915
Milton,24,1915
Warren,24,1915
Allen,23,1915
Ervin,23,1915
Gordon,23,1915
Rudolph,22,1915
Sam,22,1915
Lee,21,1915
Roland,21,1915
Anthony,20,1915
Daniel,20,1915
Irvin,20,1915
Leon,20,1915
Forrest,19,1915
Samuel,19,1915
Ben,18,1915
Eldon,18,1915
Ronald,18,1915
Adolph,17,1915
Andrew,17,1915
Homer,17,1915
Keith,17,1915
Oscar,17,1915
Roger,17,1915
Anton,16,1915
Loren,16,1915
Rex,16,1915
Vern,16,1915
Erwin,15,1915
Franklin,15,1915
Lowell,15,1915
Mark,15,1915
Wallace,15,1915
Wesley,15,1915
Jacob,14,1915
Michael,14,1915
Morris,14,1915
Oliver,14,1915
Peter,14,1915
Philip,14,1915
Dwight,13,1915
Edmund,13,1915
Harlan,13,1915
Harley,13,1915
Jake,13,1915
Julius,13,1915
Orval,13,1915
Benjamin,12,1915
Byron,12,1915
Jerome,12,1915
Jerry,12,1915
Laurence,12,1915
Myron,12,1915
Phillip,12,1915
Boyd,11,1915
Clayton,11,1915
Conrad,11,1915
Guy,11,1915
Jesse,11,1915
Wilford,11,1915
Wilfred,11,1915
Alva,10,1915
Bruce,10,1915
Clement,10,1915
Clinton,10,1915
Hugh,10,1915
Jay,10,1915
Tony,10,1915
Wendell,10,1915
Wilson,10,1915
Woodrow,10,1915
Archie,9,1915
August,9,1915
Bert,9,1915
Billy,9,1915
Carroll,9,1915
Darrel,9,1915
Darwin,9,1915
Delmar,9,1915
Douglas,9,1915
Duane,9,1915
Elwin,9,1915
Hubert,9,1915
Hugo,9,1915
Ira,9,1915
Milford,9,1915
Reuben,9,1915
Sidney,9,1915
Tom,9,1915
Wilmer,9,1915
Alex,8,1915
Amos,8,1915
Bill,8,1915
Dallas,8,1915
Dan,8,1915
Delbert,8,1915
Eldred,8,1915
Elwood,8,1915
Karl,8,1915
Kermit,8,1915
Lavern,8,1915
Lumir,8,1915
Lynn,8,1915
Mervin,8,1915
Norris,8,1915
Rolland,8,1915
Ross,8,1915
Aaron,7,1915
Adam,7,1915
Allan,7,1915
Chris,7,1915
Dave,7,1915
Eddie,7,1915
Emery,7,1915
Gale,7,1915
Irving,7,1915
Laverne,7,1915
Lyman,7,1915
Maynard,7,1915
Milo,7,1915
Neil,7,1915
Norbert,7,1915
Orrin,7,1915
Patrick,7,1915
Percy,7,1915
Pete,7,1915
Stephen,7,1915
Sterling,7,1915
Steve,7,1915
Verne,7,1915
Wade,7,1915
Ward,7,1915
Wilber,7,1915
Alexander,6,1915
Charlie,6,1915
Clair,6,1915
Curtis,6,1915
Cyril,6,1915
Darrell,6,1915
Doyle,6,1915
Ellsworth,6,1915
Fay,6,1915
Jess,6,1915
Jim,6,1915
Johnny,6,1915
