Name,Frequency,YOB
John,23,1910
George,22,1910
Joseph,22,1910
Charles,15,1910
Edward,15,1910
William,15,1910
Albert,12,1910
Arthur,11,1910
James,11,1910
Robert,11,1910
Ernest,10,1910
Frank,10,1910
Francis,9,1910
Harold,9,1910
Ralph,9,1910
Raymond,9,1910
Thomas,8,1910
Carl,7,1910
Walter,7,1910
Donald,6,1910
Fred,6,1910
Leo,6,1910
Alfred,5,1910
Everett,5,1910
Frederick,5,1910
Herbert,5,1910
Maurice,5,1910
Michael,5,1910
Paul,5,1910
Richard,5,1910
Roland,5,1910
Theodore,5,1910
John,55,1911
Joseph,53,1911
William,38,1911
Robert,37,1911
Edward,35,1911
Charles,31,1911
Arthur,30,1911
George,29,1911
Albert,21,1911
Harold,21,1911
Richard,19,1911
Frank,18,1911
James,18,1911
Donald,17,1911
Thomas,17,1911
Leo,15,1911
Paul,15,1911
Raymond,14,1911
Walter,13,1911
Lawrence,12,1911
Stanley,12,1911
Ernest,11,1911
Harry,11,1911
Henry,11,1911
Ralph,11,1911
Wilfred,11,1911
Alfred,10,1911
Maurice,10,1911
Louis,9,1911
Armand,8,1911
Gordon,8,1911
Kenneth,8,1911
Theodore,8,1911
Eugene,7,1911
Francis,7,1911
Frederick,7,1911
Michael,7,1911
Peter,7,1911
Daniel,6,1911
Emile,6,1911
Leon,6,1911
Lucien,6,1911
Philip,6,1911
Roland,6,1911
Carl,5,1911
Earl,5,1911
Fred,5,1911
Howard,5,1911
Malcolm,5,1911
Melvin,5,1911
Oscar,5,1911
Rene,5,1911
John,85,1912
George,65,1912
Joseph,54,1912
Robert,54,1912
William,47,1912
Charles,40,1912
Edward,36,1912
Arthur,32,1912
Albert,31,1912
Leo,28,1912
Raymond,26,1912
Henry,25,1912
Richard,25,1912
Frank,24,1912
Paul,24,1912
Walter,22,1912
Donald,21,1912
Kenneth,21,1912
James,19,1912
Ralph,19,1912
Harry,18,1912
Louis,18,1912
Roland,18,1912
Francis,17,1912
Harold,17,1912
Armand,16,1912
Ernest,16,1912
Lawrence,16,1912
Howard,15,1912
Roger,15,1912
Stanley,15,1912
Alfred,14,1912
Clarence,13,1912
Theodore,12,1912
Maurice,11,1912
Thomas,11,1912
Gordon,10,1912
Wilfred,10,1912
Chester,9,1912
Herbert,9,1912
Leon,9,1912
Philip,9,1912
Edgar,8,1912
Everett,8,1912
Michael,8,1912
Norman,8,1912
Peter,8,1912
Earl,7,1912
Irving,7,1912
Leonard,7,1912
Melvin,7,1912
Roy,7,1912
Warren,7,1912
Andrew,6,1912
Bernard,6,1912
David,6,1912
Fred,6,1912
Frederick,6,1912
Lionel,6,1912
Arnold,5,1912
Benjamin,5,1912
Carl,5,1912
Eugene,5,1912
Guy,5,1912
Harvey,5,1912
Samuel,5,1912
John,104,1913
Joseph,67,1913
Robert,64,1913
