Name,Frequency,YOB
John,358,1910
Joseph,244,1910
William,222,1910
James,171,1910
Frank,142,1910
Charles,139,1910
George,133,1910
Edward,125,1910
Robert,89,1910
Michael,77,1910
Thomas,77,1910
Anthony,76,1910
Harry,67,1910
Albert,65,1910
Louis,62,1910
Walter,57,1910
Henry,56,1910
Harold,55,1910
Paul,55,1910
Arthur,42,1910
Francis,41,1910
Raymond,41,1910
Stanley,38,1910
Andrew,36,1910
Alfred,35,1910
Nicholas,33,1910
Stephen,33,1910
Richard,32,1910
Peter,31,1910
Samuel,31,1910
David,29,1910
Ralph,27,1910
Theodore,27,1910
Clarence,24,1910
Fred,24,1910
Vincent,24,1910
Benjamin,23,1910
Howard,23,1910
Frederick,22,1910
Russell,22,1910
Philip,21,1910
Herbert,20,1910
Jack,20,1910
Dominick,19,1910
Kenneth,19,1910
Milton,19,1910
Alexander,18,1910
Donald,18,1910
Lawrence,18,1910
Chester,17,1910
Daniel,17,1910
Angelo,16,1910
Herman,16,1910
Leonard,16,1910
Martin,16,1910
Edwin,15,1910
Irving,15,1910
Sam,15,1910
Bernard,14,1910
Ernest,14,1910
Elmer,13,1910
Eugene,13,1910
Leon,12,1910
Norman,12,1910
Clifford,11,1910
Everett,11,1910
Matthew,11,1910
Morris,11,1910
Patrick,11,1910
Salvatore,11,1910
Steve,11,1910
Victor,11,1910
Carl,10,1910
Jacob,10,1910
Julius,10,1910
Leo,10,1910
Lewis,10,1910
Rudolph,10,1910
Earl,9,1910
Oscar,9,1910
Roy,9,1910
Wilbur,9,1910
Edmund,8,1910
Rocco,8,1910
Dominic,7,1910
Douglas,7,1910
Jay,7,1910
Jerome,7,1910
Joe,7,1910
Nick,7,1910
Adam,6,1910
Alex,6,1910
Bruno,6,1910
Edgar,6,1910
Edmond,6,1910
Elwood,6,1910
Gerald,6,1910
Jerry,6,1910
Leroy,6,1910
Max,6,1910
Murray,6,1910
Ray,6,1910
Willard,6,1910
Adolph,5,1910
August,5,1910
Ben,5,1910
Emil,5,1910
Hugh,5,1910
Lester,5,1910
Nathan,5,1910
Otto,5,1910
Pasquale,5,1910
Patsy,5,1910
John,530,1911
Joseph,371,1911
William,350,1911
George,217,1911
Charles,201,1911
James,200,1911
Edward,192,1911
Frank,192,1911
Robert,159,1911
Thomas,138,1911
Walter,126,1911
Anthony,111,1911
Henry,95,1911
Albert,82,1911
Louis,80,1911
Michael,80,1911
Harry,76,1911
Arthur,74,1911
Harold,69,1911
Raymond,62,1911
Samuel,61,1911
Peter,53,1911
Alfred,51,1911
Andrew,49,1911
Francis,48,1911
Stephen,48,1911
Richard,47,1911
David,46,1911
Frederick,46,1911
Stanley,45,1911
Paul,43,1911
Ralph,43,1911
Lawrence,38,1911
Vincent,38,1911
Theodore,36,1911
Fred,34,1911
Norman,33,1911
Bernard,32,1911
Carl,32,1911
Alexander,31,1911
Howard,31,1911
Martin,30,1911
Nicholas,29,1911
Daniel,28,1911
Donald,28,1911
Eugene,28,1911
Herman,28,1911
Victor,28,1911
Benjamin,27,1911
Jack,27,1911
Kenneth,25,1911
Milton,23,1911
Russell,23,1911
Chester,21,1911
Herbert,21,1911
Irving,21,1911
Philip,21,1911
Salvatore,21,1911
Leonard,20,1911
Julius,18,1911
Earl,17,1911
Edwin,17,1911
Adam,16,1911
Dominick,16,1911
Elmer,16,1911
Ernest,16,1911
Clarence,15,1911
Emil,15,1911
Angelo,14,1911
Jerry,13,1911
Leon,13,1911
Lewis,13,1911
August,12,1911
Jacob,12,1911
Leo,12,1911
Lester,12,1911
Patsy,12,1911
Roy,12,1911
Sam,12,1911
Edmund,11,1911
Leroy,11,1911
Maurice,11,1911
Alex,10,1911
Alphonse,10,1911
Clifford,10,1911
Cornelius,10,1911
Matthew,10,1911
Rocco,10,1911
Sidney,10,1911
Steve,10,1911
Abraham,9,1911
Dominic,9,1911
Franklin,9,1911
Morris,9,1911
Patrick,9,1911
Rudolph,9,1911
Warren,9,1911
Wilbur,9,1911
Abe,8,1911
Ben,8,1911
Isadore,8,1911
Meyer,8,1911
Oliver,8,1911
Arnold,7,1911
Fredrick,7,1911
Horace,7,1911
Hyman,7,1911
Jerome,7,1911
Laurence,7,1911
Max,7,1911
Oscar,7,1911
Otto,7,1911
Allen,6,1911
Alvin,6,1911
Carmine,6,1911
Christian,6,1911
Edgar,6,1911
Elwood,6,1911
Ferdinand,6,1911
Gerald,6,1911
Gerard,6,1911
Gilbert,6,1911
Gordon,6,1911
Jesse,6,1911
Karl,6,1911
Melvin,6,1911
Nathan,6,1911
Phillip,6,1911
Roland,6,1911
Sigmund,6,1911
Tony,6,1911
Vito,6,1911
Wallace,6,1911
Willard,6,1911
Adrian,5,1911
Alfonso,5,1911
Bruno,5,1911
Chris,5,1911
Clayton,5,1911
Earle,5,1911
Emanuel,5,1911
Everett,5,1911
Floyd,5,1911
Gustave,5,1911
Hugh,5,1911
Irvin,5,1911
Joe,5,1911
Luther,5,1911
Marvin,5,1911
Nick,5,1911
Pasquale,5,1911
Steven,5,1911
Wesley,5,1911
Wilbert,5,1911
John,1020,1912
Joseph,720,1912
William,707,1912
George,466,1912
Charles,453,1912
Edward,378,1912
James,377,1912
Frank,375,1912
Robert,271,1912
Thomas,265,1912
Walter,252,1912
Anthony,227,1912
Michael,222,1912
Albert,200,1912
Harry,184,1912
Louis,178,1912
Arthur,162,1912
Henry,154,1912
Harold,144,1912
Peter,140,1912
Raymond,121,1912
Stanley,121,1912
Francis,119,1912
Alfred,113,1912
Richard,112,1912
Paul,104,1912
Samuel,98,1912
Frederick,97,1912
Stephen,95,1912
Fred,93,1912
Ralph,93,1912
David,90,1912
Andrew,89,1912
Howard,89,1912
Vincent,86,1912
Nicholas,77,1912
Philip,74,1912
Alexander,71,1912
Herbert,71,1912
Carl,66,1912
Daniel,66,1912
Benjamin,65,1912
Ernest,59,1912
Herman,59,1912
Jack,59,1912
Theodore,59,1912
Donald,57,1912
Eugene,57,1912
Irving,55,1912
Lawrence,54,1912
Chester,50,1912
Edwin,49,1912
Martin,49,1912
Leonard,48,1912
Milton,47,1912
Kenneth,46,1912
Victor,43,1912
Bernard,42,1912
Sidney,42,1912
Jacob,41,1912
Elmer,40,1912
Norman,40,1912
Dominick,39,1912
Russell,39,1912
Julius,38,1912
Leon,37,1912
Lester,36,1912
Morris,36,1912
Leo,35,1912
Lewis,35,1912
Salvatore,35,1912
Abraham,33,1912
August,32,1912
Angelo,31,1912
Clarence,31,1912
Sam,27,1912
Franklin,25,1912
Nathan,25,1912
Patrick,25,1912
Edmund,24,1912
Emil,24,1912
Steve,24,1912
Wilbur,24,1912
Clifford,23,1912
Edgar,23,1912
Patsy,23,1912
Adolph,22,1912
Carmine,22,1912
Maurice,22,1912
Max,22,1912
Roy,22,1912
Warren,22,1912
Arnold,21,1912
Earl,21,1912
Adam,20,1912
Alex,20,1912
Leroy,20,1912
Rudolph,20,1912
Oscar,19,1912
Cornelius,18,1912
Gilbert,18,1912
Meyer,18,1912
Matthew,17,1912
Floyd,16,1912
Otto,16,1912
Elwood,15,1912
Gerald,15,1912
Gerard,15,1912
Tony,15,1912
Felix,14,1912
Isadore,14,1912
Mario,14,1912
Nick,14,1912
Oliver,14,1912
Abe,13,1912
Christopher,13,1912
Dominic,13,1912
Emanuel,13,1912
Joe,13,1912
Melvin,13,1912
Pasquale,13,1912
Steven,13,1912
Alfonso,12,1912
Ben,12,1912
Carmen,12,1912
Douglas,12,1912
Gordon,12,1912
Jerry,12,1912
Nelson,12,1912
Roger,12,1912
Woodrow,12,1912
Allan,11,1912
Allen,11,1912
Alphonse,11,1912
Alvin,11,1912
Isaac,11,1912
Leslie,11,1912
Percy,11,1912
Roland,11,1912
Clement,10,1912
Everett,10,1912
Ferdinand,10,1912
Harvey,10,1912
Hyman,10,1912
Jesse,10,1912
Sol,10,1912
Aaron,9,1912
Carlton,9,1912
Fredrick,9,1912
Gustave,9,1912
Hugh,9,1912
Julian,9,1912
Malcolm,9,1912
Rocco,9,1912
Saul,9,1912
Sigmund,9,1912
Vernon,9,1912
Willard,9,1912
Abram,8,1912
Adrian,8,1912
Archie,8,1912
Horace,8,1912
Jerome,8,1912
Larry,8,1912
Laurence,8,1912
Alan,7,1912
Antonio,7,1912
Barney,7,1912
Bert,7,1912
Bruno,7,1912
Casper,7,1912
Eric,7,1912
Gus,7,1912
Irvin,7,1912
Seymour,7,1912
Wesley,7,1912
Wilbert,7,1912
Anton,6,1912
Calvin,6,1912
Claude,6,1912
Clinton,6,1912
Ellsworth,6,1912
Hugo,6,1912
Jules,6,1912
Karl,6,1912
Morton,6,1912
Reginald,6,1912
