Name,Frequency,YOB
Jose,54,1910
Joe,51,1910
John,50,1910
Frank,42,1910
Juan,33,1910
Manuel,28,1910
Ramon,21,1910
James,18,1910
Robert,17,1910
William,17,1910
Charles,16,1910
George,15,1910
Antonio,14,1910
Henry,13,1910
Fred,12,1910
Jim,11,1910
Pete,11,1910
Tom,11,1910
Jesus,10,1910
Louis,10,1910
David,9,1910
Edward,9,1910
Jack,9,1910
Paul,9,1910
Albert,8,1910
Pedro,8,1910
Raymond,8,1910
Roy,8,1910
Ernest,7,1910
Felipe,7,1910
Felix,7,1910
Lee,7,1910
Samuel,7,1910
Tomas,7,1910
Alfredo,6,1910
Charlie,6,1910
Francisco,6,1910
Joseph,6,1910
Leo,6,1910
Luis,6,1910
Pablo,6,1910
Richard,6,1910
Thomas,6,1910
Tony,6,1910
Willie,6,1910
Alberto,5,1910
Alex,5,1910
Ben,5,1910
Benito,5,1910
Carlos,5,1910
Daniel,5,1910
Ignacio,5,1910
Julian,5,1910
Max,5,1910
Miguel,5,1910
Sam,5,1910
Walter,5,1910
Wayne,5,1910
Jose,60,1911
John,48,1911
Joe,40,1911
Frank,34,1911
Juan,26,1911
Manuel,26,1911
William,26,1911
Robert,24,1911
Charles,19,1911
James,19,1911
Antonio,15,1911
Joseph,14,1911
Pedro,13,1911
Tom,11,1911
Arthur,10,1911
Ben,10,1911
Fred,10,1911
Henry,10,1911
Thomas,10,1911
Albert,9,1911
Jack,9,1911
Louis,9,1911
Paul,9,1911
David,8,1911
George,8,1911
Jesus,8,1911
Willie,8,1911
Blas,7,1911
Carlos,7,1911
Daniel,7,1911
Edward,7,1911
Ernest,7,1911
Eugene,7,1911
Felipe,7,1911
Ramon,7,1911
Vicente,7,1911
Alfred,6,1911
Clyde,6,1911
Donaciano,6,1911
Eloy,6,1911
Harry,6,1911
Julian,6,1911
Lorenzo,6,1911
Richard,6,1911
Sam,6,1911
Samuel,6,1911
Alberto,5,1911
Anastacio,5,1911
Andres,5,1911
Felix,5,1911
Francisco,5,1911
Gabriel,5,1911
Jesse,5,1911
Jim,5,1911
Kenneth,5,1911
Miguel,5,1911
Ricardo,5,1911
Roy,5,1911
Tony,5,1911
Jose,76,1912
Joe,69,1912
John,65,1912
James,44,1912
Juan,44,1912
William,44,1912
Frank,38,1912
Manuel,36,1912
Charles,27,1912
Robert,25,1912
Antonio,22,1912
George,21,1912
Louis,20,1912
Ramon,19,1912
Paul,18,1912
Thomas,18,1912
Henry,17,1912
Fred,16,1912
Joseph,15,1912
Tony,15,1912
Pete,14,1912
Ralph,13,1912
Raymond,13,1912
Roy,13,1912
Arthur,12,1912
Eloy,12,1912
Jack,12,1912
Leo,12,1912
Willie,12,1912
Jesus,11,1912
Santiago,11,1912
Tom,11,1912
Albert,10,1912
Cecil,10,1912
Charlie,10,1912
David,10,1912
Pedro,10,1912
Alfredo,9,1912
Ignacio,9,1912
Lee,9,1912
Mike,9,1912
Richard,9,1912
Alfred,8,1912
Ben,8,1912
Herman,8,1912
Lawrence,8,1912
Leandro,8,1912
Bennie,7,1912
Daniel,7,1912
Donald,7,1912
Edward,7,1912
Elias,7,1912
Felipe,7,1912
Felix,7,1912
Herbert,7,1912
Martin,7,1912
Max,7,1912
Miguel,7,1912
Nick,7,1912
Tomas,7,1912
Walter,7,1912
Alfonso,6,1912
Andres,6,1912
Carlos,6,1912
Claude,6,1912
Earl,6,1912
Ernest,6,1912
Ernesto,6,1912
Gabriel,6,1912
Ismael,6,1912
Julian,6,1912
Luis,6,1912
Margarito,6,1912
Samuel,6,1912
Victor,6,1912
Bernard,5,1912
Chester,5,1912
Clarence,5,1912
Eliseo,5,1912
Gilbert,5,1912
Harold,5,1912
Lloyd,5,1912
Lorenzo,5,1912
Nicolas,5,1912
Salvador,5,1912
Vicente,5,1912
Woodrow,5,1912
John,87,1913
Jose,82,1913
Joe,75,1913
Frank,54,1913
William,51,1913
Manuel,49,1913
James,44,1913
Juan,39,1913
