Name,Frequency,YOB
John,10,1910
William,10,1910
Robert,6,1910
George,5,1910
Harry,5,1910
Jack,5,1910
John,11,1911
William,8,1911
George,6,1911
James,6,1911
Edward,5,1911
John,24,1912
William,18,1912
Frank,10,1912
George,9,1912
James,9,1912
Robert,8,1912
Charles,6,1912
Alfred,5,1912
Arthur,5,1912
Edward,5,1912
Joseph,5,1912
Thomas,5,1912
John,16,1913
George,15,1913
William,15,1913
Robert,12,1913
Charles,11,1913
James,11,1913
Frank,8,1913
Joseph,7,1913
Paul,7,1913
Harry,6,1913
Louis,6,1913
Earl,5,1913
Edward,5,1913
Elmer,5,1913
Roy,5,1913
Thomas,5,1913
John,31,1914
William,30,1914
James,18,1914
George,15,1914
Charles,13,1914
Robert,10,1914
Frank,9,1914
Jack,9,1914
Edward,7,1914
Harry,7,1914
Paul,7,1914
Walter,7,1914
Fred,6,1914
Ralph,6,1914
Arthur,5,1914
David,5,1914
Earl,5,1914
Ernest,5,1914
Joseph,5,1914
Richard,5,1914
John,39,1915
William,22,1915
Charles,21,1915
James,16,1915
George,14,1915
Robert,12,1915
Albert,11,1915
Edward,10,1915
Thomas,10,1915
Jack,9,1915
Joseph,9,1915
Raymond,9,1915
Frank,8,1915
Richard,8,1915
Louis,7,1915
Ralph,7,1915
Harold,6,1915
Paul,6,1915
Walter,6,1915
Donald,5,1915
Leslie,5,1915
Lloyd,5,1915
John,41,1916
William,28,1916
Robert,27,1916
James,20,1916
George,14,1916
Joseph,14,1916
Charles,13,1916
Thomas,13,1916
Jack,11,1916
Donald,10,1916
Edward,9,1916
Arthur,8,1916
Louis,8,1916
Henry,7,1916
Paul,7,1916
Harold,6,1916
Martin,6,1916
Raymond,6,1916
Richard,6,1916
Roy,6,1916
Albert,5,1916
Alfred,5,1916
Frank,5,1916
Harry,5,1916
Kenneth,5,1916
Walter,5,1916
John,41,1917
William,31,1917
Charles,22,1917
George,18,1917
James,16,1917
Robert,16,1917
Jack,13,1917
Richard,13,1917
Edward,12,1917
Joseph,11,1917
Thomas,11,1917
Arthur,10,1917
Frank,9,1917
Harold,9,1917
Ralph,9,1917
Albert,8,1917
Alfred,7,1917
Donald,7,1917
Earl,7,1917
Victor,7,1917
Walter,7,1917
Chester,6,1917
Eugene,6,1917
Harry,6,1917
Lawrence,6,1917
Raymond,6,1917
Benjamin,5,1917
Daniel,5,1917
David,5,1917
Fred,5,1917
Henry,5,1917
Joe,5,1917
Melvin,5,1917
Paul,5,1917
Woodrow,5,1917
John,42,1918
William,30,1918
James,28,1918
George,26,1918
Charles,18,1918
Frank,18,1918
Robert,18,1918
Jack,13,1918
Donald,12,1918
Edward,10,1918
Ernest,9,1918
Carl,8,1918
Clarence,8,1918
Raymond,8,1918
Harry,7,1918
Joseph,7,1918
Thomas,7,1918
Wallace,7,1918
Albert,6,1918
Fred,6,1918
Harold,6,1918
Herbert,6,1918
Vernon,6,1918
Chester,5,1918
David,5,1918
Francis,5,1918
Gerald,5,1918
Walter,5,1918
Robert,30,1919
John,28,1919
George,27,1919
William,26,1919
James,19,1919
Frank,13,1919
Edward,12,1919
Jack,11,1919
Thomas,11,1919
Donald,10,1919
Joseph,10,1919
Roy,10,1919
Richard,9,1919
Albert,8,1919
Harold,8,1919
Raymond,8,1919
Lawrence,7,1919
Charles,6,1919
Douglas,6,1919
Earl,6,1919
Harry,6,1919
Kenneth,6,1919
Peter,6,1919
Arthur,5,1919
Edwin,5,1919
Francis,5,1919
Joe,5,1919
Ray,5,1919
Robert,40,1920
William,30,1920
John,27,1920
James,23,1920
Frank,16,1920
George,16,1920
Jack,12,1920
Harold,11,1920
Harry,10,1920
Joe,10,1920
Joseph,10,1920
Ralph,10,1920
Charles,9,1920
Donald,9,1920
Edward,9,1920
Louis,8,1920
Arthur,7,1920
Roy,7,1920
David,6,1920
Ernest,6,1920
Max,6,1920
Walter,6,1920
Alfred,5,1920
Carl,5,1920
Delbert,5,1920
Richard,5,1920
John,43,1921
Robert,41,1921
William,27,1921
James,17,1921
Donald,14,1921
Charles,13,1921
Thomas,13,1921
Jack,12,1921
George,11,1921
Edward,10,1921
Frank,10,1921
Raymond,10,1921
Richard,10,1921
Howard,8,1921
Joseph,8,1921
David,7,1921
Ernest,7,1921
Bill,6,1921
Ray,6,1921
Warren,6,1921
Albert,5,1921
Harold,5,1921
Henry,5,1921
Kenneth,5,1921
Lester,5,1921
Manuel,5,1921
Walter,5,1921
John,36,1922
William,30,1922
Robert,27,1922
Charles,18,1922
George,17,1922
Donald,15,1922
James,15,1922
Richard,14,1922
