Name,Frequency,YOB
John,431,1910
William,321,1910
James,265,1910
Robert,260,1910
Charles,235,1910
George,213,1910
Joseph,173,1910
Frank,168,1910
Edward,155,1910
Paul,146,1910
Harold,119,1910
Raymond,109,1910
Harry,107,1910
Walter,100,1910
Carl,92,1910
Richard,88,1910
Thomas,87,1910
Howard,83,1910
Clarence,79,1910
Albert,77,1910
Ralph,77,1910
Arthur,70,1910
Donald,67,1910
Henry,66,1910
Earl,65,1910
Lawrence,64,1910
Fred,63,1910
Kenneth,59,1910
Louis,51,1910
Roy,51,1910
David,49,1910
Russell,48,1910
Elmer,45,1910
Jack,40,1910
Anthony,39,1910
Herman,39,1910
Michael,39,1910
Stanley,39,1910
Eugene,38,1910
Leonard,37,1910
Francis,35,1910
Ray,33,1910
Theodore,32,1910
Chester,30,1910
Herbert,29,1910
Samuel,29,1910
Lester,28,1910
Peter,28,1910
Andrew,27,1910
Alfred,26,1910
Ernest,26,1910
Joe,26,1910
Lloyd,26,1910
Clifford,24,1910
Edwin,24,1910
Frederick,24,1910
Willie,24,1910
Clyde,23,1910
Homer,22,1910
Leo,22,1910
Wilbur,22,1910
Bernard,21,1910
Melvin,20,1910
Alvin,19,1910
Lee,19,1910
Leroy,19,1910
Lewis,19,1910
Stephen,19,1910
Everett,18,1910
Norman,18,1910
Warren,18,1910
Glenn,17,1910
Floyd,16,1910
Philip,16,1910
Virgil,16,1910
Allen,15,1910
Edgar,15,1910
Mike,15,1910
Orville,15,1910
Cecil,14,1910
Daniel,14,1910
Gerald,14,1910
Roger,14,1910
Rudolph,14,1910
Sam,14,1910
Steve,14,1910
Vincent,14,1910
Willard,14,1910
Dale,13,1910
Gilbert,13,1910
Harvey,13,1910
Milton,13,1910
Oscar,13,1910
Martin,12,1910
Roland,12,1910
Wayne,12,1910
Benjamin,11,1910
Calvin,11,1910
Delbert,11,1910
Jesse,11,1910
Mark,11,1910
Phillip,11,1910
Steven,11,1910
Arnold,10,1910
Bert,10,1910
Clayton,10,1910
Curtis,10,1910
Forrest,10,1910
Kermit,10,1910
Marion,10,1910
Marvin,10,1910
Nick,10,1910
Otto,10,1910
Sylvester,10,1910
Vernon,10,1910
Edmund,9,1910
Elbert,9,1910
Gordon,9,1910
Guy,9,1910
Harley,9,1910
Jacob,9,1910
Julius,9,1910
Larry,9,1910
Matthew,9,1910
Maurice,9,1910
Max,9,1910
Tony,9,1910
Wilbert,9,1910
Adam,8,1910
August,8,1910
Ben,8,1910
Leslie,8,1910
Willis,8,1910
Austin,7,1910
Clark,7,1910
Claude,7,1910
Dwight,7,1910
Emerson,7,1910
Forest,7,1910
Franklin,7,1910
Hubert,7,1910
Hugh,7,1910
Jerome,7,1910
Morris,7,1910
Nicholas,7,1910
