Name,Frequency,YOB
John,171,1910
William,166,1910
James,156,1910
Robert,102,1910
Charles,87,1910
George,84,1910
Frank,74,1910
Roy,60,1910
Henry,56,1910
Carl,54,1910
Earl,53,1910
Jack,48,1910
Thomas,48,1910
Willie,46,1910
Clarence,44,1910
Joe,44,1910
Edward,43,1910
Walter,43,1910
Paul,42,1910
Fred,41,1910
Lee,41,1910
Raymond,37,1910
Joseph,36,1910
Floyd,35,1910
Harold,35,1910
Clyde,34,1910
Arthur,33,1910
Leonard,33,1910
Richard,33,1910
Howard,32,1910
Eugene,30,1910
Elmer,29,1910
Ralph,29,1910
Harry,28,1910
Jesse,28,1910
Cecil,26,1910
Albert,25,1910
Louis,23,1910
Homer,22,1910
Clifford,21,1910
David,21,1910
Jess,20,1910
Samuel,20,1910
Charlie,19,1910
Herman,19,1910
Leroy,19,1910
Tom,19,1910
Lloyd,18,1910
Claude,17,1910
Ernest,17,1910
Orville,17,1910
Andrew,16,1910
Bill,16,1910
Jim,16,1910
Kenneth,16,1910
Ray,16,1910
Virgil,16,1910
Archie,15,1910
Charley,15,1910
Edgar,15,1910
Herbert,15,1910
Jimmie,15,1910
Vernon,15,1910
Chester,14,1910
Donald,14,1910
Everett,14,1910
Glen,14,1910
Leo,14,1910
Luther,14,1910
Melvin,14,1910
Oscar,14,1910
Lawrence,13,1910
Lester,13,1910
Harvey,12,1910
Hugh,12,1910
Lewis,12,1910
Oliver,12,1910
Theodore,12,1910
Alfred,11,1910
Earnest,11,1910
Eddie,11,1910
Marvin,11,1910
Otis,11,1910
Sam,11,1910
Ben,10,1910
Bennie,10,1910
Francis,10,1910
Glenn,10,1910
Haskell,10,1910
Marion,10,1910
Nathaniel,10,1910
Russell,10,1910
Ted,10,1910
Wesley,10,1910
Willis,10,1910
Alvin,9,1910
Buck,9,1910
Gordon,9,1910
Isaac,9,1910
Jessie,9,1910
Leon,9,1910
Stanley,9,1910
Elbert,8,1910
Hubert,8,1910
Johnie,8,1910
Johnny,8,1910
Leslie,8,1910
Norman,8,1910
Willard,8,1910
Benjamin,7,1910
Clifton,7,1910
Dale,7,1910
Delbert,7,1910
Edwin,7,1910
Ellis,7,1910
Jake,7,1910
Johnnie,7,1910
Lonnie,7,1910
Nathan,7,1910
Alva,6,1910
Andy,6,1910
Billie,6,1910
Calvin,6,1910
Curtis,6,1910
Daniel,6,1910
Dee,6,1910
Dewey,6,1910
Elmo,6,1910
Emery,6,1910
Forest,6,1910
Frederick,6,1910
Ira,6,1910
Louie,6,1910
Lynn,6,1910
Otto,6,1910
Sidney,6,1910
Thurman,6,1910
Troy,6,1910
Victor,6,1910
Warren,6,1910
Wayne,6,1910
Allen,5,1910
Barney,5,1910
Bernard,5,1910
Bert,5,1910
Boyd,5,1910
Buster,5,1910
Clayton,5,1910
Clinton,5,1910
Ed,5,1910
Felix,5,1910
Jay,5,1910
Mack,5,1910
Manuel,5,1910
Pete,5,1910
Rufus,5,1910
James,198,1911
William,187,1911
John,179,1911
Robert,112,1911
George,92,1911
Charles,79,1911
Jack,63,1911
Roy,61,1911
Walter,55,1911
Henry,53,1911
Thomas,52,1911
Fred,51,1911
Raymond,50,1911
Albert,45,1911
Joe,45,1911
Willie,43,1911
Ralph,41,1911
Frank,40,1911
Paul,40,1911
Carl,39,1911
Floyd,39,1911
Cecil,38,1911
Clarence,37,1911
Earl,34,1911
