Name,Frequency,YOB
John,61,1910
William,48,1910
Robert,40,1910
James,30,1910
Charles,29,1910
George,29,1910
Frank,19,1910
Edward,17,1910
Walter,17,1910
Donald,14,1910
Joseph,14,1910
Harold,12,1910
Henry,12,1910
Richard,12,1910
Roy,11,1910
Arthur,10,1910
Howard,10,1910
Jack,10,1910
Thomas,10,1910
Harry,9,1910
Ralph,9,1910
Albert,8,1910
Carl,8,1910
Clarence,8,1910
Earl,8,1910
Ernest,8,1910
Elmer,7,1910
Francis,7,1910
Lawrence,7,1910
Leo,7,1910
Melvin,7,1910
Ray,7,1910
Raymond,7,1910
Edwin,6,1910
Fred,6,1910
Kenneth,6,1910
Alvin,5,1910
Chester,5,1910
Clyde,5,1910
David,5,1910
Eugene,5,1910
Joe,5,1910
Lester,5,1910
Lloyd,5,1910
John,53,1911
James,39,1911
William,39,1911
Robert,38,1911
George,37,1911
Charles,29,1911
Harold,27,1911
Jack,25,1911
Donald,23,1911
Edward,22,1911
Frank,22,1911
Paul,21,1911
Walter,20,1911
Henry,18,1911
Kenneth,16,1911
Raymond,16,1911
Joseph,14,1911
Ralph,14,1911
Thomas,14,1911
Harry,12,1911
Howard,11,1911
Richard,11,1911
Melvin,10,1911
Carl,9,1911
Louis,9,1911
Vernon,9,1911
Earl,8,1911
Elmer,8,1911
Fred,8,1911
Roy,8,1911
David,7,1911
Eugene,7,1911
Lawrence,7,1911
Ray,7,1911
Theodore,7,1911
Alvin,6,1911
Arthur,6,1911
Edwin,6,1911
Glen,6,1911
Stanley,6,1911
Tom,6,1911
Wayne,6,1911
Willard,6,1911
Albert,5,1911
Alfred,5,1911
Allen,5,1911
Cecil,5,1911
Clarence,5,1911
Don,5,1911
Ernest,5,1911
Francis,5,1911
Gordon,5,1911
Herbert,5,1911
Lester,5,1911
Marvin,5,1911
Norman,5,1911
Oscar,5,1911
Rex,5,1911
Virgil,5,1911
Robert,114,1912
John,113,1912
William,106,1912
James,88,1912
George,79,1912
Harold,50,1912
Donald,46,1912
Charles,44,1912
Richard,43,1912
Jack,39,1912
Kenneth,37,1912
Frank,36,1912
Harry,33,1912
Walter,32,1912
Joseph,31,1912
Clarence,30,1912
Earl,26,1912
Ernest,26,1912
Henry,26,1912
Ralph,26,1912
Thomas,25,1912
Edward,24,1912
Arthur,23,1912
David,23,1912
Raymond,23,1912
Fred,22,1912
Carl,21,1912
Albert,19,1912
Claude,19,1912
Howard,19,1912
Paul,19,1912
Herbert,18,1912
Lloyd,18,1912
Roy,18,1912
Alfred,17,1912
Francis,17,1912
Glenn,17,1912
Louis,17,1912
Chester,16,1912
Eugene,16,1912
Lawrence,16,1912
Clifford,15,1912
Ronald,14,1912
Stanley,14,1912
Elmer,13,1912
Ray,13,1912
Andrew,12,1912
