Name,Frequency,YOB
John,66,1910
Joseph,56,1910
William,37,1910
James,35,1910
George,26,1910
Charles,24,1910
Edward,21,1910
Henry,18,1910
Francis,16,1910
Arthur,15,1910
Frank,15,1910
Harold,14,1910
Walter,14,1910
Raymond,13,1910
Thomas,13,1910
Anthony,12,1910
Robert,12,1910
Albert,11,1910
Alfred,11,1910
Ernest,10,1910
Louis,10,1910
Frederick,9,1910
Leo,9,1910
Richard,9,1910
Harry,8,1910
Paul,8,1910
Peter,8,1910
Stanley,7,1910
Vincent,7,1910
Clarence,6,1910
Herbert,6,1910
Chester,5,1910
Daniel,5,1910
Eugene,5,1910
Lawrence,5,1910
Manuel,5,1910
John,110,1911
Joseph,108,1911
William,65,1911
George,63,1911
James,57,1911
Edward,51,1911
Frank,37,1911
Charles,36,1911
Thomas,36,1911
Raymond,32,1911
Robert,32,1911
Albert,30,1911
Anthony,26,1911
Henry,26,1911
Arthur,25,1911
Harry,21,1911
Leo,20,1911
Louis,19,1911
Francis,18,1911
Peter,18,1911
Alfred,17,1911
Ernest,17,1911
Harold,14,1911
Walter,14,1911
Frederick,12,1911
Manuel,12,1911
Michael,12,1911
David,11,1911
Carl,10,1911
Eugene,10,1911
Herbert,10,1911
Paul,10,1911
Fred,9,1911
Russell,9,1911
Samuel,9,1911
Vincent,9,1911
Antonio,8,1911
Donald,8,1911
Philip,8,1911
Richard,8,1911
Bernard,7,1911
Maurice,7,1911
Max,7,1911
Milton,7,1911
Theodore,7,1911
Andrew,6,1911
Chester,6,1911
Daniel,6,1911
Earl,6,1911
Edgar,6,1911
Kenneth,6,1911
Leonard,6,1911
Norman,6,1911
Roland,6,1911
Salvatore,6,1911
Stanley,6,1911
Clarence,5,1911
Earle,5,1911
Howard,5,1911
Jesse,5,1911
Leon,5,1911
Oscar,5,1911
Pasquale,5,1911
Roy,5,1911
Victor,5,1911
Wilfred,5,1911
John,172,1912
Joseph,123,1912
William,117,1912
Edward,80,1912
James,75,1912
Charles,69,1912
George,68,1912
Thomas,55,1912
Albert,53,1912
Robert,52,1912
Raymond,48,1912
Anthony,45,1912
Frank,45,1912
Arthur,40,1912
Harold,35,1912
Walter,35,1912
Louis,33,1912
Henry,32,1912
Ernest,30,1912
Francis,30,1912
Leo,25,1912
Ralph,24,1912
Michael,23,1912
Alfred,19,1912
Frederick,18,1912
Harry,18,1912
Paul,17,1912
Vincent,17,1912
Antonio,15,1912
Fred,15,1912
