Name,Frequency,YOB
James,556,1910
John,390,1910
William,281,1910
Willie,256,1910
George,191,1910
Robert,187,1910
Henry,177,1910
Thomas,110,1910
Frank,91,1910
Joseph,91,1910
Charlie,88,1910
Edward,84,1910
Charles,78,1910
Walter,77,1910
Joe,75,1910
David,67,1910
Fred,66,1910
Sam,61,1910
Samuel,56,1910
Jack,54,1910
Leroy,53,1910
Clarence,52,1910
Richard,52,1910
Albert,50,1910
Ernest,50,1910
Eugene,50,1910
Arthur,47,1910
Johnnie,47,1910
Harry,46,1910
Paul,45,1910
Louis,43,1910
Lee,42,1910
Benjamin,39,1910
Ben,34,1910
Eddie,33,1910
Herbert,33,1910
Julius,33,1910
Andrew,32,1910
Lewis,32,1910
Marion,32,1910
Mack,31,1910
Luther,30,1910
Roy,30,1910
Isaac,27,1910
Tom,27,1910
Jessie,26,1910
Nathaniel,26,1910
Roosevelt,26,1910
Daniel,24,1910
Jesse,24,1910
Allen,23,1910
Abraham,22,1910
Earnest,22,1910
Herman,22,1910
Raymond,22,1910
Earl,21,1910
Booker,20,1910
Otis,20,1910
Rufus,20,1910
Claude,19,1910
Harvey,19,1910
Howard,19,1910
Johnie,19,1910
Lawrence,19,1910
Moses,19,1910
Clyde,18,1910
Ed,18,1910
Harold,18,1910
Oscar,18,1910
Edgar,16,1910
Jacob,16,1910
Leon,16,1910
Lonnie,16,1910
Ralph,16,1910
Theodore,16,1910
Bennie,15,1910
Carl,15,1910
Floyd,15,1910
Jimmie,15,1910
Curtis,14,1910
Ira,14,1910
Jake,14,1910
Lester,14,1910
Preston,14,1910
Will,14,1910
Archie,13,1910
Jim,12,1910
Melvin,12,1910
Nathan,12,1910
Oliver,12,1910
Peter,12,1910
Philip,12,1910
Adam,11,1910
Alexander,11,1910
Alonzo,11,1910
Christopher,11,1910
Clifford,11,1910
Jerry,11,1910
Mike,11,1910
Wallace,11,1910
Wilson,11,1910
Alvin,10,1910
Cleveland,10,1910
Dave,10,1910
Elijah,10,1910
Elliott,10,1910
Francis,10,1910
Hugh,10,1910
Johnny,10,1910
Matthew,10,1910
Taft,10,1910
Wesley,10,1910
Willis,10,1910
Alex,9,1910
Bill,9,1910
Buster,9,1910
Calvin,9,1910
Grover,9,1910
Leo,9,1910
Marvin,9,1910
Norman,9,1910
Amos,8,1910
Horace,8,1910
Julian,8,1910
Perry,8,1910
Sammie,8,1910
Simon,8,1910
Sylvester,8,1910
Wilbur,8,1910
Alfonso,7,1910
Alfred,7,1910
Cecil,7,1910
Dan,7,1910
Donald,7,1910
Franklin,7,1910
Freddie,7,1910
Glenn,7,1910
Guy,7,1910
Isiah,7,1910
Junior,7,1910
Leonard,7,1910
Leslie,7,1910
Monroe,7,1910
Morris,7,1910
Ollie,7,1910
Prince,7,1910
Roscoe,7,1910
Rosevelt,7,1910
Sidney,7,1910
Vernon,7,1910
Anderson,6,1910
Boyd,6,1910
Buck,6,1910
Charley,6,1910
Clifton,6,1910
Coleman,6,1910
Douglas,6,1910
Elbert,6,1910
Fletcher,6,1910
Furman,6,1910
Grady,6,1910
Grant,6,1910
Hazel,6,1910
Jasper,6,1910
Jeff,6,1910
Otto,6,1910
Roland,6,1910
Stephen,6,1910
Timothy,6,1910
Ulysses,6,1910
Wade,6,1910
Woodrow,6,1910
Anthony,5,1910
Bert,5,1910
Chester,5,1910
Cleve,5,1910
Cornelius,5,1910
Dock,5,1910
Edmond,5,1910
Emanuel,5,1910
Gus,5,1910
Harrison,5,1910
Heyward,5,1910
Hubert,5,1910
Joshua,5,1910
Kenneth,5,1910
King,5,1910
Levi,5,1910
Lucius,5,1910
Maxie,5,1910
Mose,5,1910
Napoleon,5,1910
Nelson,5,1910
Odell,5,1910
Phillip,5,1910
Randolph,5,1910
Rubin,5,1910
Sanders,5,1910
Steve,5,1910
James,576,1911
John,398,1911
William,343,1911
Willie,274,1911
Robert,200,1911
George,179,1911
Henry,169,1911
Thomas,118,1911
Joseph,99,1911
Frank,88,1911
David,78,1911
Joe,77,1911
Charles,75,1911
Arthur,69,1911
Samuel,68,1911
Walter,68,1911
Fred,67,1911
Sam,67,1911
Edward,63,1911
Charlie,61,1911
Albert,60,1911
Clarence,59,1911
Ernest,58,1911
Paul,58,1911
Leroy,54,1911
Eugene,41,1911
Jack,41,1911
Johnnie,41,1911
Richard,41,1911
Lee,40,1911
Eddie,39,1911
Benjamin,37,1911
Ben,36,1911
Harry,36,1911
Luther,36,1911
Roy,36,1911
Roosevelt,35,1911
Lewis,34,1911
Herbert,33,1911
Louis,31,1911
Harold,30,1911
Andrew,29,1911
Isaac,29,1911
Jessie,27,1911
Theodore,27,1911
Marion,26,1911
Jesse,25,1911
Mack,25,1911
Carl,24,1911
Clyde,23,1911
Julius,23,1911
Rufus,23,1911
Howard,22,1911
Claude,21,1911
Bennie,20,1911
Earl,20,1911
Herman,20,1911
Ralph,20,1911
Will,20,1911
Alfred,19,1911
Nathan,19,1911
Oscar,19,1911
Jacob,18,1911
Lawrence,18,1911
Leon,18,1911
Earnest,17,1911
Jake,17,1911
Johnny,16,1911
Otis,16,1911
Raymond,16,1911
Allen,15,1911
Dan,15,1911
Jerry,15,1911
Johnie,15,1911
Nathaniel,15,1911
Daniel,14,1911
Melvin,14,1911
Sylvester,14,1911
Wade,14,1911
Adam,13,1911
Alex,13,1911
Archie,13,1911
Booker,13,1911
Christopher,13,1911
Clifford,13,1911
Ed,13,1911
Elijah,13,1911
Floyd,13,1911
Francis,13,1911
Grady,13,1911
Horace,13,1911
Lonnie,13,1911
Matthew,13,1911
Oliver,13,1911
Peter,13,1911
Clifton,12,1911
Curtis,12,1911
Harvey,12,1911
Jim,12,1911
Lester,12,1911
Mose,12,1911
Moses,12,1911
Alexander,11,1911
Grover,11,1911
Homer,11,1911
Marvin,11,1911
Ray,11,1911
Tom,11,1911
Wesley,11,1911
Abraham,10,1911
Anderson,10,1911
Bill,10,1911
Cleveland,10,1911
Franklin,10,1911
Gilbert,10,1911
Ulysses,10,1911
Wilbur,10,1911
Amos,9,1911
Buster,9,1911
Cecil,9,1911
Fletcher,9,1911
Furman,9,1911
Guy,9,1911
Jasper,9,1911
Lucius,9,1911
Ruben,9,1911
Solomon,9,1911
Alonzo,8,1911
Alvin,8,1911
Blease,8,1911
Colie,8,1911
Dock,8,1911
Edgar,8,1911
Elmer,8,1911
Freddie,8,1911
Hubert,8,1911
Leonard,8,1911
Major,8,1911
Milton,8,1911
Monroe,8,1911
Perry,8,1911
Preston,8,1911
Sidney,8,1911
Wallace,8,1911
Willis,8,1911
Boyd,7,1911
Calvin,7,1911
Coley,7,1911
Ervin,7,1911
Hampton,7,1911
Jerome,7,1911
Jimmie,7,1911
Norman,7,1911
Odell,7,1911
Philip,7,1911
Victor,7,1911
Woodrow,7,1911
Dave,6,1911
Elias,6,1911
Elliott,6,1911
Frederick,6,1911
Gussie,6,1911
Harrison,6,1911
Houston,6,1911
Hugh,6,1911
Issac,6,1911
Judson,6,1911
Julian,6,1911
Levi,6,1911
Nelson,6,1911
Phillip,6,1911
Russell,6,1911
Sammie,6,1911
Tommie,6,1911
Tommy,6,1911
Aaron,5,1911
Boyce,5,1911
Cleo,5,1911
Dewey,5,1911
Douglas,5,1911
Elbert,5,1911
Ellis,5,1911
Forest,5,1911
Isaiah,5,1911
Isiah,5,1911
Jeff,5,1911
Junior,5,1911
Junius,5,1911
Leander,5,1911
Lemuel,5,1911
Morris,5,1911
Ollie,5,1911
Randolph,5,1911
Rodney,5,1911
Roland,5,1911
Roscoe,5,1911
Rubin,5,1911
Simon,5,1911
Stanley,5,1911
Timothy,5,1911
Warren,5,1911
Wilbert,5,1911
Wilson,5,1911
James,814,1912
John,596,1912
William,438,1912
Willie,327,1912
Robert,296,1912
George,251,1912
Henry,213,1912
Thomas,176,1912
Joseph,157,1912
Frank,127,1912
Charles,124,1912
Joe,119,1912
David,116,1912
Walter,110,1912
Fred,98,1912
Samuel,97,1912
Edward,93,1912
Charlie,85,1912
Sam,83,1912
Richard,80,1912
Arthur,78,1912
Woodrow,76,1912
Clarence,74,1912
Leroy,72,1912
Harry,71,1912
Ernest,70,1912
Paul,70,1912
Roy,64,1912
Harold,58,1912
Albert,57,1912
Jack,57,1912
Eugene,53,1912
Eddie,49,1912
Jessie,48,1912
Julius,48,1912
Andrew,47,1912
Jesse,47,1912
Lewis,45,1912
Benjamin,43,1912
Johnnie,43,1912
Louis,40,1912
